SA4_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0
499,57,653,33,845,0,0,0,43,0,44,67,0,0,0,0,69,5,0,0,0,0,7,24,9,0,8,0,46,222,95,69,521,22,939,16,4,0,0,0,24,11,3,0,4,0,18,41,15,0,110,5,178,8,3,0,10,0,23,5,0,0,0,0,3,32,0,0,0,0,38,59,14,15,122,5,215,28,10,0,21,0,62,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,10,7,0,0,0,0,14,16,3,0,0,0,16,6,4,0,6,0,19,9,0,0,0,0,9,3,0,0,0,0,3,47,13,11,114,6,195,4,0,0,0,0,4,9,0,0,0,0,9,10,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,15,5,0,4,4,0,16,155,14,6,27,9,211,8,0,4,35,567,604,703,168,106,1252,637,2862,26,90,68,732
501,6159,53880,1093,70438,6,31,14,475,13,526,1040,44,73,132,15,1301,199,63,33,225,7,535,1854,483,387,858,44,3629,20445,7815,6169,43107,1214,78746,1576,16,140,15,16,1773,498,74,60,279,13,921,1721,494,420,3213,100,5951,194,107,43,342,10,694,114,28,12,54,0,216,886,48,55,82,17,1086,3652,1337,1081,10731,226,17026,2751,1108,500,5055,150,9559,289,0,20,4,3,321,77,3,9,14,4,110,153,23,15,107,3,297,78,37,22,69,9,214,1334,206,115,69,43,1763,1216,544,303,145,36,2241,674,133,105,389,7,1312,206,23,29,62,7,326,47,0,6,8,0,65,4297,1627,1324,9582,239,17076,61,13,5,18,0,102,1294,109,100,33,10,1548,268,41,30,197,6,535,125,13,9,10,0,156,180,9,10,4,0,202,721,169,104,491,18,1499,5218,897,869,1437,91,8514,409,113,107,1163,12217,14005,42054,14065,10721,94699,14786,176328,1580,8691,7116,54747
502,3583,26208,546,35587,0,11,3,234,0,257,627,24,45,106,18,825,167,54,27,115,4,363,1093,264,158,361,21,1901,16317,4402,3453,21059,643,45870,929,19,114,17,18,1100,294,27,28,140,4,496,1041,251,213,1602,45,3147,93,42,17,114,0,275,100,19,3,27,0,147,704,42,33,38,3,821,2901,666,533,5191,140,9432,868,387,179,1532,36,3007,112,10,6,0,0,134,13,8,0,12,0,30,21,0,6,20,0,50,94,34,9,65,0,203,1089,92,82,30,17,1310,826,260,197,77,13,1377,343,51,45,165,3,611,128,16,15,31,0,194,95,16,0,0,0,113,3395,919,768,4598,130,9810,26,6,8,6,3,49,899,45,46,24,3,1015,216,18,18,121,3,382,94,3,0,10,0,113,84,0,17,0,0,109,663,97,84,202,29,1064,3581,519,465,680,59,5303,286,60,53,525,5914,6832,30135,7633,5915,45823,7229,96738,1017,5098,4198,28226
503,5855,29711,432,44832,4,15,13,158,4,189,10704,325,501,293,66,11890,627,170,101,566,10,1487,1607,393,252,574,23,2847,20243,6874,5074,26104,568,58868,928,22,114,5,15,1084,1363,116,85,257,14,1840,2363,485,410,2213,54,5528,1034,354,154,906,22,2470,316,52,40,77,8,485,4318,184,139,104,20,4759,6229,1664,1190,10140,171,19398,4720,1236,600,3265,103,9930,1203,11,32,6,10,1260,145,20,30,60,0,256,461,62,47,188,4,765,120,47,20,69,3,261,306,32,14,17,0,368,1004,306,217,61,4,1598,1230,184,137,305,13,1872,536,47,44,71,4,710,49,3,7,0,0,61,5575,1635,1191,7694,146,16237,395,29,28,36,0,495,1351,125,144,28,7,1663,776,47,69,113,13,1020,601,58,32,21,3,719,1390,18,59,24,11,1501,840,193,100,414,15,1561,15996,1393,1335,1480,125,20335,496,83,53,362,13136,14128,72279,13702,10362,58413,14548,169299,1679,8472,7036,31110
504,8724,50354,1139,74362,22,72,44,779,12,931,8088,182,317,316,83,8988,1291,276,154,776,18,2518,2523,680,402,1010,37,4658,32564,10041,7926,38319,1225,90076,4120,65,251,55,42,4535,1104,112,75,291,11,1593,2739,691,527,3122,101,7178,812,279,121,550,25,1785,419,68,44,102,5,639,8355,281,192,199,57,9082,7189,2017,1452,10851,254,21765,6478,1971,961,5571,184,15165,395,3,25,8,0,437,222,41,25,41,6,337,636,104,66,180,8,998,378,108,54,161,9,709,2580,214,190,54,43,3077,2173,711,417,167,33,3494,1911,262,178,500,28,2884,435,35,34,78,7,589,215,24,20,5,6,269,7477,2114,1659,9235,219,20707,983,79,36,55,22,1176,1812,162,150,48,18,2181,868,63,47,169,5,1156,764,58,47,44,4,918,5135,69,122,38,40,5408,1009,230,168,530,18,1958,25045,2050,1710,2124,290,31223,1110,160,114,837,16419,18641,107907,20018,15136,88462,19498,251020,4325,12606,10303,52479
505,18201,93386,1797,142725,35,85,30,719,14,890,16122,385,637,532,124,17808,2495,584,252,1387,50,4772,5727,1241,763,1791,70,9584,95440,20051,16081,69614,2270,203456,4899,91,433,56,63,5539,2551,224,194,641,36,3649,6915,1310,1000,5565,138,14927,2753,742,370,1612,60,5543,1001,137,80,179,9,1401,14581,432,289,327,89,15712,22707,4062,3006,21669,502,51948,14791,4300,2014,11128,334,32561,883,24,48,25,8,985,488,99,35,97,13,737,4399,611,350,1067,64,6498,548,158,102,305,9,1126,4391,419,223,128,68,5223,4770,1332,844,253,64,7262,3846,436,374,805,42,5497,1209,73,110,171,12,1574,421,53,19,4,12,509,21206,4066,3290,17141,430,46131,1727,153,68,106,9,2063,9463,450,393,107,46,10462,2022,194,146,418,17,2804,1057,106,74,42,5,1289,9518,130,231,88,71,10039,4005,453,328,1025,42,5856,54890,3923,3932,3769,630,67148,2468,249,230,1344,26658,30950,265194,40636,31381,165597,32302,535114,8806,26183,21649,96922
506,15637,87139,1837,129970,27,86,60,1291,37,1494,38659,551,1001,690,240,41136,950,264,170,756,16,2165,5625,1495,1003,2506,78,10704,62708,18039,14456,66818,2103,164126,8761,75,476,49,59,9424,1928,165,141,510,25,2766,4638,1133,916,5526,159,12368,754,266,148,600,30,1791,634,106,65,113,10,930,24553,442,350,329,140,25820,13059,3434,2530,18359,414,37799,7926,2501,1243,7462,239,19374,3295,20,82,18,14,3428,730,131,79,73,6,1024,206,41,35,139,3,426,389,127,59,190,12,774,4288,336,251,100,70,5054,3734,1094,706,277,56,5869,2274,332,249,719,41,3619,814,67,87,155,9,1124,677,56,11,15,15,777,13597,3796,2890,15980,406,36675,520,42,31,52,3,653,3935,350,274,68,46,4672,1620,94,82,277,13,2084,3166,86,57,35,12,3354,2388,60,117,28,13,2598,2183,371,277,782,29,3647,63100,3386,3359,3498,618,73956,2480,219,180,1448,29490,33809,240058,34168,27190,152121,34814,488357,8098,21746,17521,87701
507,15022,82529,1674,121758,18,68,41,699,15,843,17002,388,536,505,146,18586,3073,634,309,1513,50,5580,4060,1038,755,1790,52,7698,62617,17123,13825,64571,1973,160104,6217,70,386,30,61,6766,1860,200,161,484,21,2723,4763,1165,896,5187,134,12144,697,222,131,611,23,1685,456,80,72,136,6,747,7908,322,231,231,52,8740,12584,3382,2494,19023,434,37923,9802,3069,1470,9158,234,23737,1383,22,44,20,3,1480,354,57,53,68,0,535,253,50,39,124,3,467,384,149,65,223,8,830,4950,405,268,130,98,5855,3536,988,706,228,61,5521,1806,272,249,574,25,2931,736,64,82,116,4,998,485,53,17,14,10,576,15024,3942,2866,15702,371,37908,1472,79,74,80,17,1726,4270,313,303,87,28,5003,1771,161,137,357,25,2442,972,75,37,38,8,1135,1009,37,68,14,8,1137,2623,415,284,871,28,4220,30240,3186,2967,3432,378,40206,1300,209,163,1378,25023,28075,168262,33007,25771,146641,29654,403336,5395,21596,17954,88568
509,4678,44764,1033,56968,0,19,16,612,16,675,629,35,47,110,8,833,125,49,25,157,0,367,1516,409,293,756,30,3004,14304,5357,4504,33571,1024,58758,1492,5,114,22,22,1661,326,34,37,193,6,598,1272,326,343,2701,76,4719,89,29,14,119,3,253,97,24,12,21,0,162,518,38,19,54,4,634,2188,809,640,7393,181,11213,1058,497,168,1972,60,3751,29,0,7,6,0,46,4,5,0,15,0,29,35,6,3,29,5,71,60,24,10,36,8,133,695,102,98,58,32,980,805,312,217,97,26,1456,549,94,65,262,14,987,113,14,24,43,3,194,26,0,4,3,0,35,3107,1133,895,7338,164,12634,50,4,6,13,8,81,622,56,49,18,6,760,159,14,9,99,4,289,50,3,7,11,0,72,130,3,5,0,0,144,490,104,70,344,11,1027,3615,630,546,1172,93,6057,335,65,74,925,11649,13060,28722,9466,7770,75537,13862,135356,1054,5552,5048,41973
510,2453,27050,640,33460,12,117,45,10672,173,11022,854,58,58,248,12,1233,140,42,23,110,8,320,518,222,122,332,7,1199,6808,2076,1962,14318,429,25588,1636,18,116,86,27,1877,294,25,31,97,7,460,783,190,161,1493,29,2656,88,41,13,117,5,274,60,15,15,32,0,121,952,41,36,45,3,1079,1884,424,383,4066,108,6861,468,257,110,1138,26,2006,146,7,3,0,0,152,40,0,3,3,0,50,75,23,12,43,0,158,49,33,12,64,0,163,1476,97,90,61,28,1749,908,196,145,57,17,1322,185,48,43,132,3,408,64,8,14,32,0,114,138,5,7,11,0,160,1946,503,432,3527,95,6499,68,0,8,16,3,93,535,23,43,30,0,630,226,16,14,51,0,306,157,4,11,11,0,190,128,0,11,0,4,143,209,50,41,151,3,446,4076,496,480,1392,87,6531,258,41,51,794,12808,13955,20272,4622,4047,50783,14191,93920,606,2472,2572,18182
511,3479,38872,841,48154,7,63,24,3689,42,3830,693,18,60,161,14,945,195,69,25,174,0,464,858,237,179,404,8,1690,9465,3747,2996,26644,779,43630,1431,24,167,33,18,1667,284,35,27,151,7,507,1080,311,279,2455,58,4183,100,54,21,153,3,323,88,16,8,26,3,140,900,35,20,52,10,1019,1966,736,510,7087,157,10454,858,425,174,2170,67,3693,62,8,8,3,0,76,21,8,7,9,3,42,57,15,12,38,0,125,50,29,11,43,3,136,1616,132,128,82,55,2016,959,296,192,107,26,1581,276,65,41,184,0,576,89,14,4,41,0,152,168,13,6,5,0,186,2521,898,608,5827,135,9990,39,4,3,8,0,55,871,48,63,20,13,1014,186,23,21,107,11,351,98,8,3,0,4,120,350,8,21,7,14,395,333,86,64,285,8,773,4265,540,563,1298,69,6738,313,78,50,953,11819,13211,24447,7275,5696,67501,13636,118568,827,4297,3749,33565
597,5,45,0,70,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,6,7,0,0,0,0,8,80,8,15,66,3,172,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,29,0,3,22,0,53,6,4,4,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,24,4,4,22,0,49,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,37,5,0,3,0,44,3,0,0,0,69,73,189,22,23,128,74,431,9,8,4,59
599,122,1353,33,1716,0,0,4,61,5,69,124,0,0,8,0,135,7,3,0,0,0,12,76,8,10,25,0,119,650,135,110,827,35,1749,20,0,0,0,0,24,35,0,0,9,0,40,94,18,15,103,5,232,4,5,0,4,0,14,5,0,0,0,0,7,35,0,0,0,0,47,154,25,12,300,7,499,73,13,4,53,0,141,10,0,0,0,0,10,0,0,3,0,0,3,0,0,0,3,0,6,3,4,3,3,0,11,58,3,0,0,0,59,52,14,6,0,0,75,24,0,0,8,0,35,8,0,0,5,0,11,9,0,0,0,0,6,159,28,35,234,3,456,0,0,0,0,0,3,29,4,0,0,0,37,11,0,0,3,0,17,0,0,0,0,0,0,11,0,0,0,0,11,23,0,0,6,0,36,294,35,14,69,3,426,20,0,0,26,1521,1567,1618,276,200,2263,1588,5950,38,167,166,1347
601,5062,76114,1533,90920,0,37,16,588,8,654,4087,120,178,362,32,4775,322,100,26,175,16,638,1781,664,425,1354,34,4253,12766,7504,4979,71794,1720,98766,677,39,218,35,3,967,420,88,67,454,15,1039,2058,713,451,5173,111,8503,880,216,92,583,23,1788,218,109,24,137,6,494,1516,84,65,113,6,1789,2376,1688,946,20955,404,26382,1317,585,195,1869,58,4019,367,13,27,22,6,433,101,48,8,42,0,195,17,16,5,8,0,44,100,54,12,102,0,281,199,70,57,82,8,414,474,289,207,168,12,1140,1082,322,120,654,16,2192,255,43,31,104,4,440,44,22,15,16,0,91,3070,1772,1168,14827,253,21098,122,23,10,32,0,195,391,73,55,29,4,545,375,49,32,138,4,595,174,17,7,12,5,211,270,13,10,14,0,307,552,166,78,623,8,1432,8261,1546,950,2254,120,13121,310,81,72,1792,11476,13720,37350,13850,9014,147159,14987,222356,1169,8438,5747,76565
602,2953,52669,1111,61043,0,14,9,408,10,439,1172,45,72,292,21,1604,78,26,10,53,0,171,1412,451,342,1071,30,3312,7767,3793,2733,47009,1271,62570,435,10,148,27,5,630,161,33,25,228,3,448,1046,399,211,3133,71,4864,134,69,23,122,8,353,123,57,14,57,3,256,587,48,34,25,0,693,1320,701,466,11332,237,14054,536,344,80,1038,22,2025,149,0,23,11,0,187,37,6,0,17,0,63,7,0,0,6,0,15,68,25,11,66,0,175,131,66,47,47,0,298,298,137,118,86,6,639,341,102,47,228,5,722,133,19,13,48,3,212,18,10,7,4,0,34,1798,894,607,9577,210,13089,31,4,0,6,0,47,216,22,21,18,0,289,123,21,12,84,3,252,82,13,4,5,0,102,107,9,6,0,0,128,322,74,61,280,6,742,4231,534,469,1030,58,6333,189,50,55,1391,8449,10133,19484,6943,5023,98130,10899,140485,640,4459,3360,53849
603,759,13881,342,16079,0,5,0,156,0,164,100,10,16,34,0,165,21,6,0,12,0,41,317,74,60,153,12,616,2849,938,702,12132,377,16990,62,0,20,4,3,85,75,6,8,52,0,141,383,118,88,842,32,1462,40,8,9,24,0,83,39,11,6,22,4,73,43,12,3,12,0,72,493,201,150,3199,67,4113,114,56,11,166,4,349,17,0,6,3,0,25,7,4,8,7,0,24,0,0,0,0,0,6,16,4,8,22,0,52,49,3,7,16,6,83,99,36,22,18,3,178,120,27,13,56,0,207,36,7,6,12,0,65,0,0,0,0,0,0,638,204,165,2319,47,3376,12,5,0,0,0,18,53,3,3,3,0,68,48,0,9,19,0,72,3,0,0,6,0,9,10,0,4,0,0,13,138,19,12,99,0,270,714,192,119,380,15,1416,36,15,12,429,2351,2848,5300,1715,1298,25705,3096,37118,164,1201,956,14354
604,1830,46092,1148,51980,0,11,3,389,10,408,345,17,21,175,6,565,60,32,0,27,3,124,946,291,208,622,19,2088,5345,2394,1806,37858,1002,48407,370,8,86,21,5,489,105,17,13,153,6,291,655,239,154,2406,57,3515,54,34,3,70,6,164,79,37,16,36,0,166,261,17,22,47,8,351,814,440,318,9280,201,11055,202,136,39,549,24,943,49,0,0,7,4,61,17,6,3,14,0,42,6,0,0,4,0,11,63,29,8,51,0,152,151,41,22,33,6,252,270,116,91,67,7,551,151,53,22,118,10,361,78,8,3,35,0,124,18,7,4,6,0,34,1335,600,406,7396,161,9905,24,3,0,4,0,39,147,12,7,8,0,183,87,14,11,60,0,176,68,11,6,3,0,92,34,4,12,0,4,53,238,62,28,225,12,553,1606,382,293,751,40,3075,116,52,17,1294,5727,7206,11462,4531,3232,81902,7902,109027,439,2964,2238,45570
697,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,6,0,17,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,8,0,0,0,0,5,4,20,10,0,32,5,75,0,0,0,4
699,11,280,15,337,0,0,0,8,0,8,20,0,0,0,0,27,0,0,0,0,0,6,7,0,4,6,0,17,59,14,10,216,11,313,6,0,0,0,0,6,9,0,0,3,0,10,17,0,4,25,0,44,0,0,0,4,0,5,0,0,0,0,0,0,3,0,0,0,0,3,11,5,6,70,0,93,3,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,59,3,70,0,0,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,10,33,3,3,14,0,49,0,0,0,11,162,169,144,40,31,517,191,911,8,28,22,380
701,4166,34405,788,44853,9,105,49,1877,63,2095,4072,228,287,815,49,5450,109,51,14,84,3,260,811,301,185,518,20,1835,8633,3417,3041,23610,558,39261,5084,74,446,145,68,5817,452,49,57,224,9,800,1347,480,404,3746,73,6047,2164,589,238,852,51,3890,176,30,17,52,0,282,3174,57,47,60,20,3364,2510,922,741,8966,150,13284,997,408,186,1498,46,3128,331,4,21,17,0,373,71,11,3,23,0,117,26,9,6,11,0,52,89,49,18,137,3,289,654,126,90,91,9,966,723,233,195,109,11,1262,293,63,44,223,9,631,159,19,31,80,0,286,96,11,10,13,0,134,2166,809,720,6799,102,10596,78,12,0,14,7,106,354,50,25,35,4,468,572,37,27,105,6,751,538,28,13,30,0,604,1001,23,60,13,17,1120,307,59,66,296,4,737,12179,918,1178,1601,210,16086,558,73,61,823,15391,16896,42545,8031,7247,61819,17196,136831,1488,4303,4480,29818
702,1284,16173,433,19658,7,71,42,34817,472,35397,517,23,26,187,10,767,33,9,4,19,0,67,321,84,61,172,11,647,3131,1177,994,9528,273,15102,948,23,103,26,25,1115,181,22,7,104,5,327,676,166,139,1579,43,2596,61,45,6,77,7,184,37,8,7,29,0,82,1116,11,7,18,5,1160,836,294,242,3573,79,5017,350,114,50,455,20,988,93,0,6,6,4,104,21,7,3,13,0,49,12,0,0,8,0,16,22,20,3,48,0,92,504,62,50,35,9,667,346,89,78,41,0,548,121,35,20,59,0,241,51,3,0,26,0,89,133,3,0,0,0,146,863,318,257,2700,72,4213,18,0,0,0,0,21,134,23,9,17,4,186,113,5,7,32,6,164,129,8,5,0,0,145,196,4,3,5,0,202,96,23,13,100,0,232,3001,322,299,815,62,4497,162,30,33,821,10742,11788,11651,2623,2166,60975,12026,89446,423,1357,1310,11722
797,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,7,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,3,0,0,0,6,14,48,0,0,14,6,73,0,0,3,16
799,35,737,52,912,0,0,0,56,9,66,14,0,5,0,0,16,3,0,0,0,0,9,24,3,0,3,0,37,186,46,35,316,12,596,10,4,0,0,0,9,20,0,0,3,0,19,35,0,3,47,0,96,0,0,0,0,0,6,0,0,0,0,0,5,7,0,0,0,0,11,35,19,3,102,7,157,8,6,0,14,4,31,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,9,4,0,0,0,10,16,3,0,4,0,23,9,0,0,3,0,11,0,0,0,3,0,3,5,0,0,0,0,5,48,12,7,94,6,163,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,4,0,21,83,12,4,31,0,129,6,0,0,100,593,704,440,106,56,1211,671,2485,16,40,51,518
