SA4_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,16410,17586,5479,346,39823,10041,1353,2535,53754,695,212,301,25,1241,1750,120,135,3242,142,60,40,0,245,137,34,48,463,840,276,338,27,1483,1884,154,184,3700,278,126,158,14,578,893,59,135,1664,26,6,8,0,35,69,15,36,161,13,7,0,0,21,22,0,9,48,..,..,..,..,..,..,..,..,..,7,5,4,0,16,25,0,6,52,328,144,165,16,656,1010,73,184,1924,193,36,19,0,245,387,28,425,1088,17,13,0,0,28,24,5,56,116,34,17,7,0,59,18,3,10,89,241,67,26,0,337,432,34,490,1296,18,10,4,0,30,13,0,27,75,17831,18086,6015,396,42325,13390,1617,3416,60746,18061,18778,6047,393,43281,11323,1462,3982,60053,833,330,445,32,1636,2227,144,390,4397,193,94,58,6,345,199,38,79,660,1024,416,507,33,1979,2422,183,471,5060,197,53,53,8,314,732,20,112,1180,27,9,8,0,49,36,4,13,99,20,6
502,8967,8042,3042,206,20260,5076,655,1203,27192,787,140,243,8,1179,1408,93,103,2780,221,71,52,5,348,197,32,69,651,1007,209,294,17,1527,1605,124,175,3429,367,76,125,13,582,676,45,85,1385,52,20,4,0,77,36,13,37,162,61,21,14,0,100,48,8,40,198,..,..,..,..,..,..,..,..,..,3,0,0,0,3,3,0,0,7,478,120,145,13,758,758,67,164,1748,144,8,26,3,187,269,7,47,509,0,14,0,0,19,4,0,45,64,4,3,3,0,7,0,0,3,17,152,23,31,3,207,280,7,94,587,14,3,0,0,16,4,0,0,20,10618,8402,3518,235,22766,7719,854,1635,32978,10028,9418,3596,239,23278,5980,785,1632,31671,1006,211,292,18,1520,1826,89,256,3696,314,136,118,9,570,351,45,83,1046,1318,345,408,21,2092,2169,136,332,4738,274,27,33,4,338,525,20,84,962,66,12,13,0,90,44,4,12,152,103,39
503,8639,13451,2686,466,25250,6310,1806,1431,34798,747,378,229,62,1414,1502,286,256,3460,1643,816,379,103,2942,1995,578,540,6060,2386,1193,601,169,4353,3504,861,798,9520,1219,444,259,99,2019,2730,537,591,5874,1531,346,172,112,2160,3059,614,1002,6838,2387,538,193,147,3267,3660,695,1718,9337,..,..,..,..,..,..,..,..,..,4,4,0,0,3,7,0,4,19,5135,1328,626,363,7450,9460,1845,3311,22069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,188,46,22,4,0,76,53,14,30,169,46,22,4,0,76,50,14,217,361,21,4,0,0,29,27,8,8,67,16240,15999,3922,995,37156,19349,4534,5776,66815,8546,13859,2555,402,25365,5685,1464,1434,33948,944,640,294,46,1925,1677,279,289,4177,2015,1269,508,94,3891,1975,623,543,7031,2959,1913,802,142,5818,3652,905,838,11203,1154,408,220,74,1855,2347,398,645,5237,1588,430,213,91,2326,2972,574,950,6825,3527,904
504,18088,25248,7830,834,52004,11812,2044,2661,68516,1247,812,670,84,2819,2664,296,282,6060,408,288,166,35,888,557,135,167,1749,1656,1100,833,121,3712,3222,433,446,7812,764,340,371,36,1515,1771,188,278,3753,185,81,51,16,323,437,101,110,979,169,54,38,8,265,371,49,87,776,..,..,..,..,..,..,..,..,..,10,3,3,0,22,9,0,0,30,1128,478,463,54,2128,2591,338,476,5535,89,5,4,0,93,186,10,95,386,3,0,4,0,13,3,0,23,37,5,4,0,0,12,14,5,0,34,98,12,8,0,119,209,13,115,454,10,11,4,0,26,19,4,19,64,20978,26852,9139,1015,57977,17850,2832,3716,82380,19948,28094,8551,905,57490,12752,2307,3481,76034,2198,1510,1168,144,5019,3938,440,706,10092,634,449,237,40,1362,922,208,224,2714,2834,1958,1410,178,6384,4859,645,926,12812,314,141,106,16,579,846,100,177,1701,198,79,57,22,355,411,59,93,921,132,63
505,36773,57625,14784,1627,110810,21773,3905,4750,141237,5208,2993,2029,355,10583,8927,1248,1171,21937,1473,1140,500,105,3217,1400,425,354,5403,6676,4131,2528,463,13801,10336,1678,1526,27336,1871,794,671,135,3468,4356,518,787,9130,256,70,57,25,397,520,85,125,1126,170,51,32,9,257,227,30,140,658,..,..,..,..,..,..,..,..,..,73,37,19,9,144,196,18,30,389,2361,946,784,172,4271,5304,650,1083,11307,138,11,9,0,159,375,6,140,683,0,0,0,0,0,7,0,22,25,5,5,0,0,10,10,4,8,34,142,16,9,0,168,395,7,175,739,10,15,0,0,24,15,0,7,39,45968,62739,18105,2265,129071,37815,6245,7533,180661,38908,62069,15552,1639,118169,22470,3951,6074,150660,7837,5225,3257,486,16802,12776,1576,2003,33155,2130,1734,754,127,4739,1973,529,569,7807,9964,6961,4012,616,21545,14750,2100,2566,40963,865,302,256,44,1471,2371,229,431,4498,285,87,67,13,450,553,69,109,1186,244,55
506,34111,46456,14206,2116,96890,23033,5065,5341,130328,3059,1880,1235,309,6483,5636,908,791,13824,1147,681,330,159,2324,1179,511,359,4372,4205,2564,1566,468,8805,6816,1418,1150,18190,1693,928,760,209,3590,3898,594,651,8731,553,204,93,65,913,1120,230,334,2599,833,238,114,56,1246,1219,188,473,3118,..,..,..,..,..,..,..,..,..,11,5,9,0,29,27,6,0,63,3098,1368,970,330,5776,6263,1016,1462,14512,65,13,11,0,89,217,4,142,450,7,9,0,0,17,13,0,21,48,19,21,15,4,51,20,5,0,76,91,38,25,4,153,247,9,161,577,15,9,3,0,32,35,7,16,83,41519,50443,16766,2922,111651,36392,7507,8137,163694,35669,52631,14913,2060,105275,24276,5403,6606,141559,4397,3656,1976,441,10467,7922,1222,1571,21184,1971,1189,442,205,3806,2099,733,601,7243,6371,4845,2412,645,14273,10022,1959,2168,28424,765,490,257,88,1595,1593,234,428,3847,464,182,80,60,793,886,193,342,2206,949,243
507,29230,42005,11890,1339,84466,18355,3462,4049,110326,2161,1129,975,103,4371,4656,451,469,9945,850,504,270,37,1659,990,199,239,3094,3015,1634,1245,139,6033,5647,652,707,13040,1078,388,420,74,1965,3089,332,381,5768,387,113,113,39,652,918,136,257,1962,266,60,39,15,383,455,93,195,1128,..,..,..,..,..,..,..,..,..,14,4,0,0,22,35,0,8,58,1750,568,575,125,3018,4500,555,837,8918,170,13,24,0,203,326,11,169,707,3,3,0,0,10,11,0,88,105,8,14,9,0,27,29,5,14,83,178,32,33,4,245,374,18,270,899,11,11,0,0,26,15,3,17,67,34186,44249,13746,1608,93794,28891,4691,5876,133248,31608,46825,13103,1308,92844,19828,3525,5770,121965,3132,1973,1551,180,6831,6552,580,1075,15041,1425,1088,519,65,3099,1515,264,415,5294,4558,3059,2068,240,9929,8069,847,1492,20333,471,156,197,28,847,1669,106,354,2978,375,130,89,39,636,900,93,333,1963,663,143
509,15159,13306,4080,329,32880,10451,962,2169,46457,263,132,126,15,538,917,49,90,1600,51,32,8,0,93,41,4,5,146,317,162,134,16,637,959,54,100,1745,169,80,94,15,354,821,38,84,1303,3,5,0,0,5,8,0,0,12,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,6,0,0,4,15,3,11,36,172,88,94,15,366,845,44,96,1350,136,26,17,0,176,291,9,439,910,20,26,9,0,58,39,5,46,149,63,22,10,0,99,47,8,17,164,215,71,39,0,327,375,20,503,1223,23,8,3,0,32,19,0,36,91,15890,13640,4349,363,34237,12654,1078,2902,50869,15723,12851,4242,356,33175,11700,1115,4176,50164,294,98,127,15,537,1163,51,249,1998,26,10,13,0,47,51,3,12,119,317,111,138,12,587,1213,57,263,2116,51,24,33,0,107,241,22,78,444,0,0,0,0,0,0,0,0,0,0,0
510,3994,7162,1902,260,13314,2421,756,3028,19514,440,336,170,30,978,684,87,537,2290,123,101,22,0,253,121,34,139,545,568,437,191,29,1229,807,122,682,2831,296,115,82,12,501,534,72,484,1593,16,5,0,0,20,22,5,27,68,16,10,3,0,26,32,8,39,113,..,..,..,..,..,..,..,..,..,5,4,0,0,7,9,0,0,18,331,127,87,17,559,586,92,550,1788,615,161,51,14,842,595,59,4742,6240,36,17,3,5,61,65,12,710,849,52,45,4,0,102,58,21,77,256,703,226,64,21,1008,719,88,5527,7341,51,28,15,3,93,79,7,551,732,5645,7973,2252,323,16198,4607,1071,10333,32210,4624,7917,2155,323,15019,3319,652,2944,21930,390,260,212,44,905,745,72,439,2164,124,89,40,0,260,139,24,125,551,516,347,255,46,1164,885,96,572,2721,314,134,74,9,531,524,66,509,1632,25,3,0,0,30,40,3,41,115,29,14
511,9893,11890,3695,298,25777,7015,1014,2666,36474,424,302,243,18,991,1064,90,363,2504,103,75,48,0,228,114,13,85,437,534,378,281,24,1214,1173,105,440,2938,393,193,163,19,772,1051,103,366,2294,4,0,9,0,10,33,6,6,53,6,4,0,0,14,17,0,3,29,..,..,..,..,..,..,..,..,..,7,3,0,0,8,5,0,6,17,408,200,176,19,803,1100,108,375,2384,427,77,27,13,542,664,27,3697,4935,23,10,4,0,34,38,0,423,501,50,25,14,0,88,40,5,35,172,500,106,46,9,662,747,34,4160,5606,33,17,5,0,60,58,7,257,378,11362,12593,4207,357,28519,10100,1271,7896,47788,10065,11316,3720,369,25467,7455,1018,3607,37550,631,375,321,45,1381,1775,120,543,3818,146,128,47,12,329,188,29,95,642,780,507,370,52,1706,1961,152,640,4457,138,56,52,6,245,466,41,204,959,7,4,0,0,11,9,0,7,28,0,0
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,19331,21777,8724,642,50475,15341,2119,1982,69920,719,293,422,32,1461,2016,194,169,3845,400,193,168,27,789,636,209,104,1742,1118,488,587,58,2250,2652,409,274,5586,1214,474,749,86,2524,4128,427,442,7523,178,42,27,12,256,486,100,108,947,126,25,19,14,193,282,48,63,585,..,..,..,..,..,..,..,..,..,40,23,13,4,83,134,23,7,250,1563,563,806,117,3050,5027,604,623,9305,28,12,0,0,44,76,0,36,150,0,7,0,5,7,15,0,43,63,50,61,8,4,124,82,16,25,247,76,80,18,3,177,168,18,103,466,15,13,3,0,29,17,8,4,62,22102,22921,10139,821,55986,23209,3152,2987,85335,20520,22048,9354,709,52634,17626,2355,3236,75853,450,195,346,33,1024,1832,174,258,3287,474,235,208,35,957,897,216,152,2222,921,433,557,71,1980,2733,386,410,5508,944,386,578,67,1976,3322,411,520,6233,200,42,43,22,301,531,108,120,1055,136,28
602,14598,14206,5349,429,34586,11313,1488,1465,48846,430,172,232,32,861,1504,102,121,2590,72,31,51,11,162,147,32,26,369,502,205,287,34,1026,1650,141,143,2961,540,143,261,29,973,2106,144,167,3391,17,6,4,0,29,58,6,14,105,16,0,0,0,16,19,9,9,54,..,..,..,..,..,..,..,..,..,11,3,4,0,19,52,0,9,78,580,155,264,29,1040,2234,154,197,3624,30,12,13,0,55,108,4,67,230,5,10,0,0,18,26,0,34,77,42,17,6,0,69,66,10,16,160,83,41,19,3,147,196,10,121,476,5,15,0,0,27,4,0,9,38,15778,14622,5924,502,36823,15393,1787,1944,55943,14722,13290,5371,437,33826,12400,1362,2854,50429,358,134,196,33,720,1634,130,228,2721,210,153,81,15,468,289,68,69,888,572,290,276,48,1185,1920,199,299,3607,435,144,265,26,877,1792,128,313,3097,10,3,8,0,28,73,14,22,137,5,3
603,4637,3723,1221,91,9673,3234,284,545,13734,57,36,21,6,117,123,0,7,245,14,7,3,0,29,9,0,4,36,70,45,25,3,140,126,0,6,284,17,8,12,0,29,91,5,12,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,9,0,0,0,9,10,0,0,12,23,8,12,0,38,100,3,12,148,21,12,4,0,32,78,0,25,144,7,5,0,0,10,11,0,8,28,35,13,3,4,52,34,3,7,96,56,23,11,3,90,120,10,44,265,4,4,0,0,5,0,0,5,8,4785,3803,1268,97,9950,3588,298,610,14443,4879,3486,1275,80,9722,3773,350,1097,14947,16,9,18,0,39,88,3,16,151,4,0,0,0,8,0,0,0,14,24,8,21,0,47,92,5,17,164,18,3,8,4,41,86,5,13,139,0,0,0,0,0,0,0,0,0,0,0
604,12184,11424,4442,269,28311,8846,845,1185,39196,307,74,191,12,583,1215,39,85,1923,24,17,17,0,53,39,5,11,108,326,88,213,12,643,1249,41,96,2032,337,80,186,16,613,1438,54,141,2240,3,3,0,0,12,25,5,4,46,15,0,4,0,21,37,4,12,81,..,..,..,..,..,..,..,..,..,9,9,5,0,20,33,0,6,62,363,91,199,16,660,1538,62,166,2427,68,13,8,0,89,152,12,48,296,3,6,0,0,13,15,0,19,51,43,30,8,0,87,39,3,10,142,114,53,27,0,190,212,19,73,492,7,5,0,0,14,6,0,7,22,12990,11660,4873,299,29823,11851,970,1518,44158,12461,10481,4634,270,27839,10207,905,2055,41008,370,88,213,22,696,1794,64,191,2737,42,9,19,0,75,202,13,35,319,414,98,226,27,767,1995,68,229,3060,87,30,39,0,154,407,15,107,677,0,0,0,0,3,37,0,0,41,10,0
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,6311,10805,3082,277,20473,3214,1175,2408,27278,732,490,341,35,1594,1163,206,352,3320,617,437,193,32,1272,545,201,228,2245,1341,926,533,66,2864,1710,416,573,5562,759,561,418,56,1802,1431,276,432,3936,512,219,98,23,855,559,273,430,2115,836,294,126,33,1286,753,359,571,2966,..,..,..,..,..,..,..,..,..,13,12,5,0,28,26,3,22,83,2118,1092,651,114,3973,2769,914,1450,9106,281,112,30,9,422,325,24,1333,2103,41,12,7,11,69,161,30,133,394,30,8,3,0,44,44,10,33,126,350,132,37,18,540,524,60,1497,2620,18,22,12,0,59,39,6,37,142,10141,12975,4317,470,27909,8260,2563,5976,44708,7126,11940,3111,311,22486,3532,1218,2638,29876,632,508,307,37,1483,970,169,307,2929,562,502,192,25,1285,561,169,250,2266,1196,1011,493,66,2772,1533,341,556,5197,900,766,405,53,2122,1455,265,503,4345,555,319,113,20,1003,563,193,327,2081,1529,753
702,3510,7116,2390,297,13314,2397,609,1268,17586,327,241,117,17,697,632,80,244,1658,114,72,38,6,237,193,54,77,555,443,315,155,25,934,825,137,320,2215,557,292,224,34,1112,1129,151,540,2930,12,0,0,0,11,21,3,20,54,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,6,3,0,0,10,569,298,229,34,1126,1157,148,565,2998,308,129,68,17,522,431,37,2809,3790,52,31,19,9,114,153,15,462,739,17,10,5,0,39,39,7,17,102,379,179,82,29,667,619,60,3288,4633,48,30,12,6,93,60,7,292,450,4954,7928,2870,390,16136,5061,964,5727,27887,3746,6318,2362,403,12826,2486,546,2416,18278,559,545,282,42,1426,986,106,451,2967,141,153,64,8,367,277,50,168,853,698,689,344,53,1788,1261,159,624,3829,193,108,75,14,398,607,96,390,1488,22,8,11,3,43,83,13,49,181,10,3
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
