SA4_CODE_2021,C16_25_34_Need_asst_ns_P,C16_25_34_Tot_M,C16_25_34_Tot_F,C16_25_34_Tot_P,C16_35_44_Need_asst_M,C16_35_44_Need_asst_F,C16_35_44_Need_asst_P,C16_35_44_No_need_asst_M,C16_35_44_No_need_asst_F,C16_35_44_No_need_asst_P,C16_35_44_Need_asst_ns_M,C16_35_44_Need_asst_ns_F,C16_35_44_Need_asst_ns_P,C16_35_44_Tot_M,C16_35_44_Tot_F,C16_35_44_Tot_P,C16_45_54_Need_asst_M,C16_45_54_Need_asst_F,C16_45_54_Need_asst_P,C16_45_54_No_need_asst_M,C16_45_54_No_need_asst_F,C16_45_54_No_need_asst_P,C16_45_54_Need_asst_ns_M,C16_45_54_Need_asst_ns_F,C16_45_54_Need_asst_ns_P,C16_45_54_Tot_M,C16_45_54_Tot_F,C16_45_54_Tot_P,C16_55_64_Need_asst_M,C16_55_64_Need_asst_F,C16_55_64_Need_asst_P,C16_55_64_No_need_asst_M,C16_55_64_No_need_asst_F,C16_55_64_No_need_asst_P,C16_55_64_Need_asst_ns_M,C16_55_64_Need_asst_ns_F,C16_55_64_Need_asst_ns_P,C16_55_64_Tot_M,C16_55_64_Tot_F,C16_55_64_Tot_P,C16_65_74_Need_asst_M,C16_65_74_Need_asst_F,C16_65_74_Need_asst_P,C16_65_74_No_need_asst_M,C16_65_74_No_need_asst_F,C16_65_74_No_need_asst_P,C16_65_74_Need_asst_ns_M,C16_65_74_Need_asst_ns_F,C16_65_74_Need_asst_ns_P,C16_65_74_Tot_M,C16_65_74_Tot_F,C16_65_74_Tot_P,C16_75_84_Need_asst_M,C16_75_84_Need_asst_F,C16_75_84_Need_asst_P,C16_75_84_No_need_asst_M,C16_75_84_No_need_asst_F,C16_75_84_No_need_asst_P,C16_75_84_Need_asst_ns_M,C16_75_84_Need_asst_ns_F,C16_75_84_Need_asst_ns_P,C16_75_84_Tot_M,C16_75_84_Tot_F,C16_75_84_Tot_P,C16_85over_Need_asst_M,C16_85over_Need_asst_F,C16_85over_Need_asst_P,C16_85over_No_need_assist_M,C16_85over_No_need_assist_F,C16_85over_No_need_asst_P,C16_85over_Need_assist_ns_M,C16_85over_Need_assist_ns_F,C16_85over_Need_assist_ns_P,C16_85over_Tot_M,C16_85over_Tot_F,C16_85over_Tot_P,C16_Tot_Need_assist_M,C16_Tot_Need_assist_F,C16_Tot_Need_asst_P,C16_Tot_No_need_assist_M,C16_Tot_No_need_assist_F,C16_Tot_No_need_asst_P,C16_Tot_Need_assist_ns_M,C16_Tot_Need_assist_ns_F,C16_Tot_Need_assist_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Need_assist_M,C21_0_4_Need_assist_F,C21_0_4_Need_assist_P,C21_0_4_No_need_assist_M,C21_0_4_No_need_assist_F,C21_0_4_No_need_assist_P,C21_0_4_Need_assist_ns_M,C21_0_4_Need_assist_ns_F,C21_0_4_Need_assist_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_14_Need_assist_M,C21_5_14_Need_assist_F,C21_5_14_Need_assist_P,C21_5_14_No_need_assist_M,C21_5_14_No_need_assist_F,C21_5_14_No_need_assist_P,C21_5_14_Need_assist_ns_M,C21_5_14_Need_assist_ns_F,C21_5_14_Need_assist_ns_P,C21_5_14_Tot_M,C21_5_14_Tot_F,C21_5_14_Tot_P,C21_15_19_Need_assist_M,C21_15_19_Need_assist_F,C21_15_19_Need_assist_P,C21_15_19_No_need_assist_M,C21_15_19_No_need_assist_F,C21_15_19_No_need_assist_P,C21_15_19_Need_assist_ns_M,C21_15_19_Need_assist_ns_F,C21_15_19_Need_assist_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Need_assist_M,C21_20_24_Need_assist_F,C21_20_24_Need_assist_P,C21_20_24_No_need_assist_M,C21_20_24_No_need_assist_F,C21_20_24_No_need_assist_P,C21_20_24_Need_assist_ns_M,C21_20_24_Need_assist_ns_F,C21_20_24_Need_assist_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_34_Need_assist_M,C21_25_34_Need_assist_F,C21_25_34_Need_assist_P,C21_25_34_No_need_assist_M,C21_25_34_No_need_assist_F,C21_25_34_No_need_assist_P,C21_25_34_Need_assist_ns_M,C21_25_34_Need_assist_ns_F,C21_25_34_Need_assist_ns_P,C21_25_34_Tot_M,C21_25_34_Tot_F,C21_25_34_Tot_P,C21_35_44_Need_assist_M,C21_35_44_Need_assist_F,C21_35_44_Need_assist_P,C21_35_44_No_need_assist_M,C21_35_44_No_need_assist_F,C21_35_44_No_need_assist_P,C21_35_44_Need_assist_ns_M,C21_35_44_Need_assist_ns_F,C21_35_44_Need_assist_ns_P,C21_35_44_Tot_M,C21_35_44_Tot_F,C21_35_44_Tot_P,C21_45_54_Need_assist_M,C21_45_54_Need_assist_F,C21_45_54_Need_assist_P,C21_45_54_No_need_assist_M,C21_45_54_No_need_assist_F,C21_45_54_No_need_assist_P,C21_45_54_Need_assist_ns_M,C21_45_54_Need_assist_ns_F,C21_45_54_Need_assist_ns_P,C21_45_54_Tot_M,C21_45_54_Tot_F,C21_45_54_Tot_P,C21_55_64_Need_assist_M,C21_55_64_Need_assist_F,C21_55_64_Need_assist_P,C21_55_64_No_need_assist_M,C21_55_64_No_need_assist_F,C21_55_64_No_need_assist_P,C21_55_64_Need_assist_ns_M,C21_55_64_Need_assist_ns_F,C21_55_64_Need_assist_ns_P,C21_55_64_Tot_M,C21_55_64_Tot_F,C21_55_64_Tot_P,C21_65_74_Need_assist_M,C21_65_74_Need_assist_F,C21_65_74_Need_assist_P,C21_65_74_No_need_assist_M,C21_65_74_No_need_assist_F,C21_65_74_No_need_assist_P,C21_65_74_Need_assist_ns_M,C21_65_74_Need_assist_ns_F,C21_65_74_Need_assist_ns_P,C21_65_74_Tot_M,C21_65_74_Tot_F,C21_65_74_Tot_P,C21_75_84_Need_assist_M,C21_75_84_Need_assist_F,C21_75_84_Need_assist_P,C21_75_84_No_need_assist_M
401,2268,18423,18591,37011,246,321,573,16388,17524,33909,1116,899,2018,17750,18744,36496,468,513,982,17799,18686,36489,1222,1037,2257,19489,20236,39727,580,638,1224,15645,17123,32765,1000,1049,2047,17225,18810,36033,783,979,1764,11744,13350,25096,776,882,1660,13303,15211,28521,1149,1983,3132,5633,6470,12107,454,586,1041,7236,9039,16275,1319,3046,4365,1567,2188,3751,223,402,627,3109,5636,8743,5802,8250,14055,126885,132873,259759,7986,7742,15730,140673,148865,289548,115,68,182,7008,6669,13679,229,212,441,7352,6949,14304,877,402,1276,16584,16273,32852,542,522,1061,18003,17197,35190,297,178,469,8645,8593,17238,296,294,585,9238,9065,18294,227,165,389,10415,10259,20669,481,414,894,11123,10838,21957,300,294,592,19244,19520,38762,1001,832,1831,20545,20646,41193,322,348,676,18387,19753,38140,878,625,1506,19587,20726,40315,450,471,922,18472,19503,37972,830,668,1499,19752,20642,40385,619,688,1309,17016,18424,35434,723,633,1351,18358,19745,38099,963,1119,2085,14099,16021,30121,563,591,1157,15625,17731,33358,1367,2283,3647,7206
402,3769,30949,31729,62668,855,908,1761,25431,25060,50485,1829,1512,3345,28115,27480,55589,1333,1580,2910,24423,24926,49349,1690,1527,3223,27446,28033,55482,1707,2014,3723,20000,21243,41238,1385,1310,2694,23092,24567,47654,1880,1996,3873,13937,15610,29550,995,1120,2117,16812,18726,35541,1648,2657,4306,6657,7348,14003,594,794,1390,8899,10799,19695,1216,2580,3794,1524,1904,3425,278,430,705,3018,4914,7921,12943,14142,27090,184043,187312,371357,12614,12025,24637,209600,213479,423084,431,243,676,13798,12954,26753,667,656,1323,14896,13853,28752,2922,1374,4301,26238,26331,52572,1446,1284,2729,30606,28989,59599,838,513,1358,12347,11742,24091,621,573,1198,13806,12828,26643,602,345,941,14610,13437,28053,761,606,1368,15973,14388,30363,918,782,1700,31108,31353,62468,1798,1535,3332,33824,33670,67498,991,1028,2012,28882,28867,57750,1711,1320,3032,31584,31215,62792,1263,1604,2871,24958,25086,50043,1376,1103,2470,27597,27793,55385,1829,2195,4024,22324,23573,45896,1051,899,1950,25204,26667,51867,2311,2629,4938,16027,17889,33922,737,768,1503,19075,21286,40363,2175,3223,5400,7876
403,2336,21862,22933,44799,578,598,1174,20579,21599,42179,1185,1154,2340,22342,23351,45692,855,990,1843,20867,22383,43246,1189,1179,2377,22911,24552,47466,1186,1419,2608,19448,21609,41052,1254,1211,2463,21888,24239,46125,1461,1355,2816,14721,16548,31268,994,1171,2166,17176,19074,36246,1355,2065,3421,6553,7685,14238,639,750,1390,8547,10500,19051,1348,3238,4585,1945,2733,4678,304,563,873,3597,6534,10139,9418,11254,20670,153710,162371,316078,9113,9476,18589,172241,183101,355338,216,129,347,9278,8923,18203,320,304,621,9814,9356,19171,1666,828,2492,20052,19648,39702,784,711,1493,22502,21187,43693,597,390,987,9947,9676,19618,365,323,692,10909,10389,21302,390,274,666,10354,10382,20740,439,384,827,11183,11040,22229,536,549,1086,21576,22380,43959,961,805,1772,23073,23734,46809,593,635,1227,22096,23895,45988,906,827,1734,23595,25357,48951,804,964,1766,21827,22867,44694,914,759,1676,23545,24590,48143,1179,1449,2627,20439,22713,43151,893,799,1691,22511,24961,47464,1740,1851,3591,17696,20255,37952,708,721,1433,20144,22827,42973,1840,2567,4410,8636
404,1816,16837,16981,33822,391,334,726,13542,13599,27137,841,767,1605,14774,14700,29470,628,682,1312,14055,14274,28324,911,859,1769,15594,15815,31407,889,999,1892,11853,12635,24488,724,802,1525,13466,14436,27908,965,1039,2004,8155,9136,17289,599,613,1214,9719,10788,20508,1236,2114,3354,4163,5105,9268,373,481,854,5772,7700,13475,1155,2539,3695,1289,1726,3015,207,455,660,2651,4720,7368,6610,8494,15105,98537,101490,200026,6222,6382,12608,111369,116366,227744,124,88,215,6035,5788,11823,220,262,482,6379,6138,12519,845,386,1223,11102,11031,22130,507,448,949,12454,11865,24309,260,153,419,5729,5494,11218,229,181,413,6218,5828,12052,200,142,348,7782,7747,15523,342,311,649,8324,8200,16525,329,299,633,18003,18009,36013,841,730,1567,19173,19038,38206,375,378,752,15096,15441,30541,696,608,1302,16167,16427,32592,602,654,1257,14105,14628,28732,639,530,1173,15346,15812,31160,959,1022,1981,13584,14263,27847,644,508,1150,15187,15793,30976,1147,1433,2582,9730,10958,20689,360,422,778,11237,12813,24047,1360,2264,3623,4679
405,726,5118,5191,10321,196,194,386,5082,5439,10525,395,385,785,5673,6018,11696,344,394,737,6723,6837,13565,564,513,1083,7631,7744,15378,629,512,1139,7538,7477,15010,628,628,1257,8795,8617,17410,756,556,1309,6225,6128,12354,540,532,1067,7521,7216,14726,525,678,1206,2855,2945,5801,246,274,516,3626,3897,7529,407,973,1387,665,823,1483,133,204,333,1205,2000,3204,3711,3770,7485,47831,47665,95494,3813,3723,7534,55355,55158,110514,65,31,95,2580,2491,5071,157,160,323,2802,2682,5491,474,251,726,6073,5836,11913,453,425,878,7000,6512,13519,186,99,287,2743,2551,5288,210,185,389,3139,2835,5968,100,74,171,2374,2146,4521,164,132,295,2638,2352,4985,201,129,336,4788,4884,9674,347,335,677,5336,5348,10690,179,178,352,5073,5530,10600,409,361,773,5661,6069,11731,344,317,666,6158,6568,12724,484,424,904,6986,7309,14294,595,570,1166,7914,7931,15844,554,495,1052,9063,8996,18061,817,782,1592,7386,7160,14545,463,439,901,8666,8381,17043,725,895,1615,3604
406,1358,5524,5212,10726,110,125,235,4367,4260,8631,670,411,1084,5147,4796,9944,222,242,466,5235,4889,10128,704,504,1208,6161,5635,11794,312,295,608,4937,4539,9480,601,500,1097,5850,5334,11183,411,393,799,3362,3229,6589,392,331,722,4165,3953,8116,312,450,764,1510,1471,2987,188,194,380,2010,2115,4130,223,462,688,328,415,742,73,148,217,624,1025,1649,2093,2285,4376,35678,34345,70029,4706,3714,8415,42477,40344,82818,39,37,67,2180,2171,4358,205,189,392,2424,2397,4820,286,149,431,4650,4562,9202,458,457,915,5394,5168,10552,98,71,169,2075,1875,3946,198,177,373,2371,2123,4487,64,50,110,1871,1815,3686,290,166,453,2225,2031,4259,122,113,236,4636,4766,9406,795,443,1235,5553,5322,10875,109,117,223,4198,4228,8423,665,374,1039,4972,4719,9685,181,188,365,4639,4704,9345,639,409,1053,5459,5301,10764,307,343,657,5184,4784,9968,498,378,875,5989,5505,11494,431,398,822,3858,3654,7512,341,274,615,4630,4326,8955,444,530,974,1796
407,1576,9213,9001,18201,341,331,676,8684,9029,17715,1064,690,1757,10089,10050,20144,519,576,1092,10989,11108,22102,1087,876,1967,12595,12560,25159,837,778,1620,11754,11882,23637,1024,929,1950,13615,13589,27201,1038,928,1967,10443,10626,21065,962,923,1887,12443,12477,24918,883,1185,2065,4930,5036,9964,492,521,1013,6305,6742,13039,740,1487,2221,1172,1441,2615,223,381,601,2135,3309,5438,5649,6042,11687,79324,79725,159048,7565,6434,13998,92538,92201,184737,108,45,150,4224,4109,8329,273,288,558,4605,4442,9039,832,404,1238,9595,9562,19155,723,665,1393,11150,10631,21783,259,166,420,4749,4381,9140,354,309,663,5362,4856,10226,199,138,341,4006,3682,7685,385,246,631,4590,4066,8662,284,248,533,8504,8718,17223,1045,581,1625,9833,9547,19380,300,284,589,8606,9121,17726,1127,621,1745,10033,10026,20059,516,577,1095,10473,10707,21187,1045,709,1755,12034,11993,24037,872,938,1810,12267,12809,25073,1012,778,1789,14151,14525,28670,1272,1141,2408,12507,12647,25154,886,790,1677,14665,14578,29238,1251,1589,2846,6354
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,8,7,0,7,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,97,353,211,556,20,4,22,189,100,285,72,39,109,281,143,423,15,19,30,181,128,304,92,50,140,288,197,477,25,10,35,159,133,289,54,25,80,238,168,403,16,12,30,121,77,194,27,12,44,164,101,270,5,4,11,33,11,41,3,3,5,41,18,59,7,6,13,4,4,3,0,0,5,11,10,25,102,73,173,1263,851,2116,368,206,577,1733,1130,2862,8,0,5,59,49,103,16,8,24,83,57,140,10,4,22,85,106,188,28,28,54,123,138,262,0,7,11,58,88,143,14,19,30,72,114,186,3,6,11,85,72,161,19,16,34,107,94,206,13,15,32,225,213,440,87,71,156,325,299,627,9,10,20,195,154,348,84,78,161,288,242,534,19,12,35,188,123,308,94,46,137,301,181,478,20,15,29,193,161,353,103,28,131,316,204,513,13,11,26,158,113,266,45,19,66,216,143,359,4,3,11,29
501,1743,9547,10302,19854,206,208,413,9938,10738,20669,1085,871,1955,11229,11817,23043,333,367,697,10735,11284,22022,1115,951,2063,12183,12602,24778,512,515,1031,9959,10647,20598,1039,970,2005,11510,12132,23636,669,578,1246,7686,7660,15350,827,783,1609,9182,9021,18205,571,863,1433,3151,3303,6453,430,527,965,4152,4693,8847,463,941,1405,669,831,1510,143,262,403,1275,2034,3317,3705,3998,7704,75893,78148,154035,7580,7010,14583,87178,89156,176328,63,55,117,4893,4658,9550,297,268,564,5253,4981,10232,682,329,1013,11764,11204,22968,742,735,1476,13188,12268,25456,260,137,398,5024,4928,9952,307,304,615,5591,5369,10963,147,108,257,3716,3428,7144,305,242,549,4168,3778,7948,228,221,452,8537,9351,17893,983,636,1622,9748,10208,19963,225,258,478,10208,11534,21751,1111,699,1807,11544,12491,24032,338,389,726,10972,11906,22878,1207,739,1940,12517,13034,25548,580,602,1175,11036,12073,23109,892,695,1591,12508,13370,25879,810,808,1618,9979,10165,20136,719,617,1338,11508,11590,23091,864,1039,1905,4416
502,786,4969,5380,10361,124,128,254,4754,5268,10016,452,385,839,5330,5781,11111,191,246,442,5414,5804,11220,504,423,927,6109,6473,12582,326,388,711,5019,5711,10732,471,483,950,5816,6582,12390,514,435,947,4972,5354,10328,461,441,903,5947,6230,12174,552,648,1196,2627,2774,5401,280,319,597,3459,3741,7192,349,640,990,565,630,1192,111,116,233,1025,1386,2418,2650,2829,5476,40921,43441,84359,3577,3326,6900,47148,49596,96738,57,33,91,2637,2650,5283,175,121,295,2869,2804,5672,407,198,610,5841,5973,11811,353,389,737,6601,6560,13159,156,86,242,2700,2719,5418,152,165,323,3008,2970,5986,100,63,166,2329,2461,4783,188,161,352,2617,2685,5306,154,137,286,4587,5252,9840,435,321,761,5176,5710,10886,164,173,340,4961,5743,10706,528,336,860,5653,6252,11904,228,289,513,5541,6198,11741,547,352,896,6316,6839,13147,385,433,813,5936,6791,12726,444,344,791,6765,7568,14327,611,651,1260,6174,6770,12948,388,315,694,7173,7736,14903,732,788,1521,3506
503,3657,16210,15944,32155,106,109,214,10299,10492,20786,1075,932,2004,11480,11533,23009,182,152,333,9714,10153,19864,923,755,1674,10819,11060,21879,244,279,527,8218,8407,16623,787,725,1513,9249,9411,18668,387,376,767,5664,5807,11468,592,563,1150,6643,6746,13383,469,789,1257,2528,2962,5494,317,395,712,3314,4146,7459,507,1273,1778,701,1066,1770,140,272,413,1348,2611,3958,2350,3343,5692,73936,75411,149348,7321,6939,14265,83607,85693,169299,34,28,62,4053,3771,7820,146,133,278,4233,3932,8158,276,141,416,9272,8980,18250,282,285,572,9830,9406,19246,77,77,157,4787,4882,9671,163,189,350,5027,5148,10172,71,96,173,5878,6437,12313,387,394,781,6336,6927,13265,157,159,315,14149,14592,28746,1250,923,2172,15556,15674,31226,145,129,270,12237,12268,24500,852,582,1435,13234,12979,26204,188,190,377,10722,11153,21875,659,436,1101,11569,11779,23348,243,312,557,9293,9586,18880,585,420,1006,10121,10318,20445,407,436,839,7145,7548,14691,462,422,886,8014,8406,16415,598,856,1449,3566
504,3468,19670,19703,39378,275,306,576,15839,16590,32429,1770,1229,2996,17884,18125,36001,417,465,882,15477,15748,31226,1501,1165,2664,17395,17378,34775,584,665,1250,12110,12637,24749,1116,888,1999,13810,14190,28000,698,754,1450,7884,8251,16136,729,764,1495,9311,9769,19083,742,1108,1851,3321,3500,6818,423,498,917,4486,5106,9583,536,1140,1678,665,794,1462,206,426,625,1407,2360,3766,4662,5242,9905,110472,111431,221904,10468,8744,19213,125602,125417,251020,179,94,267,8834,8268,17099,402,380,784,9415,8742,18158,973,436,1406,16513,15792,32303,888,759,1649,18374,16987,35364,354,216,570,7533,7034,14567,368,319,687,8255,7569,15820,214,159,373,7756,7442,15196,609,389,1000,8579,7990,16571,381,324,707,18095,19461,37555,1873,1105,2977,20349,20890,41245,350,388,737,18357,18907,37273,1785,946,2732,20492,20241,40744,503,539,1044,15990,17023,33016,1427,804,2231,17920,18366,36289,705,837,1542,14113,14838,28952,1034,603,1644,15852,16278,32139,863,1025,1888,9951,10674,20625,535,477,1012,11349,12176,23530,1024,1495,2525,4397
505,5581,40889,41432,82319,492,572,1062,34751,36319,71067,2458,2140,4592,37701,39031,76725,755,835,1592,32926,34442,67372,2214,1916,4136,35895,37193,73100,982,1204,2185,25183,27147,52327,1689,1684,3377,27854,30035,57893,1283,1431,2706,16793,18487,35276,1202,1330,2532,19278,21248,40521,1436,2376,3811,7435,8668,16105,697,992,1683,9568,12036,21602,1163,2659,3819,1723,2194,3918,363,733,1090,3249,5586,8827,8745,10659,19405,238638,245090,483726,16220,15758,31981,263603,271507,535114,282,158,440,17352,16648,33997,710,654,1364,18344,17460,35798,1786,864,2654,35705,34484,70193,1491,1423,2920,38982,36771,75758,612,407,1019,16547,15656,32205,619,600,1216,17778,16663,34435,453,276,732,16255,15969,32227,872,679,1550,17580,16924,34506,630,542,1172,35389,38542,73924,2404,1901,4307,38423,40985,79404,555,667,1223,38138,40697,78831,2395,1668,4065,41088,43032,84122,790,986,1776,35245,37065,72312,2081,1328,3415,38116,39379,77506,1106,1458,2563,29151,31394,60545,1541,1127,2671,31798,33979,65784,1670,2012,3678,21612,24163,45783,937,998,1931,24219,27173,51388,2013,3151,5168,9951
506,6487,42252,40968,83212,531,543,1078,31538,31285,62822,2900,2062,4965,34969,33890,68858,683,831,1511,27748,27799,55542,2304,1824,4129,30735,30454,61191,996,1232,2228,22118,23779,45900,1854,1703,3557,24968,26714,51683,1357,1398,2754,15220,15811,31033,1261,1285,2545,17838,18494,36330,1389,2173,3556,6247,7216,13467,764,957,1723,8400,10346,18742,1073,2487,3564,1449,1907,3351,390,777,1161,2912,5171,8080,8547,10125,18673,218257,217425,435685,18161,15835,33998,244965,243385,488357,232,160,388,16325,15632,31963,806,765,1575,17363,16557,33926,1709,799,2514,32363,31182,63543,1615,1573,3186,35687,33554,69242,576,332,909,14309,13851,28165,715,666,1381,15600,14849,30444,426,300,731,16973,16242,33211,1192,866,2059,18591,17408,35999,602,590,1193,36501,37723,74225,3143,2265,5412,40246,40578,80825,624,702,1325,36845,37468,74307,2839,1909,4748,40308,40079,80385,785,930,1717,30029,30093,60123,2262,1424,3690,33076,32447,65525,1143,1440,2587,24837,26020,50856,1654,1179,2835,27634,28639,56276,1696,1917,3607,18671,20351,39025,937,888,1822,21304,23156,44457,1940,2689,4629,8253
507,5036,29191,30056,59253,379,503,886,25360,26526,51883,2382,1752,4133,28121,28781,56907,614,715,1329,24346,25653,50000,2142,1696,3836,27102,28064,55164,820,1026,1844,19084,20427,39520,1541,1426,2968,21445,22879,44329,1163,1181,2337,12682,13574,26254,1123,1154,2278,14968,15909,30876,1320,1829,3153,5799,6706,12506,779,989,1764,7898,9524,17424,896,2167,3064,1428,1810,3239,421,877,1300,2745,4854,7598,7420,8769,16185,175736,182049,357786,15451,13910,29360,198607,204728,403336,234,127,357,13655,12728,26382,589,559,1145,14478,13414,27888,1609,812,2420,27143,26777,53925,1296,1230,2531,30048,28819,58876,525,394,918,12334,12081,24413,606,517,1121,13465,12992,26454,328,269,596,12276,12502,24779,969,629,1605,13573,13400,26979,528,529,1058,26434,28757,55188,2554,1522,4074,29516,30808,60317,449,564,1013,28177,30593,58767,2445,1333,3781,31071,32490,63557,693,838,1535,26196,27926,54124,1927,1161,3090,28816,29925,58745,1004,1148,2155,22432,24244,46677,1411,959,2377,24847,26351,51211,1411,1540,2947,16347,18306,34649,844,821,1665,18602,20667,39261,1722,2371,4091,7742
509,1721,7081,7034,14110,154,176,334,6670,6984,13658,1017,689,1704,7841,7849,15690,241,322,561,8457,8472,16930,1085,860,1943,9783,9654,19431,478,485,959,8953,8704,17654,1078,918,1996,10509,10107,20615,647,527,1174,6953,6414,13366,815,744,1556,8415,7685,16104,538,663,1201,3048,3003,6051,421,415,831,4007,4081,8082,379,715,1090,655,728,1384,152,215,372,1186,1658,2841,3167,3282,6449,58404,57034,115441,7487,5973,13466,69058,66289,135356,45,45,83,3279,3108,6390,310,293,599,3634,3446,7079,416,220,644,7388,7260,14645,795,741,1539,8599,8221,16828,142,75,222,3387,3100,6488,333,275,611,3862,3450,7320,102,71,175,2639,2299,4941,355,237,597,3096,2607,5712,170,125,302,5865,6049,11921,1005,600,1604,7040,6774,13823,159,186,345,6403,6848,13239,1027,672,1697,7589,7706,15284,262,342,601,7706,7974,15675,1066,795,1860,9034,9111,18137,443,527,973,9181,9192,18370,1076,791,1870,10700,10510,21212,650,667,1318,8291,7658,15958,807,683,1488,9748,9008,18757,758,862,1616,3718
510,3561,11630,8716,20348,51,59,111,8152,5705,13856,1919,877,2796,10122,6641,16764,97,115,207,6656,4515,11171,1509,808,2317,8262,5438,13704,135,137,275,4311,2937,7255,890,497,1384,5336,3571,8916,136,141,277,1252,823,2072,245,161,409,1633,1125,2759,83,101,177,231,179,412,60,51,114,374,331,704,32,54,85,37,31,63,13,22,37,82,107,186,821,795,1613,43494,34345,77834,8997,5474,14469,53312,40614,93920,31,18,51,3217,3001,6222,488,390,873,3736,3409,7142,206,112,313,5835,5647,11486,1040,1045,2088,7081,6804,13889,60,24,81,2058,1966,4030,404,313,716,2522,2303,4829,40,19,56,2109,2085,4187,585,439,1023,2734,2543,5265,62,50,116,6733,6920,13653,1922,1391,3315,8717,8361,17080,52,78,133,6824,6112,12932,1801,1095,2899,8677,7285,15963,97,112,215,5375,4419,9794,1463,844,2314,6935,5375,12321,125,152,281,3990,3079,7070,1074,605,1681,5189,3836,9031,145,170,314,1435,1125,2554,347,227,566,1927,1522,3443,116,124,237,303
511,2223,8603,8144,16753,124,127,250,6862,6794,13653,1145,851,1998,8131,7772,15904,203,244,448,7737,7082,14815,1171,855,2024,9111,8181,17291,325,295,620,6574,5966,12542,974,748,1725,7873,7009,14884,421,319,743,4151,3649,7795,575,472,1048,5147,4440,9583,349,451,800,1568,1517,3091,240,227,470,2157,2195,4365,216,412,630,322,300,626,69,89,152,607,801,1408,2205,2175,4378,51647,48959,100606,7546,6031,13578,61398,57165,118568,55,22,73,3305,3191,6494,414,418,832,3774,3631,7403,350,180,530,6739,6530,13268,1019,922,1941,8108,7632,15741,109,63,175,2919,2692,5612,410,364,768,3438,3119,6553,79,48,128,2822,2701,5526,610,407,1011,3511,3156,6674,114,105,219,6655,6659,13311,1503,918,2420,8272,7682,15956,125,126,250,6492,6518,13011,1358,961,2317,7975,7605,15584,173,221,392,7025,6734,13760,1301,803,2107,8499,7758,16262,289,335,623,7055,6394,13448,1108,754,1860,8452,7483,15931,451,436,884,4899,4410,9306,645,523,1171,5995,5369,11367,455,528,983,2015
597,26,119,8,124,0,0,0,105,3,109,17,0,17,122,3,123,0,0,0,81,4,85,14,6,14,95,10,104,0,0,0,37,4,45,7,0,7,44,4,44,0,0,0,4,0,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,23,363,67,4,75,405,27,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,6,0,6,0,0,0,12,5,17,13,5,15,25,10,31,0,0,0,55,8,65,43,3,47,98,11,116,0,0,0,93,4,96,68,5,77,161,9,170,0,0,0,57,5,61,43,8,50,100,13,109,0,0,0,33,5,34,24,0,26,57,5,62,0,0,0,5,5,13,4,0,3,9,5,18,0,0,0,0
599,365,768,537,1310,12,11,15,388,198,584,208,97,305,608,306,910,15,9,23,373,221,591,246,100,343,634,330,961,15,25,45,398,336,736,123,82,201,536,443,978,20,17,33,289,189,479,67,49,115,376,255,636,9,12,17,40,26,62,9,4,19,58,42,95,3,7,8,8,0,10,0,0,4,11,7,22,88,80,166,2476,1735,4209,974,599,1574,3538,2414,5950,6,0,5,113,108,218,38,39,77,157,147,300,10,6,16,181,182,367,51,46,95,242,234,473,9,5,7,69,85,156,40,58,100,118,148,261,12,4,21,160,147,304,124,104,235,296,255,562,11,9,26,424,426,852,385,256,641,820,691,1512,16,17,38,385,319,704,528,274,805,929,610,1543,16,20,33,311,225,538,518,224,739,845,469,1313,23,18,40,310,303,612,334,152,484,667,473,1144,26,13,35,273,216,491,144,86,229,443,315,758,3,4,10,61
