SA4_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
101,1402,8007,6133,79469,1008,96016,28,362,183,8712,155,9440,1463,96,155,530,14,2252,817,184,79,417,18,1516,1663,577,399,1198,31,3873,13171,7383,5657,69262,1088,96561,1406,66,274,51,12,1810,491,122,97,553,10,1271,2574,815,657,6373,98,10516,682,192,87,566,19,1542,414,126,60,192,7,795,1962,75,61,70,0,2174,2698,1752,1228,25081,280,31038,2091,760,315,3005,58,6225,191,13,29,7,5,243,384,138,57,256,8,845,991,162,76,215,17,1455,517,186,91,578,15,1385,449,193,140,146,7,937,615,338,256,213,4,1439,828,190,129,465,20,1626,360,78,54,178,9,677,179,66,16,24,0,279,3409,1930,1496,19202,163,26209,533,93,63,120,6,823,406,88,68,59,0,626,432,45,57,211,4,754,141,28,25,29,0,223,283,18,25,20,0,347,566,201,97,726,9,1595,9971,1801,1402,3066,149,16384,472,89,92,1571,14331,16553,41415,14965,11105,154468,16852,238810
102,2182,15545,11233,107973,1350,138273,79,803,490,14754,177,16303,3696,241,354,805,36,5135,675,208,110,457,12,1458,2197,746,479,1672,27,5124,25894,13768,9850,96632,1607,147753,2706,168,616,161,22,3679,973,202,196,918,7,2296,2858,936,650,6869,81,11403,1104,334,163,1034,17,2657,559,149,72,261,10,1047,2865,191,126,200,7,3383,5970,3002,1915,30559,316,41757,3107,1291,527,4747,54,9730,994,14,65,25,3,1098,492,191,82,406,9,1181,113,24,15,53,0,204,1512,503,270,1628,30,3938,1238,542,230,371,19,2405,1342,866,583,555,9,3359,1139,275,196,605,16,2228,894,103,139,281,15,1427,264,200,32,27,0,526,6235,3205,2212,24504,205,36360,376,70,31,125,4,609,1259,228,214,106,9,1814,1174,104,120,375,6,1776,221,65,34,52,0,375,470,37,87,17,4,609,1034,332,225,1101,12,2708,14356,3419,2569,4931,202,25482,808,188,134,2030,16288,19442,70322,27328,19385,209940,19625,346596
103,734,5539,4065,80153,921,91413,34,389,217,14857,241,15739,1084,61,92,408,21,1661,277,81,20,209,8,599,972,391,245,990,16,2624,6883,5109,3895,70563,1064,87517,1124,41,252,86,9,1510,239,64,56,502,0,866,1210,486,356,5677,61,7787,270,101,50,335,10,768,200,64,36,124,3,425,1241,52,35,70,4,1400,1508,1235,732,23151,229,26850,843,427,194,2183,19,3665,161,10,22,8,0,202,168,86,25,214,3,496,50,11,3,14,0,81,287,112,109,534,7,1051,312,152,84,151,3,695,402,286,179,228,4,1103,417,129,65,382,7,1003,190,42,46,123,8,407,74,34,10,11,0,132,1897,1311,1035,17156,168,21574,126,16,5,44,4,197,344,80,40,29,0,497,220,32,18,144,4,410,117,25,16,14,0,171,214,0,17,3,4,238,289,145,81,640,4,1152,5749,1005,761,2428,89,10038,286,85,60,1808,14373,16608,22657,10107,7312,156208,16669,212962
104,711,4681,3378,48127,693,57595,25,282,144,8190,129,8759,749,111,81,300,8,1236,118,39,10,100,8,281,941,304,210,649,7,2111,7789,4480,3086,45168,773,61296,664,24,189,42,15,926,336,59,47,381,9,837,1257,431,307,4324,54,6373,156,79,10,222,10,477,166,53,28,79,5,331,1193,87,114,127,18,1541,1569,976,622,14345,161,17674,675,344,109,1641,14,2774,77,5,12,3,0,108,48,25,10,84,4,169,18,6,0,7,0,26,173,91,53,265,4,589,237,122,63,93,4,520,388,219,158,152,7,922,307,103,65,209,4,688,129,48,23,86,5,289,50,24,14,9,0,96,1884,1198,807,12533,127,16558,45,5,0,27,4,82,332,52,47,49,0,485,206,25,28,116,3,384,40,15,4,12,0,72,121,5,17,13,0,157,299,99,70,398,4,867,6480,976,880,1979,113,10428,309,58,51,1106,9389,10909,22094,8685,6150,98129,11066,146127
105,360,2101,1591,41840,474,46364,20,347,142,17010,294,17813,484,18,47,289,5,848,88,18,8,66,0,183,322,128,103,350,5,911,2229,1876,1381,34899,549,40926,749,11,131,59,12,965,83,23,23,248,4,379,452,186,122,3064,37,3857,115,35,18,185,5,364,49,23,10,30,0,111,934,32,15,42,0,1028,503,431,311,10190,107,11543,319,198,52,1110,6,1683,67,0,4,0,0,79,59,26,12,104,0,197,18,7,0,11,0,34,109,80,26,295,5,507,165,44,42,63,3,316,139,100,82,79,6,409,123,38,36,150,0,350,50,10,25,43,0,125,39,6,0,6,0,46,618,497,333,8019,76,9538,59,8,0,7,4,80,129,15,22,16,0,186,70,11,8,61,5,150,94,5,14,10,0,121,81,6,12,0,0,105,82,44,26,246,0,395,3467,387,318,1203,47,5420,178,35,32,860,12834,13943,10290,3911,2829,84412,14123,115566
106,1144,8724,6695,110611,1097,128273,48,611,335,20459,218,21674,1387,103,134,530,12,2167,353,101,39,263,18,769,1357,575,376,1386,15,3711,12364,8264,5960,97870,1178,125642,1666,82,528,143,14,2423,424,91,74,608,10,1209,1791,831,542,9100,98,12367,360,173,57,567,4,1153,227,84,34,180,5,532,1493,92,36,133,10,1766,2666,1472,1036,25425,220,30819,1078,574,203,2933,34,4819,192,8,25,12,0,236,152,66,28,179,0,427,105,41,3,111,0,264,464,190,110,648,5,1427,710,267,135,253,5,1375,717,469,338,319,13,1856,846,197,141,930,17,2141,265,45,45,219,9,577,190,97,34,45,3,373,3460,2188,1545,24178,182,31554,151,36,12,63,3,269,670,128,82,72,4,961,378,88,24,270,8,768,71,24,23,32,0,152,290,16,30,6,0,343,569,234,148,1238,14,2206,7091,1627,1303,3885,115,14013,420,124,86,2486,14587,17709,34101,15905,11566,213185,17188,291946
107,2976,13367,9875,85480,995,112692,66,608,351,9633,141,10802,4158,142,228,538,32,5097,1780,332,188,812,29,3135,2168,884,527,2007,29,5603,20873,11823,9000,74259,983,116939,2098,137,545,163,19,2956,697,136,154,718,4,1705,3497,1144,923,6543,103,12215,2213,533,286,1685,29,4739,671,177,64,359,7,1278,3071,122,95,111,8,3415,4332,2407,1672,23788,206,32405,6992,2023,961,6947,142,17066,455,24,48,31,0,554,1318,368,240,497,18,2438,6499,811,433,1835,66,9638,1593,544,279,1729,28,4171,941,315,209,253,10,1724,878,542,395,333,14,2160,1383,315,210,834,17,2749,431,71,70,242,6,818,210,106,25,30,5,378,5594,3063,2202,19899,180,30937,2183,260,145,375,16,2981,636,223,145,65,0,1067,2017,308,201,752,29,3306,238,38,25,44,0,346,1261,47,86,77,9,1475,1228,403,299,1201,13,3142,19914,3547,2749,5102,234,31549,1113,177,132,1341,12540,15304,85963,25766,18773,168114,15222,313842
108,1008,7248,5083,81270,1534,96146,34,422,238,14724,351,15766,936,90,96,454,21,1601,251,73,27,150,11,510,1401,472,278,724,22,2898,12460,6980,4823,74798,1558,100621,1069,51,259,67,29,1467,421,106,82,582,6,1193,1810,576,382,5878,101,8743,283,124,35,360,12,809,226,81,24,116,6,449,875,70,38,77,3,1058,2397,1460,874,21783,290,26800,1025,490,158,2312,45,4025,124,6,22,6,0,154,118,67,17,209,0,410,38,13,0,24,0,69,500,169,77,494,11,1251,298,155,88,143,9,688,502,316,189,254,14,1277,521,120,69,285,10,1009,201,39,35,129,4,408,52,30,21,13,0,114,2994,1747,1191,18288,256,24477,97,19,9,31,4,151,399,86,49,38,3,580,314,41,36,200,3,595,84,10,12,11,4,123,205,8,21,3,0,238,461,144,95,575,12,1289,5205,1348,922,2714,112,10302,290,76,84,1753,13283,15488,29106,13089,8877,161116,16841,229035
109,548,3091,2196,43200,538,49572,11,147,71,4412,79,4720,563,26,36,202,3,837,154,49,24,115,5,348,744,263,172,660,16,1852,4076,2811,2069,39953,644,49554,782,29,130,38,10,984,106,35,16,259,6,422,892,389,263,5835,62,7448,205,67,22,231,4,519,127,38,12,85,6,271,1055,44,24,23,3,1149,808,663,439,13371,122,15405,800,341,126,2237,29,3528,65,6,11,4,0,88,46,26,17,113,0,208,19,6,0,15,0,37,95,49,20,153,5,328,218,50,30,70,5,363,219,137,111,112,6,577,236,73,37,224,0,568,84,18,15,41,0,158,30,16,12,3,9,68,1091,741,523,11182,117,13654,97,12,4,48,0,165,153,29,20,21,0,221,120,23,15,116,3,278,90,8,11,10,0,117,122,3,16,4,0,148,131,75,23,289,8,525,4250,576,431,1350,88,6683,204,40,28,1160,8397,9831,14989,5740,4028,88999,9800,123552
110,515,3744,3086,69344,881,77557,34,426,184,19213,355,20214,1179,53,80,496,14,1813,72,32,13,60,4,179,644,256,157,545,9,1606,5018,3600,2711,59201,1025,71554,1104,34,158,32,17,1345,192,48,48,326,7,614,919,387,250,6090,74,7717,104,40,25,209,0,389,88,27,14,77,0,208,937,22,15,53,0,1028,1064,786,550,17705,189,20295,380,213,79,1310,15,2002,128,3,5,4,0,141,84,30,15,157,0,294,17,6,0,7,0,31,132,58,26,262,3,482,254,91,62,107,8,528,282,179,141,162,5,775,182,55,27,202,3,463,104,20,36,80,0,238,65,25,9,3,0,108,1377,951,716,15513,140,18699,76,14,0,13,0,99,266,34,56,24,0,388,158,18,17,133,5,332,95,9,11,3,0,121,445,3,20,0,4,478,194,91,64,463,0,815,5577,762,656,2047,93,9141,270,39,28,1512,16361,18220,17907,6947,5305,136753,18647,185560
