LGA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
LGA10050,30,146,123,67,193,223,72,115,10,970,33,122,95,49,191,191,63,108,158,1015,1097,3863,3238,2289,5513,5218,1670,3076,376,26344
LGA10180,21,63,60,26,94,84,21,34,7,411,17,57,33,14,55,53,17,46,84,381,600,2103,1477,998,2957,2062,735,1614,220,12765
LGA10250,42,137,111,71,155,153,36,72,14,793,30,113,84,47,118,124,23,58,150,754,1097,3621,2984,2125,3929,3564,938,2176,355,20775
LGA10300,0,5,0,0,4,11,3,6,0,25,0,6,5,0,9,9,3,11,13,51,34,107,101,71,168,165,73,218,30,973
LGA10470,32,110,85,45,186,156,44,117,3,780,33,83,52,36,125,118,43,81,130,701,948,2857,2325,1582,4526,3847,1299,2780,293,20457
LGA10500,579,398,330,156,534,421,75,163,31,2697,283,462,470,215,859,770,124,268,834,4289,8535,10945,9922,5070,19047,18319,3904,7692,1702,85131
LGA10550,23,101,61,50,109,109,24,74,7,548,34,84,61,30,78,93,26,57,111,578,802,2711,2174,1346,2627,2555,697,1736,321,14975
LGA10600,7,32,21,17,35,32,7,24,5,182,14,39,22,11,26,42,0,19,36,224,263,1036,850,581,885,824,236,597,97,5365
LGA10650,4,24,11,12,21,24,17,19,5,124,8,21,15,12,17,27,3,10,32,143,158,565,390,266,552,612,215,601,95,3454
LGA10750,1089,676,480,219,1155,931,238,320,54,5174,860,888,751,451,2389,1876,306,497,1859,9882,20446,19185,16865,10258,46022,38867,7385,12168,3736,174929
LGA10800,0,15,7,5,19,17,6,23,3,102,7,10,5,11,23,9,4,9,24,108,94,307,260,202,363,389,143,707,71,2545
LGA10850,3,26,21,11,27,21,3,21,0,130,3,16,16,4,17,17,6,19,27,130,161,478,382,247,611,633,253,681,67,3503
LGA10900,245,223,108,81,194,210,53,107,10,1234,97,167,108,52,168,209,52,122,144,1112,3928,5937,4258,2620,6519,6701,1978,4005,343,36295
LGA10950,3,4,4,0,4,6,0,8,0,23,6,15,5,3,11,5,0,4,8,56,45,120,102,65,170,227,81,354,30,1199
LGA11150,0,3,0,0,5,6,3,3,4,26,0,3,0,0,13,5,5,4,18,58,37,90,57,59,181,193,67,264,40,992
LGA11200,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,11,18,48,26,30,84,86,21,117,22,446
