LGA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA10050,13063,14008,27072,2265,2549,4817,4700,5279,9979,2015,2171,4187,325,344,674,51,53,106,97,102,192,63,68,126,67,69,137,84,96,174,0,3,4,7401,8183,15581,633,682,1308,236,183,418,10530,11598,22132,1662,1669,3328,25250,27273,52526
LGA10180,6209,6565,12770,2216,2277,4492,1889,2265,4155,76,108,185,301,368,667,35,37,73,46,50,100,17,13,30,30,42,70,34,46,78,0,0,4,2425,2930,5356,853,929,1787,84,68,154,5582,6208,11787,1400,1600,2998,13188,14368,27556
LGA10250,11355,11985,23342,2248,2553,4806,4311,4886,9195,296,328,615,661,768,1430,34,38,75,79,77,153,16,24,43,60,55,112,44,40,76,0,0,0,5488,6219,11706,504,549,1060,182,164,346,8426,9486,17917,1342,1485,2829,21131,22964,44090
LGA10300,636,636,1273,80,59,142,49,40,87,79,65,142,9,3,10,8,5,9,9,8,14,0,0,0,0,0,0,0,0,3,0,0,0,146,123,270,30,30,59,3,9,12,260,214,473,161,171,330,1055,1020,2075
LGA10470,10326,10512,20837,1964,2017,3980,5314,5818,11132,86,89,182,151,188,337,31,37,69,31,24,57,11,22,35,18,24,43,27,37,62,0,0,0,5673,6233,11900,350,392,741,166,142,310,8148,8778,16932,2105,1210,3316,20579,20503,41086
LGA10500,39783,41832,81612,4647,4468,9120,20320,20156,40479,426,384,808,535,497,1033,124,124,254,224,195,421,40,27,68,68,47,113,155,129,276,0,3,3,21888,21569,43453,9816,9517,19329,737,577,1318,37086,36132,73224,5320,5045,10364,82188,83011,165192
LGA10550,9507,9713,19214,1991,2180,4172,2489,2743,5229,568,575,1142,187,192,379,24,22,51,48,53,101,13,13,25,44,48,87,302,337,644,0,0,0,3674,3991,7662,219,284,507,103,94,198,5989,6551,12538,1359,1316,2678,16854,17578,34428
LGA10600,3453,3653,7107,553,674,1228,1151,1206,2357,102,102,202,135,141,270,9,9,19,18,25,43,3,6,11,17,26,47,15,17,26,0,0,0,1444,1536,2977,101,103,202,53,45,93,2139,2358,4500,551,549,1108,6151,6557,12709
LGA10650,2263,2293,4551,525,614,1142,193,203,402,494,494,987,42,48,90,7,7,20,4,7,11,12,8,20,8,3,13,5,4,8,0,0,0,769,791,1560,49,49,99,25,24,54,1370,1483,2853,440,445,880,4076,4211,8287
LGA10750,95223,97059,192288,7272,7641,14905,51461,51709,103169,711,668,1387,820,835,1654,287,304,593,403,362,761,53,48,97,110,85,199,165,169,336,3,0,3,54016,54186,108198,13040,13983,27025,1165,973,2135,75492,76780,152266,11793,10526,22317,182509,184361,366869
