LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA22110,4,0,4,27,15,39,6,3,8,0,0,0,13,9,19,6360,5787,12140,423,462,885,166,3,164,45,4,46,68,33,100,84,52,134,379,322,693,7568,6680,14244,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,8,4,5,0,0,0,0,0,0,0,4,7,3,0,5,3,3,7,10,6,12,114,70,178,125,74,199,0,0,0,5,0,5,4,4,10,6,4,8,1032,1379,2413,820,1287,2109,108,107,217,9656,9533,19190
LGA22170,290,185,467,196,231,429,21,5,25,0,0,0,60,49,116,22804,17054,39861,1255,1208,2463,405,14,419,149,12,164,153,48,202,152,97,241,365,398,759,25850,19296,45145,79,72,152,0,0,0,8,3,14,96,43,144,12,10,19,22,9,30,215,137,353,3,0,3,0,0,0,17,4,15,22,42,61,6,9,22,47,57,104,199,108,311,462,299,761,52,47,99,8,10,21,11,0,7,69,61,129,5552,8150,13702,2925,5639,8568,118,121,246,34983,33566,68545
LGA22250,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,1567,1260,2824,72,96,164,44,4,44,28,12,36,25,12,31,23,5,24,133,125,261,1890,1516,3408,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,30,22,9,36,0,0,0,0,0,0,3,0,3,3,0,0,276,257,539,130,230,358,25,24,51,2349,2047,4391
LGA22310,1336,1227,2571,164,259,422,5,5,8,170,211,384,74,76,154,16272,12929,29198,634,1152,1781,156,3,164,200,20,217,444,143,586,175,132,302,609,853,1462,20250,16999,37248,196,180,373,0,0,0,148,194,346,153,92,247,20,44,63,51,30,77,564,538,1106,0,0,0,11,23,38,13,10,18,3,30,33,8,9,16,29,69,102,167,120,287,765,728,1495,146,136,281,7,8,16,12,10,18,160,152,315,15490,16114,31611,3319,5366,8681,144,130,272,40132,39500,79628
LGA22410,4,0,4,0,10,12,0,0,0,0,0,0,3,0,8,3132,2663,5799,203,193,399,76,0,82,29,7,38,23,8,35,29,11,45,181,172,348,3696,3061,6756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,32,17,43,32,20,51,0,0,0,0,0,0,8,0,12,9,0,10,434,528,963,415,539,955,47,45,95,4630,4202,8834
LGA22490,13,0,20,10,4,21,0,0,0,3,0,3,4,0,5,4443,3353,7802,217,207,424,178,4,185,17,3,23,11,3,12,28,17,38,115,77,185,5038,3673,8716,0,0,0,0,0,0,0,0,0,16,7,22,0,0,0,0,0,0,16,6,22,0,0,0,0,0,0,9,3,9,0,3,3,0,0,0,9,6,15,40,12,52,57,31,89,3,0,7,0,0,0,9,0,6,16,3,17,823,1176,1996,553,904,1455,31,41,71,6517,5821,12341
LGA22620,45,28,73,160,195,358,13,4,15,7,0,5,37,31,69,19234,16603,35831,1226,1390,2619,358,5,362,130,15,148,229,97,326,101,62,168,655,622,1275,22186,19056,41240,7,4,5,0,0,0,0,0,3,8,5,17,4,7,4,10,0,11,30,19,43,0,0,0,0,0,0,11,10,16,23,31,53,8,9,14,43,46,90,161,111,273,234,171,405,7,7,15,8,3,14,13,4,12,26,18,40,3240,4431,7675,2367,4281,6648,162,132,296,28208,28088,56299
LGA22670,722,756,1481,393,598,991,7,0,8,0,4,3,146,143,290,25918,15323,41237,1664,2622,4284,431,10,439,79,11,93,140,31,169,297,149,448,298,394,697,30101,20040,50138,217,393,606,0,0,0,27,40,63,161,103,258,15,45,66,19,15,36,440,590,1032,0,0,0,0,0,0,29,19,45,29,80,114,17,30,49,74,134,201,301,166,468,811,888,1703,171,220,392,9,23,30,5,9,12,186,250,434,4638,5199,9834,2048,3139,5189,244,163,403,38025,29677,67704
LGA22750,440,259,703,399,639,1036,34,5,43,10,6,14,153,145,298,41754,34163,75914,2399,2783,5183,554,11,564,234,37,267,601,209,811,260,162,419,1144,1375,2520,47979,39792,87771,35,47,82,0,4,4,21,20,35,144,71,210,7,17,25,38,9,51,244,170,410,5,0,5,0,0,0,24,23,50,34,65,104,28,33,55,86,114,207,400,229,626,726,514,1242,63,62,124,23,25,47,16,9,27,96,93,194,10737,13560,24297,5463,9994,15455,345,284,632,65354,64239,129587
LGA22830,3,3,9,30,36,70,5,0,6,0,0,3,25,34,61,11208,9312,20516,769,998,1764,175,8,184,73,15,88,146,57,200,87,49,130,492,440,932,13015,10949,23962,0,0,4,0,0,0,4,0,3,3,6,7,0,0,0,0,0,0,8,10,18,0,0,0,0,0,0,5,0,5,8,8,12,6,6,8,14,8,26,100,67,164,123,85,207,0,0,0,0,0,0,9,3,11,9,8,10,1273,1666,2936,997,1804,2799,121,103,218,15530,14614,30136
LGA22910,9,0,12,0,9,9,0,0,0,0,0,0,3,5,6,2036,1661,3694,107,120,228,69,0,69,10,0,7,11,5,18,24,17,44,149,128,282,2420,1951,4365,5,0,5,0,0,0,0,0,0,8,4,13,0,0,5,0,0,0,13,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,14,6,18,31,12,45,0,5,5,0,0,0,0,0,0,0,5,4,878,901,1782,341,554,896,33,23,60,3706,3451,7159
LGA22980,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,811,613,1430,36,40,81,20,0,18,7,3,14,10,0,12,24,4,23,112,116,227,1026,785,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,10,0,7,0,0,0,0,0,0,4,0,4,4,0,4,170,176,344,70,134,204,11,16,25,1292,1112,2402
LGA23110,614,576,1192,88,123,211,7,0,13,5,0,4,37,43,87,11742,7722,19464,549,699,1246,138,3,143,100,14,119,233,77,309,100,79,177,248,343,593,13867,9681,23549,69,143,206,0,0,0,44,61,107,80,67,149,17,25,42,44,14,61,251,315,564,0,0,0,7,3,15,14,4,19,9,15,25,0,9,3,25,35,56,139,69,208,413,418,826,83,93,181,0,3,6,3,0,6,91,104,190,6690,8467,15161,1959,3164,5117,89,80,172,23111,21913,45021
LGA23190,0,0,0,14,10,24,0,0,0,0,0,0,4,8,13,3527,3013,6537,225,232,453,51,0,51,16,3,23,84,17,94,35,25,51,188,181,373,4140,3492,7630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,9,0,9,56,17,71,64,13,80,0,0,0,0,0,0,5,0,4,5,4,8,478,600,1078,338,661,1002,36,24,60,5061,4797,9857
LGA23270,1009,927,1941,238,331,567,21,6,27,13,21,27,201,85,285,37760,23578,61335,1998,2327,4324,875,15,887,137,8,143,106,18,124,354,174,526,315,369,683,43033,27847,70882,190,305,498,0,0,0,37,58,96,252,177,430,46,75,126,32,14,51,564,629,1194,0,0,0,7,4,8,33,18,48,33,46,85,12,17,33,83,91,173,403,211,610,1049,926,1979,174,256,433,13,18,27,10,5,13,195,278,473,7769,10532,18302,4165,6554,10712,329,214,542,56532,46355,102892
LGA23350,4,0,4,3,4,6,0,0,0,0,0,0,5,0,5,2695,2428,5120,119,137,261,61,0,60,22,0,23,23,12,30,28,18,43,179,174,357,3136,2778,5920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,3,22,6,30,22,13,35,0,0,0,0,0,0,0,0,0,0,0,0,598,745,1345,368,623,989,38,37,73,4166,4200,8366
LGA23430,885,732,1615,152,240,396,14,4,20,11,4,14,84,63,147,22168,16730,38896,963,1432,2393,310,4,313,163,12,178,307,80,388,163,113,280,506,677,1189,25737,20096,45828,161,199,366,0,0,0,43,55,99,140,87,231,20,44,62,37,16,50,408,399,805,0,0,0,0,0,0,9,14,18,16,26,47,3,12,14,31,49,85,190,122,313,625,570,1197,80,124,207,6,4,12,7,3,8,99,128,228,11179,13210,24383,3375,5975,9346,175,114,289,41191,40091,81284
LGA23670,514,361,875,230,255,487,6,7,12,0,6,7,62,56,111,25176,19201,44377,1204,1577,2776,356,9,360,142,10,150,179,34,211,164,113,282,287,327,613,28312,21964,50268,95,93,190,0,0,0,13,25,41,196,110,308,20,32,51,16,10,24,349,267,615,3,0,7,9,5,7,20,12,26,30,39,71,11,13,26,70,64,132,226,125,350,638,457,1097,61,86,142,11,6,12,14,7,20,83,92,178,9678,10905,20582,3232,5942,9174,128,102,231,42071,39450,81521
LGA23810,36,20,57,68,93,164,0,0,0,3,0,8,10,20,30,11677,9842,21516,794,804,1598,172,6,177,54,7,56,66,8,75,60,44,103,261,264,525,13209,11101,24312,7,6,13,0,0,0,0,0,0,8,0,11,18,4,17,5,6,11,41,18,56,0,0,0,0,0,0,9,6,13,4,16,17,0,4,4,10,29,39,97,43,142,150,89,241,7,10,19,3,6,7,3,0,3,16,14,26,1274,2237,3514,1429,2392,3824,117,117,228,16192,15948,32139
LGA23940,0,3,3,3,3,4,0,0,0,0,0,0,0,0,0,934,757,1694,49,58,108,35,3,39,8,5,12,6,3,9,30,11,34,134,112,245,1196,952,2149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,15,5,6,16,0,0,0,0,0,0,0,0,0,4,0,6,329,289,613,89,168,257,26,20,47,1650,1436,3085
LGA24130,135,94,231,5,4,11,3,0,8,4,0,6,7,0,6,7378,5628,13014,402,451,854,219,5,216,13,5,19,31,6,45,42,40,78,252,266,513,8500,6505,15004,6,4,5,0,0,0,9,10,16,42,11,59,9,4,12,9,0,11,77,32,105,0,0,0,0,0,0,0,4,6,0,5,4,0,0,0,0,7,10,57,15,75,129,59,190,19,12,35,0,0,0,4,6,5,21,17,41,3094,3725,6821,1154,1927,3086,70,76,149,12971,12311,25279
LGA24210,93,92,182,601,750,1345,5,0,3,9,11,17,43,28,67,15519,11627,27148,643,1247,1887,241,0,242,76,5,79,60,15,72,136,100,228,246,346,593,17669,14214,31878,112,59,178,0,0,0,0,0,4,56,25,82,7,8,20,8,4,11,189,105,297,0,0,0,60,48,105,65,51,119,25,44,67,6,9,22,158,152,310,116,98,221,469,356,824,59,45,112,21,23,35,0,0,4,85,70,155,9405,9548,18957,2498,3993,6490,122,102,227,30238,28291,58529
LGA24250,0,0,0,9,7,16,0,0,0,0,0,0,0,0,0,1443,1224,2664,89,98,184,34,0,34,0,0,3,11,11,28,21,9,27,142,166,305,1752,1515,3265,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,17,9,22,18,7,29,0,0,0,0,0,0,0,0,0,0,0,0,317,410,732,215,335,551,18,15,36,2323,2285,4610
LGA24330,892,811,1704,213,288,509,3,3,6,57,114,168,82,72,151,10331,6681,17015,445,794,1232,97,6,101,164,20,183,445,194,635,94,75,164,448,510,954,13272,9564,22831,178,244,424,0,0,0,134,160,293,74,60,136,18,43,61,55,32,86,451,539,994,0,0,0,17,44,62,17,11,27,9,25,30,8,6,18,48,83,137,143,98,238,639,723,1365,153,193,345,8,7,17,6,4,5,164,207,367,7914,9088,16998,2139,3179,5325,94,71,171,24226,22830,47058
LGA24410,530,428,957,140,152,286,12,4,14,3,0,7,42,32,76,16306,12723,29029,795,964,1758,247,8,252,83,12,99,148,18,169,105,62,171,297,345,637,18706,14747,33454,132,123,262,0,0,0,27,18,44,118,84,198,14,27,39,20,11,28,313,264,578,0,0,0,0,0,0,8,0,14,11,19,29,8,0,11,34,28,55,151,90,239,493,383,870,59,72,135,4,7,7,6,4,9,65,81,146,8013,8904,16913,2526,4854,7382,104,107,215,29911,29078,58987
LGA24600,1660,1849,3516,319,373,694,8,0,11,3397,4239,7637,148,194,342,8232,4830,13059,365,741,1111,46,0,48,483,103,589,1326,690,2010,269,191,462,5536,5398,10935,21795,18628,40418,336,330,662,0,0,0,456,547,1006,59,36,99,27,54,84,118,79,195,995,1049,2044,0,0,0,89,94,182,14,0,11,4,16,16,13,21,34,116,131,249,438,381,818,1549,1562,3114,332,402,733,15,10,26,50,44,96,399,457,861,17884,16959,34843,4411,6354,10764,193,160,355,46229,44113,90347
LGA24650,713,674,1387,101,170,275,6,3,7,3,6,10,90,58,150,28385,18506,46893,1569,1906,3481,645,17,656,110,7,115,51,23,69,264,146,414,170,236,413,32110,21755,53867,97,195,298,0,0,0,21,33,54,237,187,423,26,58,82,17,13,32,401,496,896,0,0,0,0,0,3,15,13,26,22,35,56,6,4,12,37,52,89,302,167,470,739,711,1455,143,194,337,3,10,18,4,7,8,157,208,365,6838,9310,16147,3553,5703,9260,214,138,352,43617,37829,81442
LGA24780,5,3,6,68,48,115,5,0,5,0,0,0,17,19,40,9203,7898,17100,809,1005,1821,159,4,162,69,11,83,69,40,107,67,39,111,421,373,798,10887,9451,20332,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,5,3,7,4,10,13,3,0,3,12,15,30,92,44,136,107,58,162,0,4,3,0,5,6,7,0,8,11,8,15,951,1329,2280,737,1314,2050,145,115,257,12827,12270,25101
LGA24850,103,86,188,16,8,26,7,0,7,0,0,0,0,12,11,8588,6156,14743,522,429,953,267,6,275,51,0,50,40,7,45,62,33,98,322,238,568,9975,6983,16960,11,20,31,0,0,0,5,0,5,48,31,74,7,6,13,4,0,4,69,57,125,0,0,0,0,0,0,0,6,6,0,0,0,0,0,3,5,8,13,107,33,137,178,98,276,19,19,37,0,0,0,14,0,13,27,17,49,1408,2172,3577,938,1577,2511,73,57,134,12597,10904,23504
LGA24900,0,0,0,5,5,18,0,0,0,0,0,3,3,0,0,4567,3842,8404,303,318,620,98,0,96,33,15,49,79,19,102,46,17,64,313,283,595,5443,4510,9952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,58,29,82,58,34,89,5,0,5,0,0,0,0,0,0,4,0,4,685,748,1433,425,818,1243,87,61,146,6699,6168,12870
LGA24970,1302,1072,2375,454,654,1102,8,3,12,18,17,37,130,123,252,23797,16999,40801,1064,1857,2917,237,6,244,161,21,185,299,79,376,290,143,435,751,828,1579,28515,21801,50311,287,319,610,0,0,0,84,127,204,244,142,392,33,51,82,34,27,60,683,670,1353,0,0,0,18,14,32,32,25,53,39,87,126,22,24,42,104,152,254,244,198,439,1035,1017,2051,206,208,413,15,37,54,21,10,23,241,254,491,14823,14241,29062,3848,5940,9783,219,161,379,48664,43412,92075
LGA25060,766,736,1502,116,114,233,3,3,13,323,547,869,72,66,136,15291,10785,26078,680,1049,1729,181,4,183,137,17,154,457,149,606,164,116,276,471,620,1094,18664,14198,32866,115,123,239,0,0,0,163,181,344,83,68,151,15,34,53,34,17,45,409,432,840,0,0,0,37,41,73,15,14,26,8,20,30,0,3,3,57,71,136,184,145,330,657,645,1299,126,100,224,8,9,20,18,5,26,149,120,266,9954,11931,21883,2871,4787,7655,124,113,235,32418,31788,64208
LGA25150,124,80,209,10,19,26,0,4,7,0,0,0,0,4,5,6255,4604,10857,389,318,705,180,6,188,21,5,27,22,7,36,42,19,61,165,157,316,7213,5231,12445,6,4,17,0,0,0,10,9,14,20,16,40,6,9,14,9,0,9,54,47,101,0,0,0,0,0,0,0,5,4,6,7,10,0,0,0,3,10,13,71,22,93,131,80,209,17,21,36,0,0,0,3,3,9,18,23,43,1428,2101,3527,773,1306,2085,66,60,121,9628,8801,18429
LGA25250,1298,1246,2546,180,245,424,10,3,12,1006,1368,2372,157,146,299,19206,12932,32142,820,1252,2072,251,9,256,282,37,322,1600,1023,2620,214,169,382,792,992,1779,25813,19410,45222,205,221,425,0,0,0,241,246,483,120,66,187,14,60,75,67,49,114,648,639,1284,0,0,0,102,143,247,26,14,36,10,28,36,7,10,21,145,195,339,321,249,571,1113,1083,2193,204,208,416,25,36,54,25,24,44,249,270,519,15289,18287,33575,4358,6822,11180,223,140,363,47049,46010,93061
LGA25340,88,41,129,133,128,255,11,7,24,0,3,6,20,7,24,23244,17978,41224,1248,1246,2488,505,18,524,103,0,104,185,55,241,222,113,333,1072,666,1733,26824,20264,47086,16,16,28,0,0,0,5,0,5,73,29,105,8,11,16,4,0,4,104,50,154,4,0,4,0,0,0,6,12,24,15,30,39,4,3,12,28,44,72,213,79,287,342,173,517,13,7,19,4,3,8,17,3,14,34,17,43,7505,9614,17119,3808,6690,10497,249,261,509,38755,37014,75773
LGA25430,37,33,64,15,5,18,5,0,0,0,3,5,3,7,9,2288,2032,4318,132,135,272,54,0,57,10,0,10,64,38,104,19,0,22,180,144,332,2811,2405,5220,3,4,9,0,0,0,0,0,0,11,0,11,3,3,5,12,4,18,32,11,40,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,22,11,32,54,22,78,3,4,4,0,0,0,0,0,0,3,3,6,971,1169,2135,406,657,1059,43,25,71,4286,4287,8570
LGA25490,0,0,3,13,4,21,4,0,4,0,0,0,3,0,10,2648,2322,4971,149,133,278,87,0,92,50,12,64,21,13,26,52,22,76,236,164,407,3259,2680,5937,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,24,11,37,34,18,46,0,0,0,0,0,0,4,0,4,7,0,7,825,797,1628,308,522,829,54,48,97,4483,4059,8539
LGA25620,10,3,11,9,4,11,3,0,3,0,0,0,0,0,0,2241,1619,3861,113,93,203,90,6,88,12,0,15,13,5,17,27,14,43,157,144,305,2670,1896,4561,0,0,0,0,0,0,0,0,0,3,3,9,0,0,3,0,0,0,8,3,15,0,0,0,0,0,0,3,0,3,3,0,4,0,0,0,4,7,9,19,13,32,35,16,51,4,0,4,0,0,0,0,0,0,8,0,11,587,696,1275,300,525,820,37,37,72,3629,3167,6789
LGA25710,245,164,410,44,45,89,0,0,5,0,0,0,9,4,17,9261,6909,16175,389,455,847,227,0,224,52,0,57,46,12,58,52,54,108,164,148,311,10498,7800,18294,23,25,46,0,0,0,7,12,16,67,32,96,9,11,18,12,8,19,115,87,202,0,0,0,0,0,0,7,4,12,0,7,11,0,0,0,9,10,23,76,34,109,198,131,334,24,18,45,0,0,0,7,0,7,31,18,51,4989,5606,10598,1592,2792,4385,69,50,111,17373,16400,33770
LGA25810,0,0,3,15,3,13,0,0,0,0,0,0,0,0,0,1786,1447,3234,109,154,263,53,5,54,5,0,5,36,15,49,36,9,50,160,151,316,2206,1789,3993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,20,8,25,20,10,28,0,0,0,0,0,0,3,0,3,3,0,3,239,317,553,221,321,547,25,17,47,2711,2461,5170
LGA25900,463,413,872,138,166,302,10,8,15,1221,1411,2632,91,114,201,9764,6640,16406,398,634,1031,65,0,65,271,35,309,895,460,1356,156,132,296,1348,1520,2867,14826,11531,26358,47,39,94,0,0,0,178,184,363,15,14,34,6,4,14,35,23,60,285,275,555,0,0,0,47,66,110,8,3,5,0,5,10,8,9,21,69,77,141,206,201,408,554,550,1107,114,112,228,6,6,15,37,21,54,151,140,291,12154,14626,26782,2407,3866,6268,109,98,209,30199,30811,61013
LGA25990,0,0,3,6,0,4,0,0,0,0,0,0,0,0,0,980,838,1820,58,50,109,44,0,44,3,0,3,3,0,8,12,10,18,79,46,123,1182,956,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,18,12,11,19,0,0,0,0,0,0,0,0,0,3,0,3,253,252,505,130,205,328,21,17,37,1605,1425,3032
LGA26080,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,288,245,536,16,16,28,3,0,3,0,0,0,11,9,16,3,0,6,23,24,47,349,296,642,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,206,216,419,86,125,207,0,4,3,635,650,1287
LGA26170,5,3,7,6,8,15,4,0,4,0,0,4,0,0,0,4322,3568,7893,201,252,454,111,4,118,43,7,49,38,11,42,55,34,88,338,273,611,5125,4166,9292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,3,0,0,0,3,4,7,50,19,67,53,25,79,0,0,0,0,0,0,0,0,0,4,0,4,1192,1335,2530,573,983,1550,74,78,152,7017,6587,13607
LGA26260,0,0,0,4,4,6,0,0,0,0,0,0,6,3,14,2533,2221,4755,157,163,321,61,3,65,7,4,17,33,3,35,37,14,50,253,224,474,3096,2639,5741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,30,13,47,33,18,49,0,0,0,0,0,0,3,0,3,3,0,5,600,557,1158,239,472,708,33,30,62,4004,3719,7720
LGA26350,1286,1139,2429,63,89,154,6,0,5,526,734,1260,75,90,164,9990,7445,17438,331,655,990,45,3,46,166,29,190,597,230,827,145,98,243,1189,1559,2752,14419,12071,26497,114,112,230,0,0,0,208,252,460,52,42,100,13,21,32,53,27,82,439,458,893,0,0,0,20,17,32,3,7,5,5,8,13,3,3,10,30,34,64,109,126,238,579,619,1196,111,105,213,4,6,13,10,8,16,126,119,236,13061,13943,27006,2399,3829,6223,114,104,215,30696,30682,61373
LGA26430,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1531,1318,2845,99,87,184,50,4,56,13,0,13,11,20,25,20,11,39,147,122,267,1881,1557,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,23,12,27,25,8,37,0,0,0,0,0,0,0,4,5,0,4,5,425,471,897,184,319,504,21,26,49,2538,2390,4925
LGA26490,17,13,26,21,21,36,3,0,5,3,0,8,4,0,4,5391,4233,9625,257,270,531,88,6,95,23,3,31,81,28,109,54,34,81,255,248,502,6188,4857,11051,0,0,0,0,0,0,4,3,4,19,12,25,3,0,0,0,0,0,26,11,37,0,0,0,0,0,0,4,0,5,0,8,9,0,0,0,0,10,11,60,28,86,89,48,137,8,0,13,0,5,3,7,0,7,21,7,22,2362,2879,5239,865,1372,2229,41,50,87,9558,9207,18769
LGA26610,0,0,0,98,12,108,0,0,0,0,0,0,11,9,23,3723,2824,6542,392,413,808,39,3,44,14,3,25,49,21,69,32,10,43,280,236,516,4639,3534,8174,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,10,3,10,0,0,0,0,0,0,10,3,8,37,29,64,45,32,80,0,0,0,0,0,0,7,0,6,7,0,3,339,463,800,221,478,701,60,35,99,5315,4546,9866
LGA26670,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,876,737,1612,48,40,87,27,0,27,28,3,29,6,0,12,18,10,29,105,98,207,1114,891,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,18,11,3,15,0,0,0,0,0,0,0,0,0,0,0,0,257,254,507,111,179,292,12,14,26,1508,1345,2856
LGA26700,0,0,0,3,23,24,3,5,3,0,0,0,13,13,29,4710,4189,8903,347,374,718,96,0,100,25,6,36,119,50,167,44,23,68,253,274,533,5619,4956,10580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,8,10,10,54,31,83,57,41,99,0,0,0,0,0,0,7,0,7,12,0,12,728,950,1678,551,1008,1561,61,58,111,7030,7018,14043
