LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA49399,3,4,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,9,6,0,0,31,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,9,13,9,9,4,0,0,40,15,19,8,10,3,0,0,58,0,0,0,0,0,0,0,0,22,34,21,14,9,0,0,101
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,65,177,125,83,106,10,0,570,7,10,9,5,3,0,0,33,5,3,6,7,3,0,0,22,105,275,239,186,230,18,5,1050,0,12,0,3,5,0,0,26,6,14,6,0,3,0,0,37,6,26,10,7,9,0,0,58,117,296,244,188,233,18,9,1106,157,183,86,62,64,11,3,558,6,4,0,6,0,0,0,14,273,480,336,259,303,25,7,1685
LGA50210,178,316,203,172,177,47,28,1117,27,15,10,10,12,7,4,84,10,12,11,8,16,0,0,59,351,650,487,391,465,124,84,2562,27,42,27,24,26,9,0,151,45,78,41,19,19,0,0,214,67,123,68,48,45,10,0,366,422,769,555,437,517,134,86,2923,538,490,289,188,138,26,16,1693,14,16,10,14,0,0,0,54,972,1272,853,638,660,165,111,4672
LGA50250,6,6,4,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,23,22,11,15,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,22,13,15,0,0,88,13,11,10,5,0,0,0,36,0,0,0,0,0,0,0,0,24,34,29,16,15,0,0,119
LGA50280,42,83,75,37,34,3,0,273,0,4,11,3,4,0,0,20,0,5,0,3,0,0,0,11,50,120,125,76,92,5,0,461,0,3,3,0,0,0,0,10,0,3,0,0,3,0,0,3,3,10,4,0,3,0,0,14,54,128,125,80,91,5,0,479,20,26,15,8,10,5,0,83,0,5,0,0,0,0,0,6,75,156,140,88,106,4,0,571
LGA50350,20,48,36,27,31,6,5,176,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,5,47,101,69,69,68,23,13,392,0,8,7,0,0,0,0,14,0,10,13,6,0,0,0,30,0,17,16,3,0,0,0,40,45,115,81,77,76,28,18,436,53,50,35,24,16,9,0,192,0,4,0,0,0,0,0,8,104,171,118,104,92,35,17,635
LGA50420,95,180,125,111,115,45,28,692,12,7,9,0,3,3,3,38,7,4,4,9,3,0,0,31,181,356,270,245,304,130,74,1559,12,23,15,13,11,8,6,88,10,31,20,11,13,5,0,89,22,56,35,24,23,13,6,174,199,406,303,264,330,140,83,1734,192,181,99,67,66,30,21,653,5,5,0,0,0,0,0,15,395,595,402,334,395,176,105,2404
LGA50490,59,88,68,49,53,22,22,368,6,5,6,7,3,0,0,23,0,3,0,3,4,0,0,11,111,189,159,111,158,63,49,841,3,14,10,9,16,6,0,60,19,30,8,11,18,0,0,91,15,41,27,23,30,4,0,148,129,234,183,138,188,66,50,991,149,156,65,66,48,19,13,518,0,3,0,4,0,0,0,6,282,392,253,199,239,85,64,1520
LGA50560,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,5,9,0,0,0,0,21,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,3,8,10,9,0,0,0,0,27
LGA50630,0,0,4,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,5,7,0,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,0,0,0,0,9,6,9,7,3,7,0,0,28,13,14,7,0,0,0,0,42,0,0,0,0,0,0,0,0,19,21,14,7,4,0,0,71
LGA50770,4,4,0,3,7,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,7,6,9,9,0,0,41,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,4,3,0,0,0,0,0,6,4,12,6,9,9,0,0,45,7,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,13,13,11,10,11,0,0,61
LGA50840,4,11,7,14,8,3,0,48,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,16,17,22,23,3,0,91,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,3,0,0,0,0,0,3,9,21,17,22,23,3,0,97,10,5,9,5,5,0,0,29,0,0,0,0,0,0,0,0,18,33,24,26,27,3,0,131
LGA50910,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,11,9,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,11,12,5,3,3,0,0,31
LGA50980,33,64,35,15,16,3,0,173,4,5,4,3,3,0,0,18,0,3,0,0,0,0,0,8,75,160,112,90,86,6,4,533,3,9,6,3,3,0,0,20,0,5,6,7,4,0,0,24,4,16,10,9,6,0,0,48,83,178,127,97,86,6,4,575,121,123,73,51,35,0,0,406,11,10,5,3,0,0,0,29,214,309,209,154,124,6,4,1014
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,5,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,4,0,0,23,3,8,6,0,8,0,0,22,0,0,9,3,4,0,0,10,3,14,15,8,13,0,0,56
LGA51120,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,0,4,0,3,0,0,12,3,4,6,0,3,0,0,23,3,8,4,5,0,0,0,16,0,0,0,0,0,0,0,0,4,10,8,4,3,0,0,36
LGA51190,62,150,110,82,73,12,0,490,11,13,7,5,8,0,0,43,9,4,6,0,0,0,0,18,112,257,210,169,189,23,5,961,6,9,10,4,0,0,0,26,17,28,17,12,8,0,0,77,18,36,23,17,10,0,0,107,133,294,232,183,202,23,8,1070,226,192,117,69,58,8,4,675,0,0,0,5,0,0,0,9,359,488,347,253,262,31,9,1745
LGA51260,66,195,165,115,126,7,0,675,9,11,11,7,6,0,5,38,0,8,0,0,0,0,0,9,87,302,274,222,260,17,0,1172,0,5,7,3,0,0,0,15,4,7,0,3,0,0,0,21,4,10,5,4,3,0,0,38,93,317,286,225,264,17,0,1207,112,116,54,48,44,0,0,382,0,10,0,0,0,0,0,14,209,439,342,275,315,18,4,1603
LGA51310,20,34,35,33,47,27,8,208,0,4,0,0,3,0,4,8,0,0,0,0,0,0,0,7,38,88,106,86,123,59,36,540,0,0,5,0,3,0,0,9,0,4,3,0,4,0,0,16,0,10,9,5,8,0,0,27,41,95,113,89,125,59,36,560,15,23,12,20,22,20,10,121,0,0,0,0,0,0,0,0,55,115,133,108,145,81,47,681
LGA51330,88,219,181,139,198,79,54,955,16,18,5,6,11,0,0,64,3,14,9,0,3,0,3,35,197,436,380,307,475,219,135,2143,5,19,6,11,16,4,3,73,15,34,21,22,16,0,5,115,22,48,28,32,39,3,10,185,213,490,406,341,513,228,142,2332,211,215,150,100,133,47,29,885,20,12,12,4,0,0,0,47,443,715,566,450,649,274,178,3268
LGA51400,38,87,74,53,36,3,0,293,6,10,3,11,6,0,0,33,0,0,4,0,0,0,0,6,55,148,133,115,119,15,4,587,0,3,3,6,4,0,0,29,0,10,3,6,0,0,0,22,6,13,8,14,0,0,0,50,68,164,142,130,124,15,4,635,85,88,42,40,30,3,0,285,0,0,0,3,0,0,0,6,150,250,183,167,149,14,4,925
LGA51470,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,6
LGA51540,12,15,16,9,5,0,0,50,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,24,26,37,11,13,0,0,118,5,3,0,0,0,0,0,13,0,0,0,4,0,0,0,12,7,4,0,3,8,0,0,22,29,31,36,16,20,0,0,135,30,22,15,16,4,0,0,88,0,0,0,0,0,0,0,3,57,55,55,33,25,0,0,229
LGA51610,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,3,0,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,8,0,4,7,4,4,0,0,28,0,0,6,3,0,0,0,10,0,0,0,0,0,0,0,0,4,12,16,12,9,0,0,38
LGA51680,5,8,14,4,9,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,23,15,28,0,4,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,9,28,23,15,28,0,4,114,20,6,14,11,7,0,0,52,0,3,0,0,0,0,0,4,33,41,39,19,32,0,4,168
LGA51710,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,8,3,3,4,0,0,24,0,5,0,0,3,0,0,10,0,0,0,0,0,0,0,0,6,7,6,3,13,0,0,33
LGA51750,8,28,29,16,23,21,8,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,51,60,45,67,35,14,281,0,5,0,5,0,0,0,16,0,3,5,0,3,0,0,16,0,7,5,5,3,0,3,26,14,57,71,51,66,38,17,307,4,9,15,4,21,5,4,64,0,5,0,0,0,0,0,4,18,62,79,54,86,46,25,375
LGA51820,190,468,322,211,244,75,34,1553,14,33,9,12,15,8,10,102,8,18,13,9,0,0,3,50,354,877,635,465,583,211,133,3258,10,25,16,13,16,3,0,78,37,51,28,16,22,7,4,165,40,73,41,33,33,13,8,244,398,947,679,501,620,220,138,3497,362,349,194,141,137,24,23,1228,9,9,3,4,0,0,0,28,767,1305,872,648,762,242,159,4754
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
LGA51890,10,30,22,16,19,0,0,99,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,7,16,46,33,31,34,5,0,174,0,11,4,0,0,0,0,18,0,6,4,3,7,0,0,20,0,9,7,8,9,0,0,33,23,56,42,39,44,5,0,209,63,66,30,24,23,0,3,211,0,0,0,0,0,0,0,0,85,130,72,65,63,8,3,423
LGA51960,7,6,3,7,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,9,18,18,16,22,3,0,74,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,5,0,5,4,0,0,10,13,20,17,17,21,3,0,84,24,20,4,3,4,0,0,57,0,0,0,0,0,0,0,0,36,39,25,20,26,3,0,146
LGA52030,3,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,0,19,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,5,3,0,3,0,0,19
LGA52100,0,5,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,14
LGA52170,3,15,10,7,16,13,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,29,24,38,23,6,160,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,7,9,26,28,24,40,24,7,170,4,0,8,11,7,9,3,37,0,0,0,0,0,0,0,0,18,31,37,35,52,31,12,209
LGA52240,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,5,0,0,0,12,3,11,9,5,5,0,0,19,0,0,0,0,0,0,0,0,5,9,6,4,4,0,0,36
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,4,6,0,0,0,0,13,0,0,0,0,0,0,0,0,10,4,8,5,0,0,0,24
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52450,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,8,5,5,0,0,0,18,5,4,0,4,3,0,0,14,0,0,0,0,0,0,0,0,3,8,7,3,3,0,0,30
LGA52520,4,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,4,5,0,0,0,13,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,5,4,3,4,0,0,19
LGA52590,0,7,4,3,0,0,0,23,3,0,5,0,5,0,0,7,0,4,0,0,0,0,0,4,8,18,6,7,11,0,0,52,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,3,3,3,0,0,0,17,11,23,10,12,14,0,0,62,7,7,5,0,0,0,0,15,0,0,0,0,0,0,0,0,18,25,13,12,14,0,0,81
LGA52660,21,65,46,31,36,8,0,207,8,4,0,0,0,0,0,15,0,3,0,0,0,0,0,3,64,116,88,65,85,8,3,419,0,5,0,0,0,0,0,18,0,5,3,3,3,0,0,14,4,12,9,3,0,0,0,30,69,129,91,67,84,5,3,446,49,50,25,10,22,0,0,163,3,0,0,0,0,0,0,4,123,179,126,80,111,8,3,616
LGA52730,15,28,15,14,26,6,0,100,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,19,35,25,26,43,6,0,157,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,9,17,41,27,27,47,6,0,168,11,13,15,9,8,0,0,58,0,0,0,0,0,0,0,0,34,54,45,39,48,6,0,223
LGA52800,5,24,12,11,4,0,0,50,5,3,0,0,0,0,0,14,0,0,0,0,0,0,0,9,19,43,28,18,4,0,0,118,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,13,20,50,31,19,14,0,0,130,118,110,63,33,23,0,0,351,0,6,6,0,0,0,0,6,136,164,96,53,33,0,0,488
LGA52870,11,15,11,7,13,0,0,59,0,0,3,4,4,0,0,11,0,0,0,0,0,0,0,0,18,25,22,17,22,0,0,101,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,6,17,24,19,17,22,0,0,106,21,20,13,5,4,0,0,65,0,3,0,0,0,0,0,3,38,51,36,18,29,3,0,178
LGA52940,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,0,0,0,20,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,10,9,11,0,0,0,32
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,8
LGA53080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,8,0,3,4,0,0,0,18
LGA53150,9,22,14,12,22,8,3,84,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,17,38,40,33,49,20,6,203,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,10,17,42,36,33,47,20,6,210,5,12,8,3,5,0,0,38,0,0,0,0,0,0,0,0,24,60,50,38,59,20,6,250
LGA53220,4,3,0,3,0,0,0,18,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,39,21,8,12,4,0,101,6,7,0,3,3,0,0,13,0,5,0,0,0,0,0,9,8,11,0,3,3,0,0,27,22,45,27,12,18,4,0,122,34,35,16,19,8,0,0,109,0,0,0,0,0,0,0,0,55,82,40,30,26,0,0,235
LGA53290,22,47,14,17,25,0,0,132,0,0,0,3,5,0,0,9,0,4,0,0,3,0,0,4,38,87,55,51,74,3,3,310,0,3,4,0,0,0,0,9,0,5,0,0,0,0,0,12,0,8,4,4,0,0,0,16,36,95,57,56,79,3,3,330,81,57,25,26,22,0,0,212,8,0,0,0,0,0,0,9,119,157,80,76,100,7,3,547
LGA53360,4,5,3,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,12,7,7,0,0,42,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,9,3,5,5,0,0,0,0,9,0,20,12,7,10,0,0,49,3,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,10,28,14,7,10,0,0,66
LGA53430,37,62,65,40,66,16,17,303,7,5,4,4,9,0,0,21,0,0,0,0,3,4,0,8,66,148,134,100,140,63,45,694,0,7,10,0,8,7,4,29,12,10,7,3,6,0,0,37,8,15,13,5,11,7,4,67,77,168,147,105,149,66,47,754,54,56,44,27,33,14,6,242,5,0,0,0,0,0,0,8,140,227,191,133,185,76,52,1002
LGA53570,10,10,5,7,7,0,0,41,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,4,14,16,19,15,19,0,0,82,0,4,0,0,0,0,0,6,8,0,0,0,0,0,0,8,8,4,0,0,0,0,0,10,18,24,21,15,19,0,0,92,23,17,7,0,7,0,0,57,0,0,3,3,0,0,0,3,40,42,31,20,24,0,0,152
LGA53640,3,6,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,5,0,0,25
LGA53710,4,4,5,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,7,3,3,3,0,0,19,3,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,4,11,7,3,4,0,0,26
LGA53780,181,401,270,195,224,79,49,1397,27,38,21,11,21,3,3,124,10,13,12,8,15,4,7,72,364,745,549,415,563,223,156,3020,28,47,34,21,29,9,10,173,45,88,40,30,29,4,5,240,72,139,72,50,59,15,11,416,433,889,624,467,621,237,171,3436,602,540,315,200,189,79,43,1974,23,22,15,14,6,0,4,86,1062,1447,950,678,816,316,224,5497
LGA53800,78,154,124,68,82,0,0,510,12,14,10,10,8,4,0,53,0,3,0,0,0,0,0,13,129,294,272,176,225,14,10,1114,3,17,20,7,0,0,0,55,18,26,14,8,11,0,0,77,14,43,34,15,13,0,0,129,144,340,307,195,237,14,3,1240,245,254,121,82,66,12,0,781,3,24,7,7,4,0,0,49,391,614,443,285,310,24,8,2067
LGA53920,15,12,13,4,11,0,0,49,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,10,17,23,26,16,9,0,0,96,0,0,4,0,0,0,0,0,3,7,6,0,0,0,0,9,0,7,6,0,0,0,0,16,21,25,33,15,14,0,0,107,84,85,45,32,27,3,0,276,6,13,0,4,3,0,0,23,108,126,83,46,42,0,0,403
LGA53990,55,104,76,78,84,8,0,401,10,3,15,7,0,0,0,28,3,0,0,3,4,0,0,17,94,199,170,140,180,19,7,794,5,4,5,5,0,0,0,19,10,23,13,3,4,0,0,46,11,23,14,10,3,0,0,66,108,222,178,148,185,19,7,858,127,123,57,31,29,9,0,369,4,0,0,0,0,0,0,4,234,340,242,179,212,20,7,1231
LGA54060,8,17,11,5,8,0,0,46,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,18,21,19,16,0,0,87,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,18,21,19,19,0,0,90,18,7,9,4,3,0,0,48,0,0,0,0,0,0,0,0,22,28,30,29,26,0,0,137
LGA54130,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,23,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,5,5,10,11,0,0,0,0,28
LGA54170,188,477,340,233,306,118,62,1726,25,19,9,17,25,8,5,110,9,7,12,7,10,4,0,43,333,902,757,608,868,349,222,4029,4,25,25,13,22,3,9,102,23,57,29,20,14,5,4,159,24,87,54,34,37,10,15,263,358,995,806,637,903,359,234,4295,255,260,168,125,134,45,21,1015,7,5,9,0,4,0,0,26,618,1259,986,765,1043,403,253,5329
LGA54200,95,221,175,109,92,30,9,729,6,9,14,4,9,4,3,48,8,5,4,3,3,0,0,23,172,412,364,260,287,84,53,1633,4,14,20,3,12,0,0,48,17,43,17,11,15,0,4,105,23,52,38,17,22,0,3,156,191,464,401,276,303,90,57,1786,154,182,109,55,69,12,9,585,6,4,4,3,3,0,0,23,345,653,513,334,380,102,71,2388
LGA54280,50,80,50,32,27,0,0,247,0,4,5,6,0,0,0,19,8,5,9,3,0,0,0,22,112,219,168,120,116,8,0,745,0,4,4,0,3,0,0,23,0,5,7,5,0,0,0,23,5,10,11,7,4,0,0,40,119,231,185,126,125,9,0,787,140,90,45,30,19,0,0,325,14,10,9,3,4,0,0,49,276,336,231,158,138,9,0,1161
LGA54310,17,37,17,15,16,0,0,99,3,5,3,3,6,0,0,21,4,11,0,3,0,0,0,19,69,111,85,65,67,0,0,392,4,3,4,0,6,0,0,16,0,6,0,4,0,0,0,10,4,8,4,5,6,0,0,26,70,123,83,71,72,0,0,420,36,41,28,21,18,0,0,142,0,3,3,0,0,0,0,9,104,164,118,91,83,0,0,567
