LGA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA10050,0,0,0,0,0,0,0,0,0,62,3,74,0,0,0,0,0,0,0,0,0,38,0,35,0,0,0,0,0,0,0,3,0,19,0,28,0,0,0,0,0,0,0,3,0,9,0,12,0,0,0,3,0,0,0,6,0,106,7,127,0,3,0,0,0,12,0,21,3,61,0,104,0,10,0,9,0,15,0,59,9,546,6,653,9,10,0,15,0,38,5,54,6,325,9,459,14,37,3,30,4,58,3,66,11,274,3,493,35,56,3,101,7,73,9,63,14,258,0,608,38,34,0,99,12,60,3,39,8,72,0,371,74,26,8,114,6,47,9,20,11,92,6,414,299,51,3,232,22,87,13,48,13,92,0,855,262,20,3,149,14,37,3,23,0,57,0,583,189,6,0,82,8,11,5,19,0,27,0,360,89,3,0,46,4,10,0,6,0,15,0,177,144,9,3,87,7,33,0,11
LGA10180,4,0,0,0,0,3,0,0,0,26,0,42,3,0,0,0,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,0,0,13,3,14,0,0,0,0,0,3,0,0,0,12,0,12,0,4,0,7,0,0,0,5,0,44,0,63,0,0,0,0,0,0,0,12,4,24,0,41,0,11,4,4,0,5,0,31,5,267,5,334,5,19,3,8,0,16,0,39,3,109,3,210,12,20,0,18,5,22,0,27,4,131,3,240,39,30,6,59,6,23,9,31,0,121,0,319,17,15,0,51,6,33,0,22,0,45,0,195,51,24,0,75,0,16,0,10,3,40,3,227,147,27,0,88,4,32,8,22,7,58,0,407,97,16,0,70,9,30,7,12,6,25,0,260,83,3,0,50,7,9,5,8,0,15,0,179,54,0,3,22,3,9,0,6,0,4,0,105,122,15,0,46,9,27,3,8
LGA10250,0,0,0,0,0,0,0,0,0,66,0,75,0,0,0,0,0,0,0,3,0,46,0,57,0,0,0,0,0,0,0,4,0,17,0,24,0,0,0,0,0,0,0,4,0,19,0,26,3,5,0,0,0,0,0,16,0,117,4,146,0,4,3,0,0,0,0,15,0,64,0,93,11,13,0,7,0,11,5,57,8,589,6,695,9,12,0,7,6,12,8,75,7,372,3,516,8,43,3,26,4,34,3,71,10,358,3,569,32,47,8,69,8,48,14,54,7,338,0,630,18,40,3,68,4,40,4,35,8,114,0,342,58,43,3,89,8,31,5,32,0,106,0,380,179,65,7,181,18,61,26,41,13,167,5,750,120,35,8,125,15,30,9,25,3,58,0,426,112,16,3,74,10,24,7,9,4,36,0,283,71,15,0,30,7,14,3,5,0,17,0,165,140,44,7,94,9,47,0,21
LGA10300,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,4,0,27,0,29,0,0,0,0,0,0,0,4,0,7,0,12,0,0,0,0,0,5,0,0,0,5,0,22,0,5,0,8,0,5,0,0,0,0,0,19,0,0,0,7,0,0,0,0,0,0,0,16,10,0,0,8,0,0,0,0,0,3,0,19,15,4,0,11,0,4,0,0,0,0,0,27,7,0,0,9,0,0,0,0,0,0,0,21,5,0,0,5,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0
LGA10470,3,0,0,0,0,0,0,0,4,55,0,68,0,0,0,0,0,0,0,0,0,26,0,31,0,0,0,0,0,0,0,4,0,7,3,22,0,0,0,0,0,0,0,6,0,21,0,29,3,4,0,0,0,0,0,3,0,79,0,98,0,0,0,0,0,0,0,17,0,34,0,60,0,9,0,0,0,12,0,35,3,367,11,442,0,12,0,7,0,33,3,38,6,191,3,300,16,28,0,28,5,43,3,58,10,223,3,410,14,35,3,61,5,48,6,61,6,220,0,462,29,24,0,64,3,32,0,38,9,58,0,265,59,16,5,67,4,46,0,35,3,55,0,294,235,28,5,131,16,75,3,29,9,69,0,611,195,14,3,110,16,22,7,21,3,43,0,449,119,10,3,61,3,32,0,4,5,15,0,254,112,4,4,25,4,7,0,6,0,14,0,168,149,12,6,64,10,41,0,6
LGA10500,0,0,0,0,0,0,4,5,11,558,8,585,0,3,0,0,0,0,0,8,5,116,0,139,0,0,0,0,0,0,0,17,8,96,0,119,0,0,0,0,0,0,0,21,0,82,0,104,0,5,0,0,0,0,0,31,13,369,5,434,0,9,0,4,0,13,0,52,27,188,4,298,4,10,6,3,0,24,10,84,39,1380,23,1579,4,37,8,3,6,98,6,107,34,603,3,921,8,95,16,27,8,131,25,157,50,415,5,940,30,147,31,89,34,204,44,174,56,408,9,1228,47,106,18,145,39,180,45,114,32,177,0,895,123,124,30,195,52,159,41,102,28,179,6,1034,641,225,56,453,191,403,95,155,37,241,7,2512,719,94,40,394,151,157,46,57,12,93,4,1759,666,49,9,288,112,138,30,43,13,57,3,1411,633,25,21,151,64,58,13,14,3,18,3,1002,1454,50,18,269,97,142,22,42
LGA10550,3,4,0,3,0,0,0,6,0,95,0,103,4,6,0,0,0,0,0,3,4,39,0,54,0,3,0,0,0,0,0,9,0,26,0,36,0,0,0,0,0,0,0,0,0,25,0,34,0,3,0,5,0,0,0,20,0,133,0,169,3,3,0,3,3,7,0,25,4,79,3,134,12,7,4,3,0,15,0,60,0,616,9,730,5,35,6,16,0,32,8,99,6,322,0,533,23,46,0,33,3,44,11,85,8,330,0,575,32,82,4,73,9,35,8,65,13,298,0,624,30,26,0,68,3,34,8,29,12,90,0,299,62,25,0,60,8,41,3,21,5,100,4,333,111,46,5,127,14,50,16,42,0,132,4,547,96,18,3,101,10,22,5,10,9,60,3,337,71,11,4,48,12,14,7,5,0,32,0,210,45,6,0,12,6,5,3,0,0,13,0,99,86,19,3,54,6,24,3,10
LGA10600,0,0,0,0,5,3,0,0,0,29,0,40,0,0,0,0,0,0,0,0,0,15,0,22,0,0,0,0,0,0,0,0,3,17,0,20,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,5,0,3,4,40,0,53,0,0,0,0,0,7,0,8,4,22,0,36,0,7,0,3,0,8,0,16,8,183,5,226,10,11,0,3,3,4,0,23,7,102,0,161,3,21,0,12,0,16,0,39,5,79,0,178,12,25,0,26,0,19,7,16,0,80,4,184,7,10,0,27,3,17,0,7,0,25,0,99,15,11,0,28,0,9,0,13,0,28,0,109,40,19,0,38,6,21,8,15,0,19,0,166,33,9,3,43,0,12,3,7,0,21,0,132,13,7,0,24,0,5,0,0,0,9,0,73,21,0,0,11,0,5,0,4,0,0,0,40,20,8,0,13,3,9,0,3
LGA10650,5,0,0,0,0,0,0,0,0,21,0,24,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,5,0,27,0,35,0,0,0,0,0,0,0,4,0,20,0,31,4,5,0,0,0,3,0,20,0,182,3,214,6,3,0,3,0,10,0,12,0,78,0,115,4,8,0,6,0,16,0,16,3,71,0,125,15,10,0,7,0,10,3,15,4,65,3,132,7,5,4,11,0,4,0,5,0,11,0,45,14,6,0,22,3,9,0,4,0,17,0,71,39,5,0,42,0,7,0,7,3,12,0,122,33,0,3,22,3,4,0,3,0,0,0,77,11,4,0,11,3,3,0,5,0,3,0,38,12,0,0,5,0,0,0,0,0,5,0,19,25,0,0,15,0,3,0,3
LGA10750,5,3,0,0,0,3,4,4,3,1244,24,1293,0,0,0,0,0,6,0,5,0,202,0,211,0,0,0,0,0,0,0,17,7,150,0,184,0,0,0,0,0,7,0,12,9,137,0,170,0,10,0,0,0,4,0,35,23,621,6,716,0,12,0,6,0,15,7,89,30,350,0,512,3,28,10,3,0,77,10,151,57,2433,37,2813,9,46,21,16,6,194,14,176,81,1019,22,1597,19,86,21,38,11,366,27,232,99,848,17,1764,59,114,36,163,57,409,71,238,133,764,14,2059,88,86,27,212,69,367,73,144,73,229,17,1380,231,96,55,253,96,331,63,116,56,178,12,1493,1013,171,101,655,373,625,149,169,78,247,11,3591,1099,84,50,483,294,249,72,72,34,71,3,2509,879,51,29,341,183,217,43,35,21,48,10,1859,777,20,10,179,90,50,29,18,10,18,5,1203,1340,41,14,236,120,201,26,30
LGA10800,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,25,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,4,0,0,0,85,0,96,4,0,0,6,0,0,0,12,0,22,0,53,7,7,0,3,0,7,0,5,0,21,0,54,9,0,0,9,0,6,0,5,5,29,0,59,4,4,0,18,0,7,0,4,0,5,0,33,11,3,0,8,0,3,0,3,0,11,0,43,26,5,0,27,0,9,0,0,0,10,0,81,25,0,0,14,0,0,0,3,0,3,0,52,12,3,0,15,0,0,0,0,0,0,0,36,10,0,0,0,0,0,0,0,0,0,0,16,15,0,0,9,0,0,0,5
LGA10850,3,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,4,0,11,0,12,3,0,0,0,0,5,0,10,0,74,0,96,0,0,0,0,0,9,0,12,4,34,0,69,3,6,0,5,0,19,0,5,0,29,0,67,13,8,0,17,0,17,5,8,3,29,0,93,8,5,0,15,0,10,0,5,0,5,0,39,16,0,0,13,0,3,0,3,6,5,0,54,36,10,0,14,5,11,0,8,0,4,0,94,37,3,0,19,0,5,0,0,5,0,0,73,22,3,0,10,0,0,0,0,0,4,0,48,20,5,0,11,0,0,0,0,0,0,0,34,26,6,0,14,0,3,0,0
LGA10900,0,0,0,0,0,0,0,0,6,102,3,113,0,0,0,0,0,0,0,0,0,55,0,62,0,3,0,0,0,0,0,0,5,35,0,49,0,0,0,0,0,0,0,3,4,25,0,35,0,9,0,0,0,0,0,16,5,173,0,206,0,4,0,0,0,7,0,36,9,90,0,146,4,14,4,6,0,14,3,58,15,672,10,800,0,22,4,7,0,24,3,96,22,458,0,640,0,54,6,20,4,37,20,103,38,578,0,867,17,74,7,43,11,79,31,116,25,562,4,976,24,43,6,54,13,80,20,89,22,225,0,570,38,53,9,90,23,77,20,63,17,168,0,555,147,96,21,238,52,189,35,106,19,229,0,1140,219,62,6,210,53,83,29,62,16,108,0,839,229,29,9,158,46,85,10,39,7,48,0,667,187,12,0,69,25,27,9,14,3,39,0,377,460,41,4,183,36,142,15,32
LGA10950,3,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,18,0,24,0,0,0,0,0,0,0,3,0,11,0,20,4,0,0,4,0,3,0,3,0,0,0,18,4,0,0,3,0,0,0,0,0,5,0,14,0,0,0,7,0,0,0,3,0,4,0,14,5,0,0,11,0,4,0,0,0,0,0,18,14,4,0,6,0,3,0,0,0,3,0,30,12,0,0,6,0,0,0,0,0,0,0,24,7,0,0,5,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,0,0,7,15,0,0,5,0,0,0,0
LGA11150,3,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,16,0,21,0,0,0,0,0,0,0,0,0,7,0,7,3,0,0,0,0,0,0,0,0,5,0,10,3,0,0,3,0,0,0,0,0,8,0,20,0,0,0,3,0,7,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,16,16,0,0,7,0,5,0,0,0,0,0,24,4,0,3,0,0,0,0,0,0,0,0,14,4,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0
LGA11200,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,4,0,5,0,7,3,0,0,0,0,4,0,0,0,4,0,7,0,0,0,0,0,3,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,45,0,56,0,0,0,0,0,3,0,6,0,27,0,42,0,4,0,0,0,5,0,13,0,256,3,287,0,8,0,0,0,7,0,24,5,116,0,166,4,12,0,11,3,26,0,27,6,85,0,175,14,8,0,18,5,19,5,18,3,69,3,166,5,3,0,17,3,30,0,7,3,7,0,84,19,7,0,24,3,24,0,9,0,18,0,105,66,7,0,44,9,33,3,8,3,12,0,189,71,0,0,41,10,19,0,0,0,5,0,156,62,0,0,21,6,15,0,0,0,4,0,116,32,0,3,14,8,6,0,0,0,3,0,63,58,0,3,11,0,4,0,0
LGA11300,0,0,0,0,0,0,0,0,0,177,0,186,0,0,0,0,0,0,0,6,0,45,0,47,0,3,0,0,0,0,0,5,3,18,0,28,0,0,0,0,0,0,0,3,4,17,0,27,0,0,0,0,0,5,0,9,4,99,0,109,0,3,0,0,0,4,0,19,6,46,0,90,0,0,0,0,0,12,0,21,11,275,4,330,0,13,5,4,0,15,3,29,12,124,0,210,6,25,10,5,4,35,12,58,14,119,3,286,3,52,6,41,13,51,19,26,16,111,0,347,8,25,6,28,12,49,10,33,10,39,3,211,25,20,3,41,15,34,9,18,6,50,3,221,95,48,20,98,29,92,16,43,5,72,6,525,102,21,4,58,18,36,6,10,8,27,0,293,90,15,7,40,18,28,11,8,0,11,0,226,82,4,0,22,4,7,4,4,0,3,4,139,256,15,4,61,17,43,0,7
LGA11350,0,0,0,0,0,0,0,0,0,39,0,46,0,0,0,0,0,0,0,5,0,17,0,17,0,0,0,0,0,0,0,8,0,13,0,24,0,0,0,0,0,0,0,0,0,13,0,16,5,9,0,7,0,0,0,10,0,53,0,80,0,3,0,0,0,0,0,17,0,32,0,60,5,12,0,3,0,0,0,40,5,222,0,296,8,18,0,14,0,10,0,44,6,110,5,207,3,35,0,17,0,9,4,55,9,137,3,272,16,74,3,40,3,31,8,53,6,132,0,371,13,28,5,52,3,23,4,32,3,51,0,217,27,40,3,50,3,19,0,21,8,73,0,257,72,77,4,128,8,45,19,48,4,91,3,499,65,29,0,79,3,25,3,25,3,45,0,271,59,28,4,62,4,18,5,8,3,22,0,214,42,6,0,24,3,10,0,8,3,13,0,109,126,51,0,82,13,50,3,42
LGA11400,4,5,0,3,0,0,0,0,0,36,4,44,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,7,4,7,0,0,0,0,0,3,0,38,0,52,0,0,0,0,0,0,0,7,0,17,0,33,0,0,0,3,0,3,0,15,0,174,6,209,10,7,0,3,0,7,0,13,4,56,0,111,6,15,0,12,0,16,0,15,0,48,0,128,16,12,0,27,0,26,0,22,0,47,0,144,15,5,0,30,3,17,7,5,3,15,0,98,24,13,0,31,0,11,0,5,3,19,0,108,68,20,6,52,3,16,3,4,7,12,0,194,60,0,0,33,3,10,5,11,0,6,0,120,45,0,0,20,4,9,0,5,0,7,0,92,31,0,0,12,0,0,0,0,0,0,0,47,64,10,0,30,5,16,0,5
LGA11450,0,0,0,0,0,3,0,8,0,213,0,230,0,0,0,0,0,0,0,3,0,53,0,61,0,0,0,0,0,0,0,11,0,24,0,33,0,0,0,0,0,0,0,8,0,36,0,52,0,0,0,0,0,0,4,15,3,127,0,153,0,3,0,0,0,0,0,17,6,101,0,140,0,3,4,3,0,15,6,38,14,684,7,775,0,17,4,6,0,30,6,60,25,342,0,484,10,11,9,21,3,84,9,61,30,316,0,553,29,52,7,54,12,103,32,64,32,287,0,667,28,16,11,72,27,98,15,42,14,106,0,424,54,28,12,94,34,101,30,35,14,96,4,498,413,88,33,295,98,192,46,64,28,105,4,1366,535,53,13,263,116,88,37,31,8,48,0,1193,454,23,15,190,74,56,13,15,5,26,3,872,370,12,10,87,36,26,8,4,0,15,0,559,560,26,7,148,68,84,12,11
LGA11500,0,0,0,3,0,4,0,0,5,412,10,435,0,0,0,0,0,0,0,5,5,83,0,93,0,0,0,0,0,0,0,15,7,69,0,90,0,0,0,0,0,0,0,12,3,87,0,99,0,4,0,0,0,3,0,30,12,303,10,359,0,4,7,0,0,19,0,49,22,197,4,291,0,3,6,0,0,39,0,65,38,1388,16,1562,0,19,6,4,0,102,8,112,50,633,14,957,6,39,10,17,7,171,15,130,61,512,0,976,30,67,20,104,26,223,33,117,66,482,8,1170,49,44,26,108,42,213,29,80,36,172,0,798,124,56,26,151,67,191,45,61,25,121,0,873,519,86,45,373,197,306,61,77,52,134,7,1847,449,48,33,235,126,109,46,33,15,59,0,1157,388,27,24,131,104,77,16,17,10,29,0,824,278,10,11,76,45,16,11,4,4,20,0,474,417,21,6,101,60,73,10,17
LGA11520,0,0,0,0,0,0,0,0,0,261,0,271,0,3,0,0,0,0,0,5,0,87,0,92,0,4,0,0,0,0,0,9,0,36,0,53,0,0,0,0,0,0,0,6,3,31,0,41,0,0,0,0,0,0,0,12,5,171,3,198,0,0,0,0,0,0,3,27,12,91,0,134,0,7,7,0,0,22,4,31,18,582,3,678,0,18,8,3,0,37,10,33,15,294,6,425,11,35,14,17,4,61,12,80,31,297,4,553,11,53,11,38,14,81,15,98,33,334,6,689,9,25,11,49,12,75,16,56,20,128,0,407,29,42,12,64,13,76,10,49,17,156,3,468,238,100,27,201,74,174,51,89,16,237,4,1199,322,72,17,199,62,79,22,68,12,131,0,987,380,48,5,164,46,112,10,40,7,70,0,880,374,18,5,113,33,31,9,8,3,50,0,655,1371,68,16,312,70,242,18,78
LGA11570,0,0,0,0,0,4,0,5,0,1200,16,1240,0,0,0,0,0,3,0,11,7,256,9,285,0,0,0,0,0,0,0,18,8,204,4,237,0,0,0,0,0,5,0,25,12,163,0,204,0,3,7,0,0,3,0,52,27,929,20,1049,0,3,6,4,0,22,8,88,47,489,5,668,4,22,11,0,0,70,12,131,99,3369,44,3758,9,35,29,10,0,150,23,181,128,1303,15,1890,14,89,39,37,11,298,49,272,127,1019,16,1973,49,132,84,149,34,336,68,245,141,884,11,2133,48,80,54,127,59,258,61,133,96,313,9,1236,132,92,61,170,83,245,63,114,75,311,14,1368,541,172,122,412,282,460,133,183,105,344,7,2756,606,75,52,368,203,221,69,97,33,138,10,1883,515,53,36,230,124,172,36,44,19,77,9,1326,434,22,22,117,66,51,22,11,11,32,6,792,977,48,14,232,124,152,25,44
LGA11600,5,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,3,18,0,0,0,0,0,3,0,0,0,11,0,18,6,3,0,4,0,5,0,0,0,3,0,26,8,5,0,3,0,5,3,3,0,0,0,26,3,0,0,6,0,4,0,0,0,0,0,21,9,0,0,5,0,3,0,0,0,0,0,21,24,4,0,10,7,3,0,0,0,0,0,46,14,5,0,10,3,0,0,0,0,0,0,27,6,0,0,6,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,3,8,0,0,7,0,0,0,0
LGA11650,0,4,3,3,0,6,0,6,3,654,15,700,0,11,0,0,0,5,0,17,0,273,3,303,0,4,0,0,0,0,0,29,8,147,0,199,0,0,0,0,0,4,0,16,9,145,3,183,3,17,7,0,0,7,0,60,13,826,14,952,0,21,4,0,0,24,4,112,27,468,0,666,6,42,10,10,3,62,13,256,87,4266,57,4806,9,71,16,33,7,157,21,350,100,2310,33,3111,45,133,30,87,16,289,44,375,94,2155,28,3287,89,268,47,258,59,368,94,405,101,2024,21,3732,115,154,37,333,85,343,74,215,60,646,11,2060,256,168,32,377,108,348,67,183,66,652,7,2267,1070,332,74,1002,264,612,142,250,88,690,14,4538,932,166,50,699,257,244,74,129,33,285,7,2885,796,96,34,466,122,197,43,73,20,184,11,2057,582,46,5,225,77,62,22,32,11,82,6,1149,1247,122,26,475,135,376,32,112
