LGA_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
LGA10800,711,637,173,14,1529,551,47,59,2180,4,0,0,0,0,12,0,3,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,3,18,6,0,9,0,16,63,0,11,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,4,8,0,9,0,21,64,0,11,100,0,0,0,0,0,6,0,35,43,0,0,0,0,0,0,0,0,3,4,8,3,0,15,9,0,0,21,3,8,3,0,20,14,0,35,71,0,0,0,0,0,0,0,0,0,723,649,183,13,1567,640,49,109,2366,664,543,220,16,1453,587,27,227,2286,0,0,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,0,0,4,0,4,56,0,15,74,0,0,0,0,0,0,0,0,0,0,0
LGA10850,715,792,260,27,1793,589,36,97,2510,9,3,11,0,25,28,4,4,57,5,0,0,0,5,0,0,0,3,11,8,11,0,27,28,4,4,60,0,5,3,3,12,44,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,8,0,0,3,0,5,3,3,12,43,0,0,55,0,0,0,0,0,12,0,10,16,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,0,0,12,0,0,4,0,3,13,0,10,24,0,0,0,0,3,0,0,0,4,731,797,276,27,1831,675,38,111,2658,761,787,286,25,1853,611,45,144,2657,8,0,3,0,13,15,0,3,33,0,4,0,0,5,0,0,0,7,4,5,3,0,16,15,0,3,36,6,0,3,0,9,49,0,16,70,0,0,0,0,0,0,0,0,0,0,0
LGA10900,7204,9005,2883,164,19259,5997,720,1144,27117,233,87,91,0,407,514,37,54,1011,92,43,56,3,201,255,10,34,503,324,124,143,9,603,761,48,84,1507,55,18,32,6,108,287,21,37,448,10,0,9,0,22,50,7,5,79,0,0,0,0,0,8,0,0,8,..,..,..,..,..,..,..,..,..,12,4,15,0,29,51,0,4,86,78,27,46,5,159,395,27,46,621,6,0,0,0,5,10,0,32,43,0,0,0,0,3,0,0,33,33,4,7,0,0,13,15,3,4,29,9,7,5,0,21,24,3,63,109,3,0,0,0,5,8,3,0,22,7621,9166,3079,180,20049,7182,798,1338,29378,7627,8945,2865,198,19641,6090,754,1134,27617,159,56,72,3,291,492,30,65,878,113,48,81,4,245,326,20,35,629,275,97,150,9,533,818,52,106,1504,42,18,41,8,107,290,31,42,468,17,3,8,5,32,91,13,7,148,0,0
LGA10950,254,307,123,6,693,260,19,65,1039,3,6,0,0,7,20,0,4,32,0,0,0,0,0,0,0,0,0,3,6,0,0,7,20,0,4,32,0,0,5,0,3,24,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,5,0,3,24,0,4,30,5,0,0,0,3,8,0,40,48,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,10,5,0,0,0,7,9,0,43,61,0,0,0,0,0,0,0,7,11,263,316,127,8,717,313,19,117,1169,256,259,99,12,622,241,19,85,968,9,0,0,0,11,16,0,9,30,3,0,0,0,3,0,0,0,3,9,0,0,0,14,20,0,9,39,3,3,0,0,5,22,0,6,31,0,0,0,0,0,0,0,0,0,0,0
LGA11150,229,255,110,15,614,255,22,124,1010,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,3,0,4,0,11,18,3,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3,0,4,0,11,18,3,14,42,4,0,0,0,3,7,0,102,116,0,0,0,0,0,0,0,21,21,0,0,0,0,0,4,0,3,5,4,0,0,0,3,12,0,131,147,0,0,0,0,0,0,0,6,6,237,256,117,15,628,285,25,269,1209,179,211,114,12,516,216,13,184,927,4,0,0,0,5,9,0,8,24,0,0,0,0,0,0,0,0,0,4,0,0,0,5,9,0,8,24,4,0,3,0,8,25,0,5,38,0,0,0,0,0,0,0,0,0,0,0
LGA11200,112,140,94,19,361,146,20,37,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,19,15,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,5,0,10,0,19,15,0,9,45,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5,12,0,0,0,0,4,3,0,0,4,113,147,108,22,388,164,21,49,627,115,108,115,17,349,133,21,60,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,6,0,8,8,0,0,15,5,0,5,0,10,16,0,0,29,0,0
LGA11250,2008,1589,969,63,4630,2247,138,401,7417,8,0,9,0,17,55,0,37,108,0,0,0,0,0,4,0,0,4,8,0,9,0,17,59,0,37,114,21,20,22,5,68,168,10,33,273,0,0,0,0,0,0,0,0,0,16,17,10,0,45,25,0,3,73,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,42,35,31,5,116,194,10,39,354,6,0,0,0,11,6,0,136,156,0,0,0,0,0,0,0,3,3,0,0,0,0,5,4,0,0,9,14,0,0,0,12,9,0,140,169,0,3,0,0,3,0,0,9,12,2073,1633,1011,72,4776,2508,149,623,8057,1840,1449,995,76,4359,2254,179,369,7161,15,13,15,0,46,104,0,16,174,4,3,6,0,11,4,0,6,21,17,19,15,0,54,107,0,26,189,12,7,4,0,25,153,5,37,220,0,0,0,0,0,0,0,0,0,0,0
LGA11300,1175,2617,634,117,4541,848,241,168,5794,163,266,83,20,530,231,41,30,823,72,154,51,5,284,96,17,18,419,237,419,134,25,815,326,61,43,1241,191,144,99,18,450,298,113,96,963,374,315,156,65,909,367,231,77,1597,354,308,162,57,877,328,209,105,1522,..,..,..,..,..,..,..,..,..,6,11,0,0,15,12,0,7,27,928,773,417,141,2259,1008,559,283,4110,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,18,10,5,0,35,23,3,19,76,18,10,5,0,35,23,3,18,81,0,6,3,0,4,3,0,4,12,2360,3822,1192,278,7655,2208,863,516,11243,1031,2059,548,91,3731,715,268,163,4873,137,256,68,12,481,181,42,25,728,253,592,163,18,1014,202,56,40,1312,387,843,234,31,1492,381,97,65,2039,201,146,88,27,460,306,92,88,942,464,406,169,66,1104,397,309,99,1912,637,454
LGA11350,2359,2662,1340,73,6431,2131,636,571,9766,83,59,68,3,211,202,49,44,504,122,67,97,11,296,182,86,72,634,204,125,169,11,512,387,132,109,1136,67,29,80,3,183,260,32,88,561,15,0,6,0,23,37,3,17,79,4,3,0,0,6,0,0,0,3,..,..,..,..,..,..,..,..,..,9,3,4,0,16,37,8,8,66,85,35,97,3,223,335,44,110,711,49,14,18,0,87,191,15,251,544,0,0,0,0,0,12,0,147,156,9,4,4,0,15,28,5,8,52,58,16,28,0,101,230,18,404,758,3,5,0,0,8,15,3,7,31,2714,2840,1634,85,7270,3090,835,1202,12403,2530,2602,1233,78,6437,2123,703,1246,10508,90,52,72,5,219,167,63,69,521,78,72,63,0,220,106,50,68,435,170,129,138,5,437,270,106,138,956,93,49,72,5,212,361,47,121,745,7,6,19,0,31,40,4,19,101,0,0
LGA11400,1512,1519,400,36,3463,973,69,102,4607,5,6,0,0,12,38,0,0,51,0,0,0,0,7,11,0,0,12,4,6,5,0,17,46,0,0,64,9,0,0,0,15,44,4,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,5,9,0,0,0,15,50,4,0,69,4,7,0,0,9,26,0,7,45,0,5,0,0,10,6,0,5,16,3,7,0,0,15,9,0,0,23,8,12,0,0,24,40,0,15,79,3,0,0,0,3,0,0,0,5,1545,1542,408,33,3527,1106,72,120,4823,1421,1572,397,27,3418,1026,72,291,4796,4,0,0,0,4,24,0,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,5,34,7,0,3,0,17,57,5,0,76,0,0,0,0,0,0,0,0,0,0,0
LGA11450,4024,8171,1923,140,14254,1882,266,437,16840,136,114,62,0,311,315,20,20,664,89,110,64,6,263,98,14,15,388,224,222,118,7,576,416,32,38,1054,31,3,17,4,51,162,16,29,264,12,0,0,0,13,15,0,0,22,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,5,0,13,14,0,0,24,47,7,19,4,75,184,16,29,305,24,0,3,4,33,100,3,18,158,0,0,0,0,0,0,0,4,4,3,3,0,0,7,4,0,3,14,30,11,3,0,43,103,3,23,178,10,6,0,0,17,9,0,0,23,4330,8417,2070,152,14962,2592,317,532,18411,5497,11290,2535,197,19516,2464,326,811,23122,175,108,88,13,379,452,13,57,898,129,144,111,0,387,187,19,35,628,300,256,199,14,771,636,26,87,1520,24,4,16,3,52,106,0,11,160,6,0,0,0,6,27,0,0,35,0,0
LGA11500,8172,16698,6458,475,31806,5501,745,1225,39277,728,789,670,62,2255,1330,112,158,3857,542,918,919,62,2436,1022,129,251,3837,1265,1715,1590,123,4691,2350,239,413,7694,158,97,108,18,377,602,28,94,1103,146,42,31,3,218,207,20,36,478,96,21,31,8,149,118,18,17,297,..,..,..,..,..,..,..,..,..,9,6,4,0,19,35,5,6,62,408,167,172,19,764,955,67,150,1935,0,0,0,0,0,5,0,0,5,0,0,5,0,5,0,0,8,7,26,52,19,6,101,32,0,5,144,26,52,16,6,107,36,0,12,157,4,9,5,0,12,8,0,0,24,9878,18638,8237,622,37379,8856,1053,1795,49082,8539,17492,6558,494,33077,5403,825,1473,40787,701,872,712,73,2349,1444,103,278,4178,655,1206,984,69,2915,1336,125,464,4839,1357,2077,1692,138,5269,2775,231,743,9016,215,129,118,13,480,500,33,101,1115,89,59,43,5,197,148,17,70,430,269,128
LGA11520,2941,6159,1210,158,10468,1991,296,374,13128,283,375,93,14,770,256,47,36,1111,627,750,244,38,1659,521,118,116,2412,916,1126,338,53,2426,781,160,154,3524,581,337,194,38,1141,918,125,127,2312,1006,608,323,61,1999,1054,287,290,3637,2169,1207,404,129,3904,1636,591,733,6868,..,..,..,..,..,..,..,..,..,7,6,5,0,19,14,0,4,40,3762,2159,911,224,7065,3627,1006,1157,12854,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,39,34,14,0,80,43,10,29,164,39,34,14,0,80,39,10,35,167,25,9,4,0,36,18,5,5,64,7678,9479,2481,445,20080,6457,1482,1719,29736,2738,6148,1216,192,10296,1785,302,370,12749,232,397,108,10,751,272,34,61,1119,520,700,227,27,1476,387,56,120,2040,751,1099,338,34,2223,664,91,181,3158,926,595,331,46,1901,1257,223,310,3687,995,719,310,55,2080,1024,285,309,3701,3371,2010
LGA11570,13177,29515,8848,921,52457,10079,1186,2092,65811,960,1722,719,77,3483,1595,122,246,5449,1557,3902,1495,118,7068,1550,232,454,9307,2513,5620,2211,202,10548,3153,353,701,14752,2572,3710,1680,279,8240,4486,660,1115,14501,1472,2318,1255,154,5206,2262,328,644,8444,679,1018,457,70,2225,903,134,296,3560,..,..,..,..,..,..,..,..,..,32,41,31,3,105,95,7,18,221,4750,7088,3418,517,15776,7746,1127,2085,26728,9,11,0,0,19,35,0,11,64,0,6,4,0,13,7,0,3,25,69,129,71,5,267,116,32,81,499,71,142,74,5,294,161,32,96,591,36,88,27,7,167,60,10,7,244,20561,42451,14583,1643,79243,21197,2708,4978,108122,12225,29038,8525,1059,50848,9302,1369,2499,64018,707,1223,596,83,2611,1379,133,245,4363,2236,6131,2085,182,10632,2215,340,638,13826,2951,7348,2678,267,13245,3589,469,887,18190,2452,3677,1505,256,7894,4099,814,972,13774,1920,3236,1460,178,6792,2715,508,849,10859,1244,1509
LGA11600,282,283,86,10,660,238,20,36,953,0,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,4,0,0,0,4,18,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,3,4,0,0,0,4,20,4,0,32,6,0,0,0,10,15,0,27,55,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,4,7,0,0,0,10,17,4,32,64,0,0,0,0,0,0,0,0,0,291,287,86,10,670,281,27,72,1057,282,275,86,11,649,238,32,73,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,12,18,0,9,38,0,0,0,0,0,0,0,0,0,0,0
LGA11650,25451,32272,13034,856,71618,19337,2344,2985,96292,2157,842,1071,78,4142,4411,224,277,9058,1159,890,874,57,2982,1853,235,292,5361,3316,1731,1943,131,7127,6265,461,568,14417,1080,298,498,53,1929,3421,178,307,5834,305,107,175,18,604,672,74,179,1529,428,148,172,11,758,589,116,144,1614,..,..,..,..,..,..,..,..,..,37,10,27,0,76,150,14,22,249,1854,563,867,78,3366,4828,376,654,9226,188,39,99,0,333,787,29,187,1340,0,0,0,0,3,4,0,121,131,29,38,26,4,101,80,10,13,201,216,79,127,6,434,865,38,327,1664,19,20,26,3,61,67,7,29,165,30859,34660,16003,1078,82609,31361,3240,4558,121760,26089,33425,12826,932,73273,19069,2729,3799,98875,2361,674,1061,103,4198,4948,236,583,9964,1270,850,982,45,3145,2250,249,375,6017,3625,1521,2044,148,7347,7197,484,953,15980,1244,470,671,62,2456,3359,248,501,6563,359,149,190,21,716,702,97,160,1680,459,180
LGA11700,150,145,87,10,385,204,12,79,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,19,22,3,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,11,0,3,0,19,22,3,4,44,9,0,0,0,9,16,0,56,81,0,0,0,0,0,0,0,8,12,3,0,0,0,9,10,0,0,25,13,0,0,0,15,27,0,68,108,3,16,11,0,30,14,6,11,56,181,158,102,12,451,267,17,161,891,111,130,93,6,338,200,14,121,668,0,0,0,0,3,10,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,8,24,5,0,4,0,8,8,0,0,17,0,0,0,0,0,0,0,0,0,0,0
LGA11720,4570,5579,2463,156,12768,3536,405,628,17337,165,87,128,4,383,406,33,37,861,12,0,9,0,23,29,0,6,58,177,90,140,4,408,437,36,45,928,89,28,58,5,181,332,21,35,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,11,0,7,0,15,6,0,0,15,99,29,62,5,194,340,21,35,593,16,0,4,0,14,25,0,49,93,3,0,4,0,8,0,0,0,8,4,5,0,0,15,11,0,0,24,18,12,10,0,34,31,0,53,125,5,5,0,0,10,0,0,11,18,4865,5712,2674,168,13420,4346,467,766,19003,4755,5668,2627,189,13242,3725,452,1050,18470,220,93,212,10,536,689,41,99,1361,21,17,29,0,70,137,18,22,241,248,109,239,10,604,828,54,123,1600,24,19,27,3,74,205,12,38,333,0,0,0,0,0,0,0,0,0,0,0
LGA11730,5748,4469,2097,165,12485,3892,426,540,17346,113,30,58,3,198,303,17,25,543,53,28,47,7,133,126,19,16,291,162,61,99,8,333,430,26,43,841,172,46,125,8,350,600,45,116,1110,17,3,4,0,32,39,5,33,111,0,0,0,0,3,8,0,6,20,..,..,..,..,..,..,..,..,..,0,0,0,0,5,14,0,0,15,198,54,133,16,392,659,51,154,1254,97,20,14,0,137,265,11,477,889,7,4,3,0,15,24,0,18,58,17,16,10,0,47,34,3,10,90,126,39,34,0,192,323,12,503,1031,6,0,3,0,11,19,0,6,33,6238,4626,2360,186,13408,5323,525,1241,20498,5817,4133,2062,167,12184,4126,508,1176,17986,150,31,56,4,240,451,13,53,761,71,36,69,0,185,174,19,49,434,223,67,127,7,429,629,41,100,1196,131,35,100,12,277,550,33,125,986,18,7,5,6,33,42,9,48,125,0,0
LGA11750,431,480,152,17,1085,397,34,122,1635,8,0,0,0,11,12,0,0,22,0,0,0,0,0,0,0,0,0,8,0,0,0,11,12,0,0,22,19,6,5,0,33,84,5,22,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,19,6,5,0,33,84,5,22,139,8,0,0,0,10,18,0,73,99,0,0,0,0,0,0,0,5,6,0,6,0,0,3,6,0,0,9,5,3,0,0,12,27,0,76,117,0,0,0,0,0,3,0,19,22,472,492,159,18,1139,518,40,239,1936,431,444,148,18,1041,388,34,172,1633,6,0,0,0,12,13,0,8,30,0,0,0,0,0,0,0,0,0,6,0,0,0,12,13,0,8,30,17,3,10,0,23,72,3,46,141,0,0,0,0,0,0,0,0,0,0,0
LGA11800,6354,6415,2655,145,15565,3729,566,605,20473,387,134,229,12,760,860,71,52,1740,309,151,175,15,646,453,82,74,1261,693,286,406,26,1407,1312,153,125,3005,292,135,262,16,705,1175,123,179,2181,58,22,23,3,106,108,19,22,257,73,18,17,0,106,118,13,38,270,..,..,..,..,..,..,..,..,..,8,9,10,0,27,41,0,4,75,421,182,314,27,942,1435,163,234,2778,206,27,57,0,289,420,16,550,1275,0,0,0,0,0,6,0,6,20,13,5,9,0,22,18,7,9,50,216,33,60,0,312,445,19,566,1347,0,0,0,0,0,8,0,3,15,7692,6914,3430,195,18235,6936,900,1541,27617,6469,6327,2627,143,15574,3868,648,1095,21192,418,191,299,15,932,966,67,172,2134,347,191,204,13,751,521,86,128,1481,763,383,501,29,1680,1480,157,300,3614,325,174,309,23,835,1116,145,203,2304,56,46,35,0,134,163,22,32,359,86,21
LGA12000,466,441,134,15,1049,331,30,55,1465,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,18,0,0,0,17,34,0,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,18,0,0,0,17,34,0,6,58,4,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,11,7,0,0,0,9,7,0,3,23,0,0,0,0,0,0,0,0,0,493,441,135,15,1082,376,31,62,1552,471,439,136,20,1069,342,32,133,1573,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,8,22,0,4,33,0,0,0,0,0,0,0,0,0,0,0
LGA12150,417,348,228,30,1025,398,29,75,1530,9,0,4,0,13,21,0,3,35,0,0,0,0,0,0,0,0,0,9,0,4,0,13,21,0,3,35,0,0,0,0,8,32,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,0,5,41,3,0,0,0,3,0,0,20,22,0,0,0,0,0,0,0,4,3,0,5,0,0,5,3,0,0,9,3,5,0,0,4,11,0,23,37,0,0,0,0,4,0,0,0,4,436,353,234,30,1046,455,29,108,1644,358,286,209,16,867,367,37,231,1503,4,0,0,0,3,5,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,0,15,8,0,3,0,10,42,0,19,75,0,0,0,0,0,0,0,0,0,0,0
LGA12160,1371,1100,405,33,2911,1075,60,113,4163,14,0,7,0,18,33,0,0,55,3,6,0,0,6,3,0,0,7,15,0,7,0,26,39,0,0,64,36,0,10,3,46,123,4,12,188,0,0,0,0,0,10,3,6,14,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3,0,0,0,3,3,0,0,6,39,4,10,3,45,137,3,16,213,3,0,0,0,3,14,0,18,39,0,0,0,0,0,0,0,0,0,3,14,4,0,21,14,0,6,42,15,14,4,0,26,29,0,20,79,5,0,0,0,5,0,0,0,5,1436,1119,420,36,3012,1278,73,161,4520,1390,1004,407,43,2842,1111,93,220,4268,19,4,7,0,25,99,0,13,142,0,0,0,0,9,18,0,0,23,26,8,3,0,35,110,0,16,164,9,3,6,0,19,72,0,7,99,0,0,0,0,0,0,0,0,0,0,0
