LGA_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
LGA10050,0,0,28,49,29,13,3,0,0,94,31,21,3,4,3,0,65,6018,6738,2743,2536,1043,420,19496,4326,6470,2709,2675,1188,493,17855,2132,929,259,87,23,19,3447,268,110,33,15,3,0,431,2395,1041,299,100,29,19,3878,151,60,7,6,0,0,219,40,22,13,0,0,0,69,13,11,0,0,0,0,32,0,0,0,0,0,0,0,4,0,4,0,0,0,3,213,88,18,8,0,0,325,38,10,0,0,0,0,50,0,0,0,0,0,0,0,5,6,9,0,0,0,19,42,22,5,0,0,0,74,22,13,3,3,0,0,49,7002,7630,3031,2789,1219,512,22182
LGA10180,0,0,11,19,11,9,0,0,0,40,37,27,12,9,6,0,84,2908,3532,1390,1261,577,273,9935,2408,3344,1233,1151,518,310,8967,554,236,70,62,16,9,943,93,41,15,12,0,4,161,646,278,86,70,21,7,1108,267,86,35,16,6,0,416,21,18,4,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,289,110,45,27,6,0,468,37,6,0,0,0,0,40,0,0,0,0,0,0,0,6,3,4,0,0,0,12,36,12,3,0,0,0,55,14,8,4,4,3,0,33,3399,3754,1367,1251,545,317,10636
LGA10250,0,0,23,310,141,18,9,0,0,486,43,27,11,6,8,0,106,4594,6227,2244,1988,829,332,16219,2737,5192,2012,1966,836,386,13126,1047,762,232,152,46,9,2245,611,580,200,106,31,3,1530,1659,1339,430,261,76,14,3776,344,187,53,34,7,5,629,64,67,13,6,0,0,156,25,41,0,0,0,0,67,10,11,0,0,0,0,19,24,12,3,0,0,0,47,462,322,81,36,11,9,921,242,107,10,3,0,0,367,3,0,0,0,0,0,8,11,11,0,0,0,0,24,257,121,16,3,0,0,397,40,21,7,0,0,0,64,5155,6995,2536,2271,923,403,18281
LGA10300,0,0,5,12,6,0,0,0,0,17,0,0,0,0,0,0,5,222,286,110,74,76,36,806,170,242,87,78,55,34,660,23,4,0,0,0,0,25,0,0,0,0,0,0,0,23,4,0,0,0,0,25,8,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,12,4,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,3,4,3,0,0,0,0,10,8,14,0,0,0,0,26,208,268,93,75,55,38,733
LGA10470,4,0,20,15,18,5,0,6,0,42,119,21,7,4,0,4,154,3888,4904,2136,2091,942,454,14409,2989,4914,2113,2064,989,467,13526,713,351,121,52,18,11,1257,206,92,35,21,0,6,366,921,448,154,77,17,16,1633,455,157,31,23,0,3,677,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,19,470,171,33,24,0,3,699,4,3,4,0,0,0,18,0,0,0,0,0,0,3,5,8,0,4,0,3,16,14,17,4,3,7,3,41,19,14,4,8,0,0,39,4406,5555,2313,2166,1010,488,15942
LGA10500,20,14,389,171,128,69,51,20,19,457,92,63,40,15,11,9,225,12502,16550,10076,9237,3823,2194,54380,3451,6296,4162,4726,2258,1475,22373,1411,1453,759,664,185,85,4552,702,962,669,728,252,99,3418,2114,2407,1429,1393,438,183,7970,1293,897,420,318,94,34,3059,2470,2046,1079,685,181,58,6516,4068,4979,2444,1364,379,135,13367,2597,4604,1954,985,352,181,10682,82,76,45,23,10,9,255,10521,12602,5948,3370,1014,412,33875,52,15,0,0,0,0,68,0,3,0,0,0,0,4,150,124,63,38,10,13,388,195,141,66,38,10,13,462,66,41,21,17,5,5,157,16347,21487,11629,9550,3728,2090,64833
LGA10550,0,0,43,160,82,19,5,0,0,267,43,65,14,5,0,3,130,4021,5465,1597,1302,555,287,13218,3159,5392,1519,1352,599,317,12340,505,202,37,16,9,0,766,255,186,36,22,8,5,504,760,381,70,42,14,4,1267,394,185,44,14,3,0,638,19,18,0,0,0,0,37,3,0,0,0,0,0,3,0,0,0,0,0,0,0,7,6,5,0,0,0,19,422,205,48,13,3,0,700,126,75,10,6,0,3,218,6,0,0,0,0,0,4,9,12,0,0,0,0,18,138,83,10,6,0,10,241,27,29,6,5,3,0,73,4511,6090,1663,1416,619,334,14630
LGA10600,0,0,8,59,23,4,3,0,0,92,14,22,5,0,0,3,50,1436,1930,666,587,232,115,4966,1249,1885,656,556,260,116,4721,81,48,7,5,6,0,150,25,13,9,3,0,3,46,106,60,8,9,6,3,198,91,45,10,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,11,93,50,12,4,0,0,157,47,32,4,3,0,0,83,0,0,0,0,0,0,0,0,7,0,0,0,0,8,49,27,4,6,0,0,87,5,4,4,5,0,0,22,1502,2033,687,582,264,121,5185
LGA10650,0,0,40,57,41,5,10,0,0,121,3,0,0,0,0,0,8,1077,1297,322,321,160,86,3264,858,1293,356,301,158,71,3041,160,66,14,5,0,0,239,0,0,0,0,0,0,0,160,66,14,5,0,0,239,18,10,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,4,0,0,0,34,5,4,0,0,3,0,16,0,0,0,0,0,0,0,0,8,0,0,0,0,12,12,13,3,6,3,4,24,18,11,0,0,0,0,30,1065,1386,373,311,162,72,3373
LGA10750,15,10,162,192,129,56,46,19,12,450,103,85,71,44,24,16,344,15361,24668,20042,22559,10726,7755,101110,13167,24263,20205,23517,10185,7056,98390,1274,1102,714,676,266,145,4189,1832,2220,2244,2397,1010,580,10286,3112,3331,2961,3074,1277,726,14480,743,189,87,67,22,8,1118,271,93,60,43,12,4,486,1658,1882,1124,719,195,45,5624,43,64,73,31,9,0,224,191,227,126,95,37,30,705,2906,2452,1466,963,273,95,8158,4,0,0,0,0,0,5,3,3,0,4,0,0,10,15,23,18,15,7,0,78,24,27,18,18,7,0,98,59,52,42,28,20,10,213,19260,30127,24690,27598,11768,7894,121337
LGA10800,0,0,8,7,6,3,0,0,0,12,13,11,4,3,4,0,36,667,809,250,207,161,82,2185,567,730,262,215,126,64,1968,54,20,4,0,4,0,90,0,0,0,0,0,0,0,54,20,4,0,4,0,90,24,4,6,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,6,3,0,0,44,9,3,0,0,0,0,16,0,0,0,0,0,0,3,3,3,0,0,0,0,9,14,8,8,0,0,0,21,18,7,6,4,0,0,34,676,779,282,221,130,65,2151
LGA10850,0,0,22,11,15,0,0,4,0,30,32,0,0,0,0,0,30,709,964,364,336,197,88,2656,628,979,401,336,198,97,2628,50,14,5,5,0,0,72,7,3,0,0,0,0,8,61,17,5,5,0,0,82,19,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,4,0,0,7,4,7,0,4,0,0,13,0,0,0,0,0,0,8,708,1005,409,342,203,97,2763
LGA10900,0,0,30,22,19,3,6,0,0,54,54,36,10,11,3,0,105,7384,10045,4306,4230,1875,785,28628,6667,10420,4290,4239,1788,724,28125,473,214,60,29,3,5,783,297,157,64,29,4,8,554,774,374,121,61,10,8,1339,434,104,27,19,0,0,584,125,55,13,0,0,0,195,27,3,0,0,0,0,31,0,0,0,0,0,0,0,50,44,18,13,6,0,131,628,209,59,31,10,8,943,3,0,0,0,0,0,3,0,0,0,0,0,0,0,22,19,5,0,0,0,38,25,18,5,0,0,0,47,47,9,0,3,0,0,71,8142,11029,4468,4333,1805,738,30528
LGA10950,0,0,8,5,4,0,0,0,0,12,3,4,0,0,0,0,10,297,344,117,110,63,38,972,222,297,119,109,58,35,840,38,13,0,0,0,0,51,5,0,0,0,0,0,5,36,13,0,0,0,0,47,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,0,0,0,0,11,11,0,3,0,0,3,22,278,313,123,110,62,38,923
LGA11150,0,0,8,14,13,0,0,0,0,24,4,10,0,0,4,0,11,266,260,115,87,62,42,829,212,210,115,85,57,35,717,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,10,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15,7,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,7,7,0,9,0,0,0,23,243,222,126,88,56,35,774
LGA11200,0,0,4,4,3,0,0,0,0,5,0,0,0,0,0,0,6,159,179,79,58,40,36,554,149,135,45,38,19,22,417,18,14,3,0,0,0,36,0,0,0,0,0,0,0,18,14,3,0,0,0,36,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,4,4,0,0,0,0,15,177,152,49,40,28,30,473
LGA11250,0,0,3,7,9,4,0,3,0,18,8,11,7,0,0,0,24,2534,2530,947,725,302,144,7184,2413,2442,922,713,279,134,6910,115,30,4,9,0,0,158,7,5,4,0,0,0,17,124,40,7,6,0,0,177,152,27,7,3,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,27,7,5,0,0,186,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,8,14,10,0,0,0,0,25,2713,2507,941,730,279,134,7308
