LGA_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
LGA10050,0,0,8,8,10,97,394,308,116,126,37,15,1106,0,0,5,11,19,69,39,27,0,4,0,7,199,0,0,0,6,13,170,304,111,43,73,23,16,773,0,0,0,5,5,29,53,29,11,6,3,13,140,0,0,9,31,64,138,133,22,33,13,3,13,456,0,3,11,66,58,74,30,15,5,4,4,3,272,0,0,4,6,11,20,15,5,5,6,0,4,70,0,0,0,0,4,6,20,6,0,4,5,7,42,28,5,92,601,242,332,100,40,14,9,6,80,1534,0,0,0,12,6,14,0,0,0,0,0,303,342,34,5,121,744,433,957,1085,546,228,247,87,452,4934,0,0,5,9,4,48,238,260,138,187,89,101,1071,0,0,0,3,10,42,49,30,14,9,8,14,163,6,3,8,4,12,205,599,355,170,190,49,113,1715,0,0,0,0,0,32,76,60,37,24,13,20,271,4,0,0,11,54
LGA10180,3,0,12,8,12,66,215,123,47,64,31,10,589,0,0,3,15,15,45,19,8,8,4,3,7,133,4,0,0,14,25,111,137,60,26,34,8,5,421,3,0,0,7,3,17,15,10,3,7,0,6,63,0,0,4,13,43,60,58,23,25,13,0,5,246,0,0,18,49,38,53,27,12,10,0,0,3,210,0,0,3,4,7,15,9,0,4,0,0,0,33,0,0,0,0,0,6,6,0,4,0,0,3,28,13,5,48,271,109,203,61,23,11,5,6,30,789,0,0,0,12,5,4,3,0,0,0,0,175,197,29,7,80,394,259,574,546,257,134,140,54,244,2713,0,0,3,0,11,40,174,123,82,98,46,74,650,0,0,4,5,5,26,27,12,3,5,0,5,97,0,0,6,8,18,125,275,131,70,97,16,57,801,0,0,0,6,0,21,39,24,3,9,3,16,119,0,0,6,10,41
LGA10250,9,0,5,12,19,92,205,159,57,85,36,9,693,6,0,7,15,14,78,73,26,9,13,8,5,247,0,0,3,18,14,163,215,89,39,59,12,7,617,0,0,0,0,9,22,36,24,10,11,0,12,123,0,0,5,20,55,100,98,20,29,12,8,12,366,4,0,11,69,72,110,45,15,4,4,0,9,339,0,0,0,6,10,20,11,6,12,0,0,4,63,0,0,0,0,4,4,16,3,3,6,0,3,48,33,6,81,708,371,551,216,35,14,23,13,76,2118,3,0,4,11,7,17,3,0,0,0,0,258,299,56,3,110,866,581,1135,919,384,178,215,71,393,4911,5,0,5,7,10,47,193,134,79,110,52,97,736,0,0,0,5,9,62,79,18,14,18,3,20,236,0,0,0,12,15,189,441,220,93,121,35,117,1253,0,0,0,4,5,36,52,32,19,23,7,15,196,0,0,3,11,36
LGA10300,0,0,0,0,0,13,19,5,4,4,4,0,63,0,0,0,0,0,5,0,0,0,0,0,3,7,0,0,0,4,0,17,19,0,0,0,0,0,44,0,0,0,4,0,3,4,0,0,0,0,0,12,0,0,0,0,3,13,5,0,3,0,0,3,34,0,0,5,4,8,5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,26,10,10,3,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,11,14,9,0,9,38,29,58,58,10,9,5,6,25,250,0,0,0,0,4,4,11,10,11,6,3,6,63,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,3,4,13,31,9,0,0,4,13,79,0,0,0,0,0,4,0,5,0,0,0,0,13,0,0,0,3,5
LGA10470,8,0,5,4,6,63,239,234,111,139,43,14,869,0,0,3,14,19,55,37,18,6,7,0,8,169,3,0,4,9,16,103,213,104,48,52,14,6,585,0,0,0,5,7,16,22,20,5,10,0,3,96,0,0,6,14,48,109,109,25,44,11,6,14,394,0,0,9,66,45,68,42,7,8,4,0,5,250,0,0,0,7,10,13,6,4,0,3,0,0,50,0,0,0,0,0,0,4,6,4,0,0,4,21,18,0,53,443,182,250,79,25,9,7,4,41,1120,3,0,6,13,6,8,0,0,0,0,0,221,256,32,8,84,582,337,694,760,439,237,233,76,316,3794,0,0,4,4,3,35,228,212,148,219,91,96,1040,0,0,0,6,5,28,32,15,4,11,7,15,116,0,0,0,8,20,131,409,266,163,151,38,91,1280,0,0,0,0,4,20,55,58,27,34,10,14,220,0,6,11,12,35
LGA10500,13,0,7,0,18,147,765,844,398,646,305,39,3184,0,0,14,52,85,205,108,26,15,16,4,11,534,9,0,0,17,32,266,479,210,95,140,34,16,1306,7,0,3,8,10,37,70,41,24,26,19,12,256,11,4,19,86,225,450,400,66,112,50,11,43,1476,9,8,78,163,105,144,94,19,18,5,0,17,661,0,0,8,12,20,39,22,3,4,3,0,10,127,3,0,6,7,5,15,25,17,6,19,12,0,104,260,25,345,1690,501,594,226,53,25,11,18,158,3907,4,0,5,36,9,28,0,3,0,0,0,719,820,316,36,489,2069,1011,1926,2193,1275,703,924,407,1021,12368,13,5,4,9,15,132,720,702,493,782,505,303,3679,3,3,4,30,25,155,158,69,28,41,13,46,586,11,5,12,19,40,403,1036,712,431,699,196,253,3827,9,0,3,11,11,78,173,141,85,139,71,61,776,15,13,42,182,264
LGA10550,4,0,14,16,21,90,203,84,38,50,10,15,546,0,0,7,26,32,98,71,15,0,4,5,3,257,0,0,11,14,32,136,187,71,27,29,9,5,530,0,0,0,3,9,29,29,21,0,8,0,0,106,0,0,14,20,44,142,72,12,31,7,0,7,341,0,0,16,95,60,102,62,21,6,4,0,11,375,0,0,7,11,8,21,19,6,0,5,0,5,78,0,0,0,3,6,7,8,4,0,0,0,0,38,29,11,106,671,318,495,170,37,16,9,6,55,1921,0,0,4,12,3,7,4,0,0,0,0,286,323,40,9,168,880,527,1130,835,261,127,113,36,397,4523,0,0,3,7,13,55,148,111,45,67,29,72,550,0,0,5,9,17,62,57,23,11,5,5,23,204,3,0,3,16,23,159,327,154,63,60,11,67,880,0,0,0,5,0,20,44,35,10,12,6,14,143,0,0,3,8,34
LGA10600,4,0,3,8,6,30,68,32,14,15,8,0,188,0,0,3,9,5,35,15,9,0,5,0,0,90,0,0,4,10,7,41,64,24,4,9,0,4,180,0,0,0,0,0,5,4,4,0,3,0,3,29,0,0,3,7,13,37,33,10,9,4,0,11,119,0,0,0,35,29,40,15,6,0,0,0,3,133,0,0,0,3,0,0,3,0,0,0,0,0,10,0,0,0,4,0,0,9,3,0,3,0,5,19,6,0,38,269,129,166,42,4,10,3,0,21,694,0,0,0,7,0,3,0,0,0,0,0,105,121,13,3,53,353,196,361,263,82,33,47,14,152,1583,0,0,0,7,7,18,44,31,17,20,12,16,165,0,0,6,15,3,32,28,10,4,8,0,11,118,0,0,0,3,9,58,103,63,20,11,0,29,300,0,0,0,3,0,12,17,12,3,3,0,7,50,0,0,0,11,21
LGA10650,7,0,3,3,8,18,66,30,11,9,10,0,163,0,0,0,9,7,23,14,4,0,0,0,0,52,3,0,0,3,0,37,53,14,8,3,3,4,140,0,0,0,0,0,4,17,4,0,0,0,0,24,0,0,4,8,18,27,19,0,0,0,5,10,94,0,0,7,20,25,26,15,3,0,0,0,3,86,0,0,0,9,6,8,3,0,0,0,0,0,20,0,0,0,4,4,5,3,0,0,0,0,0,17,11,0,31,216,63,86,24,0,0,0,0,26,457,0,0,0,4,0,4,0,0,0,0,0,74,88,19,0,46,279,117,237,209,58,21,16,14,126,1148,0,0,3,4,5,22,47,37,8,21,7,21,174,0,0,0,0,5,10,9,5,0,0,0,0,20,3,0,0,10,14,57,65,28,19,12,0,15,227,0,0,0,0,0,11,0,9,8,3,0,6,39,0,0,5,3,9
LGA10750,17,0,4,16,31,277,1719,1747,816,955,285,89,5953,0,0,15,34,72,188,136,43,18,18,3,12,546,3,3,3,25,57,489,895,403,140,173,32,25,2244,4,0,4,5,14,67,135,97,40,42,19,18,461,17,4,27,159,345,928,769,109,209,43,9,102,2718,10,14,124,227,176,249,108,26,18,8,4,20,979,3,0,10,33,36,74,47,4,13,5,3,44,268,0,0,3,0,4,15,38,30,16,11,4,22,149,391,33,524,2793,784,914,215,32,16,11,13,217,5933,11,0,15,88,27,37,19,3,0,0,6,993,1210,470,52,736,3386,1551,3235,4070,2494,1288,1265,368,1546,20470,42,11,21,16,36,262,2080,2593,1749,2294,1086,769,10961,6,3,14,41,53,230,318,143,59,71,29,80,1046,20,19,30,53,87,945,3072,2003,1054,1281,309,514,9378,9,4,5,12,21,180,473,413,255,288,107,149,1919,27,27,67,299,556
LGA10800,10,0,3,4,4,28,38,23,16,13,6,8,162,0,0,0,0,5,14,10,0,0,0,0,0,33,6,0,0,7,15,31,37,16,0,0,7,4,115,0,0,0,0,0,3,4,4,0,0,0,0,22,0,0,4,6,7,26,6,9,10,4,0,3,66,0,0,3,13,9,4,8,0,0,0,0,4,44,0,0,0,0,5,5,3,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,13,3,0,13,109,16,37,4,0,0,3,0,9,203,0,0,5,5,0,4,0,0,0,0,0,53,67,17,0,36,152,61,161,111,45,28,26,11,77,731,7,0,0,3,0,15,34,17,7,12,11,36,147,0,0,0,0,5,3,3,0,0,0,0,0,15,6,4,0,7,7,37,69,24,19,14,4,23,200,0,0,0,0,0,3,14,3,0,5,0,5,25,0,0,5,7,13
LGA10850,0,0,0,4,0,22,48,28,12,21,12,4,156,0,0,0,3,5,13,7,4,3,4,0,4,33,0,0,6,3,7,21,42,18,4,13,3,0,115,0,0,0,0,0,0,0,6,0,0,5,0,12,0,0,0,7,9,16,20,0,5,3,0,4,66,0,0,0,9,9,18,5,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,13,101,40,43,11,3,0,0,4,7,229,0,0,0,3,0,5,0,0,0,0,0,42,52,10,0,20,139,73,149,141,62,28,43,23,70,740,0,0,0,0,0,8,36,23,14,42,16,19,163,0,0,0,0,0,5,7,0,0,0,0,3,21,0,0,3,0,6,30,89,51,30,34,7,24,262,0,0,0,0,0,0,12,12,8,10,4,3,44,0,0,0,4,4
LGA10900,0,0,5,9,8,76,333,365,203,340,151,25,1519,0,0,3,35,39,136,112,44,18,22,6,5,409,3,0,7,18,27,161,367,256,114,167,26,15,1171,0,0,0,4,6,30,50,46,14,23,14,8,199,3,0,7,23,51,195,275,53,131,42,4,22,803,0,0,24,94,82,173,106,24,22,17,3,16,575,0,0,4,6,10,20,18,8,15,5,0,6,94,0,0,0,5,0,3,4,8,4,4,3,8,48,43,8,136,757,411,715,284,58,26,33,11,81,2560,3,0,3,15,4,6,4,5,4,0,0,408,443,45,10,187,957,645,1521,1561,865,552,646,229,596,7813,6,0,3,7,11,60,229,261,237,468,298,230,1794,0,0,3,16,15,86,113,78,44,29,12,29,423,4,3,3,8,22,232,761,660,408,558,135,261,3052,0,0,0,6,9,34,111,99,74,89,34,33,483,9,7,10,17,49
LGA10950,3,0,3,0,3,12,22,8,5,7,3,4,66,0,0,0,0,5,5,0,5,0,0,0,0,15,3,0,3,0,0,4,11,3,0,0,0,0,33,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,4,0,5,7,0,0,0,0,0,28,0,0,0,0,4,3,0,0,0,0,0,3,13,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,32,12,12,0,0,0,0,0,7,70,0,0,0,3,4,0,0,0,0,0,0,22,32,6,0,11,52,23,42,54,12,5,5,6,41,275,0,0,0,0,0,4,20,19,7,12,7,19,87,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,28,6,7,0,0,10,69,0,0,0,0,0,5,8,0,0,6,0,5,16,0,0,3,7,7
LGA11150,0,0,0,0,0,12,16,13,5,14,3,3,64,0,0,0,0,0,5,3,0,0,0,0,0,19,0,0,0,5,3,12,12,3,0,0,0,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,0,4,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,7,19,4,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,21,24,0,0,7,35,18,43,44,21,13,15,4,38,241,0,0,0,0,0,8,21,16,3,6,4,19,91,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,18,8,4,3,6,3,52,0,0,0,0,0,0,3,6,0,3,0,0,13,0,0,0,3,0
LGA11200,4,0,0,0,0,3,13,11,7,7,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,10,11,4,0,9,19,12,16,25,9,7,10,0,17,123,0,0,0,0,4,7,6,4,0,4,0,6,35,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,5,4,3,3,0,0,6,26,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,5,0
LGA11250,4,0,0,0,6,32,94,88,30,56,11,7,342,0,0,0,0,13,18,17,4,0,0,0,0,53,0,0,0,10,11,51,78,29,12,14,3,5,208,0,0,0,0,0,15,13,4,8,4,4,0,43,0,0,0,18,19,44,54,8,16,0,0,19,182,0,0,9,41,36,29,12,0,0,0,0,3,135,0,0,0,5,0,6,9,0,0,0,0,4,36,0,0,0,0,0,0,4,3,0,0,0,3,19,12,0,34,442,153,171,30,4,0,0,4,53,912,0,0,0,12,0,3,5,0,0,0,0,153,170,16,0,51,525,249,375,311,158,66,85,19,245,2103,5,0,0,0,0,10,60,56,53,72,27,32,316,0,0,0,0,3,15,15,9,3,0,0,4,48,4,0,0,0,3,54,146,92,47,57,5,22,434,0,0,0,0,0,12,21,12,8,20,0,6,81,0,0,0,11,12
LGA11300,0,0,0,0,7,28,133,143,58,109,63,8,543,5,0,6,28,35,62,24,10,5,7,0,3,179,0,0,0,3,10,56,106,35,19,26,7,0,270,0,0,0,0,4,11,17,9,3,8,7,0,58,4,0,5,29,46,97,89,10,37,17,3,13,348,0,5,29,38,28,39,25,10,4,4,0,10,190,0,0,3,0,7,5,4,10,0,0,0,0,35,0,0,0,0,3,3,3,0,3,0,3,3,21,104,11,75,362,73,104,47,10,4,0,0,42,838,0,0,3,10,0,0,0,0,0,0,0,149,170,119,21,126,470,202,406,462,237,140,161,84,222,2648,3,0,0,0,4,44,112,132,100,184,215,63,864,3,0,4,8,12,30,40,14,8,19,8,12,152,3,0,4,10,5,96,196,128,116,154,85,63,858,0,0,0,3,3,7,33,23,14,38,17,17,159,0,0,20,35,52
LGA11350,4,0,0,10,9,55,117,67,23,53,21,11,368,3,0,16,17,24,79,54,16,5,11,7,3,229,0,0,9,21,10,111,117,54,17,33,15,3,392,0,0,0,3,7,18,16,4,0,9,3,5,73,0,0,0,21,36,75,60,14,19,9,3,5,243,3,0,16,48,39,78,55,12,8,3,0,8,284,0,0,7,9,3,14,4,0,8,0,5,0,46,0,0,4,4,5,10,7,4,3,7,0,5,36,26,8,52,308,133,188,118,24,20,11,9,27,916,0,0,0,8,5,9,0,0,0,0,0,197,218,38,3,98,450,273,621,552,200,102,135,54,267,2798,5,0,0,3,3,23,96,62,24,53,27,59,364,0,0,4,15,16,82,82,38,8,11,7,34,286,0,0,8,12,21,130,255,106,58,72,21,70,746,0,0,0,0,6,14,30,20,8,8,8,18,116,4,0,6,18,36
LGA11400,9,0,4,15,11,39,106,67,26,46,25,13,357,0,0,0,12,7,26,15,6,0,4,3,0,70,0,0,4,10,10,45,71,29,13,23,0,9,220,0,0,0,6,0,7,8,13,0,5,0,3,40,0,0,4,18,25,61,42,0,14,5,0,3,173,0,0,0,19,16,38,7,0,0,5,0,9,101,0,0,0,0,5,6,3,4,0,0,0,0,18,3,0,0,3,0,0,3,4,0,3,0,3,22,11,0,31,203,63,80,24,7,3,3,0,24,446,0,0,0,3,0,0,0,0,0,0,0,103,108,26,0,50,295,142,310,290,129,62,82,23,169,1576,0,0,7,6,3,25,72,73,52,69,26,54,381,0,0,0,0,0,13,8,8,8,0,6,5,38,3,0,3,0,10,67,163,94,42,68,13,53,515,0,0,0,0,0,12,21,15,7,14,0,3,69,0,0,4,11,20
LGA11450,5,0,0,0,11,42,324,467,230,255,87,20,1452,0,0,6,9,9,42,37,15,4,6,0,3,138,0,0,4,3,9,100,203,134,54,78,10,6,596,0,0,0,3,0,15,31,30,20,20,7,12,136,3,0,9,12,52,135,150,25,68,18,9,19,498,0,0,12,45,41,66,29,11,5,0,0,4,223,0,0,0,0,0,14,6,4,6,0,0,5,37,0,0,0,0,4,0,17,7,7,4,0,7,43,38,0,79,510,210,247,88,27,10,9,15,47,1260,0,0,0,6,4,9,4,0,0,0,0,213,245,52,7,110,606,341,669,882,720,406,383,130,329,4636,3,3,4,0,3,50,307,443,343,554,290,198,2191,0,0,0,4,4,34,63,34,18,17,8,25,218,7,0,3,8,16,210,781,665,358,466,130,176,2827,0,0,4,0,5,24,90,123,67,77,36,36,458,4,4,6,22,51
LGA11500,10,0,4,8,14,129,898,856,324,367,91,50,2739,5,0,6,23,22,84,83,26,5,13,0,6,286,3,0,0,17,23,284,549,239,83,103,10,29,1352,0,0,3,0,10,40,97,52,20,23,3,19,272,7,8,18,74,182,523,469,59,110,26,5,66,1550,6,3,45,145,110,148,88,3,10,5,0,20,587,4,0,3,11,16,36,42,0,7,0,0,21,149,5,0,0,0,5,12,35,18,0,3,0,5,84,124,19,234,1410,458,553,167,21,10,5,3,109,3108,9,0,9,27,18,19,9,6,3,0,0,548,644,159,26,324,1717,857,1831,2435,1288,581,558,126,867,10773,14,8,5,6,14,160,910,1076,715,798,426,422,4547,0,0,3,19,21,100,119,86,36,22,12,42,467,13,9,13,26,45,417,1384,831,408,501,170,303,4114,0,0,0,5,14,73,231,168,83,106,38,59,787,13,8,28,137,271
LGA11520,11,0,0,6,5,55,330,486,332,770,608,29,2628,5,0,8,18,20,70,61,38,19,16,17,7,267,4,0,3,6,14,111,228,154,98,195,70,10,894,0,0,0,3,8,20,38,30,26,31,26,11,191,6,0,9,25,81,176,215,49,165,81,34,18,863,3,5,40,60,43,70,86,22,27,33,9,12,401,0,0,0,5,3,20,21,10,9,3,3,9,75,0,0,0,0,0,6,12,9,7,14,5,12,74,154,13,172,713,218,392,222,59,29,34,22,80,2108,3,0,3,13,7,7,4,0,0,0,0,485,525,184,18,236,841,402,927,1221,849,710,1187,799,662,8026,0,0,0,7,9,37,193,220,220,534,690,159,2077,0,0,0,12,17,51,76,35,24,44,31,29,324,7,4,6,14,17,132,417,386,414,786,371,156,2704,0,0,0,0,7,28,59,56,38,138,100,38,481,9,3,13,34,69
LGA11570,17,0,10,14,24,314,1282,1134,469,692,289,72,4309,3,0,25,83,118,243,138,55,18,22,4,14,718,7,0,13,39,79,535,751,289,132,152,30,38,2065,3,0,7,10,11,78,129,74,35,48,11,20,420,18,6,51,214,434,925,639,96,184,46,3,101,2720,6,21,187,392,230,306,140,28,21,12,6,49,1407,5,7,27,44,34,82,52,4,13,0,0,14,289,6,0,5,10,8,24,45,22,12,9,10,27,182,553,68,885,4361,1222,1337,396,47,24,25,29,351,9295,23,5,21,114,28,60,17,0,3,6,0,1229,1503,637,110,1226,5279,2195,3906,3593,1754,895,1009,383,1914,22908,19,10,7,19,34,403,1491,1489,923,1405,880,595,7279,3,5,23,78,95,366,379,126,81,92,37,129,1417,23,12,23,69,121,920,2284,1428,868,1156,357,502,7759,4,8,7,26,36,143,360,236,177,228,82,125,1444,45,31,138,593,894
LGA11600,0,0,3,0,3,12,36,17,7,4,6,3,93,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,4,19,9,4,3,0,3,0,44,0,0,0,0,0,4,0,3,0,0,0,0,15,0,0,0,3,5,8,5,0,0,0,0,3,25,0,0,0,5,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,8,38,6,11,4,0,0,0,0,0,69,0,0,0,0,5,0,0,0,0,0,0,16,20,10,0,14,45,29,60,54,27,10,12,7,26,298,0,0,0,3,5,3,20,15,3,4,6,20,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,29,21,6,3,0,15,87,0,0,0,0,0,0,0,6,0,3,0,7,17,0,0,0,0,7
