LGA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
LGA10050,28,32,6,5,65,38,41,6,9,101,247,172,67,32,524,325,301,108,45,777,365,392,142,47,944,279,326,129,28,758,348,473,216,51,1083,237,397,191,43,869,145,165,91,47,449,24,8,5,0,41,2061,2324,970,305,5658
LGA10180,18,11,13,11,45,32,11,17,14,70,103,101,39,28,268,116,142,59,23,341,137,152,52,33,371,122,117,50,20,311,146,169,87,25,420,122,180,78,30,412,66,75,49,28,210,9,3,3,3,20,895,988,445,217,2544
LGA10250,17,25,6,0,43,42,30,9,3,79,224,157,54,15,453,250,235,71,19,578,298,295,87,25,709,220,278,98,25,616,289,374,138,37,837,243,361,160,34,798,151,131,57,33,364,18,18,5,3,44,1770,1910,690,192,4563
LGA10300,0,4,0,0,5,7,0,0,0,6,11,7,4,0,23,17,7,4,8,28,9,9,8,3,36,7,8,3,0,24,12,9,5,0,25,7,3,3,3,21,12,9,11,4,24,3,0,3,0,8,76,55,49,26,200
LGA10470,22,18,3,5,45,28,28,14,3,72,174,110,50,35,367,189,185,87,47,496,231,255,119,44,654,219,258,117,33,628,312,403,158,62,932,239,362,136,44,781,140,146,81,34,408,14,5,6,3,28,1577,1781,781,309,4459
LGA10500,169,115,30,19,329,246,169,54,20,485,1032,676,198,77,1981,1046,758,236,86,2133,1270,978,278,77,2604,1005,939,208,60,2215,1540,1518,406,103,3578,1607,2436,771,165,4976,391,363,146,63,962,75,71,18,18,187,8643,8181,2420,703,19947
LGA10550,30,7,6,9,54,36,37,3,5,85,187,147,58,27,420,177,187,77,28,462,206,220,76,35,539,143,152,71,20,387,164,198,70,19,451,102,124,50,16,292,100,134,66,31,328,10,5,13,0,25,1177,1230,495,181,3088
LGA10600,10,8,9,0,20,9,15,9,4,39,69,73,28,8,177,76,73,26,6,187,61,91,28,9,188,46,59,26,4,139,64,74,34,7,172,32,44,21,9,101,49,42,18,7,122,6,0,0,0,4,430,482,198,58,1170
LGA10650,7,3,3,0,19,13,6,4,0,23,55,22,6,8,95,49,35,20,9,107,33,45,26,8,115,33,37,23,3,96,24,53,32,7,118,17,19,18,0,59,21,30,12,9,71,4,0,0,0,6,266,259,150,53,725
LGA10750,330,282,147,71,829,456,412,200,103,1173,2114,1932,763,410,5220,2470,2662,889,388,6413,3403,3844,1142,492,8882,2762,3466,952,369,7557,4221,5628,1526,475,11848,3822,5909,1641,563,11936,999,1220,547,304,3075,194,191,65,38,497,21237,25909,8078,3353,58576
LGA10800,4,4,3,0,11,8,10,0,0,15,22,18,9,7,55,24,17,13,7,65,34,29,14,10,83,20,25,15,5,68,38,39,9,4,87,25,14,19,4,65,27,29,20,7,87,0,0,6,0,3,197,186,108,55,551
LGA10850,7,3,0,0,10,0,4,0,0,7,33,23,14,5,78,31,34,19,3,81,52,48,20,8,131,51,44,22,8,131,41,59,34,16,156,43,49,32,8,127,29,27,27,7,91,0,4,4,0,7,298,301,177,64,839
LGA10900,28,12,4,4,60,67,39,11,3,123,345,191,61,30,625,395,315,128,42,882,474,495,199,61,1236,420,502,176,67,1157,684,896,347,85,2017,736,1113,460,126,2430,188,197,106,36,530,23,15,9,0,49,3400,3805,1510,468,9183
LGA10950,0,0,0,0,0,3,3,0,0,9,10,11,9,7,31,17,8,7,3,29,12,16,15,5,37,5,13,9,0,28,16,12,3,0,31,18,17,10,0,42,8,16,3,12,44,5,5,0,0,7,97,98,53,26,270
LGA11150,3,0,0,0,3,4,0,0,0,8,6,5,6,0,12,10,3,0,4,17,11,5,9,6,29,6,5,0,3,17,13,24,3,0,44,14,13,0,0,29,6,11,9,5,40,0,7,0,5,13,77,77,42,25,219
LGA11200,4,3,0,0,4,0,5,0,0,5,5,5,0,3,14,0,5,0,0,8,4,4,3,0,13,5,3,0,0,7,4,0,0,0,5,3,4,0,0,8,6,3,4,0,9,0,0,0,0,0,31,23,17,12,77
LGA11250,15,3,0,0,17,16,8,4,0,26,79,38,26,11,157,65,55,20,5,150,82,82,28,10,208,73,71,27,10,174,103,120,28,21,276,71,95,37,12,209,58,57,29,12,157,8,3,3,0,13,586,545,202,81,1417
LGA11300,31,23,3,0,60,51,31,4,0,92,244,128,30,14,414,206,149,37,12,410,272,178,41,12,506,191,134,26,12,362,311,283,73,15,683,393,590,193,42,1213,94,102,25,10,236,12,12,5,5,36,1869,1668,453,137,4129
LGA11350,33,16,4,3,53,45,29,10,6,90,166,124,29,8,324,196,174,54,13,444,192,205,51,11,467,148,183,52,16,402,167,233,66,16,483,194,284,100,18,597,114,113,54,24,313,14,9,6,0,36,1309,1393,435,122,3261
LGA11400,9,6,0,0,17,14,9,4,4,33,50,33,34,14,134,70,56,35,16,173,76,82,46,20,217,52,56,38,15,168,85,103,82,26,293,85,135,79,20,326,55,61,52,17,188,4,0,5,0,13,523,554,376,128,1590
LGA11450,51,48,38,10,153,90,77,47,15,227,457,438,213,80,1184,647,778,355,146,1925,978,1164,464,139,2738,930,1180,421,131,2660,1304,1961,702,178,4144,1091,1928,818,259,4097,240,375,186,106,907,47,54,28,12,142,5927,8063,3313,1095,18391
LGA11500,168,166,90,41,457,263,256,111,57,687,1125,1051,425,233,2835,1294,1239,476,260,3268,1631,1535,538,213,3919,1147,1292,426,195,3049,1473,1588,522,195,3783,950,1326,551,216,3048,490,518,242,171,1416,71,68,28,26,190,8857,9230,3509,1668,23262
LGA11520,49,36,3,6,92,74,39,12,0,124,298,185,61,14,562,348,258,71,21,699,517,351,98,21,989,465,364,90,15,930,799,816,202,30,1848,1698,2427,747,95,4962,200,224,57,21,503,33,29,8,0,69,4594,4784,1359,210,10951
LGA11570,583,487,316,189,1581,718,681,372,250,2014,2553,2263,1225,750,6796,2332,2054,1031,585,5999,2425,2297,942,508,6174,1747,2007,739,325,4823,2220,2915,1091,426,6653,1999,3635,1542,553,7731,857,929,541,341,2670,171,200,102,110,587,16494,18209,8366,4390,47462
LGA11600,0,0,0,0,3,3,5,0,0,7,10,14,7,3,33,15,18,13,0,44,18,20,11,4,45,13,11,5,3,35,12,13,14,0,44,9,15,6,3,26,11,12,12,4,33,0,0,0,0,0,90,104,65,21,285
LGA11650,234,130,34,23,426,334,171,62,43,605,1513,1023,387,163,3088,1888,1716,662,229,4498,2154,2403,901,255,5710,1812,2369,806,261,5249,2510,3459,1232,339,7540,2158,3498,1339,395,7396,892,1013,532,229,2664,105,113,36,14,272,13856,16041,6054,1960,37902
LGA11700,0,3,0,0,5,0,0,5,0,11,6,10,0,4,16,5,3,0,0,8,9,0,0,3,8,0,7,0,0,10,3,0,0,0,9,0,0,0,0,5,6,11,3,0,16,0,0,0,0,0,33,33,14,13,95
LGA11720,56,21,16,4,95,59,38,22,13,131,354,209,83,32,684,366,334,147,58,913,460,420,186,77,1148,297,411,157,51,921,418,537,207,63,1227,281,428,171,38,922,177,232,103,47,558,13,18,5,3,52,2537,2680,1111,401,6727
LGA11730,45,29,12,7,99,76,34,17,14,144,295,211,98,52,655,281,288,118,50,739,286,289,127,51,752,199,234,78,36,546,221,226,102,39,580,89,173,73,28,363,202,184,86,42,514,23,15,10,0,48,1764,1717,733,325,4532
LGA11750,0,0,0,0,0,0,3,3,0,10,4,8,4,0,17,11,12,8,0,26,16,22,4,11,48,19,14,4,0,36,21,34,16,0,73,26,30,18,3,79,21,22,13,8,63,0,0,0,0,0,132,144,62,28,373
LGA11800,58,42,14,13,134,91,68,19,16,192,411,295,136,71,910,425,408,146,65,1051,465,534,199,61,1265,376,443,148,66,1036,403,544,232,64,1242,306,493,184,53,1030,237,232,123,50,638,22,21,6,3,50,2852,3132,1231,481,7698
LGA12000,4,0,5,0,9,0,0,0,0,3,18,9,12,8,48,18,21,19,0,55,22,20,17,13,68,17,29,9,9,60,21,19,17,8,67,9,15,28,4,52,18,16,24,9,66,0,0,0,0,6,137,135,133,42,444
LGA12150,4,0,0,0,5,7,0,0,0,8,18,4,10,3,43,11,12,8,7,36,16,21,10,0,50,19,7,3,0,35,18,7,5,4,33,14,10,4,0,26,9,7,13,0,29,4,0,0,0,8,111,81,55,31,279
LGA12160,14,3,5,4,18,14,13,4,0,35,53,32,23,11,120,46,63,31,15,153,62,65,28,12,167,47,48,28,11,130,52,53,34,10,148,33,41,27,9,109,34,46,28,5,119,6,0,0,0,10,361,369,216,73,1021
LGA12350,15,9,3,0,31,13,12,6,3,36,91,44,25,9,165,67,57,26,8,167,65,82,37,15,201,48,52,20,5,130,43,53,30,9,138,31,39,19,6,98,44,44,28,9,128,9,4,6,0,13,439,416,195,75,1129
LGA12380,335,339,186,145,1005,503,387,247,166,1305,1605,1428,714,525,4274,1527,1294,633,376,3836,1718,1603,552,310,4189,1166,1245,369,205,2977,1601,1899,562,278,4348,1324,2142,716,349,4530,555,615,272,211,1653,133,147,87,67,430,11009,11590,4630,2862,30097
LGA12390,47,14,5,9,74,38,30,14,9,89,235,157,80,31,511,281,248,106,54,695,333,341,163,75,904,264,276,136,43,719,354,393,185,63,997,258,356,154,61,826,207,201,145,55,609,16,16,5,7,39,2065,2043,1017,402,5527
LGA12700,11,3,0,0,15,16,5,4,4,23,54,29,14,8,111,46,54,30,10,137,67,56,34,12,162,52,61,29,11,149,63,96,24,8,191,47,77,34,14,162,55,40,20,9,126,0,9,0,0,8,424,436,190,67,1119
LGA12730,11,7,3,0,20,3,5,7,0,18,38,37,18,5,97,24,39,19,16,105,42,52,15,6,119,31,41,18,0,90,35,49,28,7,117,25,44,16,15,102,33,25,14,14,84,9,0,0,0,10,255,305,144,61,769
LGA12750,34,11,6,5,58,38,32,16,3,92,217,117,62,32,427,187,178,70,20,454,196,250,80,22,543,148,149,64,25,379,142,195,61,26,431,107,138,44,19,307,115,101,52,21,294,17,4,3,0,25,1223,1199,469,177,3071
LGA12850,405,426,274,154,1259,501,532,289,140,1464,1695,1428,778,400,4299,1413,1380,670,333,3797,1229,1293,620,267,3404,879,1053,411,182,2531,974,1387,596,257,3219,651,1381,685,276,2988,444,545,298,189,1477,126,121,64,32,344,8898,10123,5101,2472,26596
LGA12870,9,0,0,0,8,4,5,5,3,22,48,33,19,14,112,75,81,35,12,199,82,85,42,7,218,54,71,22,10,157,54,72,40,13,177,31,35,16,4,92,43,46,24,11,122,7,6,6,0,22,416,443,208,78,1143
LGA12900,10,6,3,0,18,3,7,5,0,15,41,31,24,6,102,34,41,16,12,105,35,47,25,12,127,31,44,28,9,104,50,62,36,11,162,32,45,28,14,119,28,32,21,8,88,0,0,5,0,10,276,322,182,80,861
LGA12930,151,111,28,8,301,223,157,55,13,443,961,660,188,62,1865,985,725,213,79,2006,1172,977,274,70,2489,903,888,218,55,2060,1348,1600,438,97,3483,1652,2752,944,203,5555,418,435,176,66,1097,63,66,15,19,157,8106,8517,2594,700,19917
LGA12950,4,8,0,0,11,4,4,9,0,13,24,20,16,6,53,19,9,18,7,48,22,23,4,5,55,7,9,10,3,31,15,16,11,4,44,4,11,6,0,28,16,15,12,4,50,0,4,0,0,5,125,128,83,24,364
LGA13010,14,4,10,0,26,9,7,0,0,27,41,34,25,11,111,41,35,20,5,103,37,37,19,3,106,24,20,17,0,62,26,30,16,4,72,20,24,8,3,56,28,22,14,8,73,4,4,3,0,9,258,229,128,45,664
LGA13310,18,16,9,3,46,21,13,10,7,47,112,95,42,20,271,149,153,63,36,397,211,190,79,31,512,163,183,70,28,445,209,280,106,39,632,158,186,93,28,468,94,75,59,34,264,9,10,3,4,23,1172,1217,546,227,3163
LGA13340,3,3,4,0,11,9,7,4,0,24,52,42,26,17,138,57,59,31,17,163,61,63,31,20,173,55,71,36,10,171,59,82,42,31,222,42,44,33,12,133,39,39,33,20,132,4,6,0,0,12,387,437,246,123,1190
LGA13450,22,7,3,0,39,36,18,13,6,73,129,117,53,25,321,182,147,74,26,434,188,217,89,37,532,155,184,77,28,450,184,190,98,33,509,130,199,89,34,453,79,114,48,35,279,11,0,3,0,17,1141,1200,567,236,3150
LGA13550,13,0,0,0,20,10,10,0,5,26,48,33,20,11,114,55,63,26,8,151,70,70,46,22,203,65,61,41,14,181,80,122,49,21,273,68,106,55,13,245,52,41,30,9,130,3,5,0,0,14,481,521,274,98,1371
LGA13660,5,0,9,0,10,4,0,0,0,12,31,34,12,10,85,25,22,21,6,71,15,18,15,12,52,18,13,5,0,41,13,22,5,7,48,9,13,14,3,36,22,22,15,5,65,5,0,0,0,4,144,153,96,42,432
LGA13800,35,17,14,11,74,51,32,19,8,112,258,213,100,31,604,347,337,153,59,899,488,476,205,77,1249,423,485,214,58,1177,619,735,330,93,1774,550,892,406,131,1982,182,219,125,55,576,27,25,19,3,78,3039,3450,1603,544,8635
LGA13850,6,3,0,0,9,0,0,0,0,0,14,11,4,6,33,16,7,3,3,33,18,12,6,0,39,16,12,4,0,26,10,10,3,3,24,10,5,5,0,26,13,12,19,9,54,0,0,0,0,3,99,80,46,24,249
LGA13910,16,16,3,11,42,21,11,13,3,51,100,62,39,19,235,98,100,51,32,282,110,116,62,27,314,83,82,40,15,215,93,96,33,18,245,52,64,54,13,178,53,64,57,31,204,9,10,3,0,27,650,650,363,183,1843
LGA14000,79,55,16,0,151,113,101,29,4,247,565,395,106,34,1100,707,564,170,33,1484,1004,973,249,57,2279,870,976,232,62,2148,1664,2241,552,117,4582,2998,5051,1442,340,9829,394,532,201,72,1202,44,58,23,3,127,8584,11054,3048,745,23434
LGA14100,0,4,0,0,3,7,7,3,0,13,23,18,3,0,47,18,19,9,0,54,46,28,7,4,82,34,43,12,0,88,84,72,25,0,186,302,560,254,70,1182,30,48,20,13,116,0,4,0,0,6,558,807,345,93,1800
LGA14170,84,34,17,0,132,121,55,12,0,191,509,241,73,15,842,559,365,78,16,1021,771,582,112,21,1483,742,549,124,23,1435,1413,1352,256,36,3056,3489,5051,1155,165,9865,354,357,107,35,849,47,32,9,0,96,8217,8682,1966,328,19189
LGA14220,14,12,3,11,35,19,28,7,4,59,103,78,32,24,243,103,99,34,25,259,112,96,44,16,272,59,62,26,12,158,68,92,34,16,215,45,40,21,7,114,50,76,30,15,171,11,8,5,0,14,607,582,252,131,1574
LGA14300,0,3,0,0,3,3,0,3,0,8,34,12,6,7,61,36,31,8,13,82,26,33,16,0,76,25,24,25,3,73,28,41,19,12,96,15,34,27,5,77,23,19,9,3,56,0,0,4,0,4,203,202,110,48,564
LGA14350,19,10,8,0,49,40,21,9,9,76,179,111,49,33,369,173,138,53,22,382,167,154,64,34,421,119,102,42,23,286,115,145,45,23,327,60,71,47,11,187,77,73,39,25,212,15,12,5,4,31,994,847,363,206,2405
LGA14400,15,8,3,0,20,25,7,0,0,28,69,49,25,3,151,97,77,23,7,206,104,144,53,15,321,102,151,62,14,326,180,267,101,28,573,215,344,148,34,737,72,93,50,13,235,3,5,0,0,9,896,1144,476,112,2635
LGA14500,69,57,10,6,137,88,57,11,3,165,339,284,55,16,693,391,339,78,11,816,582,507,119,32,1239,508,471,106,18,1110,1027,1216,285,45,2569,3106,5689,2011,361,11171,404,577,199,75,1253,43,58,11,3,114,6713,9405,2921,567,19610
LGA14550,8,0,3,0,17,11,11,7,0,28,48,44,25,4,123,49,48,19,11,128,47,38,20,17,113,25,32,18,7,82,21,17,23,4,65,22,22,11,3,54,28,25,9,6,66,3,3,0,0,12,283,245,132,60,719
LGA14600,6,9,0,0,6,6,7,7,0,22,27,24,10,4,72,43,41,18,6,103,30,24,18,10,87,25,24,10,11,67,22,25,14,3,63,20,15,17,3,55,31,19,20,11,76,6,0,0,0,10,208,199,127,51,593
LGA14650,114,67,18,15,214,184,89,48,29,335,879,558,181,99,1714,1035,938,356,121,2457,1421,1575,509,155,3663,1229,1595,522,124,3476,1800,2561,867,166,5395,1478,2459,937,227,5100,616,751,362,140,1866,56,48,24,8,138,8943,10713,3856,1101,24611
LGA14700,8,11,0,0,15,14,16,4,0,37,74,54,19,0,152,124,72,20,0,218,166,110,19,0,294,141,113,34,5,289,349,295,70,7,721,992,1482,532,83,3088,81,114,44,17,253,9,13,0,0,25,1993,2288,745,114,5142
LGA14750,6,5,0,3,20,11,5,4,0,21,48,36,22,9,112,63,48,33,14,162,66,83,45,14,201,46,59,33,11,139,67,88,30,8,192,36,53,26,15,132,42,28,24,11,98,0,0,0,0,3,402,412,229,85,1122
LGA14850,27,14,7,4,54,57,41,14,7,116,244,164,73,25,513,234,224,107,35,594,300,317,98,45,760,200,251,78,37,561,228,272,122,49,668,149,166,97,30,445,104,111,60,33,301,14,10,6,0,33,1586,1589,676,259,4109
LGA14870,18,11,5,4,31,21,8,7,6,40,87,62,20,17,184,85,98,31,18,233,110,117,49,19,292,102,93,39,15,244,108,116,69,17,312,88,133,62,23,306,73,85,24,11,202,3,5,0,0,10,715,733,310,131,1890
LGA14900,280,253,192,119,854,373,402,238,157,1168,1397,1418,739,494,4050,1420,1488,714,408,4025,1672,1903,769,342,4689,1270,1655,638,295,3859,1748,2569,934,303,5550,1391,2615,1086,401,5498,522,703,367,221,1812,131,130,59,47,368,10599,13570,6020,2984,33171
LGA14920,9,7,6,0,17,4,3,5,0,17,40,32,10,3,90,28,38,21,8,91,32,56,18,14,107,27,20,19,4,67,30,45,21,3,93,23,40,13,0,78,34,23,17,4,81,3,0,0,0,5,249,259,120,40,672
LGA14950,4,6,3,5,10,0,0,0,0,5,11,14,10,9,39,12,15,14,12,48,15,11,8,6,46,10,14,10,0,38,10,22,16,0,45,16,11,6,4,33,16,17,12,12,53,7,0,0,0,7,97,110,71,47,325
LGA15050,45,33,20,11,101,76,34,27,16,149,393,272,109,48,819,520,480,227,77,1307,623,781,277,80,1756,587,663,286,64,1600,776,989,380,89,2235,585,941,377,115,2015,289,387,195,79,949,26,33,10,4,71,3970,4649,1923,570,11109
LGA15240,66,68,29,18,177,118,67,35,25,256,549,365,162,77,1156,510,481,189,66,1246,474,478,206,84,1241,333,341,126,45,849,358,420,169,41,988,222,300,113,33,668,267,247,136,59,704,42,25,13,8,84,3036,2839,1195,459,7531
LGA15270,22,7,10,0,46,29,12,3,0,52,100,68,34,22,221,129,109,47,17,301,147,166,78,19,407,117,144,64,24,351,154,219,86,21,486,136,192,119,23,476,95,96,57,28,271,12,9,8,0,35,961,1040,512,167,2692
LGA15300,0,3,0,0,10,13,0,3,0,21,43,24,26,6,105,43,38,23,16,116,66,57,35,6,161,43,58,20,6,140,53,68,27,13,151,63,67,34,13,174,46,49,32,3,132,10,6,0,0,18,386,384,217,63,1056
LGA15350,10,4,0,0,12,10,5,0,0,19,36,28,0,0,62,60,39,11,0,114,75,50,11,0,143,79,44,13,0,130,139,120,22,0,286,719,1085,431,73,2312,88,108,41,17,259,3,18,5,0,23,1235,1502,549,104,3388
LGA15520,9,6,7,0,12,9,11,0,0,26,55,50,32,7,138,80,69,35,8,192,58,85,39,8,188,57,59,21,7,148,57,89,65,10,221,50,66,24,7,150,53,61,22,13,145,4,4,3,0,12,439,507,256,68,1268
LGA15560,0,0,0,0,3,3,0,0,0,7,18,10,5,3,31,19,12,11,7,49,22,20,11,5,60,17,7,6,4,29,16,18,12,0,42,9,14,9,0,25,19,14,11,9,46,0,0,0,0,0,123,99,64,25,312
LGA15650,10,3,3,3,21,10,10,0,8,29,60,54,16,16,143,79,76,38,10,203,70,113,46,15,241,71,80,44,16,211,95,143,76,18,330,103,126,65,19,313,70,64,32,20,185,0,4,3,0,13,588,674,330,123,1715
LGA15700,24,19,16,3,60,28,25,3,7,67,125,81,33,27,267,117,91,53,22,277,98,94,38,13,240,59,75,33,8,182,72,88,37,9,212,38,54,32,6,135,52,49,32,11,156,9,3,0,3,19,654,586,281,118,1642
LGA15750,6,3,0,3,17,17,8,0,0,29,34,28,24,11,95,48,56,27,10,139,72,65,52,23,212,48,57,37,12,150,106,96,46,11,254,48,81,28,11,170,38,47,34,6,130,12,6,4,3,22,443,436,264,89,1233
LGA15800,6,8,0,0,12,5,0,4,0,17,16,17,24,3,64,35,25,15,9,79,24,40,14,5,87,25,18,11,3,53,19,26,14,8,63,8,13,15,5,41,23,14,14,7,55,3,0,0,0,10,186,164,105,46,493
LGA15850,3,5,0,0,4,4,5,0,3,17,18,15,13,9,56,24,33,17,9,74,28,35,22,11,94,20,39,19,4,71,30,40,16,10,87,28,22,22,8,78,23,27,16,6,74,5,4,6,0,10,187,223,129,50,586
LGA15900,77,42,19,10,141,125,65,20,19,226,543,332,134,50,1059,690,591,178,72,1527,940,906,255,62,2164,802,984,295,76,2157,1354,1745,560,112,3773,1332,2209,886,158,4586,465,443,202,83,1191,36,28,14,0,83,6473,7412,2578,672,17135
LGA15950,16,5,0,0,24,18,8,3,0,34,114,63,4,4,186,135,64,17,0,222,215,113,12,4,349,192,91,17,11,305,473,318,43,0,838,1671,1649,358,46,3721,127,136,39,6,306,18,24,0,0,37,3026,2495,501,71,6094
LGA15990,86,50,22,10,166,117,76,29,4,225,635,399,114,30,1176,901,698,210,36,1845,1239,1145,346,56,2788,1190,1330,394,69,2980,2217,2775,844,132,5971,4681,9672,3347,572,18278,705,937,435,147,2219,83,91,29,3,207,11999,17279,5810,1072,36150
LGA16100,3,0,0,0,3,4,5,0,0,5,16,14,18,3,48,26,20,12,8,60,27,31,13,3,72,26,23,11,8,67,31,43,14,6,92,29,33,13,5,84,25,20,9,3,59,3,3,0,0,7,179,198,94,33,502
LGA16150,25,14,11,3,53,26,20,6,10,56,152,107,48,31,332,203,189,68,31,501,241,277,136,45,693,232,294,130,35,691,298,394,176,73,942,256,425,210,63,956,127,136,88,27,379,7,15,7,3,36,1580,1881,892,333,4683
LGA16200,7,6,8,0,17,11,9,3,5,33,63,34,25,12,137,66,70,43,12,185,81,71,50,16,211,59,76,40,11,190,82,99,50,12,243,69,76,42,17,190,39,43,31,26,139,7,3,3,0,13,483,497,297,108,1390
LGA16260,254,180,60,14,517,429,286,100,28,842,1524,1229,350,102,3209,1757,1488,344,105,3701,2348,1907,429,111,4796,1634,1523,350,102,3613,2815,2846,614,163,6434,3169,4116,1076,249,8610,637,699,216,77,1634,106,92,30,6,228,15070,14668,3663,1005,34399
LGA16350,123,96,43,16,280,199,143,81,41,465,967,806,344,142,2255,1264,1261,501,221,3251,1681,1787,612,273,4349,1373,1613,582,195,3768,1995,2562,899,315,5769,1569,2418,1028,343,5353,514,632,315,198,1663,79,96,37,23,230,9949,11550,4485,1792,27776
LGA16380,59,29,9,7,98,91,46,25,15,180,460,285,122,45,905,428,405,161,62,1055,493,490,207,77,1267,414,502,166,53,1136,466,669,204,82,1416,342,557,248,55,1199,235,237,111,48,630,23,22,14,0,57,3051,3278,1280,452,8061
LGA16400,42,40,14,12,99,70,42,17,8,141,365,254,97,65,779,373,346,146,53,919,444,503,194,74,1214,380,424,186,60,1050,447,624,250,83,1401,352,497,215,71,1143,264,301,138,61,764,23,22,4,5,58,2829,3077,1285,485,7674
LGA16490,38,12,0,0,54,35,20,3,0,63,166,95,33,6,301,225,202,69,32,528,354,355,93,26,827,365,396,116,25,899,657,815,272,63,1810,1034,1389,482,130,3041,180,231,99,35,548,18,19,4,3,45,3102,3546,1190,328,8175
LGA16550,59,25,15,6,98,76,38,5,4,123,346,191,67,11,611,384,310,73,16,779,582,481,110,21,1192,572,511,117,20,1222,1034,1070,244,38,2393,2238,3718,1167,162,7286,319,381,135,45,873,38,53,16,3,111,5745,6824,1959,333,14865
LGA16610,25,9,5,0,42,39,14,4,4,75,134,95,45,24,298,123,131,75,34,371,121,138,68,31,360,89,106,44,18,255,90,120,59,15,292,55,69,28,16,168,68,65,44,20,192,6,5,0,0,16,772,763,392,182,2102
LGA16700,94,60,16,0,169,160,93,26,3,280,631,404,87,14,1137,651,503,116,19,1284,915,780,176,30,1897,753,686,152,29,1626,1332,1335,302,46,3014,1886,2936,802,135,5760,314,321,122,28,794,55,37,21,4,113,7003,7276,1840,319,16439
LGA16900,41,28,17,7,89,66,38,16,5,125,353,246,85,50,724,434,404,148,67,1053,559,618,222,60,1466,495,602,216,63,1375,653,898,326,90,1965,406,818,291,91,1604,222,251,146,59,674,33,32,14,5,77,3318,3957,1474,507,9257
LGA16950,80,56,20,11,170,109,64,19,12,202,572,396,158,78,1197,607,565,223,83,1486,669,631,245,92,1632,462,551,199,44,1262,502,666,258,90,1511,363,544,213,71,1192,324,326,140,61,850,41,24,16,0,82,3820,3869,1523,545,9758
LGA17000,13,9,5,6,25,17,9,6,4,36,80,53,26,16,176,100,113,45,16,281,143,165,70,29,403,136,160,71,14,384,210,282,120,33,643,226,324,136,43,734,118,113,53,23,307,14,12,0,0,27,1069,1247,535,196,3049
LGA17040,0,4,3,0,15,12,14,4,0,42,74,63,34,9,177,82,101,38,14,238,106,149,52,16,329,92,110,46,17,264,154,166,66,17,400,127,170,61,20,382,71,77,26,16,184,7,4,0,0,15,760,859,339,110,2068
LGA17080,10,6,0,3,22,15,8,5,4,27,76,56,23,9,168,56,53,41,22,172,85,102,33,14,236,72,79,45,17,207,44,106,52,11,218,58,68,25,9,159,61,76,38,14,190,12,0,4,5,15,508,569,270,100,1451
LGA17100,34,27,8,3,80,85,40,14,7,146,257,174,56,17,503,267,215,76,26,578,321,272,62,25,682,268,214,35,16,531,403,351,90,17,867,537,712,244,85,1581,116,121,58,24,319,22,22,7,9,64,2392,2216,679,241,5528
LGA17150,80,54,11,4,144,128,78,27,6,240,603,438,134,37,1213,865,737,273,77,1951,1291,1372,445,112,3219,1304,1521,506,100,3434,2353,3262,1146,190,6955,3367,6212,2432,498,12509,577,801,343,130,1851,69,79,34,7,196,10756,14657,5393,1170,31979
LGA17200,82,36,12,4,134,97,47,8,4,157,434,181,42,9,663,445,232,44,12,730,558,328,33,5,927,437,233,35,8,705,1000,580,70,15,1656,2717,1997,338,46,5099,242,192,38,13,478,44,24,5,0,67,6191,3921,636,116,10863
LGA17310,34,25,13,4,77,58,50,11,5,123,279,189,118,50,642,360,325,130,49,865,436,455,167,69,1135,292,375,152,45,867,353,477,207,73,1110,265,343,181,58,849,162,203,114,36,511,20,15,14,3,53,2313,2484,1114,397,6311
LGA17350,0,4,3,0,5,5,0,3,3,13,29,22,7,6,61,31,31,18,14,90,30,35,25,13,94,27,24,12,11,72,25,41,13,8,85,20,27,15,11,71,12,20,16,17,65,0,0,0,0,6,185,204,106,77,573
