LGA_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
LGA10800,11,4,148,0,0,0,4,3,8,4,0,0,0,0,0,28,0,0,0,5,3,22,47,16,8,4,8,3,117,0,0,0,0,0,7,3,0,0,0,0,0,19,0,0,4,3,4,11,16,9,4,4,10,8,64,0,4,0,9,7,15,3,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,3,0,3,4,0,0,0,0,10,7,4,8,33,62,55,19,3,3,0,0,13,210,0,0,0,0,0,0,0,0,0,0,0,39,40,10,3,8,54,95,138,144,62,37,36,30,69,689,3,0,3,0,0,9,33,18,10,28,21,22,147,0,0,0,0,0,4,5,0,0,0,0,3,15,0,0,0,0,0,23,50,38,22,16,9,23,182,0,0,0,0,0,8,3,0,3,4,0,3,27,0,0,0,0,0,15,22,11,8,5,0,8,73,0,0
LGA10850,13,0,168,0,0,0,5,0,14,11,5,5,0,5,0,49,0,0,0,4,5,29,46,20,13,11,5,3,125,0,0,0,0,0,6,9,0,4,0,0,0,13,0,0,0,6,0,23,26,11,0,4,4,3,75,0,0,4,4,3,22,12,3,0,0,0,4,61,0,0,0,6,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,10,3,3,3,32,79,53,33,0,0,5,3,9,235,0,0,0,0,6,0,0,0,0,0,0,49,59,6,9,15,57,108,148,173,87,51,42,33,77,801,0,0,0,0,0,3,24,36,25,54,32,14,193,0,0,0,0,0,6,14,0,0,3,4,3,27,0,0,0,3,0,6,76,55,40,39,26,22,271,0,0,0,0,0,0,8,5,7,7,0,9,38,0,0,0,0,0,16,57,32,11,7,3,12,132,0,0
LGA10900,229,24,1431,3,0,0,19,37,127,149,43,32,16,14,13,463,0,0,0,5,13,97,349,225,189,114,91,17,1086,0,0,0,0,6,10,25,28,29,26,22,6,157,0,0,5,15,23,143,272,163,61,90,46,16,828,3,5,23,73,94,239,187,51,23,21,11,13,738,0,0,0,3,6,15,27,8,6,9,0,4,85,0,0,0,3,0,4,4,6,8,8,4,3,40,60,35,53,318,694,903,575,122,50,41,49,89,2977,3,0,0,8,8,3,4,0,0,0,0,411,434,72,42,80,451,888,1582,1808,940,673,667,457,592,8250,5,0,0,0,0,14,124,252,313,579,553,173,2021,0,0,0,9,11,58,140,73,49,33,22,34,439,0,0,0,7,9,105,585,571,583,513,407,221,3004,0,0,0,0,0,16,61,73,90,87,62,27,425,0,5,5,10,19,184,532,327,127,190,118,108,1624,0,0
LGA10950,10,7,81,0,0,0,5,0,6,5,6,0,3,0,0,15,0,0,0,0,0,3,10,12,4,0,4,0,27,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,5,10,0,0,0,0,0,21,0,0,0,5,5,6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,11,29,17,8,0,0,0,3,8,81,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,4,26,40,44,39,33,21,20,14,30,278,0,0,0,0,0,3,8,9,8,15,4,22,74,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,4,21,12,10,9,3,15,78,0,0,0,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,7,16,7,0,5,0,9,43,0,0
LGA11150,0,0,66,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,13,6,8,3,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,8,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,5,0,0,0,0,8,40,0,0,0,0,0,0,0,0,0,0,0,20,23,4,0,0,8,19,30,43,29,16,14,4,38,204,0,0,0,0,3,0,9,9,14,16,7,13,75,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,16,9,9,8,0,11,50,0,0,0,0,0,0,0,3,0,5,0,0,8,0,0,0,0,0,8,12,6,0,5,0,3,31,0,0
LGA11200,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,9,5,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,6,8,5,0,7,13,16,22,32,15,3,6,3,14,128,0,0,0,0,0,0,10,6,0,6,0,9,31,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,5,0,0,0,17,0,0
LGA11250,24,7,329,0,0,0,3,3,25,13,0,3,0,3,0,57,0,0,0,0,3,25,74,44,30,11,9,5,207,0,0,0,0,0,11,6,8,5,4,5,0,42,0,0,0,9,9,49,58,31,9,9,8,6,182,0,0,5,19,30,52,12,7,0,0,0,0,126,0,0,0,0,7,11,3,6,0,0,0,0,34,0,0,0,0,5,0,5,6,0,0,0,3,21,17,11,16,130,299,151,84,13,0,0,4,68,781,0,0,0,3,10,4,9,0,0,0,0,122,144,16,11,22,173,358,342,327,194,127,90,52,212,1922,0,0,0,0,0,10,38,46,54,91,52,41,333,0,0,0,5,0,5,14,10,4,5,0,9,45,0,0,0,0,5,24,105,64,68,50,32,28,376,0,0,0,0,0,3,17,15,11,9,7,7,77,0,0,0,0,4,36,93,35,10,13,8,18,229,0,0
LGA11300,102,9,668,0,0,3,14,22,66,45,12,4,4,4,7,189,0,0,0,0,0,56,159,54,46,33,21,7,378,4,0,0,0,0,4,19,14,5,3,8,3,54,0,0,0,20,25,107,90,49,16,13,13,13,350,0,5,27,59,26,49,40,9,9,4,5,9,244,0,0,0,0,0,5,9,5,0,0,0,0,23,0,0,0,0,4,0,0,0,0,5,3,0,19,178,50,39,149,249,155,82,28,9,8,12,21,988,4,0,0,0,3,0,0,0,0,0,0,166,179,185,54,76,250,336,445,592,325,207,211,180,237,3098,0,0,0,0,3,14,109,126,109,192,357,67,971,0,0,0,3,5,25,50,24,15,12,19,16,177,0,0,5,4,4,50,173,120,136,148,203,44,896,0,0,0,5,0,9,17,22,18,33,30,15,140,0,0,10,16,26,144,225,142,36,66,83,31,788,0,0
LGA11350,39,0,379,0,0,0,8,29,93,93,24,12,12,18,4,288,0,0,0,8,7,63,162,58,50,27,28,7,410,0,0,0,0,0,4,31,12,9,3,7,3,80,0,0,0,12,8,60,61,22,10,15,17,8,210,0,5,12,36,57,97,70,18,13,10,14,5,332,0,0,0,6,3,5,3,0,0,3,4,6,33,0,0,0,0,0,0,7,3,6,0,3,3,29,25,10,23,104,229,231,196,57,20,13,28,50,979,0,0,0,0,3,5,6,0,0,0,0,234,261,32,16,41,178,348,574,730,274,173,147,161,321,2996,0,0,0,5,9,20,84,85,62,67,57,44,441,0,0,0,18,18,77,106,48,23,15,19,31,354,0,0,0,0,9,55,224,160,103,80,90,72,798,0,0,0,0,4,9,33,18,9,11,12,18,115,0,0,0,9,15,68,107,48,14,22,24,26,345,0,0
LGA11400,27,10,310,0,0,0,4,0,19,25,9,4,0,3,0,67,3,0,0,8,7,36,77,34,15,18,15,6,226,0,0,0,0,3,0,14,8,8,0,3,0,41,0,0,0,6,12,43,39,23,10,9,3,4,147,0,0,0,14,12,32,13,9,3,4,4,9,102,0,0,0,0,3,5,6,0,0,0,0,0,26,0,0,0,0,0,8,3,0,0,3,0,0,16,16,5,12,60,161,92,48,5,6,9,10,34,458,0,0,0,0,3,3,0,0,0,0,0,84,97,23,12,11,109,218,259,313,148,74,94,66,156,1480,0,0,0,0,4,14,50,62,66,85,66,52,405,0,0,0,0,0,8,21,9,11,0,6,9,58,0,0,0,0,9,38,145,100,87,72,58,38,556,0,0,0,0,0,5,14,10,6,21,9,4,81,0,0,0,11,11,36,81,42,12,11,9,16,218,0,0
LGA11450,190,38,2059,0,0,0,12,11,46,39,29,17,12,7,0,177,0,0,0,4,8,60,264,204,122,80,60,11,818,0,0,0,0,4,15,32,39,34,21,9,11,160,0,0,0,13,23,129,239,122,39,37,21,22,655,0,3,14,35,40,97,84,18,6,3,3,6,318,0,0,0,3,5,11,26,12,4,5,0,3,75,0,0,0,0,0,7,14,10,5,5,4,3,48,97,25,32,225,540,439,216,61,12,18,19,97,1780,0,0,0,4,3,6,5,0,0,4,3,247,275,105,34,43,306,641,827,1166,1065,753,657,314,444,6359,4,0,0,0,3,23,252,499,597,933,758,244,3321,0,0,0,4,12,34,86,62,27,39,19,25,307,7,6,0,0,7,108,806,761,699,657,448,191,3688,0,0,0,4,5,16,107,120,133,168,79,55,685,0,0,4,20,42,272,731,399,164,206,142,146,2137,0,0
LGA11500,150,43,2745,0,3,7,13,26,103,121,41,10,6,4,3,339,4,0,0,10,13,152,584,282,168,93,43,25,1367,0,0,0,3,3,26,70,42,27,18,8,13,208,0,0,6,52,96,513,579,212,56,53,22,32,1612,6,12,39,121,122,208,168,38,17,14,7,27,773,0,0,4,13,14,32,45,13,8,0,0,10,145,0,0,3,0,0,8,17,19,9,5,3,8,73,239,65,97,630,1247,826,401,86,17,13,11,187,3812,3,5,7,14,14,17,15,4,6,0,0,490,564,259,81,156,857,1534,1926,2657,1566,870,636,254,842,11645,0,0,3,0,12,60,657,1003,877,1086,723,368,4789,0,0,0,20,24,107,188,111,58,46,23,41,617,0,0,3,11,14,267,1349,899,673,597,370,259,4446,0,0,0,9,4,43,167,165,125,127,59,59,742,12,6,9,110,150,1066,1750,765,296,300,170,282,4903,9,0
LGA11520,909,34,2949,0,0,0,24,30,82,107,41,24,32,27,16,400,0,0,0,6,7,68,288,174,144,137,160,11,997,0,0,0,0,4,13,31,21,31,16,47,8,174,10,0,4,32,53,194,275,179,60,120,112,10,1051,5,7,40,77,60,133,117,59,29,21,44,10,608,0,0,3,6,8,14,17,12,12,10,10,5,84,0,0,0,0,0,8,6,10,0,14,14,9,65,272,88,49,347,523,471,362,120,75,58,83,83,2518,3,0,0,4,7,9,4,5,0,0,0,533,564,285,93,101,496,708,1027,1469,1057,829,1222,1406,717,9406,0,0,0,0,5,28,141,249,276,606,1249,176,2730,0,0,0,6,11,57,83,40,39,37,65,36,381,6,0,0,12,11,65,366,371,388,520,1036,175,2942,0,0,0,4,0,11,43,66,54,121,188,37,522,4,4,10,23,42,216,367,361,146,434,364,105,2071,4,5
LGA11570,498,75,4421,0,4,5,57,103,306,296,82,26,17,19,14,930,3,3,0,11,36,349,982,397,232,156,107,40,2328,0,0,0,13,14,41,105,66,42,34,23,30,374,4,5,15,160,217,917,839,296,104,108,48,80,2790,13,25,157,334,236,436,255,81,27,13,17,33,1627,3,6,14,42,36,75,49,16,9,10,4,23,280,0,0,0,5,15,20,35,23,17,8,5,29,145,866,285,323,1872,3050,1503,701,144,46,40,42,376,9254,17,5,3,16,33,37,28,12,3,3,3,1298,1458,909,332,519,2515,3765,3811,4185,2279,1307,1236,764,1998,23615,8,0,3,10,22,204,1163,1477,1250,1769,1591,497,7995,4,5,9,67,93,399,501,203,133,120,81,102,1717,4,0,7,33,67,649,2162,1535,1289,1269,1093,446,8546,0,0,5,13,15,79,296,254,167,260,189,107,1386,19,13,56,397,574,2560,3347,1374,563,724,479,594,10696,12,16
LGA11600,10,0,84,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,6,7,31,12,4,3,0,3,64,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,7,13,3,0,4,0,0,39,0,0,0,4,3,0,0,0,0,0,0,4,9,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,6,22,13,8,0,0,0,0,6,60,0,0,0,0,0,0,0,0,0,0,0,16,21,3,0,3,11,38,41,76,33,23,21,14,34,300,0,0,0,0,0,5,13,18,9,5,3,17,63,0,0,0,0,0,0,3,3,0,0,5,4,15,0,0,0,4,0,8,29,19,6,7,5,8,95,0,0,0,0,0,5,9,0,3,0,0,0,22,0,0,0,0,0,12,10,8,6,3,0,8,41,0,0
LGA11650,512,87,5376,4,6,5,69,102,341,389,155,66,60,59,31,1279,3,3,0,23,47,396,1464,765,495,313,249,66,3821,0,0,0,12,11,58,144,108,67,75,39,33,536,16,0,16,74,148,781,1001,444,124,203,97,80,2985,10,36,75,272,311,778,532,121,75,41,53,52,2354,3,5,8,17,36,100,80,21,9,13,10,28,324,0,0,0,3,17,25,56,31,28,29,15,23,221,395,183,226,1775,4773,3691,2000,413,173,119,161,699,14612,7,9,3,31,84,58,33,11,0,0,0,1755,1994,436,240,341,2290,5536,6392,6848,3493,2063,1817,1195,2848,33498,13,3,0,6,19,104,854,1204,1250,1769,1296,691,7215,0,3,6,13,37,240,463,225,142,131,70,134,1469,5,4,8,32,44,549,3059,2527,2004,1649,1189,854,11919,0,0,0,5,17,100,356,321,291,268,158,133,1649,7,6,12,60,118,1003,2403,1146,463,546,364,441,6576,0,11
LGA11700,3,3,32,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,18,4,9,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,13,13,3,4,0,12,15,14,26,10,4,6,3,22,123,0,0,0,0,0,0,8,10,4,3,5,5,37,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,7,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,3,4,0,0,0,4,32,0,0
LGA11720,72,14,906,0,5,0,12,13,58,53,25,11,5,9,3,201,0,0,0,3,10,77,259,125,81,40,27,18,644,0,0,0,4,0,12,33,24,13,10,6,9,103,0,0,4,15,25,135,186,82,14,20,11,13,516,0,5,13,69,58,128,73,21,4,8,4,11,394,0,0,0,0,3,21,19,5,0,3,0,5,55,0,0,0,0,0,4,9,8,5,11,0,3,38,52,29,43,318,810,456,210,52,13,8,20,104,2117,0,0,0,4,8,7,7,3,0,0,0,252,277,64,42,67,439,941,934,1062,578,295,249,156,432,5261,0,0,0,3,0,15,154,198,178,229,156,97,1038,0,0,0,12,5,40,70,42,24,14,10,17,224,0,0,0,0,5,90,509,323,307,221,161,105,1725,4,0,0,0,4,17,70,53,44,41,27,22,274,0,0,0,8,10,197,413,204,64,96,56,70,1122,0,0
LGA11730,34,18,657,3,4,0,14,44,95,95,28,15,6,4,8,319,0,0,4,14,25,121,270,131,73,30,30,7,698,0,0,0,5,3,17,33,14,10,7,3,4,106,4,3,5,17,37,146,140,54,23,20,6,15,466,0,3,13,80,89,179,85,19,6,7,6,7,503,0,0,0,12,5,20,18,7,0,5,0,0,83,0,0,0,3,0,8,9,12,0,0,0,3,41,53,51,49,501,1196,765,372,78,31,16,24,164,3296,0,0,0,12,18,18,0,3,0,0,0,330,384,68,64,75,672,1444,1434,1246,481,233,173,107,564,6556,0,0,0,0,9,34,160,141,140,125,66,87,761,0,0,0,11,12,69,74,31,13,15,0,25,248,0,0,0,11,9,132,435,201,120,88,55,102,1155,0,0,0,5,3,35,54,30,23,17,3,17,184,0,0,0,14,33,176,265,89,32,37,14,54,714,0,0
LGA11750,22,6,134,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,8,24,22,9,6,7,0,67,0,0,0,0,0,0,0,3,0,4,0,0,11,0,0,0,0,0,13,25,10,0,3,4,5,64,0,0,0,7,0,8,0,0,0,0,7,0,21,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,5,4,6,5,19,42,21,13,3,0,0,0,9,113,0,0,0,0,0,0,0,0,0,0,0,30,34,4,8,4,24,60,57,85,57,35,43,36,55,463,0,0,0,0,0,0,18,10,15,26,16,18,115,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,5,0,5,15,19,29,18,23,11,123,0,0,0,0,0,0,5,3,7,9,3,0,30,0,0,0,6,4,11,23,30,10,19,7,4,106,0,0
LGA11800,96,19,1146,0,0,0,27,29,135,135,39,14,10,8,11,407,0,0,0,3,11,135,459,192,97,52,41,24,1022,0,0,0,0,4,22,42,31,20,9,8,9,144,0,0,0,16,45,192,183,81,38,25,21,18,619,0,6,16,91,101,238,124,31,10,8,12,16,655,0,0,0,12,10,18,15,6,4,6,0,10,77,0,0,0,5,6,7,15,8,3,0,6,9,45,84,29,54,496,1149,929,531,104,49,33,25,136,3614,6,0,0,8,16,7,8,0,0,0,0,439,490,92,36,75,676,1392,1746,1841,757,420,305,219,665,8222,4,0,0,4,6,33,263,307,246,285,159,145,1463,0,0,0,5,21,83,159,52,36,28,17,36,436,5,4,0,8,13,160,698,442,291,246,143,147,2154,0,0,0,0,5,27,86,57,42,41,20,29,295,3,5,3,10,44,255,396,168,66,77,31,78,1134,4,5
LGA12000,10,0,99,0,0,0,0,0,6,9,0,0,0,0,0,23,0,0,0,0,0,17,17,5,0,7,0,0,54,5,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,3,14,20,0,0,5,0,0,47,0,0,0,4,0,12,9,0,0,0,0,0,30,0,0,0,0,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,43,73,28,17,8,0,0,0,16,189,0,0,0,0,0,0,0,0,0,0,0,27,32,0,0,5,49,90,86,104,38,21,31,10,55,493,0,0,0,0,0,3,19,23,18,19,12,15,114,0,0,0,0,0,0,10,5,4,0,0,0,17,0,0,0,0,5,15,35,22,14,20,16,18,131,0,0,0,0,0,3,12,9,7,0,3,3,30,0,0,0,0,0,21,20,7,0,5,0,3,66,0,0
LGA12150,4,0,100,0,0,0,0,0,5,4,0,3,0,0,0,17,0,0,0,0,4,8,22,7,5,0,4,0,52,0,0,0,0,0,0,4,6,3,0,0,0,13,0,0,0,0,0,11,4,0,0,0,0,3,32,0,0,0,5,5,7,6,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,51,21,11,0,0,0,0,9,108,0,0,0,3,0,0,0,0,0,0,0,25,26,13,0,0,29,65,61,86,34,20,16,10,33,374,0,0,0,0,0,8,12,9,13,11,5,20,75,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,4,13,22,8,0,3,4,14,70,0,0,0,0,0,4,7,4,9,3,0,0,25,0,0,0,0,0,12,15,7,0,0,0,3,37,0,0
LGA12160,20,8,233,0,0,0,3,6,20,16,0,0,0,3,0,54,0,0,0,0,4,35,58,39,17,10,7,4,179,0,0,0,4,0,0,14,3,0,4,0,0,31,0,0,0,0,10,39,29,18,3,6,0,11,123,0,0,3,11,17,32,22,0,0,0,3,3,99,0,0,0,0,3,5,6,0,0,0,0,0,20,0,0,0,0,0,7,4,0,0,0,4,0,14,12,8,14,70,231,147,61,13,5,6,4,37,598,0,0,0,0,10,4,0,0,0,0,0,85,99,14,11,26,100,289,303,296,124,58,49,44,150,1452,0,0,0,0,0,11,32,44,37,34,17,40,221,0,0,0,0,0,6,16,11,5,0,0,6,43,0,0,0,0,0,26,129,54,33,30,17,32,330,0,0,0,0,0,4,13,13,0,3,9,4,46,0,0,0,3,3,39,47,25,6,6,4,20,153,0,0
LGA12350,16,0,232,0,0,0,4,6,23,17,9,0,0,0,5,66,0,0,0,0,7,40,79,31,10,9,3,3,192,0,0,0,0,0,9,12,5,4,3,3,5,34,0,0,0,13,20,39,43,13,5,9,5,12,150,0,0,8,9,15,45,26,9,7,0,0,4,121,0,0,0,0,0,5,0,0,0,0,0,5,16,0,0,0,0,0,3,0,0,0,0,0,0,8,10,11,17,85,237,129,52,16,3,5,0,43,616,0,0,0,0,3,0,0,3,0,0,0,79,86,17,12,29,122,299,319,305,127,56,54,36,143,1518,0,0,6,5,0,12,53,53,32,45,19,36,271,0,0,0,4,0,6,20,0,0,3,0,0,41,0,0,0,4,9,35,140,66,43,33,19,28,366,0,0,0,0,0,0,15,13,7,3,5,7,55,0,0,3,0,0,50,54,22,6,0,8,19,163,0,0
