LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA47800,0,4,8,8,3,4,11,5,11,12,11,19,28,5,4,14,0,0,0,0,0,0,0,0,0,5,10,18,11,25,42,9,15,23,276,227,497,218,225,438,311,244,558,780,741,1521,679,719,1402,759,693,1448
LGA47910,3,0,0,0,0,0,4,5,9,12,4,0,5,0,3,5,0,0,0,0,0,0,0,0,0,4,5,10,4,6,5,5,0,7,43,69,109,80,95,177,84,81,174,267,305,564,269,327,605,297,328,628
LGA47980,52,33,47,73,33,46,81,66,91,157,71,107,178,82,101,181,0,3,5,5,0,0,0,0,0,84,127,217,105,148,259,119,152,263,983,984,1969,915,995,1911,446,523,965,5406,5960,11368,5634,6191,11824,5337,5724,11060
LGA48050,14,15,3,15,13,13,27,16,30,46,11,25,36,15,41,63,0,0,0,0,0,0,0,0,0,23,38,63,25,28,54,34,53,92,513,580,1094,463,514,976,321,361,687,1478,1626,3107,1481,1637,3120,1516,1673,3187
LGA48130,6,3,10,9,3,0,3,0,14,17,10,21,28,5,11,18,0,0,0,0,0,0,0,0,0,3,19,27,10,25,37,7,11,23,218,184,404,242,248,499,208,182,382,887,904,1788,902,942,1841,895,906,1795
LGA48260,9,10,12,24,9,6,14,13,23,36,13,28,41,20,24,40,0,0,7,0,0,0,0,0,0,14,31,41,26,34,63,22,27,56,228,212,438,214,220,437,151,133,283,1069,1111,2180,1131,1232,2364,1074,1250,2325
LGA48340,14,6,10,13,10,9,17,17,13,33,7,26,35,10,16,33,0,0,0,0,0,0,4,0,5,21,23,47,16,29,48,26,30,54,329,345,673,459,468,923,449,411,860,1540,1590,3131,1573,1582,3162,1507,1542,3056
LGA48410,195,91,98,196,118,124,246,133,191,321,124,184,310,161,215,369,7,10,14,0,6,7,0,0,3,249,288,532,214,295,513,282,340,623,1643,1786,3430,1537,1732,3271,1025,921,1946,7773,8298,16071,8228,8986,17213,8390,8921,17314
LGA48540,18,12,17,32,16,20,38,21,35,61,21,67,86,32,72,107,3,0,5,3,0,4,0,3,3,35,42,80,32,84,122,52,95,144,936,884,1818,898,922,1825,724,688,1408,3174,3273,6450,3045,3374,6422,2771,2964,5741
LGA48640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,23,35,65,50,51,101,60,64,121,128,169,295,160,187,345,151,199,350
LGA48750,5,4,6,8,6,10,11,6,13,14,9,8,15,6,14,20,0,0,0,0,0,0,0,0,0,6,12,15,11,17,20,6,21,31,118,104,219,208,198,401,158,162,321,427,510,936,562,611,1176,595,658,1254
LGA48830,10,3,8,9,0,8,13,4,21,20,9,29,35,15,22,37,0,0,0,0,0,0,5,0,4,10,22,33,8,35,50,22,32,52,267,257,523,391,360,757,487,437,922,1131,1158,2291,1172,1168,2337,1246,1257,2502
LGA49399,4,4,0,4,0,0,0,6,5,15,3,4,8,0,3,3,0,0,3,0,0,0,0,0,0,9,12,20,5,4,10,0,8,9,400,321,717,377,236,612,291,167,452,729,605,1332,595,438,1037,478,385,860
LGA49499,7,10,6,18,6,7,16,5,3,13,4,4,8,13,11,20,0,0,0,0,0,0,0,0,0,12,12,24,17,9,30,19,15,35,301,161,466,408,223,625,496,314,814,479,350,829,558,391,948,694,564,1263
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,4
LGA50080,41,21,34,58,27,36,62,30,75,106,39,62,103,106,128,228,4,0,8,0,0,0,0,0,3,47,101,152,67,98,164,129,163,297,1331,903,2236,1698,1263,2954,1475,1033,2514,4816,4634,9456,5327,5052,10375,5344,5221,10571
LGA50210,124,104,136,239,162,181,339,86,181,264,130,280,414,230,423,653,5,0,12,8,6,15,8,3,13,148,245,392,245,422,669,391,604,999,2551,2379,4930,2788,2698,5486,2697,2312,5014,9028,9128,18163,11638,12306,23948,14626,15041,29664
LGA50250,4,5,3,5,4,8,11,13,19,35,20,21,48,8,21,29,0,0,0,0,0,0,0,0,0,14,23,35,30,30,57,19,28,39,1167,362,1526,1787,452,2241,886,487,1372,1951,1073,3026,2674,1176,3848,1577,1182,2757
LGA50280,14,3,8,12,19,16,35,18,28,51,17,36,52,34,61,90,0,0,0,0,0,0,0,0,0,24,34,66,17,43,63,48,75,124,558,463,1023,673,627,1298,766,658,1425,1715,1691,3402,2106,2102,4205,2490,2511,5002
LGA50350,21,18,17,32,20,19,37,25,40,65,24,35,58,48,59,105,0,0,0,0,0,0,0,0,0,34,50,81,44,50,94,67,78,137,501,502,998,468,478,943,485,387,873,1975,1927,3900,2067,2089,4156,2198,2144,4345
LGA50420,199,110,106,219,129,110,233,114,173,287,163,229,397,201,287,486,0,4,4,8,4,14,3,5,9,228,263,484,279,342,624,331,400,723,2434,1959,4395,2306,2309,4617,1712,1422,3139,8627,8462,17087,9283,9409,18695,9383,9261,18644
LGA50490,111,111,84,201,116,96,212,72,122,189,109,162,269,125,162,288,0,3,6,0,4,6,5,4,11,122,185,302,225,251,477,246,267,512,1878,1586,3469,2238,2024,4265,1599,1345,2943,5189,4991,10179,6294,6013,12308,6127,6153,12281
LGA50560,0,0,0,0,5,7,7,0,4,4,0,4,4,4,4,6,0,0,0,0,0,0,0,0,0,0,4,4,4,6,11,5,11,15,48,45,101,115,115,229,107,92,204,180,168,343,233,243,473,193,221,413
LGA50630,4,0,3,3,4,7,8,4,8,6,4,11,11,0,5,5,0,0,0,0,0,0,0,0,0,8,8,11,4,15,14,7,9,13,335,90,423,89,64,159,88,73,157,513,238,761,261,251,512,260,237,496
LGA50770,0,0,0,0,0,0,0,0,3,11,0,3,0,0,5,11,0,0,0,0,0,0,0,0,0,0,3,11,4,4,6,3,5,9,44,41,84,77,75,151,100,96,194,179,194,374,211,231,444,244,269,508
LGA50840,7,0,3,3,3,11,11,4,3,12,0,8,9,7,11,15,0,0,0,0,0,0,0,0,0,11,3,16,5,10,18,9,19,28,94,97,195,207,209,416,210,183,395,519,553,1070,599,670,1271,655,691,1353
LGA50910,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,32,25,53,54,74,123,49,40,88,95,108,206,116,144,252,109,117,224
LGA50980,7,7,15,22,15,14,27,20,34,54,9,32,45,20,49,67,0,0,0,5,0,6,0,0,0,18,43,64,23,50,70,32,58,97,1133,857,1993,1196,1077,2272,1245,1192,2432,2588,2555,5140,2831,2879,5707,2996,3194,6191
LGA51080,0,0,0,3,0,0,0,0,5,0,4,5,9,0,4,4,0,0,0,0,0,0,0,0,0,0,5,8,3,3,11,0,6,7,57,46,97,83,73,157,60,81,137,155,170,327,179,179,354,143,199,347
LGA51120,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,28,42,72,43,34,79,75,69,148,121,129,251,116,123,243,163,156,318
LGA51190,45,22,36,59,24,37,61,46,81,124,49,75,123,69,109,176,0,3,3,0,0,0,4,0,4,66,110,178,69,111,185,95,143,240,1651,1291,2947,1629,1322,2947,1589,1013,2607,4281,4256,8538,4409,4366,8777,4582,4299,8882
LGA51260,23,32,38,71,39,41,79,38,76,112,40,82,119,63,136,198,0,0,4,4,0,4,0,3,8,50,93,138,76,122,197,104,178,286,983,957,1935,1464,1477,2933,1275,1103,2380,4102,4210,8313,5201,5508,10703,5518,5660,11172
LGA51310,25,12,14,28,24,30,54,33,73,100,37,80,121,62,85,145,0,0,0,0,0,0,0,3,3,41,86,130,50,100,149,83,117,200,599,650,1250,737,703,1441,413,454,865,4090,4042,8125,4593,4470,9072,4637,4678,9316
LGA51330,256,255,192,447,281,273,556,160,263,421,194,267,458,227,335,565,10,4,13,9,3,9,9,7,10,299,394,691,450,464,915,518,616,1134,2816,2406,5221,2484,2296,4778,2127,1766,3892,14560,14057,28612,15755,14837,30592,16056,15740,31796
LGA51400,11,7,19,27,20,21,41,25,39,66,32,55,87,32,64,96,0,0,0,0,0,0,3,0,6,26,47,75,44,72,119,53,86,143,539,519,1054,564,530,1098,529,419,946,2437,2523,4958,2741,2991,5729,2850,2953,5799
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,30,33,61,25,29,54,45,46,86,63,76,133,72,65,141,72,75,145
LGA51540,8,3,0,4,4,0,5,3,10,17,5,7,9,6,5,16,0,0,0,0,0,0,0,0,0,11,16,23,12,8,20,10,9,23,408,403,814,506,435,945,511,424,933,890,938,1821,945,874,1818,912,812,1729
LGA51610,0,0,0,0,4,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,4,0,4,39,22,68,106,100,207,114,105,218,144,153,295,238,274,507,275,259,538
LGA51680,12,3,8,7,9,11,14,0,12,19,0,16,16,7,18,29,0,0,0,0,0,0,0,0,3,16,16,31,3,18,26,17,29,45,139,119,261,280,257,538,270,214,486,651,639,1287,856,870,1724,879,896,1777
LGA51710,0,0,4,3,3,0,3,0,0,0,0,7,7,3,3,9,0,0,0,0,0,0,0,0,0,6,0,7,0,10,8,7,3,12,814,69,884,405,115,522,350,104,458,928,189,1117,551,270,816,489,248,741
LGA51750,7,4,6,8,9,8,15,12,21,34,17,19,40,22,39,60,0,0,0,0,0,6,0,0,0,18,27,44,23,27,51,29,47,78,466,305,776,393,415,807,264,278,542,1654,1502,3156,1849,1671,3519,1842,1812,3658
LGA51820,298,124,119,240,125,110,235,137,285,419,190,323,516,306,464,771,7,7,9,4,11,12,10,5,6,384,345,732,319,456,772,432,585,1017,2956,2727,5680,3559,3500,7062,2780,2249,5028,13114,13310,26426,15471,16333,31799,16804,17524,34330
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,39,19,16,36,51,47,97,71,67,135,65,67,134,107,88,199
LGA51890,11,0,0,3,14,11,26,3,7,16,5,15,21,13,27,35,0,0,0,0,0,0,0,0,0,8,10,19,10,21,28,23,38,62,470,292,760,443,473,913,390,353,750,1333,1121,2460,1246,1287,2531,1200,1175,2377
LGA51960,9,0,5,4,0,6,6,8,8,18,5,6,12,0,9,12,0,0,0,0,0,0,0,0,0,10,13,22,9,9,23,3,13,17,322,239,561,286,214,495,436,339,774,696,662,1355,647,583,1228,695,634,1335
LGA52030,0,0,0,0,0,0,5,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,4,0,6,3,40,30,72,50,40,88,76,56,132,102,124,221,111,103,214,126,119,245
LGA52100,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,4,24,30,56,69,55,125,30,38,67,103,102,206,165,137,302,99,128,220
LGA52170,7,9,9,12,0,4,5,6,29,36,6,19,25,15,27,38,0,0,0,0,0,0,0,3,5,11,30,41,16,26,40,17,33,45,371,384,750,265,255,522,197,176,371,1247,1343,2593,1202,1213,2423,1201,1198,2400
LGA52240,0,4,0,4,3,0,3,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,5,4,0,3,3,4,3,54,34,83,56,57,110,62,55,112,132,145,280,130,146,279,142,159,309
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,15,29,74,45,119,42,39,86,85,115,200,132,123,254,101,113,216
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,63,33,24,56,18,11,31,52,32,88,43,25,70,19,17,35
LGA52450,0,0,0,0,3,0,4,0,3,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,3,10,49,37,79,86,65,154,54,55,110,196,168,370,292,212,508,212,224,437
LGA52520,0,0,0,4,0,0,0,4,0,5,0,6,9,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,5,9,10,0,0,4,40,22,64,79,63,146,118,104,223,162,125,288,207,174,383,226,221,454
LGA52590,9,0,0,0,0,3,5,3,5,9,0,11,11,0,8,12,0,0,3,0,0,0,0,0,0,3,13,17,0,8,8,6,10,13,198,151,352,157,146,298,211,142,347,452,396,851,380,362,737,453,336,790
LGA52660,10,10,12,19,12,18,33,14,28,43,22,48,68,23,50,71,0,0,0,0,0,0,0,0,0,15,37,54,29,62,92,40,63,110,416,372,785,516,466,981,480,386,872,1713,1745,3457,1930,2103,4030,2086,2054,4146
LGA52730,8,5,6,12,11,4,11,0,8,11,0,8,8,11,21,28,0,0,4,0,0,0,0,0,0,6,17,19,8,18,24,17,24,42,180,167,345,316,327,647,303,309,610,687,731,1423,856,875,1735,914,958,1866
LGA52800,17,4,0,3,6,3,6,10,10,15,5,8,19,3,3,11,0,0,0,0,0,0,0,0,0,18,16,36,12,10,24,10,8,16,1935,460,2402,604,502,1103,717,630,1351,2618,1186,3803,1338,1285,2619,1330,1243,2572
LGA52870,14,4,16,15,7,7,14,9,14,20,3,12,12,4,11,18,0,0,0,0,0,4,0,0,0,14,18,27,15,24,35,8,21,33,184,132,314,294,309,598,225,173,402,702,673,1371,788,845,1633,743,751,1493
LGA52940,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,22,5,27,28,30,59,36,20,57,80,67,145,85,90,174,104,96,196
LGA53010,0,0,0,0,0,0,0,0,4,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,7,0,0,0,15,17,34,39,33,77,69,56,123,57,74,131,80,83,159,115,118,230
LGA53080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,133,61,190,76,63,137,79,62,143,200,142,340,121,114,231,105,90,190
LGA53150,6,6,0,4,4,13,15,16,12,30,10,20,34,13,24,32,0,0,0,0,0,0,0,0,0,14,20,34,14,22,35,15,32,49,222,199,420,262,266,531,170,160,329,1095,1079,2167,1118,1285,2403,1115,1265,2378
LGA53220,7,0,0,3,3,10,14,15,16,29,19,18,34,11,34,37,0,0,0,5,0,3,0,0,0,16,22,44,24,20,43,11,39,53,1779,663,2440,1545,532,2079,1748,593,2339,2577,1376,3944,2299,1236,3537,2468,1292,3765
LGA53290,11,3,6,16,7,4,14,14,33,50,8,25,32,21,32,46,4,0,4,0,0,0,0,0,0,22,42,62,14,33,45,27,33,60,593,516,1105,921,864,1788,798,675,1476,1977,1992,3970,2269,2331,4599,2100,2105,4205
LGA53360,0,0,0,0,9,6,6,0,3,5,0,0,0,4,9,12,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,12,8,20,128,90,214,148,143,289,185,132,317,330,291,620,389,386,777,434,415,854
LGA53430,32,23,30,52,27,29,54,41,66,102,49,94,144,86,133,216,0,6,6,0,0,5,3,0,3,50,88,135,75,122,196,113,160,274,1057,965,2024,1312,1344,2656,1101,940,2037,3531,3869,7404,3981,4457,8437,4155,4552,8711
LGA53570,15,4,4,11,0,7,7,6,3,7,4,11,18,3,11,10,0,0,0,0,0,0,0,0,4,9,11,17,8,16,29,11,14,24,279,192,469,297,246,541,276,191,466,661,599,1258,698,693,1397,678,655,1335
LGA53640,0,0,0,0,4,0,4,0,0,0,0,5,7,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,3,12,48,32,82,84,47,132,54,50,102,179,163,340,174,157,331,155,157,312
LGA53710,0,0,0,0,0,0,0,0,4,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,5,0,0,0,29,33,62,52,54,108,61,52,109,114,127,240,137,156,294,137,137,273
LGA53780,252,213,211,427,265,262,526,176,333,506,239,408,652,368,501,870,8,4,9,7,6,15,9,8,16,311,467,772,460,632,1089,639,768,1406,5194,3999,9192,4651,3416,8071,4342,3187,7535,17238,16318,33560,19098,18180,37275,20621,20292,40907
LGA53800,33,26,31,59,33,37,67,35,53,87,39,78,118,73,114,195,0,6,0,3,4,8,4,0,0,49,75,121,66,113,177,112,157,266,1740,1366,3107,2039,1797,3835,2076,1739,3812,5520,5572,11084,5887,6193,12075,6098,6256,12350
LGA53920,4,0,5,5,0,0,5,0,3,6,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,6,6,11,0,0,3,153,105,257,383,405,786,266,234,499,596,553,1152,674,659,1333,613,559,1175
LGA53990,20,7,19,27,33,24,56,17,55,76,24,51,78,69,76,150,3,0,7,0,0,0,0,0,0,25,73,94,38,71,107,102,96,197,898,842,1744,1107,1074,2186,847,630,1478,3505,3488,6998,4082,4171,8248,4169,4048,8216
LGA54060,0,0,0,0,5,5,6,3,5,10,0,3,3,5,3,14,0,0,0,0,0,0,0,0,0,4,5,11,0,3,3,8,10,17,154,114,265,160,139,301,226,178,400,502,450,947,487,457,944,496,493,986
LGA54130,0,0,0,0,0,0,0,0,5,5,0,4,6,0,4,4,0,0,0,0,0,0,0,0,0,0,5,8,0,4,6,0,4,4,45,31,78,83,67,151,59,53,115,142,122,266,166,150,315,150,153,311
LGA54170,204,104,144,250,159,181,339,209,345,553,223,395,619,381,576,958,3,6,8,9,7,10,5,3,7,320,449,767,334,542,880,544,757,1303,3916,3633,7550,3485,3206,6687,2844,2190,5028,22586,22953,45543,22896,23071,45968,23112,22891,45999
LGA54200,66,50,61,108,73,71,142,61,138,197,99,199,295,126,192,315,12,0,12,3,5,7,10,0,11,98,173,272,150,265,417,204,266,470,1832,1656,3487,1843,1770,3612,1387,1136,2521,7639,7672,15312,8239,8659,16898,8347,8413,16762
LGA54280,22,14,26,41,44,21,60,32,74,108,36,75,116,62,103,167,5,0,8,5,0,8,4,4,4,46,94,139,54,108,160,106,124,237,2364,1807,4173,1770,1481,3250,1831,1322,3157,5388,4939,10328,4915,4893,9809,5077,4652,9731
LGA54310,19,6,5,12,10,14,24,33,44,84,29,56,85,40,76,114,0,0,4,4,0,0,0,0,0,50,53,100,33,66,100,54,82,135,3307,1579,4884,1893,1065,2954,2237,1467,3702,5205,3340,8547,4195,3306,7504,4811,4070,8880
LGA54340,7,0,0,6,3,3,10,3,7,14,3,6,11,4,12,15,0,0,0,0,0,0,0,0,0,9,9,18,5,10,14,8,15,26,166,160,322,303,291,597,234,192,430,653,646,1294,694,659,1347,593,585,1179
LGA54410,3,0,0,0,0,0,0,3,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,3,11,0,0,4,3,0,0,49,37,84,68,70,140,66,61,123,168,152,313,176,183,353,141,134,277
LGA54480,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,0,0,0,13,4,15,45,28,73,31,23,52,61,51,110,84,75,165,84,74,156
LGA54550,3,0,0,0,0,0,0,0,4,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,0,0,4,64,55,119,106,114,219,84,81,169,213,231,445,254,278,530,241,265,510
LGA54620,0,0,5,5,0,3,3,0,6,6,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,7,8,77,33,105,42,35,76,56,48,101,144,111,262,103,114,215,112,116,226
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,3,12,12,11,21,13,0,11,43,42,83,51,43,92,47,32,80
LGA54760,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,5,16,10,31,37,28,58,45,39,85,97,103,199,85,90,173,100,126,226
LGA54830,31,55,72,120,94,88,183,33,76,115,61,145,211,124,201,329,0,5,0,0,0,0,3,4,7,41,102,144,112,219,330,211,293,509,2093,1339,3432,2584,1517,4099,2511,1029,3543,4984,4408,9400,6835,6032,12863,8160,6993,15150
LGA54900,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,3,3,49,26,77,58,69,127,48,34,80,154,157,314,157,188,340,153,145,298
LGA54970,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,4,104,43,150,164,57,225,365,112,472,183,101,279,216,130,349,436,158,596
LGA55040,0,0,3,3,0,0,3,4,8,12,0,0,3,3,0,8,0,0,0,0,0,3,0,0,0,4,8,14,0,5,8,7,4,14,465,208,671,233,105,338,359,143,502,627,335,959,320,190,505,474,242,722
LGA55110,98,61,105,169,89,130,219,73,153,223,106,281,388,187,321,512,4,3,7,5,3,9,4,0,6,111,220,334,172,393,565,282,448,731,2983,2789,5771,2978,2883,5861,2958,2572,5532,9335,9765,19097,10657,11402,22057,11726,12527,24255
LGA55180,8,8,0,8,5,8,20,4,4,8,3,15,18,17,19,29,0,0,0,0,0,0,0,0,0,12,6,14,11,16,25,18,32,53,309,303,611,429,473,900,365,337,697,1264,1284,2548,1298,1361,2659,1160,1138,2294
LGA55250,6,0,0,0,3,0,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,0,3,0,3,173,129,300,152,110,256,179,117,293,262,214,476,213,158,375,244,189,436
LGA55320,144,72,117,192,74,122,195,118,241,360,158,257,422,221,320,545,5,0,4,0,7,12,3,5,13,181,326,506,232,385,617,301,456,750,2634,2532,5167,2558,2722,5278,1885,1732,3622,14510,14917,29425,14972,15411,30384,15065,15576,30643
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,12,13,25,51,23,73,137,19,161,44,42,88,78,41,123,158,36,196
LGA55460,51,70,3,74,0,0,4,5,8,13,4,4,5,5,6,5,0,0,0,0,0,0,0,0,0,51,6,58,76,10,78,4,3,9,123,113,231,141,135,278,197,169,371,501,446,945,535,461,992,484,468,953
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,37,27,21,47,35,32,67,67,57,128,71,51,114,71,56,128
LGA55600,0,0,0,0,0,0,0,0,3,4,3,5,10,0,8,11,0,0,0,0,0,0,0,0,4,0,8,8,3,5,10,0,6,9,95,83,178,134,135,270,141,138,280,313,363,671,360,362,721,338,363,702
LGA55670,3,0,0,0,0,0,0,0,5,5,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,3,7,6,0,3,3,0,6,3,51,28,86,37,34,70,66,62,132,177,135,312,133,109,247,115,118,234
LGA55740,11,8,9,12,15,8,23,12,19,36,13,27,34,20,26,41,0,0,0,0,0,0,0,0,0,19,26,46,19,32,45,28,35,64,304,332,627,371,377,746,264,238,502,1206,1741,2941,1385,1757,3148,1364,1668,3030
LGA55810,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,59,28,84,64,54,121,180,131,310,111,73,180,105,80,180,201,151,354
LGA55880,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,4,0,0,0,0,0,0,0,0,0,3,4,9,0,6,6,0,0,4,13,4,14,25,19,45,23,18,42,62,54,116,67,61,131,45,61,108
LGA55950,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,7,11,21,26,23,46,38,26,69,55,45,99,71,53,125,98,80,177
LGA56090,55,27,40,67,33,63,92,35,96,134,42,103,146,78,139,217,0,0,0,0,0,0,0,0,4,63,124,184,68,142,218,114,203,317,2607,1176,3786,3016,1077,4091,2857,788,3642,6617,5377,11989,6978,5247,12223,6967,5095,12061
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,6,3,15,32,16,45,11,4,9,16,17,32,33,31,63,20,17,36
LGA56230,12,7,20,30,13,13,25,8,36,38,17,42,55,18,45,72,0,3,3,0,0,0,0,0,3,6,45,50,24,62,89,34,59,92,607,519,1123,801,704,1502,750,603,1357,1895,1887,3778,2322,2483,4804,2444,2580,5019
LGA56300,3,0,0,0,3,0,3,3,4,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,4,6,9,46,27,72,65,64,131,108,103,214,152,120,276,154,149,306,201,215,418
LGA56370,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,32,25,55,28,32,63,76,53,123,85,91,178,77,96,172,130,106,237
LGA56460,5,0,3,3,3,0,3,0,5,7,0,10,12,5,12,15,0,0,0,0,0,0,0,0,0,7,5,12,8,13,23,5,12,17,191,164,360,331,321,656,272,259,528,784,798,1586,822,893,1709,711,765,1475
LGA56580,34,0,13,20,18,16,33,25,48,74,34,48,81,40,63,106,0,0,0,0,0,0,0,0,0,38,71,110,33,62,100,62,76,141,523,510,1035,520,500,1019,331,339,672,3731,3636,7373,3926,3630,7555,3845,3595,7440
LGA56620,0,0,0,0,0,0,0,0,4,7,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,5,0,0,0,65,43,115,180,183,361,64,59,117,226,181,409,332,316,649,200,183,387
