LGA_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
LGA10050,0,0,5,21,0,5,36,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,41,32,20,7,104,246,23,122,501,16,10,4,0,22,39,0,17,83,0,0,0,0,0,0,0,5,5,7,3,5,4,18,5,0,9,39,24,14,8,4,44,49,5,26,124,17,9,5,0,28,31,4,12,77,5146,5141,2222,163,12673,6018,799,1381,20879,5164,5339,2247,164,12917,4326,617,786,18642,537,238,338,50,1156,2132,161,294,3741,66,27,47,4,138,268,23,66,491,601,262,383,52,1297,2395,185,355,4233,41,11,7,0,62,151,11,18,241,11,13,0,0,26,40,12,11,84,11,0,3,0,14,13,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,64,20,15,0,98,213,17,33,357,10,0,3,0,16,38,0,50,103,0,0,0,0,0,0,0,7,8,6,3,7,0
LGA10180,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,79,36,33,10,157,337,42,76,607,9,0,0,0,12,13,0,49,73,3,0,0,0,4,0,0,0,3,3,0,0,0,7,4,0,5,18,14,9,4,0,25,19,0,57,98,27,18,3,0,45,37,0,11,99,2702,2579,1152,118,6558,2908,472,772,10706,2705,2368,1043,88,6194,2408,360,597,9561,161,108,70,11,351,554,40,88,1033,36,14,8,0,59,93,8,14,177,198,124,85,11,410,646,44,105,1215,60,30,29,3,122,267,19,63,477,13,5,5,0,26,21,8,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,9,78,36,33,5,154,289,25,70,542,4,0,0,0,9,37,5,53,95,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10250,0,0,27,30,5,8,63,..,..,..,..,..,..,..,..,..,0,0,0,0,0,8,0,0,10,179,60,117,9,370,386,46,80,881,99,12,31,6,149,299,9,283,738,0,0,0,0,0,3,0,10,14,9,5,3,0,15,9,5,6,30,102,13,36,6,157,310,12,296,781,23,24,7,0,54,43,3,33,138,5059,4049,1822,139,11068,4594,554,1333,17555,4479,3940,1423,110,9953,2737,432,545,13671,529,272,294,22,1122,1047,80,139,2381,370,217,230,16,824,611,93,115,1645,899,491,519,35,1945,1659,173,249,4023,109,56,82,7,254,344,28,48,679,41,17,22,0,83,64,10,7,160,38,3,4,0,45,25,5,14,88,9,0,3,0,7,10,0,0,19,13,3,4,0,23,24,0,3,48,206,83,107,6,410,462,44,78,992,72,11,20,5,108,242,15,237,598,0,0,0,0,0,3,0,7,14,10,0,5,0
LGA10300,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,5,0,6,0,12,17,0,11,42,4,0,0,0,4,9,0,40,55,0,0,0,0,0,0,0,3,3,3,0,0,0,5,0,0,0,5,0,0,0,0,9,12,0,49,67,0,0,0,0,5,0,0,0,3,242,232,81,9,568,222,16,147,947,215,195,70,4,478,170,17,128,793,5,0,0,0,5,23,0,3,34,0,0,0,0,0,0,0,0,0,5,0,0,0,5,23,0,3,34,6,0,0,0,3,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,8,0,0,14,0,0,0,0,0,4,0,13,12,0,0,0,0,0,0,0,4,9,0,0,0,0
LGA10470,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,80,38,45,8,174,367,49,96,692,0,3,5,0,13,11,0,23,41,3,0,0,0,3,0,0,0,3,4,3,0,0,6,8,3,5,22,12,9,10,0,22,15,3,27,69,15,7,3,0,27,119,3,14,170,3773,4274,1753,131,9932,3888,595,928,15333,3964,4216,1807,136,10124,2989,416,614,14145,227,125,119,17,486,713,60,93,1353,58,33,48,8,142,206,21,48,419,279,158,165,19,629,921,78,142,1769,110,35,44,7,189,455,33,63,742,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,8,0,0,21,117,33,41,7,196,470,34,71,771,3,4,0,0,11,4,0,29,46,0,0,0,0,0,0,0,16,17,4,3,0,0
LGA10500,1099,341,9393,3631,1783,1266,16071,..,..,..,..,..,..,..,..,..,13,18,11,4,52,36,4,3,99,6671,5682,2296,557,15204,6922,2404,2012,26542,8,3,0,3,15,53,0,21,89,0,3,0,0,3,5,0,15,22,81,87,43,11,222,119,40,58,447,96,92,44,16,247,171,45,98,555,52,41,20,4,119,92,18,24,247,13281,18304,5840,1060,38484,12502,3391,3270,57650,5228,9927,2826,334,18307,3451,615,701,23075,1079,1301,547,62,2990,1411,150,184,4737,750,1384,446,37,2626,702,88,148,3565,1831,2692,997,103,5616,2114,236,329,8302,562,623,305,72,1559,1293,202,239,3289,1349,1407,831,122,3706,2470,342,416,6937,3878,2966,1041,263,8146,4068,1148,893,14260,3823,1878,496,307,6508,2597,1570,682,11365,70,59,31,4,151,82,13,16,269,9682,6928,2703,762,20073,10521,3280,2248,36123,4,0,3,4,13,52,3,11,77,0,0,0,0,5,0,0,0,4,74,61,42,14
LGA10550,0,0,0,0,0,4,5,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,7,103,34,43,4,184,348,23,72,623,42,12,7,0,65,116,3,108,292,7,3,4,0,16,28,0,49,90,17,5,4,0,25,21,0,4,49,66,19,14,0,100,160,8,168,435,51,20,13,0,86,43,6,32,165,4658,2878,1259,85,8876,4021,323,1186,14406,4695,2907,1187,75,8873,3159,306,828,13167,144,39,55,4,244,505,14,64,828,141,48,43,3,231,255,26,41,547,288,81,99,6,473,760,36,105,1371,120,36,70,4,226,394,20,73,718,11,0,0,0,18,19,0,4,42,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,0,0,17,136,44,70,4,258,422,27,82,784,58,19,7,0,84,126,7,161,375,0,0,0,0,3,6,0,13,25,5,0,0,0
LGA10600,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,14,4,15,3,41,96,0,16,154,19,8,4,0,26,52,0,81,170,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,9,21,8,4,0,31,59,4,86,174,16,9,7,0,30,14,0,11,55,1551,1148,639,29,3363,1436,159,423,5389,1541,1122,582,35,3281,1249,187,370,5087,35,17,6,0,60,81,4,11,162,13,9,9,0,26,25,0,7,56,45,21,20,0,88,106,5,16,213,24,7,19,0,55,91,0,35,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,0,0,8,3,0,0,11,28,8,23,0,63,93,4,35,192,25,10,6,0,37,47,0,114,196,0,0,0,0,0,0,0,6,9,7,0,0,0
LGA10650,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,22,0,10,0,31,85,9,29,147,22,0,5,0,25,45,3,48,130,0,0,0,0,0,0,0,4,3,13,9,3,0,29,13,0,4,45,33,10,7,0,57,57,6,58,172,0,3,0,0,3,3,0,3,14,1090,721,276,20,2104,1077,86,386,3649,1128,700,268,27,2123,858,59,277,3318,49,10,13,0,78,160,5,16,258,0,0,0,0,0,0,0,0,0,49,10,13,0,78,160,5,16,258,6,0,0,0,8,18,0,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,22,0,8,38,3,0,0,0,5,5,6,32,44,0,0,0,0,0,0,0,0,0,3,5,0,0
LGA10750,315,60,2186,648,118,170,3121,..,..,..,..,..,..,..,..,..,9,7,5,0,25,22,3,0,53,1108,1578,552,97,3336,1728,184,453,5703,47,16,28,4,85,138,4,48,271,9,15,10,0,37,33,3,21,83,29,66,24,3,124,31,10,32,196,79,96,67,4,243,192,12,99,547,51,124,39,6,221,103,23,13,357,19121,47956,14843,1456,83376,15361,2369,4597,105705,19189,49035,13326,1366,82917,13167,2311,4438,102829,795,1405,537,59,2792,1274,118,313,4506,1550,4833,1634,133,8149,1832,304,673,10956,2342,6240,2168,191,10944,3112,428,983,15456,126,131,76,7,342,743,28,170,1285,51,84,59,3,199,271,15,59,551,1358,1564,584,118,3625,1658,343,439,6065,68,66,21,13,158,43,22,22,244,170,211,76,14,473,191,45,53,758,1769,2055,816,154,4796,2906,459,746,8898,0,0,0,0,0,4,0,0,5,3,4,0,0,6,3,0,4,20,17,33,10,0
