LGA_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
LGA10050,0,0,0,9,32,0,8,0,0,39,113,4,53,6,7,183,87,0,52,0,7,143,211,7,134,5,15,378,359,31,264,17,33,709,248,38,317,25,38,670,62,23,91,19,14,205,13,5,18,5,0,47,7,0,4,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,5,25,7,29,0,7,70,1164,119,978,77,128,2469
LGA10180,0,0,0,0,9,0,10,0,0,21,30,3,7,0,4,43,76,6,33,0,5,114,128,8,80,6,4,228,155,19,138,10,13,328,165,50,166,17,21,418,29,10,42,3,3,88,4,5,12,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,35,0,20,0,3,57,645,105,506,37,57,1342
LGA10250,0,0,0,0,22,0,0,0,0,25,38,0,6,0,0,46,14,0,10,0,5,21,33,0,9,0,3,48,91,3,42,3,12,149,228,16,152,15,37,447,176,14,212,26,32,464,153,27,171,21,30,405,91,16,117,7,15,249,31,5,26,0,8,61,9,3,14,0,0,24,12,7,11,0,0,20,14,0,15,0,5,37,915,91,789,81,132,2007
LGA10300,0,0,0,0,3,0,0,0,0,5,5,0,3,0,0,11,14,0,7,0,0,20,3,0,11,0,0,14,6,0,4,0,0,8,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,43,3,30,0,0,74
LGA10470,5,0,0,10,17,0,11,0,0,20,47,0,6,0,0,50,41,0,17,0,5,64,78,0,46,3,3,127,230,16,197,11,25,478,271,40,307,17,34,669,85,30,128,19,19,285,11,5,20,0,0,33,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,22,0,0,42,818,90,756,52,79,1793
LGA10500,4,0,0,6,37,0,12,0,3,58,116,6,14,0,5,136,66,5,20,5,10,100,129,6,37,7,9,191,321,5,107,9,18,466,1268,59,847,55,64,2298,2321,70,1078,83,111,3667,1722,89,1123,92,141,3166,908,80,680,75,91,1839,343,49,326,45,56,819,123,23,169,31,36,386,102,36,152,40,25,351,194,9,107,19,26,351,7670,438,4674,462,611,13852
LGA10550,0,0,0,3,18,0,5,0,0,26,17,0,4,0,0,25,32,3,12,0,3,50,61,7,32,5,9,106,107,13,87,4,15,218,189,25,166,14,19,416,67,21,70,14,12,176,18,5,19,4,0,39,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,17,3,19,0,0,34,550,72,421,39,58,1141
LGA10600,0,0,0,0,6,0,0,0,0,6,11,0,6,0,0,12,5,0,3,0,4,17,19,0,10,0,0,30,42,0,21,0,0,64,70,4,63,5,10,150,19,10,38,3,7,70,8,0,13,0,0,20,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,21,179,22,164,9,21,393
LGA10650,0,0,0,7,12,0,4,0,0,16,14,0,13,0,0,33,20,3,15,0,0,43,20,3,13,5,0,38,27,8,22,3,3,63,16,4,9,0,0,32,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,11,123,21,86,3,13,248
LGA10750,0,4,0,38,101,5,33,0,7,149,371,14,88,8,46,532,150,12,70,19,13,261,272,57,162,20,43,555,792,106,700,64,181,1842,2658,475,3487,347,469,7435,1671,487,2702,314,408,5578,970,417,1776,268,340,3767,270,183,591,125,140,1308,47,37,89,18,31,228,15,6,20,3,10,50,12,11,35,0,3,64,219,34,219,38,64,568,7599,1846,9976,1233,1767,22413
LGA10800,4,0,0,4,10,0,4,0,0,16,5,0,8,0,0,12,10,0,7,0,0,14,15,0,14,0,7,40,13,3,14,0,3,37,7,0,10,5,0,17,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,14,68,12,69,5,11,160
LGA10850,0,0,0,3,12,0,5,0,0,11,8,0,8,0,0,15,12,0,5,0,0,15,14,5,14,5,10,38,26,0,32,0,9,76,17,7,37,4,0,62,5,0,6,0,0,10,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,5,0,0,8,95,14,115,9,18,254
LGA10900,4,0,0,0,7,0,0,0,0,13,19,3,8,0,0,28,20,0,6,0,0,22,50,6,29,0,7,88,98,4,35,7,4,151,335,28,231,27,27,662,299,38,297,38,25,702,68,26,117,15,6,227,27,12,44,10,12,105,5,3,15,6,0,31,5,0,4,5,0,15,5,0,4,0,0,6,21,0,28,4,12,67,954,126,825,115,95,2123
LGA10950,0,0,0,4,8,6,7,0,0,15,8,0,4,0,0,13,12,0,0,0,0,14,8,0,3,0,3,17,13,0,4,0,0,18,3,0,6,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,56,4,37,0,6,109
LGA11150,3,0,0,7,5,0,3,0,0,9,10,0,5,0,0,16,8,0,0,0,0,7,9,5,10,0,0,21,3,0,7,0,0,10,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,11,41,4,57,3,4,110
LGA11200,4,0,0,7,4,0,3,0,0,12,10,4,9,0,5,24,4,0,4,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,14,41,8,29,0,3,78
LGA11250,11,0,0,23,10,4,4,0,0,25,34,0,24,0,7,63,32,0,26,0,9,73,59,3,42,0,4,112,39,4,40,4,4,92,27,6,25,0,0,59,0,0,4,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,18,242,24,184,6,19,476
LGA11300,0,0,0,4,9,0,0,0,0,13,16,0,4,0,3,23,25,0,0,0,0,25,59,3,7,0,0,75,99,0,14,3,6,125,313,5,110,16,9,440,608,15,242,28,27,917,428,20,251,35,28,772,160,21,95,21,16,319,42,13,56,16,8,131,20,8,24,8,7,70,13,16,21,4,3,59,50,5,29,6,9,97,1856,102,864,140,110,3066
LGA11350,0,0,0,0,0,0,4,0,0,4,10,0,4,0,0,12,4,0,3,3,0,10,21,0,10,0,4,38,30,3,16,0,6,55,112,5,52,4,5,174,145,13,93,10,11,269,139,9,127,5,10,288,90,16,89,7,10,211,52,5,70,8,5,135,34,0,44,0,4,93,57,7,83,3,0,149,27,3,10,0,0,46,736,57,610,46,50,1496
LGA11400,0,0,0,5,7,0,4,0,0,15,25,0,6,0,0,36,18,0,13,0,0,28,23,8,26,0,0,55,29,6,33,3,6,79,19,7,25,4,0,59,3,0,0,0,0,8,0,0,4,0,0,9,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,4,0,37,150,28,151,12,5,348
LGA11450,0,0,0,0,13,0,5,0,0,16,22,3,11,0,0,32,19,0,8,0,0,29,44,0,44,0,0,91,89,5,39,9,7,142,302,17,202,11,35,558,764,146,1125,107,164,2303,386,157,753,110,141,1544,61,28,116,21,24,255,19,12,38,11,9,83,0,0,11,4,0,18,8,3,17,0,4,32,44,7,57,7,12,136,1758,383,2422,274,406,5244
LGA11500,5,0,4,19,52,0,23,3,5,87,232,8,65,11,21,345,54,13,49,7,12,140,141,30,78,16,49,311,371,44,315,25,78,834,1309,226,1693,135,308,3675,539,231,1013,119,197,2103,175,111,391,75,91,837,40,15,82,12,26,181,14,5,16,10,4,44,4,0,4,0,0,17,6,0,10,0,0,17,97,22,95,11,33,255,3051,721,3842,426,835,8874
LGA11520,0,0,0,7,20,0,5,5,0,31,33,0,7,0,4,47,24,0,3,0,0,28,75,0,20,0,4,94,79,0,21,4,9,105,375,9,97,4,8,493,1040,20,384,28,32,1502,1027,29,569,39,45,1706,596,28,483,53,39,1199,237,42,332,51,43,695,111,24,164,18,11,329,160,62,276,50,37,589,101,3,50,8,17,176,3888,220,2404,248,246,7004
LGA11570,4,0,5,56,130,3,39,6,23,205,515,15,79,33,45,685,196,19,99,21,31,367,395,28,176,40,83,724,898,101,993,77,121,2187,2184,291,2931,258,288,5949,1828,521,2549,316,389,5602,761,452,1494,273,303,3285,377,316,809,191,176,1870,156,111,313,75,82,742,45,37,119,20,24,244,45,16,56,11,28,159,292,69,272,49,91,773,7891,1990,9957,1382,1684,22905
LGA11600,0,0,0,5,0,0,5,0,0,6,11,0,5,0,7,19,6,0,3,0,0,11,15,0,9,0,0,22,9,6,13,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,0,3,26,61,11,48,5,5,129
LGA11650,3,0,0,20,75,0,12,6,6,97,218,4,28,7,14,268,101,3,43,5,7,159,251,18,64,5,22,368,740,44,316,23,78,1200,2452,202,1723,135,315,4828,1490,276,1714,180,309,3967,529,170,746,85,156,1679,199,69,311,47,55,680,92,34,133,18,28,305,45,15,62,12,10,140,44,16,44,8,19,129,163,20,118,10,31,346,6437,873,5325,544,1048,14236
LGA11700,0,0,0,6,6,0,4,0,0,11,5,0,10,0,0,15,5,0,7,0,0,13,0,0,3,0,0,7,3,0,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,10,36,0,34,0,4,80
LGA11720,0,0,0,4,9,0,4,0,0,20,27,0,5,0,0,37,28,0,13,0,4,54,120,8,29,7,8,157,247,26,204,11,40,529,389,67,469,30,55,1011,125,33,199,14,32,399,13,0,24,3,6,53,13,0,10,0,5,30,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,24,3,17,0,7,58,1008,138,988,67,154,2356
LGA11730,0,0,0,7,22,0,3,0,3,35,39,3,16,6,4,67,41,6,19,3,6,75,113,7,58,5,14,184,188,9,136,9,26,369,255,36,251,18,32,605,89,22,103,8,22,247,21,3,43,0,0,71,7,0,5,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,6,20,0,5,65,833,93,667,51,114,1756
LGA11750,11,6,0,14,8,0,5,0,0,16,20,3,11,0,3,43,8,0,8,0,0,20,22,0,13,0,0,33,13,3,13,0,4,37,0,3,7,0,0,7,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,93,9,74,3,11,193
LGA11800,0,0,0,4,23,0,9,0,3,34,37,0,10,0,0,45,34,0,6,3,0,46,126,7,36,0,7,172,245,6,168,10,31,460,475,69,457,33,82,1118,348,73,376,42,55,896,128,41,178,22,21,390,39,10,56,13,7,122,14,3,10,0,0,30,4,0,3,0,0,7,6,4,3,0,0,13,50,7,17,0,6,84,1534,224,1331,123,216,3423
LGA12000,0,0,0,0,3,0,0,3,0,10,4,0,3,0,0,14,5,0,13,0,0,13,7,0,0,0,0,12,7,0,10,0,0,15,6,0,5,0,0,18,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,7,41,8,3,99
LGA12150,0,0,0,4,10,0,0,0,0,10,15,0,12,0,0,27,7,0,10,0,0,17,14,3,8,0,0,28,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,6,62,8,42,3,0,118
LGA12160,0,0,0,0,13,0,4,0,0,15,39,4,11,0,7,59,14,0,14,0,4,28,25,3,32,0,3,73,35,3,47,8,5,97,15,0,19,3,3,45,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,13,0,0,21,159,21,140,15,22,347
LGA12350,0,0,0,7,18,0,0,0,5,26,27,0,7,0,3,48,23,4,16,0,0,48,54,6,32,0,4,102,37,10,43,3,5,92,17,5,25,0,0,45,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,12,5,0,29,197,33,143,11,16,401
LGA12380,0,0,0,33,104,0,21,7,9,137,310,9,49,14,19,389,129,18,54,20,21,236,248,24,104,17,43,437,684,40,441,40,60,1259,2066,220,2657,160,209,5309,1542,400,2583,273,330,5124,531,280,974,175,166,2121,161,137,393,80,102,875,58,40,85,17,39,235,16,7,30,5,6,68,30,12,32,6,5,87,246,35,237,33,56,608,6174,1211,7647,840,1064,16939
LGA12390,0,0,0,12,28,0,6,0,7,47,84,0,32,0,8,123,65,0,59,0,10,135,170,5,117,6,13,312,311,33,296,11,22,672,291,50,387,23,47,790,70,25,97,11,8,206,15,4,13,7,4,44,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,9,37,3,8,81,1074,128,1051,68,121,2447
LGA12700,0,0,4,3,4,0,4,0,3,7,8,0,5,0,0,11,9,0,0,0,0,15,16,0,5,0,4,24,26,0,11,0,8,49,30,6,26,3,8,80,7,0,14,0,0,25,7,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,0,0,15,108,21,76,12,31,238
LGA12730,0,0,0,4,10,0,6,0,0,18,26,0,7,0,0,39,12,0,16,0,0,24,37,4,25,0,10,65,39,0,26,3,0,69,12,0,10,5,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,0,17,149,9,104,7,11,279
LGA12750,0,0,0,3,19,0,0,0,0,21,41,0,18,0,4,68,28,0,9,0,5,43,65,0,34,6,10,109,158,4,66,3,14,243,255,34,226,16,27,555,95,30,122,6,12,264,35,8,29,6,4,75,4,0,4,0,0,9,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,32,4,18,0,3,60,745,86,523,37,81,1463
LGA12850,0,0,0,18,58,0,20,5,10,94,281,15,61,27,29,407,131,20,53,15,21,231,287,37,125,45,62,553,700,92,526,87,140,1541,1040,270,1473,278,451,3509,641,543,1462,416,622,3687,190,279,473,185,250,1382,68,93,166,58,95,477,26,17,41,13,23,117,4,0,9,7,3,28,5,5,7,9,6,28,166,36,113,40,60,418,3627,1407,4530,1172,1776,12514
LGA12870,0,0,0,6,13,0,3,0,3,15,25,0,7,0,0,29,23,0,4,0,0,29,40,0,19,0,6,73,53,8,48,3,8,121,28,8,33,0,3,67,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,27,199,22,128,11,18,380
LGA12900,3,0,0,4,3,0,7,0,4,18,21,0,9,0,0,32,23,3,11,0,8,36,31,0,17,0,3,47,37,5,29,4,6,76,21,10,13,0,0,54,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,30,157,21,110,6,15,312
LGA12930,0,0,0,10,28,0,11,0,0,33,84,0,8,5,4,106,51,3,15,0,4,78,142,7,42,3,16,209,301,6,110,12,22,448,1319,43,740,63,74,2243,1497,105,1087,123,127,2938,610,109,719,98,129,1661,211,54,353,54,87,751,77,35,143,34,20,312,30,9,57,15,15,127,42,26,74,28,21,194,122,12,85,24,22,268,4536,411,3450,468,543,9405
LGA12950,3,0,0,0,9,0,3,0,0,12,12,0,11,0,0,27,7,0,3,0,0,16,7,0,10,0,5,28,4,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,51,4,52,0,4,118
LGA13010,0,0,0,4,7,0,0,0,0,13,25,0,4,0,0,33,21,0,16,0,0,38,33,0,29,4,3,79,33,4,20,3,3,59,5,3,11,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,15,139,16,88,11,9,263
LGA13310,0,0,0,3,10,0,7,0,0,18,36,0,3,0,4,49,14,5,7,5,4,31,55,0,23,0,8,88,149,13,103,10,13,291,230,31,250,18,26,561,61,7,78,9,20,172,10,6,11,0,4,26,4,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,16,0,0,40,589,64,511,41,82,1289
LGA13340,0,0,0,3,9,0,7,0,0,18,24,0,10,0,0,33,14,0,10,0,0,28,25,0,19,6,0,47,22,8,29,0,0,60,4,3,12,0,3,28,0,4,5,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,16,119,19,96,9,6,249
LGA13450,0,0,0,0,23,0,11,0,4,38,48,0,31,0,12,100,57,3,40,5,9,114,120,6,93,4,15,232,149,16,145,8,27,351,186,33,196,18,35,467,33,7,46,3,8,99,9,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,35,0,15,0,8,57,680,76,586,44,102,1493
LGA13550,0,0,0,0,7,0,4,0,4,9,14,0,8,0,0,26,12,0,8,0,0,20,15,5,21,0,13,54,49,8,50,10,7,118,74,12,61,0,3,156,20,8,42,0,0,77,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,6,8,0,5,0,0,13,205,33,214,14,39,506
LGA13660,0,0,0,0,0,0,4,0,0,10,9,0,0,0,0,14,5,3,10,0,0,18,9,0,18,0,5,37,9,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,3,25,49,10,61,6,8,136
LGA13800,0,0,0,4,3,0,8,0,0,14,17,0,7,0,0,27,25,0,11,0,0,29,60,9,56,4,9,138,131,5,68,3,15,225,384,30,296,31,51,789,249,39,253,31,48,625,87,37,113,13,25,279,36,11,54,8,15,129,25,8,23,8,3,68,7,0,9,3,6,28,14,3,15,0,6,36,38,0,36,9,11,93,1088,143,945,118,189,2488
LGA13850,0,0,0,0,8,0,3,0,0,9,19,0,16,0,3,35,7,0,8,0,0,16,13,0,12,0,0,29,4,0,5,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,7,56,4,58,0,7,117
LGA13910,0,0,0,5,10,0,3,0,0,14,29,4,15,4,7,55,28,5,24,4,7,63,60,7,70,3,7,148,79,6,98,0,11,196,18,7,34,5,5,77,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,6,18,0,0,52,272,35,280,12,39,638
LGA14000,0,0,3,4,20,0,7,0,0,30,36,0,5,0,3,40,37,0,15,0,0,60,55,5,26,0,8,96,103,3,45,5,9,164,695,22,367,28,30,1142,756,56,1047,70,52,1977,336,103,632,98,77,1246,172,122,488,111,58,954,78,89,266,70,39,546,42,56,152,50,24,329,33,37,110,44,17,253,76,12,55,16,14,176,2456,501,3215,500,339,7008
LGA14100,0,0,0,0,3,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,4,26,0,0,0,0,26,9,0,3,4,0,13,25,0,4,5,0,36,43,4,14,3,4,65,47,5,29,0,8,83,34,5,34,4,5,73,10,5,27,0,0,41,7,6,21,3,3,33,32,15,60,17,10,132,10,4,4,4,0,19,258,39,190,38,19,552
LGA14170,0,0,0,11,32,0,13,0,4,46,65,0,8,0,3,75,42,0,9,0,4,58,126,3,19,3,14,167,282,6,77,12,16,397,1311,40,397,38,47,1830,2041,28,571,59,47,2754,1711,33,530,59,32,2369,1422,33,658,46,34,2200,749,33,491,38,30,1344,346,24,372,33,22,793,408,95,649,99,41,1291,127,6,72,14,18,231,8686,288,3875,410,317,13574
LGA14220,0,0,0,7,9,0,12,0,4,18,26,0,15,0,0,35,30,4,22,0,3,50,54,12,28,0,9,99,99,8,86,8,14,206,38,7,52,4,13,122,6,0,11,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,17,3,12,0,4,36,284,40,235,10,39,604
LGA14300,0,0,0,0,7,0,0,0,0,7,11,0,0,0,0,20,12,0,0,0,0,18,22,0,18,0,5,43,19,3,24,0,0,51,11,3,25,0,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,10,82,9,79,0,9,180
LGA14350,0,0,0,3,4,0,0,0,7,13,27,0,11,5,0,43,31,3,24,4,5,64,52,6,22,0,12,92,103,7,99,3,23,241,108,18,134,5,26,291,22,9,36,3,6,68,9,0,5,0,0,17,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,14,0,6,33,383,50,348,25,78,885
LGA14400,0,0,0,5,3,0,0,0,0,3,5,0,3,0,0,14,8,0,6,0,0,10,9,0,4,0,0,10,27,0,5,3,4,36,62,0,38,7,4,113,107,8,78,7,16,214,93,12,94,7,10,215,25,8,62,5,0,103,6,0,7,0,4,18,0,0,4,0,0,6,0,0,7,0,0,8,9,0,8,0,3,20,362,41,313,34,39,785
LGA14500,0,0,0,0,4,0,6,0,0,7,4,0,4,0,0,4,8,0,5,0,5,13,17,0,12,0,3,36,30,5,15,0,5,56,200,0,56,8,5,267,428,8,203,19,12,676,371,27,489,49,36,966,173,47,265,60,23,578,97,36,266,66,21,496,77,52,254,62,18,465,188,237,715,238,99,1475,57,3,47,12,8,129,1653,416,2336,524,236,5167
LGA14550,0,0,0,0,3,0,4,0,0,14,15,0,0,0,0,18,15,3,5,0,0,23,16,0,11,0,0,38,23,5,26,0,7,62,13,5,24,0,0,36,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,13,108,21,81,4,15,222
LGA14600,3,0,0,3,8,0,8,0,0,21,22,8,24,0,0,48,15,5,9,0,5,32,15,6,16,0,0,31,9,0,13,0,0,25,7,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,17,0,0,23,94,13,108,5,13,230
LGA14650,0,0,3,18,64,4,9,0,3,77,233,5,26,4,13,278,84,4,34,3,3,134,161,17,75,5,23,273,408,28,223,28,87,774,1166,98,940,86,169,2456,679,134,797,92,156,1857,266,80,332,52,66,794,76,43,114,19,16,273,20,6,28,0,0,64,14,4,10,0,3,27,4,0,9,0,3,21,93,9,64,6,14,182,3275,437,2673,313,571,7264
LGA14700,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,6,23,0,7,0,0,33,23,0,3,0,0,32,245,5,83,3,3,336,480,9,199,11,8,704,353,9,210,10,9,602,183,15,177,13,7,389,126,5,158,13,9,309,60,4,84,6,6,168,62,57,219,36,20,397,33,0,21,0,4,63,1608,109,1165,101,77,3054
LGA14750,0,0,0,0,15,0,3,0,0,23,27,0,17,0,0,45,32,4,17,0,3,61,39,8,31,5,6,85,34,8,69,4,9,118,26,3,30,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,18,174,22,186,15,22,423
LGA14850,0,0,0,5,20,3,7,0,4,25,18,0,14,0,0,36,22,6,13,0,3,45,69,4,34,3,14,123,157,16,103,10,21,312,212,18,237,14,30,508,84,24,103,9,10,231,24,5,31,5,5,68,12,3,10,0,0,25,3,0,0,0,0,9,0,0,0,0,0,3,6,0,0,0,0,4,15,0,10,0,5,32,638,81,572,43,89,1423
