SA3_CODE_2021,C11_1_74_CF_NC,C11_1_74_CF_Cu15DS_,C11_1_74_CF_CU15_NDS,C11_1_74_CF_NCU15_DS,C11_1_74_CF_NDCO,C11_1_74_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_Tot,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Tot,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_Tot,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_Tot,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_Tot,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_Tot,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_Tot,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_Tot,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_Tot,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_Tot,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_Tot,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_Tot,C11_950over_CF_NC,C11_950over_CF_Cu15DS_,C11_950over_CF_CU15_NDS,C11_950over_CF_NCU15_DS,C11_950over_CF_NDCO,C11_950over_Tot,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_Tot,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_Tot,C16_1_74_CF_NC,C16_1_74_CF_Cu15DS_,C16_1_74_CF_CU15_NDS,C16_1_74_CF_NCU15_DS,C16_1_74_CF_NDCO,C16_1_74_Tot,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_Tot,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_Tot,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_Tot,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_Tot,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_Tot,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_Tot,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_Tot,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_Tot,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_Tot,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_Tot,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_Tot,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_Tot,C16_950over_CF_NC,C16_950over_CF_Cu15DS_,C16_950over_CF_CU15_NDS,C16_950over_CF_NCU15_DS,C16_950over_CF_NDCO,C16_950over_Tot,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_Tot,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_Tot,C21_1_74_CF_NC,C21_1_74_CF_Cu15DS_,C21_1_74_CF_CU15_NDS,C21_1_74_CF_NCU15_DS,C21_1_74_CF_NDCO,C21_1_74_Tot,C21_75_99_CF_NC,C21_75_99_CF_Cu15DS_
10102,4,0,10,0,0,18,10,0,6,0,0,14,37,0,17,9,3,69,71,5,47,5,4,128,69,13,65,4,3,152,138,9,145,13,11,320,218,24,206,13,19,483,242,18,240,13,32,546,76,23,119,14,15,253,28,8,68,10,7,123,7,9,27,0,0,47,8,0,8,0,0,14,0,0,0,0,0,0,0,0,4,0,0,5,25,3,29,0,3,65,947,114,991,78,105,2241,5,0,6,0,0,16,7,0,3,0,0,8,13,0,12,0,0,30,81,0,40,5,3,129,68,0,59,0,0,132,154,9,161,7,6,341,226,21,222,16,14,494,326,28,303,32,27,713,112,27,144,20,19,326,44,19,90,14,12,180,11,14,32,5,6,66,9,0,8,0,7,21,4,0,6,0,0,10,4,0,3,0,0,13,29,4,18,3,8,58,1075,132,1120,106,102,2527,6,0,0,0,0,10,0,5
10103,4,0,11,0,0,21,8,0,8,0,0,12,30,4,17,0,0,58,66,3,41,0,5,117,39,0,41,5,3,84,36,5,60,6,0,110,30,10,50,0,3,88,18,3,19,6,0,47,0,0,0,0,0,3,5,0,0,0,0,7,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,8,16,0,18,0,0,29,262,34,258,19,17,585,3,0,7,0,0,8,0,0,3,0,0,5,26,3,7,0,0,38,42,4,21,3,3,74,37,4,24,0,7,71,61,4,53,0,6,133,57,10,59,4,5,140,42,8,57,5,5,115,5,0,8,0,0,14,0,0,0,0,0,4,4,0,3,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,14,0,10,0,0,25,302,26,264,18,34,642,7,0,3,0,0,11,0,0
10104,21,4,13,0,0,43,15,0,5,0,4,28,103,6,56,4,13,187,195,14,93,10,12,319,160,5,120,7,22,320,290,46,237,21,48,629,196,33,301,30,31,590,74,29,98,15,12,225,12,5,12,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,3,0,0,14,32,4,27,5,6,74,1107,145,964,92,148,2455,19,0,8,0,0,30,12,0,0,0,0,19,34,3,16,6,3,63,99,7,45,4,23,179,101,7,52,3,9,171,202,10,112,15,14,353,321,36,314,22,49,748,229,60,278,19,37,627,29,7,26,0,3,68,9,4,5,0,0,8,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,8,44,5,24,4,9,81,1110,151,883,69,153,2361,12,0,3,0,0,21,9,0
10105,8,4,9,0,0,25,17,0,10,0,0,31,71,9,36,0,8,121,105,14,66,10,18,210,62,9,70,6,14,159,94,13,113,12,14,252,41,22,91,7,15,172,12,6,33,4,6,55,5,0,3,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,20,5,13,0,0,43,448,77,441,46,80,1097,6,0,6,0,0,14,5,0,0,0,0,3,24,0,10,0,4,46,60,3,26,3,7,105,48,7,31,0,0,93,89,13,75,9,15,206,163,25,168,13,31,402,87,25,164,13,17,303,8,3,22,4,3,45,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14,0,7,50,529,81,530,46,90,1277,0,0,0,0,0,5,3,0
10106,21,6,14,5,0,45,10,0,11,4,0,21,54,7,31,4,3,104,94,6,66,4,9,178,50,3,63,3,5,129,61,13,84,5,8,165,44,9,86,5,13,164,28,10,45,5,9,91,14,4,18,4,0,46,0,0,10,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,15,0,16,0,5,40,397,60,460,40,49,1004,17,0,17,0,6,37,0,0,0,0,0,6,31,0,12,0,0,45,47,0,30,0,3,95,49,7,45,0,8,110,91,14,90,6,3,198,85,7,106,12,18,226,43,11,78,13,14,153,27,4,19,4,7,61,9,0,13,0,3,24,0,0,4,0,0,10,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,5,33,0,23,0,3,58,440,45,458,32,61,1036,6,0,9,0,0,23,0,0
10201,8,5,12,0,0,22,34,0,9,0,0,43,176,3,31,9,7,221,157,18,54,6,20,261,160,11,91,16,22,294,406,27,275,23,32,768,880,88,805,53,101,1926,504,136,765,80,126,1617,151,62,233,23,45,525,33,31,70,19,14,164,17,8,27,5,0,64,10,4,10,0,0,22,4,0,3,0,0,4,15,5,6,0,0,29,62,4,54,11,6,137,2623,395,2439,254,379,6088,0,0,0,0,0,8,8,0,0,0,0,12,59,0,9,0,8,77,132,6,22,9,14,177,72,5,30,5,8,117,164,9,65,9,23,272,531,29,298,28,60,946,1111,106,1058,96,167,2539,431,116,590,90,73,1305,149,54,235,47,49,545,53,27,84,16,20,194,15,7,38,8,6,75,13,0,18,0,0,32,9,6,21,7,0,36,72,15,49,4,13,145,2829,378,2508,322,434,6477,11,0,3,0,4,17,15,0
10202,21,0,8,0,0,33,26,5,3,0,0,31,161,3,27,4,8,205,179,16,87,21,23,327,200,8,127,16,39,395,515,71,481,49,78,1197,774,145,957,56,147,2086,321,140,576,68,112,1218,55,31,97,7,21,211,15,12,27,4,3,71,8,3,3,0,5,16,0,0,0,0,0,6,0,0,0,0,0,0,10,4,7,0,3,22,69,8,43,6,11,140,2348,441,2460,228,453,5940,11,0,3,0,0,9,10,0,0,0,0,8,35,0,17,0,4,53,161,9,20,3,17,204,95,6,41,6,11,162,212,13,90,14,30,359,661,55,493,50,125,1390,941,152,1144,102,230,2567,304,133,561,73,100,1175,47,15,88,22,23,198,17,11,20,0,10,56,0,0,5,0,0,16,4,0,3,0,0,13,4,0,8,0,0,11,42,5,50,9,17,120,2548,407,2543,291,563,6354,11,0,5,0,0,15,4,0
10301,17,0,5,0,0,27,12,0,3,0,0,20,71,3,31,3,6,113,109,11,77,6,13,205,97,11,79,9,16,217,148,19,166,10,23,359,127,24,203,13,16,385,55,23,107,8,6,206,3,0,15,0,0,22,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,5,13,0,3,32,660,99,709,50,75,1589,9,0,5,0,0,12,16,0,0,3,0,18,24,0,15,0,0,36,62,0,32,3,6,109,61,7,33,5,8,112,138,4,112,10,12,274,227,19,244,14,18,522,145,49,244,18,23,480,11,9,29,9,5,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,9,16,0,0,46,713,105,734,64,77,1684,9,0,0,0,0,9,4,0
10302,36,3,44,4,0,95,28,4,25,0,6,63,194,17,118,11,22,355,248,42,220,18,33,548,79,7,98,6,14,202,70,8,97,8,12,194,39,11,61,5,0,117,3,5,17,0,0,28,5,4,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,14,41,7,43,0,6,95,744,108,731,56,89,1721,31,5,32,0,0,72,15,0,15,0,3,30,84,4,47,6,8,154,180,14,133,10,20,361,102,19,94,7,13,245,151,22,187,4,17,386,84,15,114,14,14,249,18,8,39,3,6,67,3,0,4,0,0,10,3,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,37,3,26,9,7,89,720,92,703,53,98,1660,24,0,18,0,3,47,11,0
10303,23,0,11,0,0,39,8,0,6,0,0,13,85,5,35,3,5,135,124,16,111,14,30,299,93,25,94,11,13,238,88,20,125,11,15,264,93,15,108,9,8,235,37,16,90,10,5,159,15,4,18,0,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,10,27,4,26,0,7,63,596,114,634,57,89,1488,15,0,15,0,4,30,0,0,0,0,0,0,24,3,13,4,0,42,72,10,59,0,8,158,73,6,53,3,11,138,126,22,80,6,20,255,175,20,196,11,34,436,105,25,181,15,22,339,13,10,34,5,0,65,0,0,6,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,32,0,22,0,7,58,635,100,669,36,103,1544,6,0,12,0,0,20,6,0
10304,14,0,9,0,7,28,16,0,9,0,4,28,68,3,32,6,9,124,150,28,142,16,31,355,87,17,86,16,14,217,170,23,167,9,17,390,166,19,245,25,27,481,99,32,184,10,13,340,16,7,54,4,0,89,3,0,14,0,0,23,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,40,3,35,4,0,76,827,141,998,86,122,2170,13,0,9,0,6,20,12,0,3,0,0,12,35,5,13,0,4,52,90,8,36,3,15,155,84,5,69,0,15,172,176,17,156,12,24,389,240,22,335,21,35,651,211,58,317,26,29,644,26,16,45,3,3,100,5,8,10,0,3,21,0,0,3,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,26,5,30,6,0,70,912,136,1035,74,133,2292,6,0,13,0,0,17,4,0
10401,10,5,11,0,0,25,8,0,0,0,5,15,62,4,28,3,12,109,143,4,70,7,15,231,93,11,73,4,10,193,157,18,177,10,30,391,146,42,208,21,19,434,36,13,61,7,5,116,3,0,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,7,18,0,12,0,4,38,671,100,657,53,100,1579,6,0,11,0,0,18,8,0,4,0,0,8,25,0,12,5,0,39,64,9,27,6,9,110,76,3,32,4,10,120,154,15,98,10,24,299,234,39,239,27,31,578,119,26,152,12,28,334,20,7,22,7,0,57,8,0,3,0,0,14,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,22,3,14,0,4,52,741,111,621,62,114,1648,0,0,6,0,0,11,3,0
10402,21,0,10,0,0,38,8,0,0,0,0,11,123,10,31,4,8,173,146,15,76,10,18,263,138,11,91,6,15,262,274,33,211,22,38,579,399,69,483,21,36,1017,205,88,414,54,37,793,45,23,93,10,14,178,7,0,25,5,0,32,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,16,38,9,40,4,10,93,1413,245,1483,140,172,3457,5,0,0,0,3,13,4,0,0,0,0,4,30,0,22,3,5,59,117,3,26,3,6,153,69,7,37,4,11,123,200,9,131,8,21,371,394,33,328,32,57,837,472,118,614,66,89,1360,145,45,243,22,40,489,32,11,45,8,5,97,0,0,12,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,46,4,33,0,10,95,1523,238,1497,146,237,3631,3,4,5,0,0,12,4,0
10501,96,5,105,5,6,214,36,6,34,4,4,86,111,17,127,5,30,294,91,8,125,8,10,239,30,13,29,3,4,84,26,3,36,4,5,73,4,4,26,0,0,33,6,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,11,0,0,12,36,0,53,3,7,100,438,52,554,41,64,1151,85,0,66,0,9,160,28,5,29,0,9,72,63,10,52,3,6,134,109,12,127,5,11,260,47,8,61,6,12,133,53,3,48,3,9,111,35,10,37,6,4,87,8,0,12,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,34,7,34,3,6,81,462,60,458,29,57,1067,51,6,47,0,3,98,21,4
10502,44,4,25,0,0,77,11,0,9,0,0,22,50,10,42,0,10,116,68,6,66,3,4,149,40,6,29,0,0,73,28,4,24,0,0,55,10,0,24,0,0,31,4,0,10,0,0,14,0,3,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,4,35,268,29,247,9,30,581,29,0,15,0,4,51,14,0,20,0,0,33,28,8,25,0,4,65,44,0,34,0,6,89,30,4,40,0,5,73,56,5,35,3,0,105,37,4,37,0,3,82,15,0,24,0,0,36,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,0,0,29,252,20,253,11,29,573,15,0,3,0,3,22,12,5
10503,34,9,38,0,0,84,33,3,22,0,3,66,220,30,138,14,23,420,226,36,183,18,26,489,102,13,129,10,13,263,172,20,187,12,20,405,97,22,152,15,13,300,41,27,87,8,7,168,5,0,4,0,0,13,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,4,0,0,15,45,9,44,6,7,104,980,164,988,78,120,2328,15,0,15,0,0,40,19,0,7,0,0,30,82,9,52,4,6,153,199,5,126,11,21,365,142,11,104,10,21,284,217,18,197,10,23,462,241,40,274,28,21,596,129,32,227,23,28,426,23,10,38,4,9,83,9,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,47,10,32,4,9,95,1121,141,1068,86,132,2556,6,0,13,0,0,25,8,0
10601,28,0,14,0,4,42,14,0,9,0,0,25,108,6,34,5,9,165,148,17,120,17,30,326,109,16,134,4,27,297,225,29,271,16,36,580,247,36,318,22,51,674,180,32,308,9,19,547,29,10,45,11,3,91,8,0,7,0,0,16,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,12,34,0,41,6,7,92,1130,151,1306,92,192,2885,9,3,9,0,4,28,14,0,0,0,0,13,39,3,8,4,5,60,107,11,34,3,14,161,86,6,59,4,8,161,226,11,174,18,30,459,435,55,478,24,74,1067,255,80,455,49,59,899,39,15,60,5,7,126,13,3,12,0,4,40,3,0,5,0,3,13,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,4,49,5,16,3,5,85,1269,203,1313,120,224,3121,9,0,10,0,0,16,8,0
10602,14,0,0,0,0,11,9,0,6,0,0,14,89,4,31,9,0,131,103,9,80,6,15,219,80,16,86,11,24,209,158,24,166,13,20,387,298,48,327,23,54,743,170,53,374,28,37,665,28,12,70,6,8,129,0,0,8,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,24,0,22,0,6,56,976,164,1182,99,168,2592,9,0,5,0,0,10,10,0,0,0,0,18,14,0,13,0,0,25,90,0,28,4,11,140,60,8,31,7,4,114,122,18,132,5,24,307,417,31,324,23,44,833,477,122,832,71,97,1597,67,22,117,13,17,242,8,3,20,6,8,43,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,3,17,4,5,52,1315,214,1525,131,210,3395,6,0,6,0,0,7,8,0
10603,13,0,7,0,0,22,12,0,6,0,0,14,84,7,32,0,20,141,128,18,103,11,10,274,175,12,173,10,22,398,222,42,260,19,44,593,317,55,407,36,45,863,172,59,272,34,28,558,35,11,62,0,3,117,5,0,22,0,3,32,6,0,11,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,13,39,8,33,3,3,94,1219,211,1408,122,182,3142,3,0,4,0,0,10,7,0,0,0,0,10,36,0,10,0,0,51,74,8,31,0,10,127,58,7,32,4,7,102,193,28,241,13,27,499,305,22,266,37,47,678,328,91,474,44,77,1012,99,35,146,19,21,320,17,20,34,5,7,83,3,5,11,3,3,28,0,0,0,0,0,5,0,0,4,0,0,3,0,3,4,0,0,11,37,0,18,5,0,56,1166,216,1266,138,199,2985,3,0,5,0,0,4,0,0
10604,12,0,16,0,0,32,8,0,0,0,0,5,50,5,20,5,4,81,89,5,63,7,13,179,76,14,81,4,10,182,78,9,106,7,11,215,100,15,131,3,13,263,66,16,160,6,5,260,9,0,22,0,0,30,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,5,0,0,9,29,9,37,3,0,78,519,80,637,38,66,1337,7,0,7,0,0,13,0,0,0,0,0,4,18,0,9,0,3,41,65,4,34,3,8,112,98,3,34,4,8,149,167,16,143,9,26,358,158,31,218,8,22,442,55,16,79,7,10,165,6,4,28,0,0,36,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,3,31,3,29,0,4,68,614,82,591,34,84,1404,3,5,4,0,0,9,4,0
10701,19,0,8,0,0,27,13,0,5,0,0,17,215,6,35,8,20,281,141,19,73,17,35,273,98,5,59,11,21,182,167,25,186,23,49,440,172,47,305,31,33,583,82,39,164,23,27,342,11,10,42,7,7,75,3,0,5,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,13,35,0,22,5,5,73,962,145,918,110,197,2333,3,0,0,0,3,8,7,0,0,0,0,9,35,0,20,0,0,59,174,12,47,5,8,243,72,9,39,4,10,137,97,9,50,12,20,182,210,29,173,12,56,482,285,96,463,48,80,972,78,26,150,20,29,305,26,13,53,9,5,98,5,3,12,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,15,4,4,63,1023,205,1028,120,227,2599,8,0,0,0,0,12,11,0
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,19,0,4,0,6,25,17,0,0,0,0,16,152,5,24,7,13,194,112,12,55,5,16,203,90,11,69,12,18,200,184,29,147,31,44,429,309,60,374,28,68,839,221,77,409,42,52,804,36,36,110,17,21,220,9,3,31,4,0,44,4,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,0,0,12,33,5,24,0,4,68,1189,247,1255,148,241,3080,12,0,5,0,0,12,12,0,0,5,0,20,27,0,12,0,3,47,142,4,26,4,10,187,54,7,25,0,12,98,90,11,41,12,16,165,228,15,157,24,48,476,434,66,489,51,90,1131,196,71,370,45,61,734,64,32,141,19,26,281,10,11,39,6,5,69,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,6,33,4,24,4,7,69,1310,213,1334,170,282,3314,10,0,3,0,3,12,7,0
10704,23,0,3,0,0,33,17,0,7,0,0,25,222,0,34,5,18,278,241,12,86,16,16,375,180,11,94,9,33,334,377,30,254,30,44,729,646,36,416,51,73,1225,489,71,497,52,33,1141,169,42,205,19,22,456,45,5,74,11,8,149,15,11,20,3,3,52,0,3,8,0,3,15,0,0,6,3,0,9,12,0,5,0,3,20,72,7,31,5,6,130,2519,229,1729,211,272,4962,6,0,0,0,0,14,9,0,0,0,0,14,64,0,15,4,5,85,201,5,43,9,15,274,93,0,42,4,6,149,230,16,93,7,29,371,559,30,328,22,37,976,815,59,576,66,102,1626,449,62,469,62,54,1099,180,33,207,35,22,473,53,21,88,8,13,184,24,6,30,6,3,70,13,3,19,0,3,43,5,4,7,0,0,25,52,5,36,4,11,109,2766,246,1960,229,301,5500,6,0,0,0,0,11,11,0
10801,7,0,0,0,0,7,5,0,0,0,0,7,44,0,15,0,3,59,111,14,45,5,5,178,68,5,42,11,9,130,101,19,86,10,9,230,108,23,134,12,26,306,34,11,66,6,8,130,10,0,4,0,0,13,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,15,6,0,39,518,69,412,48,61,1122,4,0,4,0,0,10,3,0,0,0,0,4,9,0,4,0,5,17,46,4,16,0,0,68,48,0,22,3,6,76,93,0,47,4,7,159,138,12,112,10,22,298,109,26,140,20,14,315,24,15,30,10,7,86,0,6,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,9,0,0,30,505,69,389,53,66,1079,0,0,0,0,0,4,0,0
10802,15,6,11,0,0,32,10,0,5,0,0,19,109,7,40,6,17,173,155,14,89,11,19,290,91,17,107,8,15,236,141,28,151,11,25,354,82,20,133,10,7,254,26,8,35,0,0,68,0,0,4,0,0,10,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,16,4,20,0,0,44,651,96,590,51,93,1486,6,0,5,0,0,19,0,0,0,0,0,0,50,4,11,4,0,72,86,15,31,3,14,150,75,3,40,4,17,134,121,15,114,9,18,278,167,24,201,14,36,440,82,22,141,10,13,263,11,3,17,3,3,35,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,35,4,14,0,0,55,644,86,580,50,109,1464,7,4,3,0,0,18,0,0
