SA3_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
10102,26852,26659,53512,28830,28502,57333,32664,32122,64793,1886,1788,3671,1994,1729,3724,2175,2142,4318,3714,3633,7354,3848,3661,7509,4391,3931,8324,1810,1703,3505,1864,1727,3594,1837,1679,3517,1679,1574,3252,1613,1677,3288,1794,1668,3457,3399,3552,6952,3834,3962,7793,4653,4850,9502,4233,4376,8605,3983,4064,8046,4566,4642,9210,4320,4095,8424,4592,4586,9182,4679,4736,9411,3285,3058,6346,3650,3521,7172,4251,4019,8276,1650,1640,3289,2273,2155,4424,2779,2665,5446,715,848,1561,921,986,1909,1215,1337,2548,160,393,550,246,441,691,320,464,784,96,115,211,123,149,274,32,48,76,662,669,1328,831,860,1692,1069,1084,2156,11,14,23,26,5,35,19,20,37,16,14,29,15,14,28,23,28,46,689,697,1388,867,881,1755,1108,1130,2238,20648,20665,41311,21626,21387,43016,25085,24622,49706,4605,4634,9235,4906,4937,9850,5905,5902,11809,22449,22427,44878,23339,23008,46342,26641,26187,52829,2980,3056,6042,3364,3491,6852,4304,4290,8600,23901,23974,47877,25049,24811,49855,29011,28717,57726
10103,9735,9194,18933,10013,9356,19365,10674,10046,20717,616,562,1174,484,419,908,465,476,938,1298,1168,2469,1233,1132,2370,1310,1106,2416,704,559,1264,605,521,1125,593,560,1151,510,427,938,572,462,1038,591,534,1122,949,940,1892,1140,1021,2157,1423,1279,2702,1299,1295,2596,1197,1129,2327,1163,1162,2325,1532,1450,2990,1455,1453,2909,1455,1427,2878,1335,1202,2543,1452,1319,2777,1560,1474,3034,890,818,1713,1141,1056,2192,1252,1113,2362,460,498,960,567,556,1119,661,649,1311,149,257,409,166,283,449,203,274,474,272,231,503,417,343,758,89,69,162,188,161,350,223,174,399,362,234,593,11,14,20,11,9,26,17,7,26,3,9,11,0,3,3,0,8,7,197,182,381,242,184,426,388,245,634,7762,7292,15055,7774,7194,14970,8472,7860,16332,1156,1210,2365,1252,1241,2492,1400,1460,2863,8373,8114,16484,8521,8043,16561,9089,8676,17767,479,506,981,483,545,1029,625,681,1304,8434,8075,16511,8609,8156,16769,9195,8768,17963
10104,33367,34512,67878,34606,36035,70642,37632,39101,76736,1831,1680,3508,1505,1447,2951,1631,1538,3165,4076,3923,8001,3963,3693,7658,4074,3830,7910,2148,1978,4124,1826,1776,3605,1949,1715,3666,1156,1069,2230,1280,1189,2467,1387,1245,2636,2250,2513,4767,2502,2606,5108,3029,3188,6219,3494,3780,7272,3079,3462,6540,3284,3624,6911,4775,5260,10036,4468,4868,9337,4353,4776,9128,5840,6002,11841,6227,6743,12971,6264,7055,13323,4624,4429,9050,5922,5775,11699,7108,6970,14074,2460,2661,5125,2920,3011,5933,3490,3621,7112,715,1209,1931,926,1465,2384,1051,1535,2586,112,132,252,124,139,265,43,40,86,1303,1337,2640,1457,1564,3025,1864,1902,3762,27,28,51,29,21,49,21,19,40,18,19,38,35,27,62,29,35,58,1341,1385,2725,1515,1614,3128,1913,1950,3862,27191,28101,55286,27217,28233,55449,29891,30760,60648,4175,4478,8657,4273,4577,8849,4671,5299,9970,30683,31807,62488,30869,32092,62955,33609,34833,68436,1040,1184,2230,1108,1301,2407,1267,1558,2823,30331,31483,61815,30858,32227,63086,33799,35175,68976
10105,16675,16429,33104,17991,17571,35561,19335,19072,38403,1057,937,1993,1087,986,2069,1127,1038,2167,2231,2040,4272,2266,2058,4322,2389,2218,4605,1157,1013,2162,1095,1006,2099,1118,1003,2119,866,825,1687,1066,821,1883,1054,891,1944,1725,1666,3388,2015,1991,4009,2352,2249,4603,2107,2171,4275,2118,2006,4124,2137,2189,4324,2434,2333,4769,2472,2452,4922,2380,2404,4786,2304,2198,4502,2439,2473,4910,2768,2689,5458,1650,1695,3344,2069,2016,4086,2321,2403,4723,903,1085,1991,1051,1180,2231,1272,1369,2637,243,470,720,322,575,893,412,623,1034,51,54,105,61,79,144,18,12,39,434,396,830,657,603,1263,889,859,1745,15,21,35,19,14,34,32,28,59,8,0,4,17,9,30,10,3,11,454,413,870,697,630,1326,928,886,1818,14426,14355,28780,14900,14551,29448,15924,15859,31779,1426,1297,2723,1700,1588,3286,2013,1933,3942,14917,15283,30198,15469,15631,31108,16501,16749,33251,534,477,1015,728,744,1469,1073,1063,2142,14902,15236,30133,15535,15743,31283,16828,17147,33974
10106,16986,17409,34395,17677,18259,35939,18787,19369,38159,1218,1195,2411,1150,1065,2213,1121,1041,2168,2515,2460,4975,2578,2461,5043,2678,2559,5236,1139,1081,2217,1104,1135,2239,1199,1137,2329,766,752,1520,819,871,1685,848,868,1719,1450,1693,3142,1546,1722,3268,1794,1932,3720,2311,2467,4774,2130,2257,4384,2004,2346,4355,2527,2381,4908,2499,2651,5156,2549,2693,5242,2349,2370,4726,2479,2433,4909,2680,2597,5281,1681,1578,3257,2106,2045,4151,2290,2368,4660,816,967,1778,970,1089,2059,1266,1284,2550,216,469,693,301,532,840,351,554,902,30,31,64,47,51,99,14,19,35,425,433,864,624,579,1202,769,776,1546,7,10,13,12,16,23,12,12,25,5,5,10,12,5,16,7,9,18,446,448,891,645,600,1241,785,793,1585,14734,15045,29778,14937,15289,30233,15773,16298,32068,1293,1433,2728,1357,1563,2921,1656,1819,3468,15658,16132,31793,15900,16493,32387,16675,17334,34006,529,507,1035,615,613,1229,876,888,1760,15660,16104,31762,16129,16600,32729,17093,17673,34769
10201,78676,84428,163109,81884,87170,169052,86375,92052,178427,5029,4827,9852,4969,4605,9574,4871,4534,9406,10493,10161,20653,10574,10094,20666,11292,10496,21783,5616,5110,10724,5114,4961,10073,5284,4944,10231,4632,4343,8975,4644,4280,8920,4589,4487,9075,8059,8446,16506,8747,8969,17716,9042,9269,18308,10115,11057,21166,10007,10589,20595,10415,11318,21730,11104,12169,23276,11060,11987,23051,11358,11985,23351,9978,10740,20724,10656,11772,22431,11200,12504,23708,7250,8005,15257,9114,10081,19197,9902,11558,21460,4632,6217,10848,4886,6252,11139,6299,7307,13606,1772,3359,5130,2110,3582,5691,2126,3646,5769,237,309,550,342,457,795,111,107,217,1697,1700,3400,2288,2292,4573,3005,3114,6111,64,48,110,57,68,127,56,55,112,30,32,64,33,30,60,47,43,95,1792,1785,3573,2375,2387,4764,3105,3211,6318,61668,66451,128118,63075,66710,129782,66359,70099,136455,12491,13338,25829,13816,14999,28811,16095,17697,33796,70743,75939,146679,72021,76045,148067,75363,79553,154918,3993,4667,8659,5330,6349,11677,6919,8071,14989,69803,75489,145291,72546,77174,149725,77354,82295,159650
10202,72023,77051,149079,76882,81804,158688,81600,86567,168171,5142,4781,9924,4914,4690,9609,5136,4878,10014,10332,9939,20276,10706,9874,20581,10898,10254,21148,5297,5049,10347,5005,4845,9855,5237,4812,10045,4096,4106,8204,4621,4635,9250,4791,4614,9408,7568,8262,15834,8495,9066,17561,9579,10239,19816,9120,10071,19188,9032,9751,18782,9501,10130,19628,9488,10087,19576,9993,10593,20585,10029,10803,20839,8475,9199,17677,9400,10535,19935,10087,11088,21178,6822,7733,14550,8134,9261,17390,8992,10237,19226,4296,5374,9664,4824,5726,10554,5550,6544,12096,1383,2445,3830,1756,2833,4589,1802,2972,4781,120,151,271,160,224,377,70,67,138,2525,2671,5199,3672,3742,7411,5104,5242,10340,70,79,152,90,86,175,98,98,198,45,54,97,56,81,140,81,102,185,2640,2808,5446,3816,3907,7724,5282,5440,10725,59768,63761,123533,62589,66006,128591,67017,70248,137260,8550,9406,17954,9132,10112,19245,10252,11639,21885,66233,70705,136940,68926,72783,141702,72651,76446,149094,2712,3225,5934,3485,4057,7540,4442,5210,9656,65047,69829,134873,69005,73274,142274,73853,78077,151931
10301,21984,21572,43554,23447,23153,46592,24775,24370,49146,1525,1455,2978,1484,1364,2844,1414,1329,2743,3178,2866,6043,3216,2983,6196,3267,3117,6391,1738,1597,3340,1700,1626,3333,1654,1509,3169,1843,1663,3510,1812,1650,3460,1662,1468,3134,2595,2352,4941,3037,2622,5656,3219,3005,6227,2761,2813,5578,2740,2700,5440,2972,2766,5738,2851,2869,5717,2963,3032,5996,3002,3118,6121,2656,2582,5241,2820,2893,5716,3063,3100,6162,1745,1717,3465,2309,2330,4636,2661,2681,5343,873,1136,2011,1028,1286,2308,1436,1524,2957,220,513,729,343,664,1002,418,742,1156,77,114,192,53,55,111,31,28,53,913,796,1706,1222,1084,2307,1719,1547,3270,25,21,46,27,30,57,24,29,56,19,26,37,32,29,56,48,42,90,951,841,1794,1274,1142,2418,1795,1623,3417,18796,18693,37491,19484,19219,38708,20698,20514,41208,1976,1702,3679,2094,1955,4046,2514,2421,4933,19536,19957,39490,19858,20508,40369,21098,21692,42787,713,694,1406,945,933,1876,1296,1333,2631,19361,19787,39145,19937,20550,40482,21376,21998,43379
10302,27257,27542,54794,27459,27878,55339,27228,27455,54684,1874,1822,3695,1706,1692,3396,1636,1577,3217,3936,3769,7706,3785,3628,7415,3649,3576,7227,1790,1724,3511,1667,1689,3355,1641,1478,3118,1345,1185,2526,1479,1312,2797,1372,1302,2675,2533,2692,5225,2648,2789,5433,2825,2937,5763,3078,3293,6371,2832,2969,5799,2788,2904,5694,3783,3637,7426,3506,3598,7109,3150,3291,6437,3797,3587,7380,3896,3747,7642,3859,3702,7563,2872,2879,5749,3363,3181,6546,3553,3377,6926,1779,1985,3762,1939,2161,4101,2083,2228,4311,470,974,1445,642,1110,1748,677,1076,1757,98,78,178,62,84,146,26,21,47,2086,2141,4229,2422,2544,4969,2859,3018,5880,41,37,81,33,30,62,31,36,65,24,22,44,37,36,70,46,31,77,2152,2194,4344,2495,2607,5102,2938,3082,6019,24337,24575,48913,23260,23467,46728,23166,23305,46461,1233,1356,2584,1314,1492,2801,1488,1613,3099,25444,25803,51246,24285,24642,48927,24021,24318,48339,466,517,987,629,700,1326,826,851,1673,25127,25478,50603,24463,24792,49256,24279,24551,48836
10303,22295,21621,43918,23525,23089,46611,24136,23731,47870,1475,1360,2835,1502,1439,2941,1303,1243,2548,3054,2691,5742,3023,2804,5823,3193,2996,6186,1483,1352,2835,1375,1216,2586,1412,1201,2613,1160,1046,2207,1221,1064,2287,1164,986,2149,2137,2106,4241,2588,2440,5022,2686,2663,5353,2804,2826,5631,2534,2696,5230,2627,2613,5237,3242,3099,6345,3268,3207,6476,3015,3080,6090,3083,2942,6025,3257,3193,6445,3456,3421,6873,2394,2267,4659,2972,2806,5780,3092,2947,6035,1175,1337,2512,1406,1562,2966,1763,1842,3604,280,606,884,386,663,1056,435,741,1178,43,68,112,54,64,122,17,19,34,932,846,1775,1318,1223,2540,1739,1621,3358,44,25,69,34,23,51,38,25,63,5,8,8,23,9,34,37,31,66,978,875,1857,1371,1255,2628,1809,1679,3487,18881,18530,37418,18931,18454,37384,20086,19680,39769,1873,1831,3700,1913,1936,3847,2069,2206,4269,20165,19997,40161,20108,20019,40126,21141,21135,42275,563,643,1208,663,732,1395,881,915,1786,19833,19784,39615,20127,20069,40199,21365,21285,42659
10304,26789,27679,54466,28266,29346,57612,30057,31205,61266,2212,1985,4197,2142,1963,4109,2177,1892,4059,4015,3934,7952,4242,3944,8183,4660,4340,9001,1893,1906,3796,1950,1867,3818,1972,1824,3796,1613,1586,3201,1459,1559,3016,1613,1595,3212,3027,3290,6320,3319,3668,6986,3547,3976,7524,3443,3644,7087,3502,3678,7183,3555,3898,7452,3576,3697,7275,3618,3813,7433,3684,3869,7551,3283,3230,6516,3468,3498,6972,3535,3783,7318,2151,2197,4351,2670,2853,5522,3082,3261,6343,1259,1531,2788,1443,1688,3129,1692,1919,3612,313,678,994,452,810,1260,557,856,1414,80,73,149,65,90,158,40,35,71,1188,1235,2419,1525,1506,3032,2034,2051,4088,27,20,51,28,25,55,32,28,63,27,21,47,33,27,56,45,32,79,1242,1279,2518,1584,1559,3148,2113,2116,4228,23126,23994,47122,23793,24639,48433,25447,26368,51817,2064,2197,4262,2318,2532,4846,2748,2944,5691,24404,25399,49798,25076,26107,51182,26624,27671,54301,1020,1129,2143,1297,1420,2717,1682,1773,3453,24264,25333,49597,25348,26437,51786,27220,28267,55494
10401,24278,24964,49238,24905,25353,50268,26823,26846,53665,1450,1339,2789,1297,1148,2443,1271,1276,2544,3223,3126,6349,3031,2750,5784,3146,2877,6018,1634,1546,3176,1521,1418,2939,1457,1256,2715,1092,1017,2107,1077,962,2036,1236,1123,2356,1857,2037,3901,2037,2077,4117,2621,2542,5158,2668,2922,5589,2452,2661,5111,2681,2665,5351,3495,3651,7145,3208,3441,6641,3118,3340,6459,3884,3788,7672,4052,4202,8253,4112,4209,8325,2895,2881,5774,3725,3627,7350,4194,4093,8287,1646,1833,3481,1905,2061,3968,2291,2399,4693,436,819,1249,606,1013,1611,681,1070,1754,58,62,125,87,100,187,67,19,84,1341,1374,2713,1535,1532,3067,2194,1988,4178,42,40,75,34,38,70,36,41,82,21,25,44,29,38,63,58,55,109,1403,1439,2831,1596,1603,3203,2287,2083,4369,21322,21893,43212,20918,21184,42101,22721,22562,45286,1742,1848,3591,1778,2009,3790,2073,2345,4421,22681,23574,46255,22396,22994,45385,23463,24196,47651,434,483,914,473,598,1070,643,843,1480,22264,23218,45486,22293,22928,45223,23557,24369,47928
10402,39517,41847,81362,41673,44347,86026,44679,47787,92462,2458,2413,4871,2365,2318,4683,2330,2300,4629,5550,5217,10768,5537,5409,10948,5921,5714,11638,2849,2707,5558,2629,2446,5081,2637,2598,5235,1931,1991,3918,2099,1998,4094,2053,1955,4012,3588,3880,7470,4178,4456,8635,4791,5075,9868,4641,5305,9939,4542,5037,9577,5048,5577,10621,5666,6459,12122,5324,6201,11519,5521,6134,11650,5925,5904,11823,6350,6682,13027,6080,6847,12929,3890,4107,7998,5071,5205,10282,6049,6315,12358,2276,2584,4863,2655,3082,5735,3164,3642,6806,734,1290,2024,922,1512,2440,1075,1641,2720,247,314,561,319,402,726,153,142,293,1442,1598,3042,1894,2046,3944,2352,2560,4912,48,41,88,39,38,76,59,51,112,42,32,74,33,42,77,67,57,118,1533,1675,3206,1973,2125,4098,2482,2662,5144,32605,34439,67038,32982,34682,67660,35292,37365,72657,4912,5500,10415,5470,6203,11677,6509,7454,13968,35911,38036,73953,35977,38090,74069,38180,40773,78955,1996,2306,4304,2746,3123,5869,3638,4087,7721,35634,37910,73548,36376,38787,75158,39283,41956,81242
10501,13065,12226,25295,12315,11838,24148,10850,10754,21607,1007,1019,2025,889,884,1773,781,715,1491,1850,1804,3656,1684,1652,3336,1441,1399,2844,779,712,1491,628,594,1225,621,588,1209,700,731,1435,667,673,1341,572,547,1114,1386,1460,2840,1506,1551,3060,1287,1481,2771,1655,1593,3245,1298,1344,2644,1096,1169,2273,1943,1698,3645,1710,1657,3367,1275,1349,2620,1752,1392,3144,1787,1432,3216,1630,1483,3117,1237,1024,2264,1327,1100,2429,1294,1056,2353,623,590,1214,640,666,1305,681,686,1362,118,209,333,177,270,445,169,280,451,73,53,132,26,34,63,27,18,41,2979,3208,6187,2993,3203,6195,2479,2684,5166,15,27,42,18,23,43,11,12,21,20,27,43,27,30,60,27,25,49,3016,3264,6281,3032,3258,6293,2510,2723,5233,11075,10489,21563,9877,9438,19317,8368,8153,16519,745,715,1464,641,727,1365,619,678,1299,11602,11053,22659,10279,9936,20215,8666,8535,17195,384,341,725,386,419,806,417,423,841,11433,10856,22292,10416,10004,20425,8776,8576,17353
10502,10454,10748,21201,9965,10252,20220,9753,10128,19876,600,647,1245,602,559,1162,560,533,1094,1380,1252,2634,1129,1139,2266,1165,1160,2321,657,625,1288,581,514,1091,581,521,1105,592,596,1191,559,557,1112,532,481,1011,1109,1116,2222,1198,1260,2456,1173,1282,2451,1224,1261,2482,1077,1085,2159,1043,1099,2139,1553,1575,3133,1365,1319,2690,1171,1154,2321,1564,1440,3001,1524,1508,3032,1410,1484,2889,980,1050,2031,1178,1138,2321,1286,1224,2510,624,839,1466,559,751,1311,614,793,1405,160,348,509,205,418,627,218,398,618,59,42,102,45,43,90,7,9,15,1021,1128,2151,1093,1128,2223,1134,1224,2355,9,6,23,8,8,18,8,0,9,12,8,23,13,11,16,27,15,45,1040,1147,2193,1115,1141,2258,1172,1239,2410,9247,9509,18752,8558,8826,17381,8312,8580,16897,487,499,982,447,465,911,456,544,999,9515,9872,19382,8756,9014,17774,8504,8825,17328,239,239,476,245,254,502,277,354,634,9447,9808,19255,8864,9224,18094,8594,8926,17517
10503,32987,34106,67099,34195,35213,69411,36712,37368,74084,2652,2419,5068,2374,2322,4700,2545,2461,5009,4954,4685,9635,4872,4524,9397,5238,4901,10132,2440,2237,4680,2125,2061,4185,2198,2025,4228,1812,1865,3680,2047,1954,4006,1929,1920,3849,3444,3814,7255,4126,4371,8489,5121,5149,10267,3972,4307,8285,3843,4011,7857,4198,4368,8568,4501,4695,9198,4294,4556,8853,4168,4349,8515,4125,4134,8264,4410,4646,9051,4523,4699,9219,2995,3055,6051,3552,3524,7076,3836,3926,7765,1648,2008,3660,1904,2229,4129,2234,2498,4733,444,888,1330,653,1018,1675,719,1076,1794,77,81,153,100,163,265,51,42,93,4520,4592,9117,5132,5071,10201,5875,5764,11639,54,65,121,57,65,121,36,47,86,66,70,140,71,93,168,102,118,224,4647,4725,9371,5258,5233,10490,6009,5940,11947,29363,30564,59928,28784,29640,58421,29776,30550,60325,1716,1773,3489,2220,2307,4524,3102,3083,6185,30184,31818,62001,29534,30937,60473,30023,31410,61432,784,858,1647,1301,1403,2700,2242,2291,4535,29908,31562,61472,29659,31129,60789,30606,32012,62618
10601,41157,40833,81987,43915,43764,87675,49527,48403,97927,3066,2868,5941,2923,2886,5805,3234,3077,6309,5872,5656,11526,6232,5887,12122,6856,6529,13383,3026,2783,5808,2934,2760,5689,3213,2826,6037,2552,2400,4953,2789,2516,5298,3067,2727,5789,5056,4827,9886,5396,5480,10877,6673,6514,13192,5536,5599,11141,5491,5451,10942,6088,5967,12058,5708,5663,11375,5850,5822,11671,6188,6182,12364,5232,5111,10341,5674,5717,11391,6155,6114,12270,3170,3042,6207,4236,4105,8346,5042,4965,10008,1527,1991,3511,1870,2090,3959,2380,2432,4808,410,893,1297,523,1050,1577,630,1083,1710,121,133,253,120,144,264,25,40,64,1695,1678,3367,2878,2613,5486,4518,4247,8766,52,52,108,89,67,157,100,76,181,42,45,90,62,56,124,138,119,258,1788,1776,3568,3028,2734,5763,4765,4442,9212,36138,35903,72040,37595,37200,74792,43251,42310,85562,2791,2837,5631,2814,2943,5757,3565,3630,7195,38141,38393,76536,39163,39706,78873,44204,44630,88837,775,804,1582,879,981,1862,1233,1444,2680,37304,37592,74894,38919,39415,78336,44236,44775,89012
10602,31453,32755,64212,36219,37949,74163,42401,44621,87019,2452,2361,4815,2879,2667,5547,3091,2922,6010,4764,4475,9239,5506,5192,10698,6469,6112,12581,2280,2296,4579,2449,2286,4735,2699,2632,5332,2051,1959,4010,2223,2374,4603,2630,2664,5291,4091,4190,8283,4883,5302,10193,6042,6471,12511,4400,4737,9133,4845,4968,9812,5708,5998,11711,4222,4445,8668,4528,5002,9528,5092,5498,10592,3572,3724,7301,4115,4337,8452,4497,5021,9515,2168,2288,4450,2979,3238,6219,3747,4114,7868,1139,1558,2702,1378,1759,3134,1904,2259,4163,324,709,1034,430,821,1247,516,934,1452,51,52,97,80,105,186,37,33,72,962,1060,2019,1752,1836,3588,2884,3109,5996,35,21,58,52,50,103,60,66,128,20,24,43,56,49,106,80,76,152,1013,1109,2116,1863,1934,3802,3017,3256,6272,27582,28891,56471,31438,32872,64308,36900,38773,75672,2424,2495,4922,2854,3065,5924,3815,4223,8045,29343,30610,59952,33022,34536,67560,38418,40372,78794,921,1079,2000,1366,1583,2949,2257,2596,4852,29125,30427,59556,33191,34771,67965,39334,41417,80752
10603,33258,34248,67501,35287,36088,71380,37701,38712,76414,2130,2070,4201,1921,1889,3812,1744,1731,3476,4524,4275,8800,4558,4197,8756,4644,4391,9032,2204,2123,4320,2131,2069,4197,2310,2035,4341,1798,1620,3423,1832,1730,3562,1839,1719,3549,3052,3224,6273,3273,3329,6600,3399,3458,6854,3930,4370,8305,3837,4045,7886,3682,3951,7634,4548,4639,9192,4631,4827,9454,4539,4826,9372,4488,4844,9331,4863,5218,10079,5492,5811,11303,4003,3937,7941,5003,5062,10064,5701,5983,11681,2027,2213,4243,2517,2612,5132,3497,3566,7066,553,922,1473,728,1114,1842,862,1241,2101,88,129,217,106,152,262,31,26,64,1124,1187,2312,1642,1651,3291,2359,2383,4746,33,34,69,49,48,90,50,41,94,20,26,48,28,35,68,49,50,98,1184,1246,2432,1720,1734,3453,2460,2480,4930,27573,28455,56026,28528,29077,57602,31101,31866,62964,3691,3851,7543,3901,4138,8034,4521,4887,9410,30642,31614,62253,31560,32284,63843,34224,35132,69354,927,1085,2012,1173,1287,2463,1435,1621,3053,30103,31079,61181,31583,32234,63818,34416,35365,69786
10604,15029,14516,29547,15217,14982,30198,15516,15073,30584,1150,1080,2233,1093,1005,2101,940,851,1785,2164,2103,4274,2248,2187,4433,2277,2045,4323,973,957,1933,902,886,1789,975,893,1876,961,882,1842,810,819,1621,795,749,1547,1988,1875,3866,1973,1967,3937,1981,1991,3964,2055,1936,3988,1956,1878,3837,1945,1877,3823,2079,1968,4052,2074,2047,4118,1959,1944,3900,1824,1612,3429,1909,1745,3655,1991,1924,3914,1102,1091,2197,1398,1301,2700,1583,1520,3104,569,715,1283,649,801,1449,814,876,1690,155,298,457,199,357,555,248,409,659,56,59,112,62,104,169,27,21,49,685,645,1326,1005,992,1996,1440,1362,2805,16,18,38,22,15,34,22,18,38,16,11,24,22,13,34,23,25,52,712,676,1384,1042,1018,2067,1485,1407,2893,13079,12657,25738,12657,12499,25154,13064,12751,25815,1051,1019,2071,1205,1121,2323,1363,1331,2695,13627,13454,27085,13281,13342,26624,13628,13507,27126,354,351,705,492,491,981,614,631,1247,13267,13111,26375,13166,13167,26327,13638,13550,27183
