SA3_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
10102,51,40,6,9,106,119,48,13,6,184,232,110,30,12,379,247,93,29,10,383,192,116,24,7,333,88,36,15,0,140,99,54,17,0,172,53,52,20,0,125,71,68,27,9,176,26,11,4,0,34,1348,706,225,74,2352
10103,27,17,7,3,54,61,19,9,3,92,85,33,14,4,133,57,25,5,3,84,44,17,7,3,69,17,10,3,0,35,21,7,4,0,33,15,3,3,0,21,30,7,10,4,49,9,0,0,0,8,424,181,71,23,699
10104,161,81,29,9,283,266,96,29,17,418,467,174,64,20,723,204,121,28,14,366,118,81,17,6,227,59,21,4,8,95,25,20,9,4,59,24,13,3,6,45,129,73,32,27,266,48,14,6,6,71,1857,850,291,148,3151
10105,83,41,23,13,153,110,51,23,11,196,246,89,42,10,384,119,67,27,6,212,98,42,15,6,163,37,20,8,0,67,25,19,13,3,58,14,4,0,0,24,51,25,9,3,96,14,14,3,3,31,936,451,189,70,1647
10106,54,33,20,10,116,98,37,17,17,173,168,59,22,14,267,102,56,21,3,182,78,41,12,4,139,41,18,5,0,57,27,16,8,0,46,26,13,4,0,37,35,36,18,4,103,26,7,0,0,38,807,382,154,77,1422
10201,368,225,71,29,688,554,200,73,24,847,1156,475,158,49,1836,704,382,97,39,1221,523,274,97,23,919,218,135,31,5,394,149,133,44,12,340,114,94,40,5,258,278,187,69,22,560,71,24,3,0,98,4833,2503,780,237,8354
10202,437,302,141,37,913,727,290,115,74,1208,1448,601,199,90,2336,710,387,118,44,1258,489,268,82,43,884,222,128,32,12,390,127,102,39,12,278,74,45,28,10,151,233,215,111,32,591,112,39,17,6,171,5537,2880,1021,409,9840
10301,91,54,35,10,185,156,74,32,21,282,284,138,58,22,504,168,88,37,8,307,143,82,16,12,243,55,27,8,0,92,32,28,12,0,67,21,9,9,0,42,73,52,24,13,161,32,18,3,7,55,1246,669,277,107,2302
10302,114,81,43,22,266,191,71,38,37,332,283,143,61,30,519,141,73,26,14,255,90,53,11,8,164,25,13,8,3,55,25,19,6,0,51,17,19,4,0,37,82,57,26,20,187,34,12,3,0,56,1277,689,277,171,2412
10303,113,65,24,20,219,205,50,29,11,295,250,118,42,20,426,136,49,27,9,229,98,38,19,9,160,34,22,12,3,67,38,18,8,0,66,21,16,4,0,47,55,43,22,8,137,24,12,7,7,42,1221,547,242,106,2122
