SA3_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
40403,10,7,118,100,12,14,245,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,788,565,174,78,1608,1736,263,260,3859,5,4,0,0,6,4,0,58,70,0,0,0,0,0,0,0,9,13,6,9,4,0,23,4,6,7,43,13,14,3,0,30,9,9,74,125,19,24,6,0,47,41,10,3,99,6046,6562,2229,414,15243,7793,1578,1128,25745,4478,5661,1747,255,12131,3804,947,346,17237,928,484,324,60,1798,1997,258,159,4215,366,325,144,42,871,383,131,52,1431,1296,806,466,102,2670,2377,386,212,5645,681,420,183,61,1338,1577,235,144,3295,139,68,17,17,242,307,48,34,631,100,34,24,6,165,137,20,12,331,0,4,0,0,5,3,0,0,11,3,0,0,0,4,5,3,0,16,922,526,220,80,1748,2034,305,193,4281,3,0,0,0,8,3,0,53,62,0,0,0,0,0,0,0,4,4,4,7,0,3
40501,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,11,6,5,0,22,124,0,15,162,21,0,0,0,26,42,4,61,132,4,4,0,0,9,9,0,11,21,3,10,4,0,18,8,0,4,30,31,12,5,0,51,51,4,73,183,15,19,6,0,40,20,0,11,77,4285,4164,1196,92,9734,3306,240,712,13987,4519,4298,1281,78,10176,3121,247,554,14098,110,29,67,0,203,351,10,37,599,0,10,3,0,9,0,0,3,17,111,35,66,0,212,350,10,40,615,12,0,6,0,17,85,3,12,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,85,3,11,115,18,6,0,0,26,42,18,67,161,0,0,0,0,0,0,0,0,0,5,3,0,0
40502,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,17,5,0,0,21,76,0,10,113,19,3,0,0,21,37,0,104,165,3,0,0,0,5,4,0,13,18,20,7,5,0,32,19,3,10,62,43,13,3,0,58,61,4,120,241,22,18,9,0,45,29,0,8,85,2980,2170,748,48,5948,2688,189,697,9518,2955,2080,755,51,5843,2595,195,616,9240,106,50,31,0,183,253,4,36,480,0,0,0,0,3,0,0,4,5,103,51,31,0,186,253,3,35,485,0,0,3,0,0,15,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,3,0,9,15,4,3,27,13,6,6,0,11,22,0,82,122,0,4,0,0,5,0,0,0,9,3,0,0,0
40503,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,8,3,3,0,16,113,8,15,146,12,4,0,0,18,27,0,195,247,0,0,0,0,0,6,0,0,3,12,8,5,0,21,13,0,4,37,19,11,7,0,39,42,0,197,286,22,19,9,0,56,38,0,16,108,3334,2500,1189,84,7111,3649,219,866,11841,3200,2279,1111,98,6692,3139,238,587,10653,110,61,116,12,307,606,20,121,1053,3,8,5,0,9,6,0,0,15,115,64,116,12,315,608,20,121,1065,13,3,4,0,17,99,0,16,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,10,0,20,99,0,16,137,22,3,0,0,22,29,0,237,288,0,0,0,0,3,0,0,20,24,6,4,3,0
40504,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,50,3,4,3,61,100,0,20,184,46,0,0,0,49,80,0,144,274,0,0,0,0,3,6,0,7,8,14,9,3,0,22,11,0,3,33,57,13,8,0,73,95,0,148,320,15,3,9,0,29,22,0,11,62,3847,2030,849,80,6813,3347,216,865,11243,4100,1929,897,92,7019,3205,230,839,11292,84,17,24,0,124,327,14,38,502,37,7,3,0,42,17,0,14,77,123,15,24,4,169,343,11,55,577,7,0,0,0,13,32,0,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,33,0,9,54,55,5,0,0,63,74,4,207,354,0,0,0,0,0,3,0,0,9,3,5,0,0
40601,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,100,27,38,13,172,592,23,96,882,53,11,3,0,70,105,4,699,871,9,5,0,0,16,39,0,329,385,26,10,5,0,40,21,0,10,73,86,29,8,0,125,162,10,1037,1330,31,23,7,0,52,60,0,50,171,6409,5492,2334,165,14400,6896,533,2620,24442,5748,4782,1661,134,12324,4495,370,1115,18296,748,519,724,59,2055,2096,131,445,4732,36,20,12,5,65,41,4,15,127,781,537,738,61,2115,2142,139,457,4858,91,19,39,6,153,612,19,97,876,8,0,0,0,10,29,5,15,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,0,22,12,0,10,34,102,26,40,6,178,648,22,122,969,36,15,3,0,55,82,20,543,697,6,6,0,0,7,0,0,35,40,10,4,0,0
40602,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,48,22,25,7,99,241,6,97,453,28,0,0,0,31,55,3,444,535,3,0,0,0,3,26,0,168,200,5,6,0,0,9,6,0,3,18,33,10,4,0,45,88,10,618,755,45,31,5,0,84,61,0,101,246,2348,2301,1029,102,5783,2943,231,1701,10658,2065,1997,893,118,5074,2281,222,977,8549,97,79,123,8,305,299,37,127,766,18,9,0,0,23,5,0,12,45,114,89,128,8,335,308,36,135,810,52,20,30,13,109,313,23,129,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,0,6,16,53,25,30,13,116,315,23,132,588,21,7,6,0,28,63,3,491,585,3,3,3,0,8,7,0,160,178,4,3,6,0
40701,0,0,8,5,0,0,15,..,..,..,..,..,..,..,..,..,3,0,0,0,3,0,0,0,3,55,11,19,0,85,251,0,38,379,37,9,3,5,48,108,0,94,254,0,0,4,0,4,5,0,9,17,12,11,3,0,22,20,0,8,55,54,13,8,0,74,139,5,103,321,38,16,3,0,55,35,5,23,120,7748,4296,1716,105,13867,6136,427,1401,21827,8473,4554,1821,148,14997,5934,441,1223,22588,296,21,54,5,377,732,14,98,1223,75,23,18,0,109,70,6,30,219,370,47,68,6,494,803,20,130,1441,19,8,19,4,50,175,0,15,246,14,0,4,0,22,44,0,13,84,3,0,0,0,5,5,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,44,13,26,4,86,232,4,35,354,44,8,3,0,55,103,10,80,241,0,0,0,0,0,5,0,3,9,7,8,4,0
40702,0,0,11,7,0,0,18,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,3,144,57,88,8,303,721,47,97,1163,23,3,0,0,29,47,0,161,238,3,6,0,0,10,4,0,7,18,9,5,0,0,22,17,0,4,43,39,13,0,0,57,70,6,170,301,29,25,6,0,61,44,0,16,126,7530,6698,2338,184,16753,7260,607,1528,26156,7549,6328,2159,180,16220,5883,503,1250,23853,339,144,252,15,746,1129,67,264,2219,14,3,6,0,26,27,3,9,59,360,144,256,15,776,1152,74,275,2279,127,50,72,19,267,763,35,78,1144,0,0,0,0,0,0,0,0,0,7,0,0,0,7,11,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,133,54,74,16,273,772,35,86,1163,12,0,0,0,11,24,3,87,126,3,10,0,0,14,4,0,19,41,28,22,3,0
40703,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,78,25,30,3,133,444,17,88,688,97,13,0,0,109,158,13,203,483,4,0,6,0,8,26,3,83,118,20,10,9,0,43,18,3,10,67,118,21,12,0,160,198,16,295,673,51,36,14,0,104,81,5,80,271,8598,6470,2908,247,18227,8077,750,2089,29137,8445,6096,2785,242,17566,7236,642,1757,27196,364,155,227,18,771,1343,65,194,2370,8,0,5,0,14,26,4,3,48,371,163,230,18,784,1369,70,198,2421,30,13,8,0,58,191,13,38,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,31,16,10,0,62,201,13,38,309,90,12,14,3,123,157,11,364,652,5,4,3,0,8,6,0,34,46,3,9,3,0
49797,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49999,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,6,21,6,3,0,31,66,0,12,108,186,15,17,5,217,250,12,219,701,9,10,5,0,19,12,0,9,47,14,3,0,0,19,5,0,12,38,216,23,22,5,265,268,13,240,782,29,40,7,0,69,30,6,32,135,5751,5662,1820,103,13333,4119,534,1602,19585,6241,5883,1885,108,14112,3991,544,1345,19992,326,108,106,3,546,763,35,119,1464,88,53,24,0,165,120,11,49,354,414,164,131,4,712,886,53,170,1814,18,6,10,0,34,26,5,7,78,0,0,0,0,0,0,0,0,0,9,0,0,0,9,5,0,0,20,0,0,0,0,0,0,0,0,0,9,5,0,0,17,14,0,0,33,34,15,11,0,62,48,4,17,130,87,13,7,0,110,195,17,212,534,0,3,0,0,10,11,0,93,110,8,7,0,0
50102,4,0,23,13,4,11,52,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,206,58,61,11,324,633,21,116,1092,85,16,11,0,106,202,10,159,477,0,8,0,0,8,10,0,32,51,12,3,5,0,15,14,0,7,36,93,25,9,0,133,219,13,194,559,41,27,11,3,79,60,0,14,147,10917,11573,4139,285,26904,8655,968,2663,39189,10948,11278,4207,301,26730,7524,910,1532,36694,601,196,321,22,1128,1940,87,262,3421,134,66,45,0,242,185,27,53,503,728,257,358,23,1370,2123,117,313,3921,95,40,30,5,179,360,18,63,627,10,8,13,5,35,65,5,19,123,4,0,0,0,5,8,0,9,24,17,4,0,0,21,12,0,6,36,0,0,0,0,9,5,0,3,11,135,51,48,8,245,458,25,104,821,103,15,9,4,129,218,6,241,599,5,3,3,0,12,12,0,110,128,9,4,6,0
50103,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,24,0,7,0,34,94,3,14,145,18,3,0,0,18,14,0,60,94,8,3,0,3,21,11,0,10,41,7,3,0,0,9,6,0,0,23,28,17,0,3,53,31,4,65,153,18,8,3,0,33,20,0,7,61,3094,2167,719,66,6038,2395,204,880,9522,3254,2152,706,69,6182,2287,185,759,9413,39,19,18,0,72,235,4,26,330,0,6,0,0,0,4,0,0,5,38,17,18,0,74,237,4,26,339,10,0,0,0,9,37,0,12,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,10,0,0,0,13,40,0,12,69,14,10,0,0,25,20,0,56,103,3,0,0,0,9,4,0,20,39,5,5,0,0
50201,14,0,156,86,3,35,280,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,4,449,79,57,6,583,656,31,124,1395,92,9,13,4,118,236,7,187,549,8,5,8,0,20,7,5,50,81,5,0,0,0,10,0,0,0,12,106,16,21,0,146,243,12,242,640,27,12,5,0,48,36,3,3,84,11922,9859,4092,269,26149,9085,964,2335,38529,11668,10239,4462,296,26674,7948,817,1343,36786,1002,163,251,27,1444,2223,70,203,3937,324,87,114,8,536,518,37,71,1163,1323,243,374,36,1973,2737,105,277,5097,73,17,29,5,122,290,14,43,474,90,22,18,0,125,62,5,13,203,82,14,17,0,121,77,3,13,212,86,16,7,4,114,46,0,13,170,10,3,4,5,21,20,0,3,45,340,77,71,15,506,487,31,85,1105,98,5,15,3,125,258,4,79,463,5,4,0,0,9,11,0,51,68,0,0,0,0
50301,63,5,561,506,109,202,1375,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,5,990,274,172,49,1485,1947,364,543,4342,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,5,4,0,0,9,3,7,4,0,6,5,0,0,12,8,12,0,0,26,25,4,9,54,6192,8527,1761,277,16763,5687,1038,1440,24925,4960,8103,1330,132,14527,2495,443,367,17833,378,317,177,17,889,693,75,68,1730,450,369,165,29,1015,647,126,89,1879,833,687,348,47,1904,1346,203,159,3613,301,117,71,13,510,614,106,78,1304,316,80,53,10,460,862,94,123,1541,430,129,89,7,661,701,96,139,1599,120,28,24,8,180,194,19,23,419,0,8,0,0,12,6,0,3,20,1170,361,242,42,1816,2382,315,367,4879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
50302,283,172,4392,4230,862,1885,11373,..,..,..,..,..,..,..,..,..,6,0,0,0,9,4,0,0,12,5275,1474,608,292,7654,8118,1582,3137,20488,6,0,3,0,7,0,0,10,12,0,0,0,0,0,9,0,273,292,23,13,0,0,45,38,10,14,103,29,13,4,0,48,49,11,298,414,42,16,11,3,70,68,9,23,165,11659,9045,2391,615,23710,13857,3296,4844,45706,4866,6841,1391,188,13280,3357,893,386,17913,688,487,185,42,1402,1236,158,125,2924,1488,864,453,76,2884,1682,413,194,5169,2173,1353,634,116,4280,2920,570,318,8095,761,312,173,54,1299,1802,231,235,3576,1464,444,243,63,2215,3012,432,405,6059,1990,556,285,79,2909,3719,534,639,7806,1853,578,221,79,2725,2464,479,596,6272,8,0,0,0,8,8,3,0,24,6073,1895,918,270,9153,11009,1689,1878,23728,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,423,419,19,10,7,0
50401,16,9,216,288,43,99,646,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,544,243,122,39,943,1304,173,273,2687,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,16,16,0,0,0,0,3,6,0,3,15,0,0,3,0,11,8,0,20,37,26,14,8,0,51,29,4,3,91,8457,8839,3143,478,20918,8478,1665,1699,32760,7085,8222,2612,361,18283,5480,996,697,25455,851,661,483,51,2039,2022,181,215,4457,512,314,198,37,1055,941,183,114,2286,1362,971,678,83,3099,2957,365,327,6744,321,113,98,20,559,890,84,99,1622,125,37,27,13,202,352,37,42,639,83,27,19,9,133,291,24,42,488,73,25,7,0,108,146,19,17,281,0,3,0,0,11,14,0,0,21,606,208,158,41,1006,1691,161,193,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0
50402,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,4,0,0,0,0,3,25,0,0,34,4,0,0,0,3,19,0,0,28,3,0,0,0,6,0,0,6,13,3,4,0,0,8,3,0,0,6,8,3,4,0,16,18,0,12,48,5,6,5,0,17,8,3,0,29,4393,4972,1569,132,11060,2972,302,740,15081,4652,5027,1563,122,11364,2850,294,465,14984,113,33,68,10,223,474,9,59,759,8,5,7,0,15,25,0,9,47,119,38,72,11,238,493,9,69,811,0,0,0,0,5,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,15,4,0,0,18,7,9,0,0,15,13,0,0,30,0,0,0,0,3,10,0,8,19,0,0,0,0,0,0,0,4,6,0,6,0,0
50403,0,0,12,11,4,0,26,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,106,38,50,9,210,241,30,102,581,61,9,5,0,73,132,8,79,299,12,12,0,0,23,0,0,38,64,9,6,3,0,21,8,5,5,37,84,24,8,0,121,140,14,128,395,18,25,10,3,57,39,4,9,109,10719,16608,5463,524,33314,7961,1215,2515,45010,11117,18713,5951,546,36333,7767,1155,1397,46653,656,495,469,46,1667,1708,151,201,3725,175,107,129,16,419,386,46,84,940,829,599,592,66,2090,2095,191,285,4666,59,24,43,10,132,217,12,34,396,59,24,43,6,124,209,17,22,375,24,8,9,0,44,56,4,7,110,14,0,7,0,20,37,3,8,63,21,7,3,0,31,32,0,0,69,171,63,106,17,351,546,38,77,1019,54,6,7,0,66,133,3,77,281,0,3,0,0,3,4,0,399,408,7,5,6,3
50501,17,22,165,141,45,26,374,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,10,330,76,71,37,511,625,99,99,1329,37,3,0,0,45,100,0,15,166,3,0,0,0,3,0,0,4,6,6,8,0,0,13,0,3,4,23,45,13,5,0,63,103,5,27,196,15,15,0,3,37,21,3,3,66,15533,22152,5152,534,43375,9265,1270,1832,55742,15619,21590,5049,391,42651,7609,941,899,52099,894,436,411,36,1775,1763,93,121,3751,372,191,156,10,729,472,84,49,1334,1273,624,567,41,2507,2236,178,177,5090,106,13,36,5,154,291,16,29,495,116,27,44,3,190,242,37,28,495,109,39,49,12,204,224,42,48,522,0,0,0,0,0,0,0,0,0,19,10,3,0,39,41,0,9,88,345,91,132,17,589,804,90,112,1595,27,3,0,0,33,66,0,15,115,0,0,0,0,0,0,0,117,116,4,8,0,0
50502,18,5,192,194,19,44,444,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,3,1031,348,270,51,1705,2597,260,475,5037,12,0,0,0,16,21,0,67,106,0,0,0,0,0,4,0,15,17,7,6,7,0,15,0,3,6,23,16,5,6,0,27,21,3,91,141,46,46,13,0,100,60,14,13,185,19843,21457,7135,1112,49548,21204,3544,4416,78717,13134,18522,5055,609,37319,10182,1731,1500,50735,4828,3594,2203,287,10909,9508,1118,1056,22592,1632,1256,551,69,3513,1874,386,278,6043,6460,4843,2760,357,14420,11381,1504,1334,28637,906,318,251,55,1533,2456,191,309,4487,175,55,39,8,284,438,51,98,873,266,52,36,11,372,399,37,57,862,62,19,7,0,87,60,17,15,176,12,6,4,0,18,14,0,3,46,1419,450,341,79,2287,3371,296,479,6440,20,5,0,0,24,20,3,52,99,6,0,0,0,6,0,0,43,46,0,0,0,0
50503,0,0,3,5,0,0,9,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,4,33,19,15,0,60,55,8,37,164,23,4,10,0,40,105,0,63,206,0,3,0,0,7,0,0,4,12,0,3,0,0,8,0,0,3,11,27,10,11,0,55,105,4,68,231,21,26,4,0,48,24,0,8,76,15058,25977,7676,698,49400,10353,1628,3211,64600,15680,27988,8835,706,53202,10879,1366,1878,67321,1030,481,578,36,2129,2102,123,196,4548,146,93,120,14,369,295,34,52,745,1175,573,699,48,2497,2401,154,243,5296,13,5,15,0,32,44,5,11,89,33,17,7,3,57,81,5,9,154,3,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,24,17,5,0,40,33,0,6,78,64,37,27,8,138,164,9,19,323,16,0,4,0,29,108,0,27,159,13,4,0,0,16,17,0,35,68,4,4,0,0
