SA3_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
20103,10,0,11,9,6,17,0,0,0,3,0,4,4,6,12,3499,2997,6494,248,214,461,106,0,113,11,3,15,26,7,29,24,22,48,187,191,379,4135,3448,7585,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,4,0,6,30,18,52,39,22,63,0,0,6,0,0,0,0,3,0,4,0,9,583,687,1268,432,701,1130,71,49,120,5269,4911,10177
20201,44,29,68,149,193,338,6,4,14,7,0,5,34,31,62,16246,14231,30482,1084,1245,2328,245,5,250,117,17,137,220,98,314,83,52,137,553,557,1113,18788,16457,35246,7,0,7,0,0,0,0,0,3,9,5,12,4,4,4,10,0,11,22,16,38,0,0,0,0,0,0,8,10,14,21,29,54,8,9,14,36,48,82,148,101,244,210,161,370,3,7,14,8,9,13,6,4,7,24,15,34,2654,3622,6273,1989,3636,5620,119,89,206,23776,23978,47758
20202,90,82,168,25,14,34,3,0,12,0,3,5,3,7,13,6773,5678,12449,396,406,802,202,4,207,21,0,27,97,47,144,58,30,84,373,337,702,8042,6603,14645,6,5,11,0,0,0,8,6,12,23,8,25,10,10,17,21,3,25,62,30,86,0,0,0,0,0,0,5,4,3,0,8,10,0,0,0,4,11,13,46,18,64,113,55,163,7,11,20,0,0,0,0,0,9,15,14,24,2701,3154,5858,1090,1809,2896,93,80,175,12049,11715,23761
20203,0,3,3,4,5,13,0,0,0,0,0,0,0,0,0,1640,1329,2967,83,98,182,66,3,69,11,5,11,9,5,12,32,9,44,163,137,300,2014,1590,3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,22,13,7,20,0,0,0,0,0,0,0,0,0,4,0,6,468,451,921,169,325,493,33,33,74,2700,2407,5104
20301,16,4,18,11,8,22,0,0,5,0,0,0,0,0,0,3922,2970,6894,170,176,339,153,6,156,20,0,18,14,6,21,23,15,29,137,104,246,4468,3291,7757,0,0,0,0,0,0,0,0,0,11,6,18,0,0,0,0,0,0,9,8,22,0,0,0,0,0,0,0,0,5,0,9,8,0,0,0,4,7,15,33,11,42,51,25,76,4,0,5,0,0,0,8,0,8,12,0,12,883,1197,2083,493,819,1309,35,39,72,5938,5363,11308
20302,405,237,636,360,578,934,21,3,29,3,0,6,148,137,280,33545,27118,60665,1992,2322,4310,428,8,435,199,30,225,516,166,685,210,125,335,948,1144,2084,38755,31871,70627,27,46,76,0,0,0,21,16,40,116,59,176,4,10,22,38,9,43,205,148,356,5,0,5,0,0,0,24,16,37,36,53,88,24,25,55,80,96,174,328,195,515,609,435,1044,44,54,100,21,22,38,12,9,16,81,82,164,8088,10294,18379,4238,7773,12011,248,210,457,52012,50667,102678
20303,60,35,96,58,76,137,16,0,14,3,3,14,15,10,21,12796,10675,23477,638,706,1333,182,3,192,59,7,66,166,71,243,105,64,168,418,449,872,14509,12114,26631,5,0,8,0,0,0,4,6,10,44,23,64,5,4,8,4,0,4,65,34,93,0,0,0,0,0,0,3,14,16,4,12,16,5,4,6,13,27,38,127,61,185,194,124,320,23,10,34,0,6,6,8,3,13,36,18,54,4880,5953,10829,2029,3489,5517,124,109,236,21774,21806,43580
20401,52,30,84,26,24,46,5,0,6,4,4,6,0,9,12,8859,7066,15924,535,474,1011,287,15,301,60,3,67,73,38,114,99,65,167,763,634,1400,10766,8363,19123,4,3,8,0,0,0,4,0,7,24,5,34,5,0,5,5,0,5,41,15,53,0,0,0,0,0,0,6,11,14,4,5,3,3,0,5,7,13,19,111,47,158,162,70,232,6,8,12,0,0,0,8,4,12,19,7,23,1901,2439,4344,1123,1817,2944,112,109,223,14087,12807,26895
20402,0,0,0,13,27,37,3,5,3,0,0,0,18,22,37,7526,6593,14115,515,531,1046,173,9,181,48,8,59,153,73,224,74,34,110,403,415,818,8925,7712,16632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,8,0,3,3,0,5,0,3,3,7,14,18,78,45,123,90,56,148,0,0,5,0,0,0,7,0,7,12,0,10,1212,1580,2786,865,1567,2432,112,98,216,11205,11017,22224
20403,3,0,3,62,43,108,13,0,12,4,0,6,27,16,39,12342,10995,23341,735,757,1494,223,12,230,132,18,143,192,65,254,155,70,221,946,781,1727,14837,12759,27591,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,8,0,5,0,10,8,0,4,4,4,11,20,141,63,199,142,81,225,0,0,0,0,5,4,6,0,8,8,6,11,2035,2585,4619,1485,2454,3938,127,129,253,18629,18008,36638
20501,87,41,129,28,11,39,4,3,7,0,0,0,14,11,24,9176,7518,16698,530,561,1095,217,3,222,58,4,68,30,16,42,59,34,91,331,276,612,10545,8488,19030,9,13,28,0,0,0,0,0,0,22,15,35,8,3,9,9,0,8,53,33,80,0,0,0,0,0,0,9,3,8,5,3,8,3,0,3,10,8,23,100,38,146,166,79,239,10,9,19,0,0,0,3,0,3,16,9,30,1772,2384,4151,1050,2003,3053,97,81,176,13640,13036,26676
20502,4,0,4,27,15,39,6,3,8,0,0,0,13,9,19,6368,5797,12169,423,459,887,159,3,167,45,4,46,68,33,100,81,52,131,379,318,698,7583,6695,14274,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,8,4,5,0,0,0,0,0,0,0,4,7,3,0,5,3,3,7,10,6,12,114,70,178,125,74,199,0,0,0,5,0,5,4,4,10,6,4,8,1031,1388,2421,820,1290,2112,111,107,215,9679,9554,19235
20503,13,7,16,15,33,50,6,4,14,0,0,5,0,3,5,9602,7988,17593,485,592,1081,223,3,222,72,12,86,120,38,164,100,57,157,613,544,1158,11257,9285,20545,0,0,0,0,0,0,0,0,0,6,4,13,0,0,5,0,0,0,9,6,14,0,0,0,0,0,0,3,0,3,3,5,9,4,0,4,12,4,16,93,49,142,111,63,175,0,0,6,0,0,6,5,0,5,7,4,15,2423,2960,5382,1416,2327,3744,171,156,328,15393,14788,30186
20504,36,20,57,69,92,166,0,0,0,3,0,8,10,20,30,11645,9813,21462,795,803,1599,168,6,176,57,9,63,66,8,75,54,44,98,264,261,517,13177,11075,24250,7,6,13,0,0,0,0,0,0,8,0,11,18,4,17,5,6,11,41,18,56,0,0,0,0,0,0,9,6,13,4,16,17,0,4,4,10,29,39,97,43,142,150,89,241,7,10,19,3,6,7,3,0,3,16,14,26,1268,2231,3499,1423,2385,3812,115,117,229,16156,15908,32055
20505,3,5,8,27,24,46,4,3,5,0,0,0,9,12,13,6460,5695,12160,433,399,827,140,4,141,68,16,81,116,47,166,104,45,147,444,411,854,7814,6649,14457,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,6,5,0,0,0,0,0,0,0,0,3,5,0,3,5,0,5,9,0,6,82,40,120,87,49,133,7,0,6,0,0,4,9,0,13,14,0,17,1047,1303,2349,813,1326,2139,100,73,170,9875,9397,19272
20601,425,400,824,102,140,241,7,0,8,964,1267,2232,74,88,170,8418,6380,14803,356,604,963,86,0,83,164,24,188,1387,915,2303,113,96,209,636,748,1385,12724,10673,23401,68,76,146,0,0,0,148,148,297,27,19,42,5,12,17,43,32,67,285,282,569,0,0,0,80,112,191,6,8,11,9,11,16,3,7,11,96,136,228,213,176,394,595,596,1188,101,101,200,18,25,41,17,20,34,134,142,278,9984,12098,22084,2613,4109,6720,105,71,178,26162,27688,53847
20602,411,385,790,79,113,190,0,0,0,209,279,489,28,40,67,4649,3797,8443,166,298,465,69,6,71,79,4,83,737,477,1220,60,48,110,298,404,705,6783,5850,12633,49,28,76,0,0,0,51,81,129,22,18,42,10,13,17,38,29,65,160,164,331,0,0,0,27,38,67,3,5,8,3,7,9,7,0,5,35,51,85,88,74,164,286,297,581,49,55,97,3,6,3,7,6,13,57,57,113,6229,7638,13874,1418,2383,3801,37,45,79,14817,16271,31082
20603,617,582,1200,68,68,135,4,3,7,300,497,795,48,50,98,7777,5699,13480,358,543,896,75,3,73,93,7,100,372,137,507,92,69,168,360,486,842,10165,8142,18304,69,85,153,0,0,0,141,168,303,42,33,73,9,25,36,33,17,42,289,327,614,0,0,0,17,22,43,4,6,8,4,5,15,0,3,3,29,42,74,99,88,185,418,451,873,90,66,158,0,5,9,15,4,20,104,74,184,6629,7638,14270,1731,2864,4593,66,61,129,19123,19229,38353
20604,1660,1849,3516,319,373,694,8,0,11,3397,4239,7637,148,194,342,8232,4825,13058,365,741,1111,46,0,48,483,103,589,1326,690,2010,265,191,460,5534,5398,10933,21789,18620,40414,336,330,662,0,0,0,456,547,1006,59,36,99,27,54,84,118,79,195,995,1049,2044,0,0,0,89,94,182,14,0,11,4,16,16,13,21,34,116,131,249,438,381,818,1549,1562,3114,332,402,733,15,10,26,50,44,96,399,457,861,17886,16957,34842,4411,6353,10760,193,160,355,46227,44115,90335
20605,463,413,872,138,166,302,10,8,15,1221,1411,2632,91,114,201,9761,6647,16411,398,634,1031,65,0,65,271,35,309,895,460,1356,162,132,292,1351,1520,2867,14828,11534,26366,47,39,94,0,0,0,178,184,363,15,14,34,6,4,14,35,23,60,285,275,555,0,0,0,47,66,110,8,3,5,0,5,10,8,9,21,69,77,141,206,201,408,554,550,1107,114,112,228,6,6,15,37,21,54,151,140,291,12154,14630,26781,2407,3866,6268,109,98,209,30205,30821,61027
20606,844,797,1640,38,37,71,5,0,5,435,588,1026,63,60,126,5643,4066,9711,174,353,536,20,0,20,125,18,145,442,187,625,93,60,151,948,1241,2192,8829,7423,16249,83,73,157,0,0,0,160,189,346,32,24,57,4,12,17,33,23,63,320,324,640,0,0,0,15,15,29,0,7,3,0,3,3,3,0,6,17,24,45,69,96,164,404,440,844,70,51,119,0,3,8,5,8,11,81,60,139,8390,9115,17503,1465,2223,3686,75,70,145,19232,19336,38572
20607,545,524,1068,104,141,250,3,5,11,1030,1167,2204,76,103,174,7220,5349,12571,214,453,664,46,0,46,185,40,227,1438,842,2279,137,110,249,1733,1983,3713,12746,10715,23457,56,53,110,0,0,0,135,177,313,21,18,37,7,15,24,67,26,94,286,290,575,0,0,0,37,43,74,9,5,11,5,3,3,5,6,11,57,55,109,183,169,348,519,509,1033,81,70,145,8,9,10,22,12,36,106,92,192,13013,14060,27074,2241,3515,5752,94,86,181,28720,28968,57692
20701,984,902,1885,187,239,432,11,8,18,484,609,1097,59,56,114,16410,13294,29705,672,1352,2021,100,4,96,158,16,174,621,192,806,151,122,271,990,1175,2168,20824,17967,38786,67,63,130,0,0,0,169,187,354,80,67,148,17,35,53,46,24,68,380,378,756,0,0,0,41,64,105,12,22,34,11,14,26,8,5,12,79,100,176,219,199,420,674,680,1357,105,111,212,16,16,26,11,15,25,124,135,262,18261,18243,36499,3749,6069,9817,143,123,270,43775,43216,86987
20702,61,51,117,557,710,1267,5,0,6,11,4,16,37,25,59,12017,8974,20992,456,1015,1471,151,0,153,64,3,65,38,6,49,109,85,192,210,292,499,13715,11174,24888,103,52,158,0,0,0,0,0,5,38,19,62,8,8,12,3,0,5,159,88,244,0,0,0,59,41,101,61,43,103,24,41,59,7,9,19,150,133,279,92,81,178,399,299,700,55,38,92,14,23,32,0,0,4,68,61,137,7195,7273,14466,1865,2988,4850,108,92,199,23343,21889,45230
20703,726,658,1386,307,403,714,5,4,6,133,170,305,42,58,102,11889,8990,20880,584,1111,1692,122,3,125,100,14,114,161,54,211,121,91,210,542,771,1314,14734,12326,27055,204,206,407,0,0,0,62,63,128,99,53,155,12,26,37,33,14,50,418,355,772,0,0,0,33,57,86,21,19,48,11,39,49,6,19,28,76,132,212,141,107,248,634,598,1228,129,164,296,12,19,26,4,3,8,142,191,332,9013,9090,18098,2305,3822,6133,111,75,186,26934,26105,53036
20801,586,449,1033,64,89,149,3,0,3,16,21,31,34,27,57,10085,7921,18002,404,636,1037,68,3,79,89,8,98,313,90,402,99,79,178,426,576,1007,12187,9885,22075,56,45,105,0,0,0,27,41,70,61,43,109,16,16,31,26,7,36,185,160,344,0,0,0,0,0,4,3,4,13,3,10,13,4,0,9,19,15,29,74,78,154,275,251,528,40,44,83,0,4,7,5,5,8,46,50,101,10754,10955,21709,2225,3678,5901,108,91,196,25602,24912,50508
20802,1438,1326,2767,181,287,469,12,5,11,170,216,384,80,82,157,17150,13594,30748,667,1217,1884,169,8,169,214,20,232,458,153,606,180,136,320,646,913,1559,21360,17946,39310,203,196,399,0,0,0,162,214,378,158,101,254,23,45,69,53,29,83,600,584,1183,0,0,0,11,26,40,9,10,18,3,33,39,8,9,16,33,73,111,171,122,298,805,780,1588,154,142,291,7,8,16,14,10,24,166,161,327,16242,16900,33138,3493,5673,9171,154,130,286,42226,41589,83816
20803,659,539,1197,110,157,268,14,4,15,4,3,5,51,41,87,16714,13200,29912,709,967,1678,220,0,225,130,13,139,248,74,321,121,86,207,432,569,1001,19418,15643,35061,112,123,231,0,0,0,29,44,68,88,60,150,14,30,47,31,8,42,277,260,541,0,0,0,0,0,0,3,6,12,9,8,21,0,13,11,19,22,45,144,89,231,436,376,813,59,72,137,0,3,8,7,0,7,73,80,147,9358,11107,20463,2680,4893,7569,123,86,213,32083,32192,64270
20804,447,343,786,29,50,82,0,0,0,98,145,240,13,25,42,4345,3374,7727,161,302,457,26,0,28,34,8,44,155,43,198,50,35,87,241,314,554,5596,4649,10243,35,41,73,0,0,0,49,65,113,22,11,35,4,8,18,16,5,23,126,133,259,0,0,0,6,3,7,0,0,0,5,0,6,0,4,4,7,8,16,39,37,74,171,178,351,38,52,88,0,4,5,5,0,9,42,55,98,4672,4828,9498,931,1602,2532,37,32,65,11460,11346,22804
20901,816,647,1464,188,231,426,12,8,13,27,27,55,56,51,105,15447,11923,27371,639,904,1539,193,3,198,119,9,124,284,84,371,153,95,245,638,774,1411,18580,14747,33323,90,93,185,0,0,0,46,58,103,127,92,213,14,26,44,41,20,53,313,291,597,0,0,0,16,20,30,10,15,25,11,28,41,8,17,26,51,73,124,139,91,235,495,455,956,73,77,151,12,9,14,0,0,5,87,83,166,10224,11121,21341,2859,5087,7940,114,78,191,32353,31568,63920
20902,702,720,1416,167,268,440,10,0,11,250,366,617,48,67,119,12047,8170,20223,512,812,1324,168,4,169,168,24,188,458,213,669,122,80,202,302,365,665,14957,11093,26046,118,163,277,0,0,0,77,77,158,72,55,125,13,31,50,28,30,60,315,363,676,0,0,0,51,70,113,0,3,5,7,22,28,8,11,21,67,107,174,160,121,281,542,586,1125,126,130,248,16,17,37,20,6,23,158,155,308,6558,8030,14586,2213,3508,5721,125,85,205,24553,23449,48002
20903,248,165,414,44,47,88,0,0,5,0,0,0,9,4,17,9997,7389,17387,426,480,905,262,0,268,56,0,56,48,12,57,63,58,115,186,161,349,11340,8315,19657,23,25,46,0,0,0,7,12,16,68,40,109,11,16,21,12,8,19,118,88,212,0,0,0,0,0,0,7,4,12,0,10,8,0,0,0,9,15,24,83,33,118,209,139,352,26,21,48,0,0,0,7,0,7,36,21,58,5168,5835,11007,1675,2975,4645,74,58,131,18502,17346,35841
20904,1177,1179,2359,259,412,661,10,3,11,31,41,73,157,99,255,41542,27942,69488,1985,2501,4486,834,18,856,155,14,171,129,30,155,366,180,549,277,461,743,46927,32888,79815,286,384,671,0,0,0,35,69,101,342,212,557,29,67,92,44,24,69,737,763,1493,0,0,0,11,33,48,19,25,41,22,64,92,12,13,21,64,136,203,364,194,568,1163,1096,2260,208,247,457,13,19,33,20,13,28,243,281,523,9670,12585,22251,4544,8203,12747,335,224,557,62878,55269,118148
21001,166,158,324,50,55,104,5,3,8,23,49,79,24,23,49,8844,5946,14793,376,578,951,124,3,127,47,0,53,94,15,105,76,51,127,130,145,279,9967,7035,17003,52,45,96,0,0,0,23,19,39,55,43,96,5,12,21,5,6,3,137,116,256,0,0,0,16,17,34,15,8,19,0,15,20,0,0,0,28,41,72,96,58,152,260,219,482,30,39,73,9,0,10,8,3,7,48,39,91,3729,4896,8624,1320,2268,3593,67,62,120,15389,14525,29908
21002,79,48,131,0,5,6,3,0,3,4,0,6,3,0,8,5157,3770,8920,261,282,537,147,0,147,12,4,13,10,3,10,21,21,49,131,123,246,5825,4250,10077,7,4,9,0,0,0,4,0,11,29,12,39,0,5,6,0,0,3,44,21,65,0,0,0,0,0,0,0,7,3,0,0,3,0,0,0,0,3,6,42,16,56,91,45,132,14,12,23,0,0,0,6,0,7,16,6,27,1805,2383,4187,769,1260,2022,50,49,99,8550,7991,16546
21003,877,844,1729,79,98,174,4,0,3,35,85,120,79,51,131,10729,6497,17226,460,647,1111,167,9,164,117,15,129,205,91,293,107,65,167,152,230,379,13000,8636,21630,138,139,279,0,0,0,81,97,182,93,49,143,13,47,54,30,21,49,356,356,714,0,0,0,24,28,54,20,8,21,3,16,24,5,7,12,49,61,110,102,75,181,510,487,996,99,113,212,7,9,15,11,4,16,115,126,238,5199,6055,11248,1713,2674,4388,119,67,182,20659,18042,38693
21004,210,201,414,19,38,56,8,0,8,0,0,0,17,8,24,7551,5420,12965,414,397,812,162,0,165,29,0,33,16,10,22,49,29,77,90,104,194,8552,6215,14767,17,26,49,0,0,0,10,4,11,58,40,94,13,11,20,7,4,10,101,87,188,0,0,0,0,0,0,8,4,12,4,3,11,4,4,3,17,16,29,68,29,102,187,128,319,20,26,44,0,3,0,3,0,7,29,27,54,2054,2998,5053,1088,1909,2993,49,35,85,11961,11316,23278
21005,853,765,1618,226,291,514,11,6,19,13,16,28,186,81,267,31153,18817,49967,1621,1976,3591,729,7,737,113,0,114,94,13,103,313,143,461,225,268,495,35544,22385,57934,178,284,459,0,0,0,31,53,86,207,140,349,34,66,104,23,14,41,479,558,1040,0,0,0,7,4,8,21,18,36,27,45,72,9,18,30,68,75,144,340,182,527,887,822,1707,159,239,399,10,15,26,6,3,13,175,256,434,5980,7921,13902,3192,4878,8073,293,179,469,46075,36446,82519
21101,514,361,875,230,255,487,6,7,12,0,6,7,62,56,111,25179,19200,44385,1204,1577,2776,356,9,360,142,10,150,179,34,211,164,113,282,287,327,613,28311,21964,50275,95,93,190,0,0,0,13,25,41,196,110,308,20,32,51,16,10,24,349,267,615,3,0,7,9,5,7,20,12,26,30,39,71,11,13,26,70,64,132,226,125,350,638,457,1097,61,86,142,11,6,12,14,7,20,83,92,178,9686,10904,20585,3235,5940,9176,128,102,231,42081,39454,81545
21102,34,37,71,40,40,83,0,0,0,0,0,0,0,5,8,3535,2666,6202,186,234,422,86,0,86,13,0,14,19,3,18,20,10,34,37,52,92,3980,3060,7041,11,5,17,0,0,0,0,0,0,14,11,29,3,0,9,4,4,7,34,22,56,0,0,0,0,3,7,3,8,16,0,8,7,0,0,0,9,19,30,23,19,45,70,62,132,10,10,11,0,0,0,0,0,0,6,10,17,2215,2282,4503,636,1016,1658,15,17,28,6930,6443,13376
21103,530,425,953,140,148,287,12,4,14,3,0,7,42,32,76,16251,12679,28931,795,951,1748,247,8,252,83,12,99,144,18,162,105,62,171,291,341,638,18643,14689,33331,132,130,264,0,0,0,27,18,44,114,84,197,14,27,39,20,11,28,310,265,577,0,0,0,0,0,0,8,0,14,11,19,29,8,0,11,34,28,55,143,90,234,484,379,864,59,72,135,4,7,7,6,4,9,65,81,146,7970,8865,16830,2525,4844,7370,104,107,215,29793,28967,58759
21104,410,322,737,91,127,219,3,0,3,12,16,30,18,17,33,7371,5755,13130,331,603,941,88,0,88,42,3,42,79,12,91,57,45,99,162,176,341,8669,7084,15752,95,93,191,0,0,0,19,25,44,76,41,116,10,17,25,8,8,17,211,189,399,0,0,0,4,3,5,11,9,16,4,16,24,4,4,9,20,36,54,71,56,124,302,280,579,61,66,129,9,6,15,3,0,5,75,78,151,5394,5218,10606,1352,2142,3489,57,36,93,15839,14835,30675
21105,320,237,553,150,115,267,20,9,22,0,0,5,27,25,52,25245,18720,43964,1361,1202,2567,707,14,721,149,21,164,115,12,127,164,89,251,545,482,1023,28797,20922,49716,108,90,197,0,0,0,10,5,15,126,76,199,21,21,38,16,3,15,269,201,472,3,0,3,0,0,0,11,9,25,32,22,50,0,3,3,50,32,81,243,87,335,572,320,887,57,45,102,0,5,16,11,5,10,65,62,128,7727,10164,17886,3698,6874,10574,172,129,295,41025,38464,79488
21201,399,380,776,49,64,112,13,0,10,5,0,0,32,44,71,20686,14464,35149,1072,1129,2196,575,16,589,125,8,135,53,19,76,147,72,218,312,305,612,23458,16504,39959,85,107,194,0,0,0,20,18,33,110,52,165,21,22,41,32,16,42,261,221,480,4,0,4,0,0,0,4,7,8,5,16,22,5,7,7,17,26,38,226,98,326,506,339,844,58,77,140,3,0,5,7,0,7,69,84,152,4499,6527,11029,2209,4322,6530,145,127,272,30878,27907,58784
21202,425,342,772,134,174,304,3,3,6,0,3,5,60,48,114,22846,15089,37932,1191,1472,2665,455,12,470,94,8,113,65,5,72,185,101,289,169,207,371,25630,17469,43103,105,120,223,0,0,0,15,14,27,143,80,221,25,24,50,17,11,27,298,250,546,0,0,0,0,0,0,16,11,23,12,36,48,8,3,8,34,49,81,216,103,323,548,401,949,69,100,172,4,7,11,6,3,14,84,109,195,6026,7523,13550,2438,4182,6617,148,105,253,34881,29785,64667
21203,851,689,1543,215,317,534,7,7,20,3,0,4,181,144,324,40934,27090,68031,2087,2744,4833,920,21,936,199,4,202,93,15,112,392,192,579,240,366,603,46113,31603,77721,204,315,522,0,0,0,25,29,51,282,150,430,24,82,106,18,19,40,556,590,1149,0,0,0,0,0,0,22,21,41,32,68,104,6,14,20,61,106,166,404,261,670,1022,963,1988,170,223,390,22,20,39,20,5,23,206,241,451,7500,10042,17542,3819,6859,10677,317,198,511,58985,49903,108888
21204,946,945,1898,434,685,1121,6,0,12,4,9,10,175,171,347,31373,18851,50225,1917,3087,5005,517,12,529,115,13,126,196,44,238,339,173,519,377,508,884,36413,24490,60911,269,466,738,0,0,0,40,48,92,208,131,340,25,61,83,25,18,42,571,728,1295,0,0,0,0,0,0,30,24,55,37,96,135,18,30,48,84,154,238,348,197,546,1006,1082,2086,197,268,463,15,25,37,6,9,14,216,303,511,6454,7305,13757,2753,4220,6970,293,185,485,47135,37580,84715
21205,1198,972,2179,436,623,1055,8,3,11,18,23,36,128,118,248,22922,16335,39258,1033,1787,2818,229,3,235,156,21,176,279,67,349,283,133,418,714,776,1481,27403,20857,48256,278,303,581,0,0,0,69,101,175,244,141,382,30,52,82,35,24,56,651,626,1279,0,0,0,17,12,25,28,25,54,39,85,121,22,24,42,101,147,249,239,190,431,991,963,1956,194,207,402,15,37,54,14,10,26,229,249,474,14072,13462,27534,3670,5630,9300,204,157,364,46565,41321,87886
21301,1144,1319,2459,215,329,543,6,3,11,9,14,19,158,116,274,28130,16986,45115,1507,2370,3872,460,10,469,137,14,152,134,33,175,265,128,398,247,338,587,32412,21669,54078,229,382,613,0,0,0,55,113,169,231,178,409,40,102,134,40,21,56,587,795,1385,0,0,0,0,3,0,15,21,38,31,53,86,3,11,14,53,92,139,321,196,528,964,1084,2050,186,315,499,11,12,23,15,0,16,214,331,536,6038,7800,13838,3187,4784,7980,266,174,438,43083,35843,78928
21302,534,466,999,81,120,193,10,0,13,3,0,4,38,31,72,10993,7389,18391,496,637,1129,132,3,134,91,14,104,225,77,298,93,72,161,242,324,565,12928,9139,22066,62,112,171,0,0,0,32,53,83,74,64,144,15,22,38,44,14,60,223,272,495,0,0,0,7,3,15,10,4,12,11,16,22,0,0,3,25,30,54,134,65,199,381,366,748,76,77,148,0,0,3,3,0,6,81,76,162,6536,8263,14797,1832,3031,4870,79,77,157,21837,20959,42791
21303,892,811,1704,213,288,509,3,3,6,57,114,168,82,72,151,10331,6681,17015,445,794,1232,97,6,101,164,20,183,445,194,635,94,75,164,448,510,954,13272,9564,22831,178,244,424,0,0,0,134,160,293,74,60,136,18,43,61,55,32,86,451,539,994,0,0,0,17,44,62,17,11,27,9,25,30,8,6,18,48,83,137,143,98,238,639,723,1365,153,193,345,8,7,17,6,4,5,164,207,367,7914,9088,16998,2139,3179,5325,94,71,171,24226,22830,47058
