GCCSA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
1GSYD,3975,662,1055,38,853,338,631,2906,127,10595,1010,1159,797,18,490,42,1116,174,53,4862,26050,17631,26244,1377,14608,6742,17160,19937,1567,131332,3850,4856,3038,83,2861,494,3189,1404,296,20080,32756,15065,85528,415,22038,2848,11030,25925,2687,198286,21088,16680,4707,173,13491,9306,9514,3009,877,78845,37745,17846,10861,1594,14303,99441,13830,16611,1613,213851,25854,3488,19648,33113,5292,18026,3520,23365,1028,133334,13764,9866,4635,2640,26076,5142,52411,6613,1839,122993,11473,29298,6329,241,6253,3170,667,570,634,58627,34268,73580,1638,573,51043,4731,110,213,3229,169389,8106,7933,1215,319,7921,18844,799,1055,760,46948,42276,161413,16652,653,35142,4523,763,1342,2441,265208,11528,13656,5177,4978,9090,1835,3399,27257,749,77677,20042,34237,8770,28245,31328,792,2273,4503,2646,132839,19285,125023,4140,32242,20916,526,611,2664,1178,206584,21182,138320,10641,94184,44753,1912,2239,9867,2337,325449,7235,10050,3210,7845,3958,1388,272,1894,520,36377,8801,10187,28961,12141,9195,1492,1085,5086,649,77583,18570,20772,11304,4193,14887,6954,11385,9944,21823,119837
1RNSW,36328,1678,3766,178,2923,761,3275,14372,720,64009,2370,2918,8939,117,1463,76,13212,1115,304,30503,10289,5366,19113,878,6005,3519,9290,14818,904,70189,1933,2131,4550,66,2146,309,2807,1315,227,15491,14252,3135,57672,216,10149,1319,10961,18068,1223,116993,4618,2490,3400,81,3448,5164,3488,1613,260,24564,17777,3653,7656,1131,5466,65783,3909,11563,500,117441,15941,743,11919,25671,3856,11215,2594,21377,566,93891,4641,2024,2652,758,8896,1543,22947,2554,460,46482,1504,3513,1528,75,1237,1111,122,205,120,9405,3444,7430,309,178,11436,802,50,116,438,24211,1869,1282,624,185,2873,7533,380,677,239,15667,6493,31320,7670,246,13062,702,372,876,467,61204,2977,3721,3940,2751,4163,476,1830,19972,356,40195,12690,18381,7043,19223,21242,489,3652,5316,1884,89922,9083,65274,2708,23314,11439,237,360,2531,579,115512,10393,73773,6246,76323,25137,897,1264,8103,1303,203439,2445,3419,1811,3674,1349,552,205,1669,202,15329,3406,3379,23212,7486,4661,771,695,3801,304,47724,5240,4270,6989,2833,4918,2874,4482,6169,11008,48782
19499,7,3,4,0,4,3,17,89,0,130,0,4,10,0,0,0,23,5,0,41,13,12,28,3,5,4,21,48,4,135,0,7,0,0,3,0,4,3,0,23,25,6,95,0,10,0,31,63,3,246,7,8,9,0,0,11,15,4,0,57,24,8,10,6,12,103,16,19,0,196,25,5,35,81,8,23,5,61,0,235,4,8,5,3,17,5,80,11,0,134,6,21,7,0,3,3,0,3,0,40,14,26,6,0,32,4,0,0,0,78,0,0,0,0,5,5,0,4,0,20,30,105,16,0,26,0,0,5,0,187,9,14,10,3,15,0,4,50,0,113,23,31,8,48,22,0,3,7,5,150,4,76,7,32,11,0,0,0,0,137,10,119,3,115,31,0,0,12,0,287,10,22,9,15,0,3,9,11,0,76,7,12,13,20,7,0,3,9,0,68,9,26,19,8,11,4,12,25,53,166
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,5584,1051,1560,92,1222,513,1032,4557,234,15845,885,1263,631,20,380,34,868,152,80,4318,31934,21014,33969,2065,16734,8800,22600,28708,2164,167996,5045,6749,2748,53,4623,1135,3293,1435,545,25636,30867,13251,110070,430,21334,3022,12450,31762,3317,226505,18292,12569,4753,273,12788,10124,10341,3692,837,73670,38833,17748,11486,1888,15013,113598,11974,16800,1710,229046,24471,2289,22816,41483,4285,20299,2412,29639,1033,148723,13168,9795,4547,2583,24198,4565,54166,5188,1891,120096,8193,19713,5305,300,5472,3061,513,540,575,43676,19232,47494,1232,744,40162,3429,190,229,2078,114791,6318,5472,1220,411,6730,15991,974,1055,686,38863,34978,141923,17069,769,31847,3344,798,1491,2292,234512,9821,12042,7398,4966,10052,1485,3367,29346,961,79444,19442,35530,6262,31435,30669,531,1035,5612,2448,132958,18183,129367,5146,38751,18421,494,349,2058,1321,214082,19273,141361,10833,98906,44008,1844,2019,9348,2289,329874,8275,11177,3417,12085,4085,1752,319,2157,769,44020,8956,9336,32853,14371,8880,1631,1131,5791,830,83780,16078,17195,12706,4574,13664,6403,12465,11679,22399,117172
2RVIC,29499,1265,2895,139,1881,546,2548,11981,541,51294,536,553,1329,34,251,17,1907,342,65,5036,7844,3550,12750,837,3982,2814,6736,13521,683,52711,1429,1383,2580,33,1763,167,1878,924,194,10355,8388,1750,35907,163,5855,840,6712,10830,844,71289,2850,1452,1670,41,2035,3617,2394,1445,121,15628,10343,2447,4470,648,3263,37349,2824,6652,315,68301,8301,315,5880,12194,1496,6324,862,11732,280,47383,2895,1001,1391,538,4915,1264,13488,1267,274,27041,951,2054,1016,45,981,649,78,137,65,5979,2061,4514,178,88,5947,390,37,62,249,13519,846,647,382,109,1451,3389,170,276,119,7384,3418,16039,4317,163,7180,420,128,367,282,32321,1502,1910,2731,1426,1852,220,543,9520,171,19869,5686,9247,2624,13295,9666,147,1285,2340,718,45006,4555,36532,1560,13144,5286,103,206,1213,316,62923,6038,43486,3639,40705,14237,516,620,5834,748,115823,1784,2236,1395,2403,818,430,89,1194,174,10524,1986,1808,12674,3736,2391,432,396,2345,175,25934,3190,2126,3801,1394,2474,1514,2568,3739,6971,27774
29499,9,4,8,0,0,3,3,52,0,76,0,0,6,0,0,0,4,0,0,6,14,11,27,0,3,6,21,34,0,120,0,5,5,0,3,0,7,5,0,22,14,5,74,0,11,0,20,59,3,190,6,7,3,0,5,5,7,0,0,39,17,7,9,0,8,65,9,14,0,126,17,4,21,46,11,25,17,57,0,202,15,6,4,10,10,3,55,8,4,108,0,9,3,0,8,0,0,0,0,25,10,29,0,0,9,0,0,0,0,53,4,9,0,0,3,4,0,3,0,23,9,53,12,0,19,4,0,4,0,99,10,8,11,3,3,0,5,36,5,74,15,23,19,27,18,0,8,4,0,115,4,46,7,33,6,0,0,4,6,97,5,81,7,74,24,3,5,5,0,205,3,9,5,13,6,5,6,0,0,46,5,6,20,15,0,0,0,5,0,56,6,17,15,3,8,5,14,28,35,126
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,3872,570,730,53,710,243,583,3698,124,10574,2869,4665,2259,77,1293,81,2194,390,196,14023,12408,6685,17722,840,7592,3592,10434,15671,955,75912,2477,3891,2649,48,2280,312,2060,825,243,14786,14302,6221,49387,175,11325,1588,7492,14980,1353,106826,6739,4656,2816,203,5572,4683,5515,2001,386,32580,17138,6396,6188,1042,6634,56021,7214,10303,687,111628,12322,1283,9338,21828,2437,12303,2478,17721,489,80190,6875,5972,3519,1653,13142,2160,28216,4264,888,66694,2396,5537,2128,111,1971,1308,191,270,214,14129,6073,14602,557,134,16608,1717,74,118,681,40564,3460,2498,808,206,3828,9365,657,951,309,22081,14747,61047,9723,367,16529,1383,510,944,952,106201,4427,5903,3099,3111,6522,755,1358,16281,489,41954,11549,21858,5146,16752,21041,399,1593,2874,1573,82780,9012,61826,3124,22317,10435,357,266,3761,620,111714,11116,76942,6620,60203,26954,1135,1091,5569,1227,190854,3285,4459,1701,4891,1738,784,222,1149,288,18517,4576,4994,18560,8141,5057,894,751,3670,394,47048,7005,7217,6991,2539,6690,3186,5867,5878,10352,55723
3RQLD,24316,1540,2306,204,2662,533,3744,15693,551,51549,2870,3524,13354,234,2073,151,16539,1838,781,41370,9278,4038,19656,808,6088,3353,8531,11683,794,64225,1560,1555,4627,47,1900,294,2449,1266,292,13985,13706,3427,54021,178,12266,1402,11327,17246,1512,115085,4961,2253,3130,103,3732,5281,3706,1695,253,25111,17787,3985,7113,1031,5844,63158,4117,10934,662,114629,15962,1070,12096,25136,4256,12244,2141,21644,685,95231,4825,3593,3234,1515,8792,1756,21971,2722,584,48993,1460,2923,1798,128,1322,1051,164,231,134,9217,2885,7026,306,130,9618,1185,58,150,486,21829,2787,1516,1005,225,3667,9593,625,1067,317,20801,6231,28090,7641,240,12743,969,341,973,509,57750,3391,3560,3612,3039,4758,884,2205,17881,450,39781,7405,12484,6077,16806,15037,444,2880,5147,1180,67449,7499,55498,2933,23014,9281,319,342,4653,616,104157,9030,68155,5403,66759,24231,1083,1000,7312,1339,184318,2973,3358,2214,5227,1628,1093,402,1763,316,18976,3754,3452,22216,8143,4905,898,716,4173,375,48630,6137,4610,7736,2960,5948,3241,4406,6262,11676,52966
39499,33,6,7,0,3,0,29,223,0,300,7,9,19,0,3,0,45,3,3,89,21,12,32,0,6,0,25,46,3,147,5,0,13,0,5,0,7,10,0,44,19,12,127,0,18,0,44,93,6,319,7,7,0,0,8,8,6,7,0,48,27,7,15,0,16,105,10,27,3,216,35,3,52,165,18,26,7,123,0,434,8,12,4,5,22,4,104,12,0,181,4,19,3,0,3,8,0,0,0,37,5,14,0,0,12,0,0,4,0,41,3,0,0,0,3,21,0,5,0,43,19,95,22,0,30,0,0,3,0,171,14,27,9,24,14,3,11,92,4,194,18,17,8,22,28,3,7,29,4,134,14,75,9,23,17,0,0,4,0,149,15,137,11,127,34,7,4,13,4,340,4,16,9,8,4,4,3,10,0,54,9,10,34,25,15,6,0,9,0,95,20,18,20,12,12,11,20,25,63,194
39799,0,9,0,0,0,0,0,12,0,19,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4GADE,3298,410,614,21,534,190,448,2473,141,8133,857,1521,1488,41,460,24,1490,339,102,6318,7759,5067,10287,711,4416,2569,5121,8840,577,45352,1515,1870,1747,21,1477,326,1198,522,201,8886,7142,2436,27449,458,5287,828,3644,8249,898,56393,3315,1909,1585,79,2449,2661,2690,1230,212,16127,9693,3039,3488,627,3304,34604,3150,6822,401,65134,7258,459,5958,12445,1143,5618,817,10044,296,44044,2665,1474,1314,843,5547,928,13217,1347,362,27701,1087,2832,1409,34,1301,814,67,147,120,7808,2747,6576,282,118,10243,786,33,54,369,21223,1331,900,335,139,1667,3572,218,378,153,8695,6020,27320,4787,160,7637,510,200,419,475,47529,2149,2841,2425,2552,3691,370,662,10664,324,25678,6663,12777,3112,10834,11777,234,560,1232,718,47901,5012,35090,1823,11672,5844,126,129,586,405,60687,5947,44562,3834,38464,15468,622,782,4132,851,114652,1807,2208,944,3205,867,417,74,497,169,10185,2390,2554,11094,4724,2738,534,369,2102,242,26744,2654,2441,2640,1169,2426,1229,2101,2613,4502,21773
4RSAU,12852,564,1213,37,1116,234,1337,5901,215,23477,309,326,1434,20,219,11,1945,267,89,4621,2079,1095,3504,196,1147,679,2284,3832,243,15055,204,90,611,6,204,58,405,293,59,1930,1467,238,6006,73,1163,144,1833,2103,161,13183,608,303,439,12,502,1007,407,334,44,3634,2424,346,1163,173,695,8879,446,1787,67,15992,2193,38,1402,2925,404,1105,139,3071,89,11374,689,258,354,84,1225,237,3334,450,84,6729,91,283,141,3,111,101,10,27,8,780,217,475,25,8,984,86,25,34,26,1885,148,76,55,30,301,655,34,79,16,1401,390,1800,782,20,1227,67,38,97,40,4458,339,426,717,461,444,51,248,3161,62,5910,897,1328,572,2251,1790,69,335,526,119,7896,874,6840,416,3388,1262,15,133,229,59,13215,985,6468,675,9948,2677,135,92,1365,163,22497,233,352,241,322,109,51,10,202,18,1543,405,410,3200,845,591,126,75,532,49,6239,624,329,774,310,439,268,539,971,1651,5916
49499,3,0,5,0,0,0,3,14,0,30,0,9,3,0,0,0,10,0,0,19,3,6,5,0,7,0,0,12,0,37,0,0,7,0,0,0,0,0,0,11,7,3,28,0,0,0,8,18,0,69,0,0,0,0,0,0,0,4,0,8,3,0,5,0,6,32,8,0,0,54,3,0,7,16,7,8,0,19,0,62,3,0,6,4,4,0,27,9,0,51,0,9,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,11,0,0,0,0,0,11,0,0,0,12,5,25,10,0,9,0,0,0,0,46,4,4,3,4,0,3,4,41,0,62,3,8,3,7,4,0,0,3,0,36,3,17,0,4,4,0,0,0,0,28,3,38,8,33,8,0,0,3,0,99,3,6,0,0,0,0,0,0,0,7,0,0,7,4,4,0,0,4,3,22,3,0,6,0,3,0,3,10,16,42
49799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,2529,522,666,25,635,227,506,2314,105,7522,9267,18059,17124,581,5755,223,14510,3598,1021,70130,8882,5466,16457,838,5819,2753,7654,7403,643,55904,1878,2777,2138,58,2033,225,1528,857,246,11744,11666,6616,42779,390,10201,1361,6904,12896,1112,93927,5404,3614,3587,93,4214,3643,4347,1745,323,26954,14033,4499,5113,969,5047,50286,4537,9287,465,94230,10026,902,9605,19861,1934,8884,1775,14962,374,68330,4640,3793,2295,1710,9762,1378,21462,2236,527,47803,1386,3199,1631,83,1138,1045,121,320,94,9013,3699,9506,322,190,10616,910,55,105,514,25917,2318,1542,834,150,3146,6372,401,720,212,15691,10861,45965,9868,309,12447,814,849,888,659,82670,3166,4148,3478,2498,3903,515,1284,13788,340,33115,7957,15363,4610,15631,14946,245,840,2663,1140,63394,7177,51245,3174,20182,7560,244,151,3171,405,93309,7934,59698,5829,46954,20962,782,1128,5105,937,149312,2958,3533,1632,6260,1732,899,134,1287,206,18637,3693,3715,16997,8008,4153,624,611,3307,268,41377,6077,6827,7661,2469,6139,2636,4877,5199,8007,49910
5RWAU,12438,582,1203,57,1028,214,1262,5014,179,21982,1717,2473,9558,209,1363,51,10251,1559,464,27636,1630,822,3898,212,961,578,1921,2627,161,12815,339,213,1131,7,453,30,659,430,100,3371,2018,493,9766,65,2110,173,2844,3283,203,20959,867,423,935,11,705,1086,830,328,72,5252,3134,536,1349,190,1021,10782,649,2552,86,20299,3003,108,2237,3899,891,1661,286,4483,102,16673,1195,761,845,232,1947,338,5053,688,129,11189,148,323,221,13,123,172,8,39,9,1058,307,636,18,9,1189,94,12,17,33,2313,337,132,258,25,652,1164,129,200,33,2929,574,3188,1422,60,1619,83,125,207,71,7354,533,559,1004,486,600,85,389,3391,59,7110,1643,2229,1091,3772,2999,74,679,1259,213,13956,1704,10379,845,5286,1462,40,46,1174,98,21036,1425,9962,1028,9969,3978,192,173,1200,176,28100,376,630,271,591,224,88,25,232,37,2475,682,566,4450,1250,1027,157,154,762,66,9113,939,736,1692,517,987,458,969,1287,2286,9869
59499,5,4,13,4,4,0,13,59,0,101,0,14,54,0,5,0,82,21,3,188,10,6,11,0,0,0,8,19,0,67,0,0,0,0,0,0,4,4,0,12,8,0,65,0,15,0,33,40,0,168,5,5,3,0,6,6,6,3,0,22,8,4,9,6,8,38,5,12,0,88,13,0,34,80,16,17,0,67,7,231,4,13,3,4,11,5,34,9,0,88,0,6,0,0,0,3,0,0,0,17,0,7,3,0,9,0,0,0,0,16,3,0,0,0,0,0,3,0,0,9,9,42,7,5,20,4,0,0,0,92,5,8,9,11,0,0,3,27,0,62,9,15,5,19,11,0,0,9,3,66,4,31,0,25,0,0,0,0,0,69,4,68,9,56,17,0,3,0,0,157,7,3,4,0,7,0,0,4,0,25,7,0,23,11,4,0,0,5,0,52,4,7,9,4,10,0,16,21,14,78
59799,0,3,3,0,0,0,0,28,0,41,0,11,40,0,0,0,12,17,0,74,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,0,13,0,0,0,12,13,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,6,0,9,5,0,0,0,6,16,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,0,0,3,16,0,35
6GHOB,757,252,226,13,129,30,129,822,31,2393,32,89,55,0,16,4,92,18,12,319,873,431,1736,175,395,400,741,1166,80,6006,418,833,397,5,490,66,236,94,62,2608,1541,288,5392,16,746,82,624,1273,110,10083,384,175,164,11,266,454,366,137,23,1975,1638,460,633,105,571,6234,383,1039,55,11120,1523,130,1568,2694,338,958,142,1855,76,9275,371,215,124,128,805,194,1906,164,49,3960,244,596,230,14,252,152,5,27,17,1532,360,806,25,16,1227,94,3,13,59,2598,218,136,43,7,269,611,16,75,28,1394,824,4416,898,23,1277,58,18,66,56,7632,365,379,393,268,358,52,76,1487,46,3422,1783,3270,539,1919,3547,66,126,329,243,11826,954,6993,468,2332,1225,30,24,366,71,12473,1051,7571,580,7143,2445,116,127,781,171,19998,464,694,228,744,246,93,9,162,49,2695,477,492,1652,740,450,76,61,409,50,4411,296,292,356,220,267,171,219,352,829,3000
6RTAS,4558,426,706,33,486,105,838,3700,153,11012,169,187,628,17,96,3,1076,126,32,2327,1346,572,2561,206,656,489,1616,2577,151,10176,221,244,498,3,296,28,381,132,55,1855,1957,211,5575,9,903,116,1253,1536,144,11696,628,309,452,14,460,785,783,276,41,3748,1969,382,788,130,606,7540,540,1253,71,13277,1744,63,1466,2703,368,1161,201,2396,60,10161,564,303,314,191,1190,205,3089,461,68,6379,127,364,257,3,118,99,16,27,11,1027,290,551,25,4,1171,50,4,10,43,2149,164,118,68,20,256,682,23,83,21,1420,431,2490,800,35,1319,60,17,74,44,5259,282,379,622,375,322,55,126,1752,52,3963,711,1373,494,1471,1782,35,227,468,153,6703,696,6142,469,2557,973,28,33,631,52,11575,905,7164,657,8886,2531,93,131,1180,158,21692,302,458,258,447,140,78,19,198,26,1920,369,372,2543,760,449,84,73,520,45,5215,377,234,553,208,314,189,446,583,1218,4123
