Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGE10P Age in Ten Year Groups and 1-digit level HEAP Level of Highest Educational Attainment by SA1 (UR) by 1-digit level OCCP Occupation"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" 0-9 years,  Postgraduate Degree Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
" 0-9 years,  Graduate Diploma and Graduate Certificate Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" 0-9 years,  Bachelor Degree Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" 0-9 years,  Advanced Diploma and Diploma Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" 0-9 years,  Certificate III & IV Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" 0-9 years,  Secondary Education - Years 10 and above"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" 0-9 years,  Certificate I & II Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" 0-9 years,  Secondary Education - Years 9 and below"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
