GCCSA_CODE_2021,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5,C16_SH_Tot_NPFH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPFH_2,C16_SDRTHT_0b_s_a_b_NPFH_3,C16_SDRTHT_0b_s_a_b_NPFH_4,C16_SDRTHT_0b_s_a_b_NPFH_5,C16_SDRTHT_0b_s_a_b_NPFH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPFH_2,C16_F_a_0b_s_a_b_NPFH_3,C16_F_a_0b_s_a_b_NPFH_4,C16_F_a_0b_s_a_b_NPFH_5,C16_F_a_0b_s_a_b_NPFH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPFH_2,C16_F_a_1b_NPFH_3,C16_F_a_1b_NPFH_4,C16_F_a_1b_NPFH_5,C16_F_a_1b_NPFH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPFH_2,C16_F_a_2b_NPFH_3,C16_F_a_2b_NPFH_4,C16_F_a_2b_NPFH_5,C16_F_a_2b_NPFH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPFH_2,C16_F_a_3b_NPFH_3,C16_F_a_3b_NPFH_4,C16_F_a_3b_NPFH_5,C16_F_a_3b_NPFH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPFH_2,C16_F_a_4mb_NPFH_3,C16_F_a_4mb_NPFH_4,C16_F_a_4mb_NPFH_5,C16_F_a_4mb_NPFH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPFH_2,C16_F_a_NB_NS_NPFH_3,C16_F_a_NB_NS_NPFH_4,C16_F_a_NB_NS_NPFH_5,C16_F_a_NB_NS_NPFH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPFH_2,C16_F_a_Tot_NPFH_3,C16_F_a_Tot_NPFH_4,C16_F_a_Tot_NPFH_5,C16_F_a_Tot_NPFH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPFH_2,C16_OD_0b_s_a_b_NPFH_3,C16_OD_0b_s_a_b_NPFH_4,C16_OD_0b_s_a_b_NPFH_5,C16_OD_0b_s_a_b_NPFH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_Tot,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPFH_2,C21_SH_0b_s_a_b_NPFH_3,C21_SH_0b_s_a_b_NPFH_4,C21_SH_0b_s_a_b_NPFH_5,C21_SH_0b_s_a_b_NPFH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPFH_2,C21_SH_1b_NPFH_3,C21_SH_1b_NPFH_4,C21_SH_1b_NPFH_5,C21_SH_1b_NPFH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPFH_2,C21_SH_2b_NPFH_3,C21_SH_2b_NPFH_4,C21_SH_2b_NPFH_5,C21_SH_2b_NPFH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPFH_2,C21_SH_3b_NPFH_3,C21_SH_3b_NPFH_4,C21_SH_3b_NPFH_5,C21_SH_3b_NPFH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPFH_2,C21_SH_4mb_NPFH_3,C21_SH_4mb_NPFH_4,C21_SH_4mb_NPFH_5,C21_SH_4mb_NPFH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPFH_2,C21_SH_NB_NS_NPFH_3,C21_SH_NB_NS_NPFH_4,C21_SH_NB_NS_NPFH_5,C21_SH_NB_NS_NPFH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPFH_2,C21_SH_Tot_NPFH_3,C21_SH_Tot_NPFH_4,C21_SH_Tot_NPFH_5
1GSYD,74686,25785,12382,298205,94783,80330,124537,73402,47452,420508,4075,2109,1917,1253,1377,10728,237967,163865,207333,102391,62299,773853,113,38,35,14,25,226,2358,250,102,25,13,2752,20541,8167,4666,899,251,34525,29641,22556,21878,6930,2814,83819,6293,6746,10499,5566,3510,32620,1025,508,355,187,162,2229,59970,38266,37534,13628,6778,156172,1450,208,90,31,17,1798,29939,3955,842,149,41,34915,83951,47766,26572,6245,2002,166542,17290,12139,11060,3835,1953,46276,863,645,938,601,434,3480,2131,942,574,244,157,4054,135630,65654,40070,11111,4597,257064,42,6,3,0,0,54,487,69,19,4,4,585,1029,530,262,75,32,1922,396,351,365,183,109,1409,139,146,170,128,141,724,60,33,26,9,11,134,2157,1138,847,410,291,4843,1653,851,649,341,238,3728,437371,269770,286435,127874,74206,1195658,289,88,72,50,40,540,2426,440,237,112,125,3346,25144,9077,4979,1387,645,41234,117271,70435,69537,22256,10404,289902,124170,101434,148249,81959,52564,508375,2496,1570,1582,880,872,7394,271792,183043,224663,106644
1RNSW,48441,15345,5227,272934,94969,50849,66302,38760,20015,270909,4783,1554,1108,581,456,8480,282011,120364,119980,55803,26160,604317,39,9,0,0,0,49,819,81,18,8,0,934,12507,2603,947,196,36,16287,11487,4948,2929,843,266,20477,1007,641,672,398,215,2931,558,118,51,13,27,774,26415,8394,4622,1460,550,41441,63,10,4,0,0,80,1484,179,34,5,0,1708,9878,2614,979,201,68,13737,3783,1513,825,218,91,6433,299,181,169,107,68,823,367,80,39,15,10,508,15882,4571,2048,552,235,23285,212,26,6,3,6,261,926,53,24,3,9,1016,1615,254,105,37,16,2018,852,338,260,106,46,1605,327,163,198,133,98,920,233,23,18,5,8,290,4168,864,611,290,176,6111,2089,663,512,277,170,3712,330557,134856,127779,58385,27286,678867,602,156,108,55,33,950,3792,485,244,83,88,4688,34990,7557,3420,861,286,47120,150229,59374,46411,14245,5147,275397,117570,61035,77083,43375,23041,322101,3243,1297,983,534,345,6397,310425,129904,128246,59147
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,99696,26738,10849,405198,88675,77036,119252,67020,34979,386959,5267,2495,2132,1106,1119,12122,294951,191661,227171,96268,47588,857633,97,39,38,8,13,191,2436,334,108,20,12,2902,35366,12435,5291,960,279,54338,32873,22153,18539,4564,1741,79866,5515,5523,7961,4207,1917,25126,1286,495,330,141,105,2359,77572,40981,32261,9896,4065,164784,526,75,30,3,6,640,16877,1797,315,50,12,19050,40482,13309,4937,1014,286,60030,8135,5044,3634,1076,590,18471,525,419,589,312,169,2012,1054,363,161,51,60,1688,67590,21008,9664,2502,1127,101893,38,5,0,0,0,45,365,26,9,3,0,401,672,203,79,24,6,976,302,241,179,73,43,839,80,74,107,72,49,387,46,16,15,4,12,94,1496,563,397,175,114,2744,1156,570,501,189,87,2503,442774,254782,269991,109032,52978,1129553,203,82,88,30,26,426,1641,333,181,83,50,2290,32833,9816,4701,996,318,48668,178880,104090,97607,24382,9661,414623,121172,103123,150926,76565,40674,492451,3257,1905,1851,866,666,8545,337988,219344,255353,102921
2RVIC,31661,9548,3143,182039,42950,23740,31947,20195,8996,127833,3002,795,583,323,228,4930,167838,67222,66226,30626,12554,344469,10,3,0,0,0,10,499,39,18,0,3,556,4964,981,304,68,16,6344,2978,1213,680,161,53,5090,356,231,323,165,96,1164,232,37,11,9,5,292,9036,2506,1333,412,178,13464,12,0,0,0,0,9,279,48,12,3,0,346,1994,438,126,28,6,2601,558,234,136,30,21,967,58,31,20,12,8,122,106,25,11,0,0,140,3002,777,300,72,38,4189,67,11,7,4,0,94,289,5,4,0,0,301,370,86,34,12,4,502,296,119,115,27,14,567,127,58,96,65,27,377,53,12,3,0,0,72,1204,295,257,105,53,1910,956,305,263,123,60,1711,182040,71099,68384,31337,12878,365733,220,74,52,30,11,386,1624,202,108,27,26,1982,21408,4229,1727,413,128,27905,109221,39737,30917,9028,3139,192050,59314,30951,40286,23747,10765,165070,2108,756,581,322,183,3947,193902,75948,73677,33563
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,37719,10940,4425,186005,74521,56531,76405,39434,23178,270063,2445,1165,1060,553,620,5840,180482,106800,117109,51480,28516,484380,30,16,9,4,0,53,572,51,23,10,0,658,8409,2072,800,169,43,11495,12782,8361,4898,1564,653,28268,750,636,643,368,243,2639,425,134,86,31,31,713,22967,11266,6463,2139,977,43811,127,16,3,0,0,149,4605,434,83,10,4,5129,18855,5297,2124,374,77,26740,5514,2336,1408,356,141,9753,342,188,171,89,44,834,393,122,60,14,10,597,29831,8389,3847,841,281,43185,80,5,5,3,0,91,336,15,8,0,0,356,334,76,32,10,10,460,180,97,79,33,10,400,68,47,68,31,38,250,37,11,3,0,4,59,1037,252,183,80,59,1616,738,311,233,92,69,1439,235053,127019,127830,54631,29895,574439,170,46,54,13,25,314,1219,184,135,52,49,1635,14912,3345,1452,378,149,20236,90577,44641,35944,9723,3917,184794,93882,69704,91142,44601,26384,325722,1738,981,846,423,371,4358,202496,118894,129567,55194
3RQLD,39009,11850,4718,218980,83050,51379,65940,35457,20110,255941,3730,1390,1023,513,492,7147,229209,106455,108934,48779,25844,519224,35,5,3,6,4,47,710,82,25,7,6,823,13209,3159,995,239,75,17684,13779,7059,4322,1229,396,26782,1159,773,830,416,211,3387,568,142,87,22,14,837,29458,11225,6261,1913,702,49556,89,20,8,0,0,111,2986,283,61,10,5,3346,17053,4428,1559,332,113,23486,6056,2364,1430,417,156,10420,415,214,219,109,66,1023,492,150,79,23,15,755,27086,7456,3357,894,347,39136,453,26,18,8,10,521,1266,56,22,12,9,1364,794,146,74,21,13,1050,495,172,146,42,34,884,238,102,97,79,79,593,202,22,11,3,5,253,3450,528,376,170,139,4664,1537,521,451,216,102,2832,290738,126190,119390,51968,27145,615421,673,155,105,64,41,1036,3673,419,232,86,76,4486,24591,4955,2315,654,312,32833,118820,47196,37002,11196,4897,219105,100397,59931,75864,39309,23147,298645,2825,1175,925,447,405,5777,250989,113825,116448,51749
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,34178,8183,2882,161169,26174,19306,29092,15612,7242,97435,1499,641,429,235,191,3004,118826,61598,65174,24328,10469,280394,18,14,7,0,3,40,771,77,31,7,4,888,9918,2383,915,177,48,13442,11367,5817,3968,1038,427,22616,1045,857,1150,574,322,3940,379,121,66,25,17,610,23500,9278,6132,1814,821,41541,30,9,3,0,0,45,1051,155,38,0,5,1254,6672,2572,1187,233,43,10712,1315,550,366,93,38,2360,70,36,34,22,11,171,151,51,22,3,3,239,9288,3380,1662,361,99,14777,23,0,0,0,0,28,103,9,4,0,0,116,111,26,18,5,0,159,92,46,30,7,5,185,31,20,23,20,13,105,15,0,0,0,5,15,371,96,82,38,18,608,422,181,166,52,38,862,152407,74538,73211,26587,11446,338177,58,19,20,5,3,115,744,96,64,25,15,952,11854,2759,1183,221,79,16094,82493,40791,34895,8610,3222,170006,33016,23471,33934,17518,8641,116580,907,424,338,171,93,1926,129068,67567,70428,26548
4RSAU,7922,2539,834,50606,11025,5663,7270,4575,2126,30655,760,178,122,57,66,1181,48903,16522,15834,7326,3084,91660,3,3,0,3,0,12,85,12,5,0,0,97,1013,140,63,9,5,1229,1639,652,428,159,72,2948,116,78,110,75,57,443,64,23,13,11,8,112,2921,904,625,256,140,4846,0,0,0,0,0,5,41,3,0,0,0,47,411,79,35,6,4,530,174,56,29,6,0,262,15,12,6,7,8,44,20,0,0,0,0,29,669,147,73,20,5,917,43,4,5,4,0,52,146,3,3,0,0,157,121,14,7,6,0,148,123,37,26,8,3,194,59,12,15,11,4,111,18,0,0,0,0,22,512,81,50,30,6,687,295,89,93,48,9,537,53297,17738,16675,7678,3247,98636,96,15,16,7,10,135,652,56,51,13,9,775,6604,984,463,120,63,8232,30953,9395,7256,2312,817,50735,13603,6321,7843,4884,2480,35138,536,159,99,54,40,893,52439,16925,15734,7389
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,25691,6656,2398,136055,80610,56932,76192,35109,16643,265490,2190,927,718,376,347,4561,163019,93273,104021,42508,19597,422414,38,8,10,0,0,57,923,81,33,6,0,1048,10252,2205,816,169,45,13485,19314,9242,5687,1491,573,36299,2528,1963,2388,986,439,8303,512,184,83,32,34,846,33565,13680,9008,2691,1098,60045,64,10,0,0,0,69,2783,290,67,7,0,3154,8072,2123,811,141,35,11177,2515,929,586,137,56,4210,145,55,88,44,19,353,227,61,22,9,8,330,13805,3469,1587,332,117,19303,42,4,0,0,0,45,196,9,8,0,0,208,229,38,10,6,6,283,95,42,32,18,3,197,55,53,50,27,21,212,22,4,8,6,0,28,635,143,101,51,34,962,449,196,170,62,34,914,211467,110761,114898,45640,20878,503641,95,48,28,16,10,197,868,100,72,32,16,1092,10770,2496,1117,213,99,14697,77601,36848,29230,7163,2340,153180,95640,65059,85311,38769,18397,303174,1475,726,618,315,253,3392,186453,105275,116379,46508
5RWAU,8310,2795,1452,47916,21046,11218,14501,7894,3978,58638,872,282,189,114,100,1568,53711,22746,23742,11046,5692,116939,8,0,4,4,0,13,188,26,7,0,0,227,1407,308,149,37,19,1920,1411,612,342,122,58,2549,226,125,129,71,45,602,83,27,6,9,9,132,3321,1103,638,252,124,5439,6,0,0,0,0,4,144,10,8,0,0,161,506,118,48,15,4,693,230,96,56,17,10,404,31,7,13,0,10,61,26,4,4,3,0,40,945,242,128,38,24,1371,158,10,17,3,0,181,500,22,7,5,3,542,365,58,34,7,3,460,168,44,50,12,7,280,81,35,46,29,11,191,58,11,9,0,0,74,1314,177,149,57,28,1734,425,121,112,69,32,762,59717,24392,24770,11466,5898,126241,115,36,24,5,0,181,884,97,44,21,21,1071,5507,1094,545,171,113,7430,26157,9782,7915,2596,1308,47766,23893,11783,14950,8171,4120,62920,670,232,202,93,69,1265,57227,23024,23694,11055
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,5841,1625,569,29455,5074,3384,4518,2442,1152,16570,326,134,95,44,34,627,24237,11568,10862,4189,1777,52634,3,3,0,0,0,9,107,11,0,0,0,124,847,221,62,13,0,1149,271,133,90,23,17,533,41,25,32,23,9,140,13,7,4,0,0,26,1287,405,198,62,30,1980,10,0,0,0,0,15,265,24,12,0,0,300,1146,276,101,12,7,1532,254,134,91,28,11,514,22,26,32,20,14,104,23,8,5,0,0,37,1721,461,231,55,28,2499,10,0,0,0,0,8,30,4,0,0,0,42,20,8,11,0,0,40,30,12,5,6,4,60,6,5,5,4,0,24,0,0,0,0,0,0,103,39,20,9,5,179,55,23,20,9,7,116,27404,12501,11327,4325,1844,57410,36,4,3,6,0,51,362,57,21,12,13,466,4552,1270,509,104,32,6474,15375,7697,6218,1842,719,31858,6003,3874,5301,2808,1497,19489,218,88,53,37,27,431,26540,13005,12111,4819
