GCCSA_CODE_2021,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85over,C16_M_LE_NS_Tot,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_Post_Deg_15_19_yrs,C21_M_Post_Deg_20_24_yrs,C21_M_Post_Deg_25_34_yrs,C21_M_Post_Deg_35_44_yrs,C21_M_Post_Deg_45_54_yrs,C21_M_Post_Deg_55_64_yrs,C21_M_Post_Deg_65_74_yrs,C21_M_Post_Deg_75_84_yrs,C21_M_Post_Deg_85over,C21_M_Post_Deg_Tot,C21_M_GrDip_GrCe_15_19,C21_M_GrDip_GrCe_20_24,C21_M_GrDip_GrCe_25_34,C21_M_GrDip_GrCe_35_44,C21_M_GrDip_GrCe_45_54,C21_M_GrDip_GrCe_55_64,C21_M_GrDip_GrCe_65_74,C21_M_GrDip_GrCe_75_84,C21_M_GrDip_GrCe_85over,C21_M_GrDip_GrCe_Tot,C21_M_BD_15_19,C21_M_BD_20_24,C21_M_BD_25_34,C21_M_BD_35_44,C21_M_BD_45_54,C21_M_BD_55_64,C21_M_BD_65_74,C21_M_BD_75_84,C21_M_BD_85over,C21_M_BD_Tot,C21_M_AdD_DL_15_19,C21_M_AdD_DL_20_24,C21_M_AdD_DL_25_34,C21_M_AdD_DL_35_44,C21_M_AdD_DL_45_54,C21_M_AdD_DL_55_64,C21_M_AdD_DL_65_74,C21_M_AdD_DL_75_84,C21_M_AdD_DL_85over,C21_M_AdD_DL_Tot,C21_M_CL_C_III_IV_15_19,C21_M_CL_C_III_IV_20_24,C21_M_CL_C_III_IV_25_34,C21_M_CL_C_III_IV_35_44,C21_M_CL_C_III_IV_45_54,C21_M_CL_C_III_IV_55_64,C21_M_CL_C_III_IV_65_74,C21_M_CL_C_III_IV_75_84,C21_M_CL_C_III_IV_85over,C21_M_CL_C_III_IV_Tot,C21_M_CL_C_I_II_15_19,C21_M_CL_C_I_II_20_24,C21_M_CL_C_I_II_25_34,C21_M_CL_C_I_II_35_44,C21_M_CL_C_I_II_45_54,C21_M_CL_C_I_II_55_64,C21_M_CL_C_I_II_65_74,C21_M_CL_C_I_II_75_84,C21_M_CL_C_I_II_85over,C21_M_CL_C_I_II_Tot,C21_M_CL_CL_nfd_15_19,C21_M_CL_CL_nfd_20_24,C21_M_CL_CL_nfd_25_34,C21_M_CL_CL_nfd_35_44,C21_M_CL_CL_nfd_45_54,C21_M_CL_CL_nfd_55_64,C21_M_CL_CL_nfd_65_74,C21_M_CL_CL_nfd_75_84,C21_M_CL_CL_nfd_85over,C21_M_CL_CL_nfd_Tot,C21_M_CL_Tot_15_19,C21_M_CL_Tot_20_24,C21_M_CL_Tot_25_34,C21_M_CL_Tot_35_44,C21_M_CL_Tot_45_54,C21_M_CL_Tot_55_64,C21_M_CL_Tot_65_74,C21_M_CL_Tot_75_84,C21_M_CL_Tot_85over,C21_M_CL_Tot_Tot,C21_M_LE_ID_15_19,C21_M_LE_ID_20_24,C21_M_LE_ID_25_34,C21_M_LE_ID_35_44,C21_M_LE_ID_45_54,C21_M_LE_ID_55_64,C21_M_LE_ID_65_74,C21_M_LE_ID_75_84,C21_M_LE_ID_85over,C21_M_LE_ID_Tot,C21_M_LE_NS_15_19,C21_M_LE_NS_20_24,C21_M_LE_NS_25_34,C21_M_LE_NS_35_44,C21_M_LE_NS_45_54,C21_M_LE_NS_55_64,C21_M_LE_NS_65_74,C21_M_LE_NS_75_84,C21_M_LE_NS_85over,C21_M_LE_NS_Tot,C21_M_Tot_15_19_yrs,C21_M_Tot_20_24_yrs,C21_M_Tot_25_34_yrs,C21_M_Tot_35_44_yrs,C21_M_Tot_45_54_yrs,C21_M_Tot_55_64_yrs,C21_M_Tot_65_74_yrs,C21_M_Tot_75_84_yrs,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85over,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85over,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85over,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85over,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85over,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85over,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85over,C11_F_CL_CL_nfd_Tot
1GSYD,10399,13625,33048,26254,23022,19690,16759,12174,6900,161872,17054,79800,288241,262270,218452,169911,111437,53565,20045,1220775,0,1893,48263,61101,37669,26205,16241,6452,1354,199182,28,420,5695,8046,7309,5796,4463,1452,270,33474,133,29718,121167,103417,69810,50644,34246,14343,3873,427347,721,12357,34181,40426,36172,27585,17073,7709,2299,178521,4047,22688,63823,59790,61292,56238,38047,21959,6636,334527,938,1667,2677,2447,2120,1903,1319,606,124,13792,452,1557,3714,5110,6041,6468,5569,2907,794,32608,5437,25909,70214,67350,69455,64606,44931,25467,7556,380926,205,910,3028,3239,2643,2295,2003,1363,483,16170,7726,12171,31282,26772,20179,17255,14632,11924,7411,149350,14251,83368,313835,310349,243242,194386,133595,68709,23251,1384978,25,2498,32131,25671,17138,10394,3321,827,181,92191,22,693,7640,8937,8132,6228,1981,551,116,34303,227,28940,109013,81403,52988,31565,12104,4940,1498,322670,1385,14590,38482,44647,36484,25706,12715,5652,1840,181496,3937,16159,33017,29261,24461,13661,5348,2672,1110,129635,1518,2726,5615,5618,4965,3064,1018,371,144,25042,623,2137,5254,8640,9239,7492,3740,1642,779,39549
1RNSW,8592,7430,14851,14484,16910,18175,18361,13417,6380,118595,13532,35820,100824,105919,114238,115987,90187,44625,14917,636044,0,293,6824,8417,7402,6944,6410,2659,538,39498,4,58,1435,2429,2788,3052,3301,909,118,14093,22,4801,23609,22425,19760,16612,16310,6286,1420,111242,180,2093,9864,14332,16644,15961,12864,5554,1348,78839,3322,18528,54015,50589,52614,57912,45734,22967,5965,311647,980,1648,2440,1771,1503,1499,1185,463,94,11590,291,704,1676,2181,2735,3561,4222,2259,538,18170,4588,20879,58138,54546,56854,62973,51146,25682,6594,341408,127,246,663,748,815,941,1158,773,270,5734,6859,7106,15811,14774,14800,15286,15209,11650,5758,107266,11774,35484,116347,117675,119060,121769,106394,53520,16050,698080,4,229,3441,4781,4596,3907,1369,281,48,18651,4,240,2476,3874,4591,4247,1288,302,54,17079,38,6559,27434,26796,21266,16840,7650,2828,792,110199,430,4298,12655,18536,20134,16419,8859,3562,918,85820,3265,12953,25899,25672,24957,13773,4394,1959,631,113499,1678,2764,4342,4220,4129,2632,949,253,87,21043,524,1450,2895,4889,6009,5369,2854,1111,372,25471
19499,81,173,509,511,476,326,173,50,8,2316,108,439,1170,912,812,697,454,92,19,4704,0,6,38,38,23,22,21,6,0,146,0,0,4,8,6,5,8,0,0,33,0,23,151,73,72,52,47,12,0,425,0,12,61,52,43,56,40,12,0,274,10,41,176,143,132,186,130,32,6,858,3,9,21,8,3,6,4,0,0,55,0,5,13,14,9,13,18,4,0,74,13,56,203,167,145,204,153,35,6,985,0,0,0,4,10,3,8,0,0,30,95,140,431,500,464,326,151,46,5,2149,109,235,894,838,763,667,419,99,17,4042,0,9,87,36,20,29,0,0,0,183,0,4,22,3,23,10,0,0,0,66,0,100,315,115,61,68,25,6,0,681,0,40,83,72,52,66,18,3,5,349,15,57,103,55,70,45,14,4,0,362,14,19,21,16,10,11,0,0,0,95,7,13,20,25,25,21,6,0,0,125
19799,0,3,0,4,0,5,8,5,0,28,0,7,10,13,9,9,32,10,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,9692,12387,28534,22833,20671,17917,16002,12024,6196,146253,17518,81058,276709,236788,197125,150305,97980,48157,17468,1123106,4,3241,50513,51908,29418,19583,12356,5235,954,173213,17,547,6705,9551,8986,7550,5431,1582,278,40653,80,27904,109489,97637,64021,42494,28240,11397,3068,384334,537,12160,37644,41458,32881,24767,18022,8757,2392,178603,4176,22611,68784,60622,60909,53968,34643,19356,5894,330957,1282,2064,3057,2379,1844,1427,824,305,71,13256,375,1240,3411,4456,4718,4474,3413,1735,505,24328,5829,25916,75249,67457,67471,59869,38878,21400,6466,368539,143,759,2450,2710,1792,1575,1439,978,371,12218,6754,10371,27376,22052,17591,14711,12621,10476,5822,127773,13372,80894,309432,292772,222155,170548,116994,59822,19353,1285337,13,1798,25715,19701,12852,7967,2566,669,161,71440,16,981,11491,13824,11138,7706,2405,568,109,48237,166,28621,102036,73556,45137,27686,11225,4416,1296,294139,898,14020,36389,38240,30786,21660,10548,4636,1505,158682,3999,15279,30438,27338,23626,13596,5053,2483,882,122689,1659,2341,4591,4014,3406,2199,675,228,77,19180,659,2093,4642,6672,6490,4570,2320,1061,479,28989
2RVIC,4876,3945,8000,8035,9634,10367,10541,7346,3396,66138,7833,20641,55722,56793,60711,60615,46464,21626,7280,337677,0,337,4243,4082,3570,3252,2936,1174,176,19767,0,59,1063,1819,2014,2240,2307,612,66,10175,3,2740,13442,13127,10714,8798,8496,3128,612,61061,79,1575,6448,8286,8889,8843,8696,3709,733,47254,1932,9846,31128,28420,29424,30630,22806,10552,2710,167466,586,795,1270,992,703,646,518,180,32,5708,133,300,867,1072,1271,1560,1706,829,202,7944,2653,10940,33265,30480,31401,32832,25035,11558,2950,181124,39,110,346,386,365,396,506,372,135,2659,3624,3240,7194,6930,7691,8532,9112,6959,3280,56560,6406,19007,65995,65120,64649,64885,57090,27512,7944,378598,4,117,1543,2231,2194,1764,574,111,19,8543,0,205,2317,3234,3279,2753,915,178,39,12924,21,3881,15672,14346,11487,9507,4206,1567,366,61048,165,2481,7493,9922,10152,8833,4726,1894,582,46256,1814,7043,13717,13149,12787,7867,2475,938,259,60055,923,1345,2275,1758,1657,1115,345,82,32,9539,249,815,1627,2066,2098,1721,848,335,134,9905
29499,46,125,317,349,252,152,74,19,6,1333,56,240,770,620,441,316,166,41,6,2657,0,0,49,30,15,11,7,0,0,114,0,0,9,8,8,0,3,0,0,35,0,20,113,76,60,37,26,0,0,337,0,5,45,30,26,29,22,7,0,161,9,48,131,131,111,95,62,19,0,614,3,19,9,9,4,3,0,0,0,54,0,4,5,8,14,4,8,0,0,50,13,70,148,150,141,99,72,17,0,715,0,4,4,3,0,4,0,0,0,17,93,126,390,530,471,293,135,31,11,2074,109,225,753,829,723,477,267,55,9,3447,0,9,78,24,13,8,3,0,0,137,0,0,24,23,0,4,4,0,0,60,0,73,262,93,42,37,7,0,4,520,4,32,76,45,25,30,5,0,0,224,11,45,80,34,46,32,6,0,0,255,9,9,13,10,7,4,0,0,0,58,3,5,4,18,6,8,6,0,0,58
29799,0,0,0,0,0,4,0,0,0,5,0,0,0,4,9,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,9,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,5454,6938,14689,12499,11633,9802,8494,5867,3064,78437,13441,41890,123282,116035,102239,79231,53143,23814,7819,560899,0,681,12462,18310,13622,9428,6030,2363,456,63361,18,258,3267,4204,4413,3371,2116,664,111,18419,48,11809,42195,38934,29383,18183,12547,5156,1149,159408,1228,5144,14702,17960,17747,14108,9213,3938,839,84875,5855,16506,45331,41351,38088,33583,24131,12216,3132,220186,2724,2487,2371,1594,1061,748,476,202,34,11707,572,961,1981,2627,2564,2198,2090,1150,258,14388,9150,19949,49679,45573,41713,36531,26697,13568,3419,246277,138,321,968,1130,980,799,846,546,187,5907,4083,5768,12999,11048,9729,7783,6720,5236,2729,66109,14666,43936,136281,137161,117582,90210,64168,31471,8885,644352,3,641,9107,8271,6344,3698,1082,259,51,29460,11,468,4079,5442,4347,2935,885,201,45,18409,92,13217,44507,33913,21087,13035,5226,1941,567,133591,915,6105,16047,18531,15577,10652,4987,1932,579,75314,3610,9897,19506,16737,14542,8537,2417,956,323,76524,2104,2245,3210,2355,1812,1202,343,99,25,13390,500,1323,2874,3599,3407,2530,1037,404,168,15841
3RQLD,8070,8220,17209,16421,17712,16632,15071,9854,4252,113443,15745,37030,103734,107366,107833,96092,70316,32451,9587,580156,0,336,5720,6958,6246,5495,4297,1829,285,31161,13,130,1687,2165,2737,2520,2027,617,104,12009,41,5286,21784,21491,18208,13729,11558,4640,975,97720,930,2823,10127,13909,16664,15337,11270,4655,981,76694,5512,17122,51694,51756,51836,50083,37670,17520,3912,287099,2904,2575,2567,1559,1348,1030,761,303,38,13086,611,853,1792,2392,2795,2768,2791,1410,352,15763,9023,20543,56049,55706,55979,53880,41231,19232,4303,315950,130,244,695,751,918,905,961,783,227,5615,6567,7826,17854,16280,16910,15688,13110,9504,4245,107991,16709,37190,113923,117266,117659,107553,84459,41270,11122,647149,0,265,3420,4075,3607,2500,801,156,30,14863,9,296,2253,3594,3457,2466,842,171,36,13124,72,7561,28759,25257,18326,12244,5660,1864,505,100250,630,4213,14036,18836,17619,12241,5995,2113,523,76213,4468,11436,23162,21266,19134,11429,3634,1125,318,95967,2616,2710,3852,2953,2416,1507,489,109,30,16671,662,1418,2978,4000,3780,2863,1388,407,123,17628
39499,50,117,353,334,296,268,192,52,9,1671,78,314,925,668,647,770,670,136,12,4222,0,0,47,31,26,27,29,5,0,171,0,0,12,7,9,19,15,0,0,66,0,27,178,75,46,83,65,13,0,494,5,18,54,45,57,92,97,18,0,384,15,56,231,249,202,314,329,49,6,1449,7,14,11,9,3,11,11,0,0,71,0,5,10,18,9,27,20,9,0,96,22,71,255,275,214,354,369,59,4,1616,0,0,4,4,6,3,5,4,0,28,73,157,423,472,410,330,230,59,5,2157,100,270,967,917,770,911,815,158,11,4920,0,5,49,25,17,12,5,0,0,117,0,5,17,13,16,19,5,0,0,69,0,107,246,87,64,92,38,0,4,633,0,31,71,64,85,101,36,4,0,390,18,61,81,65,79,96,24,5,0,416,9,16,8,0,16,10,6,0,0,72,8,11,13,13,14,31,11,5,0,111
39799,0,0,0,0,0,0,7,0,0,12,0,6,4,5,6,4,8,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,18,0,0,0,6,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,4,0,0,5,8,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,9,30,43,28,3,0,0,0,114,0,4,35,55,43,3,3,0,0,141,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,13,0,0,4,0,3,0,0,0,0,9,3,7,0,0,3,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4GADE,2619,2803,5969,5476,5758,5433,4797,3754,2205,38806,5439,19443,62693,59217,56228,48839,35454,17319,6644,311269,0,587,8265,9353,6246,4608,3539,1570,369,34537,4,135,1560,2044,2085,1976,1627,531,82,10043,15,6219,22615,19959,14144,10208,8597,3548,852,86156,96,2143,7000,8912,9121,8373,6601,2873,685,45804,2287,7467,23047,20884,21178,20089,15098,8125,2593,120767,646,988,1742,1091,732,576,395,147,37,6347,138,356,855,1211,1432,1535,1580,827,259,8187,3073,8804,25643,23188,23338,22201,17066,9094,2887,135294,77,206,566,597,518,451,469,396,146,3436,1694,2335,5269,4841,4567,4231,3800,3029,1806,31560,4968,20438,70909,68893,60018,52058,41692,21036,6825,346836,3,339,4631,3884,3156,2267,768,160,34,15236,0,181,1920,2713,2826,2397,732,165,34,10967,35,6739,23055,17306,12490,8930,3630,1476,468,74129,163,2483,7613,10019,10133,7851,3505,1430,580,43776,1432,5814,11971,10118,9157,5509,1932,1002,341,47286,863,1413,2233,1548,1221,704,251,93,29,8351,262,772,1823,2389,2114,1735,871,334,146,10437
4RSAU,1276,1065,2387,2422,2871,2941,2889,1909,874,18646,2091,4676,12971,13372,14898,15345,12317,5636,1850,83157,0,35,394,430,367,395,418,201,24,2261,0,0,102,161,211,330,337,111,12,1274,4,332,1743,1785,1670,1407,1630,638,117,9325,4,169,780,1243,1699,1923,2074,786,139,8818,605,2414,7470,7039,7413,8113,6540,2999,711,43293,209,262,569,379,291,252,165,52,9,2195,39,87,235,324,478,521,570,270,55,2589,861,2763,8273,7746,8186,8884,7279,3317,768,48077,12,39,99,153,118,153,167,120,36,909,1008,797,1854,1848,2259,2588,2520,1857,727,15459,1891,4144,13245,13372,14507,15688,14426,7025,1828,86126,0,15,270,302,253,262,98,18,4,1221,0,16,265,448,504,510,173,23,10,1958,8,757,3324,2721,2165,1906,970,338,113,12300,36,328,1274,2245,2709,2291,1114,353,105,10449,438,1596,3597,3492,3450,2132,674,232,59,15668,323,479,934,671,484,238,91,19,8,3241,58,175,556,751,619,500,228,68,27,2970
49499,19,36,72,85,100,67,35,4,4,427,24,85,236,170,186,152,114,21,11,999,0,0,13,11,3,5,3,0,0,36,0,0,0,0,0,5,0,0,0,6,0,7,37,18,18,22,11,4,0,108,0,0,6,11,7,18,10,0,0,65,6,17,56,46,58,63,54,7,0,308,0,7,17,0,0,0,0,0,0,33,0,0,4,0,8,4,7,0,0,23,7,25,79,52,63,70,59,7,0,363,0,0,0,3,5,3,0,0,0,9,21,25,96,95,106,103,53,5,0,500,26,53,225,187,202,224,138,21,0,1081,0,4,19,8,7,0,0,0,0,30,0,0,8,0,0,5,0,0,0,16,0,15,56,18,16,12,3,0,0,127,0,8,25,18,14,15,8,0,0,83,6,14,26,9,17,11,3,0,0,90,0,10,6,3,5,5,0,0,0,24,0,3,6,11,9,4,0,0,0,44
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,4351,5716,15003,12071,10845,8814,7363,5558,2899,72615,9470,34286,114013,102081,91570,71404,47589,22847,7357,500627,0,826,10647,14534,10360,7358,4866,2019,413,51024,8,178,2457,3426,3420,2796,1741,592,88,14697,33,8851,32763,33737,24700,16912,12034,4667,1073,134759,369,3860,12426,15947,14624,12009,9442,4350,1003,74022,3839,12289,37860,35658,32821,31166,22046,10705,2859,189247,2570,2767,2172,1207,835,613,410,153,25,10750,294,605,1358,1742,1982,1860,1695,907,241,10680,6700,15663,41389,38616,35634,33639,24156,11770,3122,210677,148,364,990,1297,1155,931,930,681,243,6733,2801,4384,11807,11336,9829,7826,5827,4679,2781,61262,10062,34126,112475,118877,99720,81470,58995,28746,8714,553185,0,442,6372,5847,4320,2728,837,210,30,20781,12,427,3718,4367,3850,2346,731,194,35,15679,61,10573,35464,27237,18188,11589,4980,2040,544,110679,761,5097,13200,15623,15327,10415,5001,2044,623,68083,3074,8656,15467,13618,11480,6837,2545,1346,519,63542,992,1583,2365,1905,1638,1079,420,149,44,10177,371,1121,2443,3363,3360,2617,1353,525,186,15341
