GCCSA_CODE_2021,C16_CF_NCu15DS_MR_1000_1399,C16_CF_NCu15DS_MR_1400_1799,C16_CF_NCu15DS_MR_1800_2399,C16_CF_NCu15DS_MR_2400_2999,C16_CF_NCu15DS_MR_3000_3999,C16_CF_NCu15DS_MR_4000over,C16_CF_NCu15DS_MR_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_MR_0_299,C16_CF_NDCO_MR_300_449,C16_CF_NDCO_MR_450_599,C16_CF_NDCO_MR_600_799,C16_CF_NDCO_MR_800_999,C16_CF_NDCO_MR_1000_1399,C16_CF_NDCO_MR_1400_1799,C16_CF_NDCO_MR_1800_2399,C16_CF_NDCO_MR_2400_2999,C16_CF_NDCO_MR_3000_3999,C16_CF_NDCO_MR_4000over,C16_CF_NDCO_MR_NS,C16_CF_NDCO_Tot,C16_CF_Tot_MR_0_299,C16_CF_Tot_MR_300_449,C16_CF_Tot_MR_450_599,C16_CF_Tot_MR_600_799,C16_CF_Tot_MR_800_999,C16_CF_Tot_MR_1000_1399,C16_CF_Tot_MR_1400_1799,C16_CF_Tot_MR_1800_2399,C16_CF_Tot_MR_2400_2999,C16_CF_Tot_MR_3000_3999,C16_CF_Tot_MR_4000over,C16_CF_Tot_MR_NS,C16_CF_Tot_Tot,C16_1PF_Cu15DS_MR_0_299,C16_1PF_Cu15DS_MR_300_449,C16_1PF_Cu15DS_MR_450_599,C16_1PF_Cu15DS_MR_600_799,C16_1PF_Cu15DS_MR_800_999,C16_1PF_Cu15DS_MR_1000_1399,C16_1PF_Cu15DS_MR_1400_1799,C16_1PF_Cu15DS_MR_1800_2399,C16_1PF_Cu15DS_MR_2400_2999,C16_1PF_Cu15DS_MR_3000_3999,C16_1PF_Cu15DS_MR_4000over,C16_1PF_Cu15DS_MR_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_MR_0_299,C16_1PF_CU15_NDS_MR_300_449,C16_1PF_CU15_NDS_MR_450_599,C16_1PF_CU15_NDS_MR_600_799,C16_1PF_CU15_NDS_MR_800_999,C16_1PF_CU15_NDS_MR_1000_1399,C16_1PF_CU15_NDS_MR_1400_1799,C16_1PF_CU15_NDS_MR_1800_2399,C16_1PF_CU15_NDS_MR_2400_2999,C16_1PF_CU15_NDS_MR_3000_3999,C16_1PF_CU15_NDS_MR_4000over,C16_1PF_CU15_NDS_MR_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_MR_0_299,C16_1PF_NCu15DS_MR_300_449,C16_1PF_NCu15DS_MR_450_599,C16_1PF_NCu15DS_MR_600_799,C16_1PF_NCu15DS_MR_800_999,C16_1PF_NCu15DS_MR_1000_1399,C16_1PF_NCu15DS_MR_1400_1799,C16_1PF_NCu15DS_MR_1800_2399,C16_1PF_NCu15DS_MR_2400_2999,C16_1PF_NCu15DS_MR_3000_3999,C16_1PF_NCu15DS_MR_4000over,C16_1PF_NCu15DS_MR_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_MR_0_299,C16_1PF_NDCO_MR_300_449,C16_1PF_NDCO_MR_450_599,C16_1PF_NDCO_MR_600_799,C16_1PF_NDCO_MR_800_999,C16_1PF_NDCO_MR_1000_1399,C16_1PF_NDCO_MR_1400_1799,C16_1PF_NDCO_MR_1800_2399,C16_1PF_NDCO_MR_2400_2999,C16_1PF_NDCO_MR_3000_3999,C16_1PF_NDCO_MR_4000over,C16_1PF_NDCO_MR_NS,C16_1PF_NDCO_Tot,C16_1PF_Tot_MR_0_299,C16_1PF_Tot_MR_300_449,C16_1PF_Tot_MR_450_599,C16_1PF_Tot_MR_600_799,C16_1PF_Tot_MR_800_999,C16_1PF_Tot_MR_1000_1399,C16_1PF_Tot_MR_1400_1799,C16_1PF_Tot_MR_1800_2399,C16_1PF_Tot_MR_2400_2999,C16_1PF_Tot_MR_3000_3999,C16_1PF_Tot_MR_4000over,C16_1PF_Tot_MR_NS,C16_1PF_Tot_Tot,C16_Tot_MR_0_299,C16_Tot_MR_300_449,C16_Tot_MR_450_599,C16_Tot_MR_600_799,C16_Tot_MR_800_999,C16_Tot_MR_1000_1399,C16_Tot_MR_1400_1799,C16_Tot_MR_1800_2399,C16_Tot_MR_2400_2999,C16_Tot_MR_3000_3999,C16_Tot_MR_4000over,C16_Tot_MR_NS,C16_Tot_Tot,C21_CFNC_MR_0_299,C21_CFNC_MR_300_449,C21_CFNC_MR_450_599,C21_CFNC_MR_600_799,C21_CFNC_MR_800_999,C21_CFNC_MR_1000_1399,C21_CFNC_MR_1400_1799,C21_CFNC_MR_1800_2399,C21_CFNC_MR_2400_2999,C21_CFNC_MR_3000_3999,C21_CFNC_MR_4000over,C21_CFNC_MR_NS,C21_CFNC_Tot,C21_CF_Cu15DS_MR_0_299,C21_CF_Cu15DS_MR_300_449,C21_CF_Cu15DS_MR_450_599,C21_CF_Cu15DS_MR_600_799,C21_CF_Cu15DS_MR_800_999,C21_CF_Cu15DS_MR_1000_1399,C21_CF_Cu15DS_MR_1400_1799,C21_CF_Cu15DS_MR_1800_2399,C21_CF_Cu15DS_MR_2400_2999,C21_CF_Cu15DS_MR_3000_3999,C21_CF_Cu15DS_MR_4000over,C21_CF_Cu15DS_MR_NS,C21_CF_Cu15DS_Tot,C21_CF_Cu15NDS_MR_0_299,C21_CF_Cu15NDS_MR_300_449,C21_CF_Cu15NDS_MR_450_599,C21_CF_Cu15NDS_MR_600_799,C21_CF_Cu15NDS_MR_800_999,C21_CF_Cu15NDS_MR_1000_1399,C21_CF_Cu15NDS_MR_1400_1799,C21_CF_Cu15NDS_MR_1800_2399,C21_CF_Cu15NDS_MR_2400_2999,C21_CF_Cu15NDS_MR_3000_3999,C21_CF_Cu15NDS_MR_4000over,C21_CF_Cu15NDS_MR_NS,C21_CF_Cu15NDS_Tot,C21_CF_NCu15DS_MR_0_299,C21_CF_NCu15DS_MR_300_449,C21_CF_NCu15DS_MR_450_599,C21_CF_NCu15DS_MR_600_799,C21_CF_NCu15DS_MR_800_999,C21_CF_NCu15DS_MR_1000_1399,C21_CF_NCu15DS_MR_1400_1799,C21_CF_NCu15DS_MR_1800_2399,C21_CF_NCu15DS_MR_2400_2999,C21_CF_NCu15DS_MR_3000_3999,C21_CF_NCu15DS_MR_4000over,C21_CF_NCu15DS_MR_NS,C21_CF_NCu15DS_Tot,C21_CF_NDCO_MR_0_299,C21_CF_NDCO_MR_300_449,C21_CF_NDCO_MR_450_599,C21_CF_NDCO_MR_600_799,C21_CF_NDCO_MR_800_999,C21_CF_NDCO_MR_1000_1399,C21_CF_NDCO_MR_1400_1799,C21_CF_NDCO_MR_1800_2399,C21_CF_NDCO_MR_2400_2999,C21_CF_NDCO_MR_3000_3999,C21_CF_NDCO_MR_4000over,C21_CF_NDCO_MR_NS,C21_CF_NDCO_Tot,C21_CF_Tot_MR_0_299,C21_CF_Tot_MR_300_449,C21_CF_Tot_MR_450_599,C21_CF_Tot_MR_600_799,C21_CF_Tot_MR_800_999,C21_CF_Tot_MR_1000_1399,C21_CF_Tot_MR_1400_1799,C21_CF_Tot_MR_1800_2399,C21_CF_Tot_MR_2400_2999,C21_CF_Tot_MR_3000_3999,C21_CF_Tot_MR_4000over,C21_CF_Tot_MR_NS,C21_CF_Tot_Tot,C21_1PF_Cu15DS_MR_0_299,C21_1PF_Cu15DS_MR_300_449,C21_1PF_Cu15DS_MR_450_599,C21_1PF_Cu15DS_MR_600_799,C21_1PF_Cu15DS_MR_800_999,C21_1PF_Cu15DS_MR_1000_1399,C21_1PF_Cu15DS_MR_1400_1799,C21_1PF_Cu15DS_MR_1800_2399,C21_1PF_Cu15DS_MR_2400_2999,C21_1PF_Cu15DS_MR_3000_3999
1GSYD,5062,5353,9237,5650,6863,6703,2507,48606,2853,1002,891,1387,1817,5216,5379,8312,4715,5292,4329,2474,43664,12645,3735,3263,5189,7689,26016,34765,67171,45590,54282,50855,14178,325373,243,70,70,137,211,644,719,965,492,440,376,209,4579,874,270,250,450,658,2293,2791,4241,2205,2155,1673,878,18747,705,228,225,375,578,1503,1616,2115,969,931,855,524,10621,1274,542,434,730,1094,2743,2743,3550,1587,1510,1020,1082,18314,3097,1105,988,1696,2535,7181,7872,10876,5253,5037,3926,2693,52269,22536,6770,5914,9416,13693,43257,54758,100165,66021,76569,68987,21429,489515,7568,1862,1567,2478,3277,9205,11239,23797,19526,21206,21520,8208,131433,1583,337,296,489,812,2767,3750,7860,6178,7879,10125,2993,45054,5093,873,821,1421,2288,8681,14385,37389,35195,43063,50372,12513,212096,2825,665,630,946,1314,4228,4887,9121,6595,8606,10826,3786,54427,3273,919,765,1202,1679,4690,5043,8363,5327,6352,6350,3993,47960,12771,2794,2507,4059,6091,20369,28061,62732,53294,65902,77677,23285,359541,198,49,63,95,163,529,713,1034,639,651
1RNSW,3144,3334,3904,1816,1503,834,801,19099,1183,726,612,1180,1696,3949,3616,3823,1537,1248,721,1186,21483,4671,2370,2310,4860,7909,23489,28813,36333,16440,12176,6323,5864,151548,91,76,82,190,286,794,651,527,171,105,51,109,3125,455,341,336,795,1127,2887,2684,2228,643,473,219,621,12803,208,171,179,370,522,1211,1019,817,260,177,91,209,5233,672,472,435,778,905,2117,1561,1142,396,289,165,565,9500,1432,1064,1033,2135,2843,7009,5915,4722,1468,1032,523,1503,30664,11548,6099,5579,11005,15941,43135,47281,54960,23864,17725,9517,10914,257553,5604,2458,2140,3840,5035,13018,13682,16916,8146,6168,4187,5010,86228,617,249,243,520,812,2792,3476,4850,2612,2187,1454,1052,20866,2049,767,942,2074,3531,13006,17662,26239,13996,10410,5945,4456,101073,792,346,275,585,901,2783,3160,4240,2119,1932,1437,1037,19605,1316,582,561,1021,1523,3860,3838,4428,2030,1710,1186,1559,23615,4768,1949,2014,4197,6765,22444,28141,39749,20764,16241,10019,8114,165163,91,50,79,166,261,726,724,589,247,166
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,6590,6823,9524,4364,4662,3891,2571,47441,2768,1176,1089,1755,2312,6052,5796,7061,3034,2833,2018,2450,38358,12963,4680,4446,7356,10968,37621,51578,77001,36532,33987,26709,14215,318056,293,133,142,228,347,1096,1076,934,354,320,253,260,5435,940,387,387,736,1168,3723,4052,4038,1497,1197,997,949,20082,771,365,376,581,890,2386,2178,1973,717,631,618,624,12117,1413,777,675,1123,1472,3573,3084,2786,951,762,489,1160,18267,3407,1669,1581,2669,3873,10783,10397,9737,3528,2913,2360,2993,55897,23332,8898,8157,13284,19380,62429,80364,114473,54080,48644,37056,22247,492337,7816,2403,1945,3156,4106,13165,18566,33848,18252,15743,12669,8751,140421,1672,473,407,766,1131,4173,5951,9956,5319,5464,5768,2949,44046,5479,1236,1268,2138,3572,15983,30356,61018,33642,31192,28209,12788,226873,3089,981,784,1321,1857,5629,6566,10492,5669,6080,6658,3740,52857,3188,1127,952,1511,2000,5490,5854,7841,3732,3776,3404,3846,42724,13428,3811,3413,5734,8562,31280,48731,89307,48357,46513,44040,23328,366494,256,88,111,177,271,908,1063,1222,529,461
2RVIC,2406,2050,1812,669,483,270,599,11257,711,464,436,865,1077,2437,1763,1494,524,364,251,700,11071,3059,1821,1863,4233,6458,18685,18317,16599,5562,3833,2259,3760,86460,80,75,76,147,227,536,371,174,43,35,18,64,1850,249,261,294,636,923,2013,1285,720,184,113,72,306,7061,161,159,158,362,459,876,555,284,100,63,39,147,3360,370,333,306,586,686,1277,711,407,99,83,56,332,5237,862,828,830,1741,2295,4693,2913,1586,423,294,186,850,17507,6906,4532,4294,8920,12668,32562,29032,24643,8208,5740,3463,6839,147801,3174,1741,1594,2945,3817,9817,9202,8371,2958,2260,1579,3131,50583,411,179,210,488,762,2238,2411,2502,966,746,566,636,12128,1394,658,765,1972,3533,11327,13173,13295,4985,3501,2251,2660,59506,522,311,274,543,833,2242,2067,2162,898,656,534,633,11677,755,416,467,781,1071,2593,2099,1791,723,548,407,917,12574,3086,1568,1717,3780,6202,18402,19755,19749,7569,5453,3760,4851,95886,76,50,58,177,207,543,407,251,71,61
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,2797,3027,4465,2498,2181,1486,889,20630,1107,491,456,776,1063,2928,3108,4008,1885,1523,873,997,19222,4743,1922,1761,3192,4750,16693,24536,39191,20999,16927,10167,5632,150507,87,45,32,85,131,428,499,541,191,152,94,66,2347,397,173,176,381,533,1842,2357,2445,926,625,343,454,10646,233,140,117,216,311,882,943,887,395,289,173,180,4771,546,288,258,460,597,1535,1562,1394,480,365,183,398,8057,1265,643,588,1145,1575,4681,5358,5259,1990,1440,787,1098,25819,9996,4186,3695,6542,9202,29981,41356,61382,31339,24651,14525,9278,246135,4200,1528,1301,2225,3180,10585,14553,19467,9113,6868,4491,4458,81967,597,224,184,338,595,2304,3520,5293,2939,2560,2039,1126,21711,1979,637,576,1139,2116,10029,18908,30155,15886,12566,8590,4779,107358,1081,347,318,587,828,2670,3577,5257,2821,2771,2286,1371,23919,1179,461,399,664,939,2909,3444,4504,2077,1786,1239,1493,21093,4835,1667,1475,2732,4476,17912,29452,45208,23715,19682,14154,8767,174075,75,36,29,109,145,517,644,664,234,168
3RQLD,2396,2767,3591,1769,1422,790,710,16228,1066,535,448,921,1237,3017,3085,3750,1684,1332,716,1024,18822,3893,1831,1791,3713,5809,18727,24806,35043,16749,11468,5806,5128,134768,77,51,49,109,177,490,513,461,178,112,53,94,2358,392,266,276,537,797,2294,2536,2183,763,508,249,492,11291,167,129,82,230,339,842,886,675,229,184,100,179,4040,553,330,267,540,729,1650,1400,1232,442,274,145,470,8027,1180,779,678,1413,2034,5277,5326,4554,1615,1073,551,1230,25717,10145,4899,4366,8583,12340,36107,43004,55687,25410,17608,9211,9843,237192,5131,2205,1959,3792,5076,14392,15235,17159,6919,5356,3688,5550,86456,500,204,216,484,806,2679,3520,4744,2209,1611,1160,1104,19255,1811,719,811,1970,3427,13163,18475,24378,10659,7319,4484,4491,91720,695,314,300,562,822,2570,3205,4269,2059,1693,1210,1089,18785,1063,506,446,834,1189,3122,3400,4129,1831,1527,1001,1519,20572,4068,1741,1778,3853,6249,21527,28609,37520,16766,12156,7855,8211,150320,95,62,61,134,194,652,645,535,192,130
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,2486,2377,2608,1073,957,665,508,13876,731,498,450,794,950,2221,1903,1892,755,561,346,498,11601,3086,1753,1604,3175,4530,14793,17845,20448,8462,6522,4099,2691,89018,53,28,47,106,183,446,382,244,68,57,37,61,1717,239,148,158,434,623,1650,1570,1151,321,205,118,233,6855,208,154,164,315,438,942,778,533,161,150,97,118,4059,434,357,322,579,657,1387,1004,687,160,124,99,268,6069,935,687,691,1433,1893,4427,3733,2615,714,540,348,686,18694,6733,3833,3489,6586,8909,26034,29389,31394,12455,9396,5766,4646,148623,2813,1288,1097,1823,2602,7857,9089,8772,3410,2477,1735,2093,45066,337,139,165,305,565,1919,2451,2707,1181,1022,803,536,12136,1175,362,445,987,2025,9297,13278,14751,6089,4839,3253,2257,58757,706,288,276,559,747,2260,2510,2852,1261,1244,1021,745,14469,838,405,365,718,960,2409,2272,2171,834,762,577,793,13098,3056,1195,1249,2569,4300,15882,20505,22483,9364,7872,5654,4339,98468,64,25,32,81,157,498,464,326,91,89
4RSAU,583,425,319,107,93,56,95,2481,202,133,128,256,340,683,434,307,95,66,50,152,2832,835,540,595,1378,1995,4951,4129,3052,930,634,350,709,20107,17,19,32,66,76,139,78,30,8,6,8,17,492,64,77,87,253,319,536,250,134,28,22,23,78,1867,28,39,51,89,131,205,85,49,9,10,4,23,724,109,99,116,174,195,285,136,61,22,23,11,72,1300,213,239,286,582,721,1171,555,267,70,58,37,194,4388,2185,1549,1585,3178,4103,8978,6641,4701,1404,993,591,1482,37397,972,737,672,1257,1530,3034,1967,1351,439,334,238,772,13306,72,45,83,161,261,699,596,446,123,125,69,103,2775,340,201,307,787,1293,3192,2701,1813,512,345,222,408,12123,84,66,80,151,233,508,417,350,95,83,61,102,2241,175,140,142,264,351,672,505,374,105,88,66,192,3074,673,447,614,1365,2139,5072,4219,2987,835,641,416,808,20211,14,15,14,48,83,138,70,33,8,3
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,2324,2583,4431,2786,2700,2129,798,20844,1100,465,420,743,885,2490,2520,3770,2121,1998,1364,907,18789,4621,1692,1624,2879,3981,13587,19331,38502,23966,19985,13567,5169,148906,96,49,50,92,142,421,407,563,262,170,120,91,2463,424,183,162,359,501,1471,2130,2553,1137,785,465,350,10527,260,138,138,241,350,889,959,1082,422,353,217,200,5251,600,313,294,469,599,1428,1448,1571,626,446,299,410,8500,1382,678,642,1171,1583,4210,4942,5767,2453,1760,1100,1052,26744,9893,3733,3433,5977,7894,24719,33252,61422,37030,29674,19616,8560,245203,3957,1323,1138,1901,2703,9281,13609,18219,8091,6617,5096,4106,76044,554,148,200,282,486,1980,3051,5177,2834,2303,2205,1036,20258,2009,546,507,1092,1838,9333,18410,30241,14863,11765,8841,4767,104212,985,298,276,472,702,2340,3064,5333,2828,2898,2568,1400,23163,1179,432,408,580,823,2486,2970,4515,2384,2088,1653,1576,21105,4728,1431,1390,2428,3849,16142,27498,45261,22911,19063,15263,8778,168740,105,35,28,70,131,447,543,652,260,194
5RWAU,441,437,602,256,268,143,98,2671,204,96,104,180,201,608,505,637,315,283,144,177,3451,857,418,389,750,1108,3757,4550,6639,3059,2472,1231,973,26204,21,13,15,26,44,102,100,102,31,22,11,12,500,97,60,75,136,175,451,425,410,135,99,50,85,2204,27,25,26,43,71,176,131,103,30,27,8,28,689,107,86,67,123,136,264,196,198,67,64,31,86,1426,247,187,191,335,422,986,859,812,264,209,95,211,4817,2200,1075,1009,1839,2418,6988,7713,10455,4731,3822,2010,1925,46201,1069,481,405,786,1007,2835,2949,2950,1218,1069,743,984,16493,103,53,58,92,169,511,689,847,341,265,169,172,3462,403,179,203,493,738,2795,3857,4401,1689,1198,635,720,17322,90,53,43,123,125,393,510,654,273,208,169,172,2810,189,73,77,149,175,601,637,770,315,282,195,242,3712,791,364,384,847,1213,4296,5688,6670,2621,1948,1172,1311,27305,24,10,15,22,38,136,108,103,26,16
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,395,379,294,122,108,56,60,1888,109,77,57,115,142,345,300,237,101,64,36,70,1634,417,278,270,580,931,2801,3106,2933,1008,761,434,395,13902,16,9,12,30,40,104,67,37,9,5,4,0,332,48,36,43,116,169,411,309,176,39,33,13,46,1432,39,35,38,66,100,205,138,56,27,7,3,23,735,88,59,50,97,122,218,163,79,32,12,3,48,974,183,143,145,305,438,932,676,347,109,49,25,118,3478,1106,724,624,1341,1905,5153,5199,4501,1527,1123,629,711,24539,522,243,223,359,467,1413,1524,1501,519,411,311,324,7806,54,38,35,65,99,336,361,397,179,118,91,79,1852,209,98,93,216,433,1703,2182,2287,914,607,395,294,9432,99,54,34,83,124,333,344,406,139,121,92,86,1927,118,83,60,116,150,385,349,317,122,86,67,101,1946,478,272,226,479,812,2763,3238,3411,1352,932,642,558,15161,12,10,7,28,37,88,96,70,20,16
