GCCSA_CODE_2021,C11_SH_0b_s_a_b_NPFH_2,C11_SH_0b_s_a_b_NPFH_3,C11_SH_0b_s_a_b_NPFH_4,C11_SH_0b_s_a_b_NPFH_5,C11_SH_0b_s_a_b_NPFH_6_mor,C11_SH_0b_s_a_b_Tot,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_Tot,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_Tot_Tot,C11_SDRTHT_0b_s_a_b_NPFH_2,C11_SDRTHT_0b_s_a_b_NPFH_3,C11_SDRTHT_0b_s_a_b_NPFH_4,C11_SDRTHT_0b_s_a_b_NPFH_5,C11_SDRTHT_0b_s_a_b_NPFH_6mor,C11_SDRTHT_0b_s_a_b_Tot,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_Tot,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_Tot_Tot,C11_F_a_0b_s_a_b_NPFH_2,C11_F_a_0b_s_a_b_NPFH_3,C11_F_a_0b_s_a_b_NPFH_4,C11_F_a_0b_s_a_b_NPFH_5,C11_F_a_0b_s_a_b_NPFH_6_mor,C11_F_a_0b_s_a_b_Tot,C11_F_a_1b_NPFH_2,C11_F_a_1b_NPFH_3,C11_F_a_1b_NPFH_4,C11_F_a_1b_NPFH_5,C11_F_a_1b_NPFH_6_mor,C11_F_a_1b_Tot,C11_F_a_2b_NPFH_2,C11_F_a_2b_NPFH_3,C11_F_a_2b_NPFH_4,C11_F_a_2b_NPFH_5,C11_F_a_2b_NPFH_6_mor,C11_F_a_2b_Tot,C11_F_a_3b_NPFH_2,C11_F_a_3b_NPFH_3,C11_F_a_3b_NPFH_4,C11_F_a_3b_NPFH_5,C11_F_a_3b_NPFH_6_mor,C11_F_a_3b_Tot,C11_F_a_4mb_NPFH_2,C11_F_a_4mb_NPFH_3,C11_F_a_4mb_NPFH_4,C11_F_a_4mb_NPFH_5,C11_F_a_4mb_NPFH_6_mor,C11_F_a_4mb_Tot,C11_F_a_NB_NS_NPFH_2,C11_F_a_NB_NS_NPFH_3,C11_F_a_NB_NS_NPFH_4,C11_F_a_NB_NS_NPFH_5,C11_F_a_NB_NS_NPFH_6_mor,C11_F_a_NB_NS_Tot,C11_F_a_Tot_NPFH_2,C11_F_a_Tot_NPFH_3,C11_F_a_Tot_NPFH_4,C11_F_a_Tot_NPFH_5,C11_F_a_Tot_NPFH_6_mor,C11_F_a_Tot_Tot,C11_OD_0b_s_a_b_NPFH_2,C11_OD_0b_s_a_b_NPFH_3,C11_OD_0b_s_a_b_NPFH_4,C11_OD_0b_s_a_b_NPFH_5,C11_OD_0b_s_a_b_NPFH_6_mor,C11_OD_0b_s_a_b_Tot,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_Tot,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_Tot_Tot,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_Tot,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_Tot_Tot,C16_SH_0b_s_a_b_NPFH_2,C16_SH_0b_s_a_b_NPFH_3,C16_SH_0b_s_a_b_NPFH_4,C16_SH_0b_s_a_b_NPFH_5,C16_SH_0b_s_a_b_NPFH_6_mor,C16_SH_0b_s_a_b_Tot,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3
1GSYD,262,165,177,106,110,823,2310,542,314,148,124,3441,29325,11044,6492,1815,748,49418,126634,79485,82145,28318,12612,329197,85988,72876,113073,67372,39781,379083,3459,1333,1335,881,786,7794,247984,165440,203527,98640,54163,769746,111,33,37,20,21,224,2148,228,66,22,16,2475,19555,7424,3808,812,211,31806,27511,19552,17432,5531,2273,72300,4659,4649,6617,3733,2480,22143,734,292,213,126,103,1467,54711,32183,28175,10239,5100,130411,1489,216,132,39,17,1895,20661,2306,460,65,12,23505,76559,36870,18936,4374,1253,137993,15941,10309,8556,2779,1307,38898,813,632,821,483,263,3010,1474,611,422,147,102,2755,116935,50948,29330,7882,2961,208053,47,0,5,0,5,56,386,57,12,4,0,461,807,317,206,60,19,1408,290,235,222,87,67,893,81,56,95,45,81,358,31,17,20,7,9,80,1647,685,548,204,175,3261,561,263,206,94,42,1162,421840,249514,261782,117060,62437,1112634,205,111,137,79,88,633,1976,583,420,212,224,3418,23477,8822,5628,1664,778,40367,113451,71906
1RNSW,360,124,102,34,30,649,3234,487,275,125,65,4181,36956,8901,4098,1063,337,51350,150216,62649,53069,17339,6001,289279,84636,45781,60486,37174,19268,247347,3441,1001,742,389,342,5912,278831,118946,118764,56132,26051,598720,24,9,4,0,5,43,640,53,13,8,0,720,9963,2036,607,113,27,12734,9716,4108,2454,754,229,17263,1014,556,727,393,234,2921,339,94,35,13,10,489,21698,6851,3840,1278,500,34169,57,13,3,7,0,85,1531,154,36,5,3,1728,11465,2686,916,172,40,15280,4308,1705,953,289,98,7354,328,153,181,121,72,862,340,81,31,13,7,475,18027,4800,2122,606,226,25778,181,33,14,16,5,242,1037,56,22,7,0,1128,1777,288,104,37,9,2212,676,256,185,62,31,1218,204,93,93,65,74,525,160,19,23,0,4,210,4042,749,440,189,123,5543,311,114,72,40,23,558,322908,131457,125233,58246,26922,664768,397,144,89,38,31,702,3264,505,346,136,96,4349,34049,7937,3691,939,334,46946,144548,59375
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,298,193,196,105,102,900,2042,394,242,100,53,2837,35779,11295,5662,1146,349,54222,176759,105177,104654,27863,10416,424866,77679,65922,103936,62664,29816,340017,4063,1585,1383,860,777,8664,296607,184558,216078,92738,41513,831503,59,34,24,12,9,134,1747,156,38,9,8,1956,23962,6739,2626,455,131,33914,22037,13417,10472,2529,844,49296,2823,2648,3949,2152,1163,12737,586,180,135,57,49,1009,51215,23172,17242,5216,2196,99045,551,115,29,24,11,728,12179,1243,249,21,17,13709,38156,11517,4346,940,258,55212,10788,6727,4359,1347,700,23927,574,440,558,312,181,2065,805,303,158,86,62,1410,63055,20351,9702,2710,1230,97052,44,17,5,0,0,62,365,22,7,4,0,399,712,229,96,28,17,1077,220,203,188,54,38,714,46,34,52,31,25,181,29,3,11,7,0,47,1423,504,356,129,79,2482,165,62,70,17,7,325,412461,228651,243452,100810,45027,1030404,286,173,163,89,93,810,1746,410,323,134,103,2714,32163,10440,5599,1181,440,49829,166807,101107
2RVIC,160,63,40,23,14,312,1540,212,121,42,28,1935,20529,4407,1795,447,148,27331,99660,39954,34706,11004,3670,188987,36522,20535,28056,19171,8984,113274,1974,542,439,213,169,3336,160392,65717,65165,30894,13011,335178,5,4,0,0,0,11,232,20,3,0,0,253,2956,505,152,24,3,3644,1780,637,463,135,29,3042,255,150,178,118,46,745,105,23,7,5,8,144,5325,1334,807,282,83,7841,16,11,6,3,0,32,611,67,14,0,0,691,4831,899,252,47,16,6045,1345,517,253,75,22,2209,108,48,55,31,19,256,171,44,11,6,3,233,7076,1581,590,164,54,9472,81,19,11,0,3,115,393,28,11,5,3,433,525,81,53,18,10,683,273,131,102,32,18,556,102,58,62,39,20,282,56,12,3,3,0,68,1436,322,242,99,50,2144,71,26,26,14,6,149,174309,68982,66829,31460,13205,354777,184,60,32,19,17,314,1535,223,126,65,20,1973,20749,4134,1872,482,145,27379,99416,38265
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,161,105,67,35,48,415,1167,244,122,59,43,1637,15937,3989,1759,418,135,22238,92846,47269,39331,11577,4724,195751,65510,49491,68249,36582,20274,240107,1932,778,697,379,379,4165,177553,101876,110224,49052,25605,464313,36,16,7,0,0,64,584,58,14,0,0,661,7556,1716,489,102,34,9904,9723,5477,3095,933,336,19570,705,530,612,328,224,2402,239,92,52,37,20,436,18846,7889,4283,1401,619,33037,148,27,6,4,0,189,3281,267,53,4,0,3610,15846,3985,1378,234,62,21505,4784,2164,1170,298,102,8516,292,147,185,92,59,772,318,85,43,9,13,468,24670,6671,2833,644,234,35050,80,7,4,0,0,96,421,12,12,0,3,451,429,96,43,3,6,576,132,51,44,24,3,251,40,23,24,20,11,115,42,8,4,4,0,59,1136,196,136,53,31,1552,112,35,35,16,8,206,222313,116672,117510,51171,26487,534156,127,70,53,30,35,316,1146,249,181,90,74,1739,14534,3574,1700,432,184,20417,87710,45210
3RQLD,414,145,100,47,33,742,3173,452,228,98,57,4012,24752,5918,2786,826,358,34636,117180,50231,42803,13535,5717,229468,71743,44462,58649,32923,18935,226714,2698,909,703,414,385,5104,219959,102120,105272,47846,25479,500676,21,10,9,3,0,40,527,36,23,7,0,588,9610,2088,688,123,45,12551,10694,5326,3276,918,324,20535,1034,636,792,452,244,3163,324,88,61,24,13,512,22209,8188,4840,1520,629,37385,133,19,12,0,0,160,3077,314,50,10,8,3458,18422,4823,1628,386,134,25395,6390,2593,1545,449,168,11146,385,184,220,105,84,981,516,135,77,21,17,773,28918,8066,3536,978,414,41908,484,44,41,20,12,600,1685,94,35,13,9,1837,1300,275,109,37,24,1750,720,181,176,60,30,1171,289,60,78,71,45,541,222,20,16,6,3,259,4702,679,454,203,117,6159,341,81,69,37,12,540,276127,119133,114172,50584,26660,586667,414,119,97,37,38,705,3076,446,278,129,87,4010,23511,5143,2601,789,399,32441,115427,47982
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,94,55,43,15,24,236,940,126,97,26,14,1201,14919,3477,1490,290,85,20266,79927,39719,35438,8463,2723,166270,23244,17487,27109,15071,6568,89483,1310,439,339,171,157,2412,120446,61302,64515,24038,9579,279877,13,14,5,3,5,43,509,35,15,9,5,573,7525,1405,460,85,27,9491,8489,3804,2323,617,253,15494,507,415,497,289,198,1909,246,64,53,23,23,406,17290,5737,3354,1029,504,27910,44,18,3,0,0,68,1230,182,38,5,4,1454,8277,2555,995,175,39,12045,1876,801,396,137,43,3247,76,33,51,35,11,209,188,55,19,10,3,282,11687,3645,1510,365,97,17302,37,0,4,0,0,42,117,3,0,0,0,121,98,27,4,0,0,137,48,18,23,6,0,102,12,3,7,3,4,28,4,0,3,0,4,14,324,57,38,17,12,441,45,20,13,8,0,85,149788,70763,69426,25445,10194,325616,81,31,41,11,24,188,842,154,115,36,32,1177,12712,3042,1316,247,92,17412,77510,38414
4RSAU,62,5,10,0,0,82,645,79,26,16,5,775,7321,1182,502,141,49,9197,30405,10222,9039,2886,1011,53562,9386,5076,6981,4583,1991,28005,542,140,120,68,50,910,48358,16690,16681,7695,3105,92529,6,0,0,0,0,0,70,4,0,3,0,77,852,101,42,0,0,998,1426,576,334,154,55,2543,133,80,67,49,53,388,50,17,7,12,0,76,2528,782,447,219,115,4078,3,0,0,0,0,3,90,12,3,0,0,115,662,106,35,4,3,810,219,78,39,12,3,354,18,9,8,5,4,42,35,0,0,0,0,38,1029,203,83,23,10,1361,36,4,3,0,0,47,152,0,4,0,0,158,126,30,16,0,3,169,119,43,26,5,8,196,37,17,13,9,4,80,24,0,0,0,0,29,492,90,69,22,12,679,53,10,8,5,4,87,52457,17777,17289,7958,3252,98735,50,27,10,4,5,96,610,76,43,22,11,760,6698,1022,466,135,47,8360,29756,9558
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,135,74,60,30,10,307,865,137,69,30,19,1118,11930,2874,1278,322,95,16496,68662,31434,24876,6378,2323,133670,71732,49145,67562,31746,14572,234759,1621,597,535,301,269,3325,154947,84252,94376,38804,17292,389675,24,18,9,0,0,56,619,50,24,5,0,711,7053,1447,424,106,40,9065,13257,5500,3060,804,270,22888,1690,1090,1349,620,279,5030,279,94,52,25,18,482,22924,8206,4923,1562,615,38231,85,10,3,0,0,101,2507,306,58,9,5,2877,8144,1956,676,137,27,10942,4967,1906,1036,299,111,8315,320,188,196,87,51,840,202,60,31,13,9,321,16217,4430,2008,547,194,23403,49,5,0,0,0,59,229,9,8,4,0,248,333,32,12,0,0,380,105,37,21,4,3,172,22,6,19,8,9,69,37,10,0,0,0,43,776,96,54,25,13,967,84,32,23,13,4,148,194954,97012,101383,40954,18116,452417,90,39,44,25,36,236,864,182,101,58,50,1252,10627,2503,1272,298,123,14824,68634,32680
5RWAU,77,32,26,18,7,163,706,68,58,28,20,885,5487,1315,641,182,126,7756,25290,10125,9015,3045,1680,49149,18236,9966,13233,7295,3932,52659,560,177,189,121,118,1171,50353,21691,23166,10690,5889,111787,6,0,0,0,0,16,171,22,13,8,0,210,1161,263,88,25,17,1554,1201,521,278,99,55,2159,168,99,132,67,60,523,56,21,14,4,8,104,2768,920,530,202,141,4559,9,0,0,0,0,13,146,22,6,4,0,172,775,193,80,22,3,1074,525,209,120,55,23,933,57,28,30,19,7,143,30,8,7,0,5,45,1542,462,237,103,36,2383,241,39,25,6,5,312,663,51,18,5,0,750,297,102,55,22,9,482,267,44,58,12,14,391,130,31,29,23,14,223,135,20,11,3,0,168,1735,292,197,72,42,2336,131,42,19,18,11,218,56533,23408,24146,11080,6121,121285,94,22,12,6,4,144,718,124,61,16,24,947,5475,1241,670,213,130,7732,25503,9858
